**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	24	24	28	31
8	1	1	24	26	28	31
12	1	3	22	26	29	31
16	2	1	22	26	29	31
20	2	3	20	29	31	34
26	3	2	24	28	31	33
28	3	3	24	28	31	33
40	5	1	24	0	-31	-33
44	5	3	25	27	0	0
48	6	1	26	28	0	0
52	6	3	27	29	0	31
54	6	4	27	-29	0	-31
56	7	1	25	30	27	32
58	7	2	-25	30	-27	-32
60	7	3	24	28	28	33
64	8	1	0	27	29	34
66	8	2	0	-27	-29	34
68	8	3	0	0	30	32
70	8	4	0	0	30	-32
72	9	1	24	0	28	31
76	9	3	25	27	27	0
80	10	1	26	28	0	0
84	10	3	27	29	0	31
86	10	4	27	-29	0	-31
88	11	1	25	30	27	32
90	11	2	-25	30	-27	-32
92	11	3	24	28	28	33
96	12	1	0	27	29	34
98	12	2	0	-27	-29	34
100	12	3	21	0	30	32
102	12	4	-21	0	30	-32
104	13	1	22	24	29	31
106	13	2	-22	-24	-29	34
108	13	3	23	25	27	-34
109	13	3.5	-23	-25	-27	32
110	13	4	-23	-25	30	35
112	14	1	24	26	28	-35
113	14	1.5	-24	-26	-28	33
114	14	2	24	-26	31	36
116	14	3	22	27	-31	-36
118	14	4	-22	27	30	34
119	14	4.5	-22	-27	29	-34
120	15	1	21	25	30	35
121	15	1.5	-21	-25	29	-35
122	15	2	-21	-25	28	-35
123	15	2.5	-21	-25	27	-35
124	15	3	0	24	26	0
126	15	4	24	-24	31	31
130	16	2	23	28	32	30
132	16	3	24	-28	31	31
134	16	4	20	27	29	32
136	17	1	24	28	31	31
138	17	2	-24	24	-31	-31
140	17	3	0	28	0	0
142	17	4	24	-28	31	31
146	18	2	23	28	32	30
148	18	3	24	-28	31	31
150	18	4	20	27	29	32
152	19	1	24	28	31	33
154	19	2	-24	24	-31	-33
156	19	3	21	28	0	34
158	19	4	-21	-28	30	-34
160	20	1	22	0	31	33
164	20	3	21	25	30	35
166	20	4	-21	-25	32	-35
168	21	1	0	26	-32	0
170	21	2	0	-26	31	0
172	21	3	21	25	30	35
174	21	4	-21	-25	28	-35
176	22	1	22	0	31	33
180	22	3	21	25	30	35
182	22	4	-21	-25	32	-35
184	23	1	0	26	-32	0
186	23	2	0	-26	31	35
188	23	3	23	25	32	-35
189	23	3.5	-23	-25	-32	34
190	23	4	-23	-25	28	33
191	23	4.5	-23	-25	-28	32
192	24	1	22	26	29	31
193	24	1.5	-22	-26	-29	32
194	24	2	-22	-26	-29	33
195	24	2.5	-22	-26	-29	31
196	24	3	20	27	-29	32
197	24	3.5	-20	-27	-29	31
198	24	4	-20	-27	-29	30
199	24	4.5	-20	-27	-29	29
200	25	1	21	25	28	30
202	25	2	-21	24	-28	31
204	25	3	21	25	-28	-31
206	25	4	-21	-25	-28	30
208	26	1	24	24	28	31
214	26	4	-24	26	-28	0
216	27	1	-24	-26	0	31
217	27	1.5	-24	27	0	-31
218	27	2	-24	28	0	-31
220	27	3	-24	-28	0	35
221	27	3.5	-24	27	0	-35
222	27	4	-24	26	0	-35
223	27	4.5	-24	25	0	-35
224	28	1	0	26	28	35
228	28	3	0	25	32	34
232	29	1	0	0	32	36
236	29	3	0	0	31	-36
238	29	4	0	0	-31	35
240	30	1	0	24	33	35
244	30	3	0	28	-33	-35
246	30	4	0	-28	32	-35
248	31	1	21	28	32	0
252	31	3	25	27	-32	0
256	32	1	25	29	0	0
260	32	3	24	-29	0	31
262	32	4	-24	28	0	-31
264	33	1	26	28	0	35
268	33	3	-26	0	28	35
270	33	4	25	0	-28	-35
272	34	1	25	0	32	34
276	34	3	0	0	32	36
280	35	1	0	0	31	-36
282	35	2	0	0	-31	35
284	35	3	0	24	33	35
288	36	1	0	28	-33	-35
290	36	2	0	-28	32	-35
292	36	3	21	28	32	0
294	36	4	-21	-28	-32	32
296	37	1	25	27	-32	34
300	37	3	-25	29	0	-34
302	37	4	25	-29	29	34
304	38	1	24	-29	31	33
306	38	2	-24	28	-31	-33
308	38	3	26	28	30	35
312	39	1	-26	0	30	-35
314	39	2	25	0	-30	34
316	39	3	25	0	32	34
320	40	1	21	0	30	32
322	40	2	-21	0	30	-32
324	40	3	24	0	31	33
327	40	4.5	25	0	30	32
328	41	1	24	0	31	33
330	41	2	23	0	32	34
332	41	3	22	0	-32	31
333	41	3.5	-22	0	31	-31
334	41	4	-22	0	31	-31
336	42	1	21	25	-31	32
338	42	2	-21	-25	30	-32
340	42	3	0	27	31	31
341	42	3.5	0	-27	30	-31
342	42	4	0	-27	29	-31
343	42	4.5	0	-27	28	-31
344	43	1	0	-27	29	0
346	43	2	0	27	-29	0
348	43	3	24	26	28	31
352	44	1	21	28	32	30
356	44	3	-21	-28	32	-30
358	44	4	25	27	32	29
360	45	1	25	27	32	29
362	45	2	-25	-27	25	32
364	45	3	23	25	-25	-32
365	45	3.5	-23	-25	26	-32
366	45	4	-23	-25	27	32
367	45	4.5	-23	-25	28	-32
368	46	1	22	26	29	31
370	46	2	24	-26	28	33
371	46	2.5	-24	25	-28	-33
372	46	3	-24	26	-28	-33
374	46	4	23	27	25	32
376	47	1	22	24	26	-32
377	47	1.5	-22	-24	-26	31
378	47	2	-22	-24	27	31
380	47	3	21	25	28	-31
382	47	4	-21	-25	-28	30
384	48	1	24	24	-28	31
386	48	2	-24	-24	26	-31
388	48	3	-24	28	-26	-31
390	48	4	-24	-28	25	-31
391	48	4.5	-24	-28	24	-31
392	49	1	0	29	27	-31
396	49	3	24	31	26	-31
400	50	1	25	30	0	0
402	50	2	-25	29	0	0
404	50	3	27	-29	0	0
406	50	4	-27	31	0	0
408	51	1	26	-31	0	0
410	51	2	25	30	0	0
412	51	3	-25	29	0	0
414	51	4	24	-29	0	0
415	51	4.5	-24	28	0	0
415.5	51	4.75	-24	27	0	0
416	52	1	-24	26	0	0
417	52	1.5	23	25	0	0
418	52	2	22	28	0	0
419	52	2.5	21	-28	0	0
420	52	3	22	-28	0	31
422	52	4	-22	27	0	-31
424	53	1	21	26	28	35
426	53	2	-21	25	-28	-35
427	53	2.5	-21	-25	-28	35
428	53	3	0	25	32	34
430	53	4	0	-25	-32	35
431	53	4.5	0	-25	32	-35
432	54	1	0	0	31	36
434	54	2	0	0	32	34
436	54	3	0	24	33	35
438	54	4	0	-24	31	-35
440	55	1	21	28	32	0
443	55	2.5	-21	28	-32	0
444	55	3	25	27	0	0
446	55	4	-25	28	0	0
447	55	4.5	25	-28	0	0
448	56	1	24	29	0	31
450	56	2	25	27	0	-31
452	56	3	26	28	28	35
454	56	4	24	-28	-28	-35
455	56	4.5	-24	-28	-28	35
456	57	1	25	0	32	34
458	57	2	-25	0	-32	35
459	57	2.5	-25	0	32	-35
460	57	3	0	0	31	36
462	57	4	0	0	32	34
464	58	1	0	24	33	35
466	58	2	0	-24	31	-35
468	58	3	21	28	32	0
471	58	4.5	-21	28	-32	0
472	59	1	25	27	0	0
474	59	2	-25	28	0	0
475	59	2.5	25	-28	0	0
476	59	3	24	29	0	0
478	59	4	25	27	0	0
480	60	1	26	28	0	33
482	60	2	24	-28	0	-33
484	60	3	25	0	29	34
488	61	1	0	0	30	32
492	61	3	0	0	28	35
496	62	1	0	0	31	-35
498	62	2	0	0	-31	33
500	62	3	0	0	-31	33
502	62	4	0	0	29	-33
504	63	1	0	0	29	0
506	63	2	0	0	-29	36
510	63	4	0	0	32	34
514	64	2	0	0	30	32
516	64	3	0	0	-30	32
518	64	4	0	0	28	-32
520	65	1	0	0	28	35
524	65	3	0	0	31	-35
526	65	4	0	0	-31	34
528	66	1	0	26	-31	33
530	66	2	0	-26	30	32
532	66	3	22	27	29	31
535	66	4.5	-22	-27	28	-31
536	67	1	23	25	27	30
537	67	1.5	-23	-25	26	-30
538	67	2	-23	-25	25	32
539	67	2.5	-23	-25	24	-32
540	67	3	21	28	25	-32
541	67	3.5	-21	-28	-25	31
542	67	4	-21	-28	-25	32
543	67	4.5	-21	-28	-25	30
544	68	1	24	-28	24	31
546	68	2	-24	26	-24	-31
548	68	3	-24	26	0	-31
550	68	4	22	-26	0	-31
552	69	1	22	0	24	-31
554	69	2	-22	29	-24	29
556	69	3	0	-29	27	29
558	69	4	25	27	-27	-29
560	70	1	-25	-27	25	0
562	70	2	23	25	-25	32
564	70	3	-23	25	32	-32
566	70	4	21	-25	-32	30
568	71	1	21	28	-32	-30
570	71	2	-21	-28	31	28
572	71	3	28	-28	30	28
574	71	4	-28	27	29	-28
576	72	1	-28	26	28	35
578	72	2	27	25	-28	-35
580	72	3	26	24	0	-35
582	72	4	25	-24	0	34
583	72	4.5	-25	25	0	-34
584	73	1	24	26	0	33
585	73	1.5	-24	27	0	-33
586	73	2	23	28	25	32
588	73	3	22	-28	26	31
590	73	4	-22	27	24	-31
592	74	1	21	28	25	30
594	74	2	-21	-28	-25	32
