**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0
8	2	1	0	0	30	0
12	2	3	0	0	31	0
16	3	1	0	0	32	32
20	3	3	0	0	28	-32
22	3	4	0	0	32	-32
24	4	1	0	0	-32	34
25	4	1.5	0	0	31	-34
26	4	2	0	0	30	-34
27	4	2.5	0	0	29	-34
28	4	3	0	0	30	35
30	4	4	0	0	29	-35
31	4	4.5	0	0	28	-35
32	5	1	0	0	27	36
34	5	2	0	0	25	-36
38	5	4	0	0	32	-36
40	6	1	0	0	-32	36
42	6	2	0	0	31	-36
43	6	2.5	0	0	30	-36
44	6	3	0	0	31	0
46	6	4	0	0	-31	36
48	7	1	21	0	30	35
50	7	2	-21	0	28	37
52	7	3	-21	0	30	-37
54	7	4	-21	0	-30	36
55	7	4.5	-21	0	31	35
56	8	1	23	0	32	34
58	8	2	-23	0	-32	35
60	8	3	24	0	28	33
62	8	4	-24	0	29	-33
64	9	1	25	25	-29	32
66	9	2	-25	-25	27	-32
68	9	3	21	-25	28	0
70	9	4	25	-25	27	0
72	10	1	-25	27	-27	0
73	10	1.5	24	-27	26	0
74	10	2	23	-27	25	39
75	10	2.5	22	-27	24	-39
76	10	3	23	28	25	-39
78	10	4	-23	-28	-25	37
80	11	1	22	29	26	38
84	11	3	-22	-29	27	36
86	11	4	-22	-29	-27	38
88	12	1	-22	29	26	-38
89	12	1.5	-22	-29	-26	37
90	12	2	-22	-29	-26	36
92	12	3	-22	29	0	-36
94	12	4	-22	-29	33	35
95	12	4.5	-22	-29	-33	34
96	13	1	0	-29	31	33
98	13	2	0	28	32	35
100	13	3	0	27	-32	36
101	13	3.5	0	-27	31	-36
102	13	4	0	28	30	37
103	13	4.5	0	-28	29	-37
104	14	1	0	26	28	-37
105	14	1.5	0	-26	-28	36
106	14	2	0	-26	-28	35
108	14	3	0	25	29	-35
110	14	4	0	-25	-29	34
112	15	1	24	26	28	35
115	15	2.5	-24	-26	-28	34
116	15	3	-24	-26	-28	33
118	15	4	-24	-26	28	-33
120	16	1	23	28	28	32
123	16	2.5	-23	-28	27	-32
124	16	3	24	-28	26	0
126	16	4	-24	-28	-26	33
128	17	1	25	27	25	34
130	17	2	-25	-27	-25	36
133	17	3.5	-25	-27	0	35
134	17	4	-25	-27	32	34
136	18	1	26	28	31	33
138	18	2	-26	-28	30	32
140	18	3	-26	-28	31	-32
141	18	3.5	-26	-28	30	-32
142	18	4	-26	-28	29	31
143	18	4.5	-26	-28	28	-31
144	19	1	25	29	27	32
146	19	2	-25	-29	28	-32
150	19	4	-25	-29	27	-32
152	20	1	21	30	28	0
154	20	2	-21	-30	30	32
156	20	3	0	29	31	33
158	20	4	25	-29	32	34
160	21	1	26	28	-32	35
