**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	0	1	17	24	24	24	0	0	0	0
8	1	1	24	22	24	26	0	0	0	0
12	1	3	24	22	24	27	0	0	0	0
16	2	1	23	21	25	28	0	0	0	0
19	2	2.5	-23	-21	-25	27	0	0	0	0
19.5	2	2.75	-23	-21	-25	28	0	0	0	0
20	2	3	22	20	-25	29	0	0	0	0
22	2	4	23	21	-25	28	0	0	0	0
26	3	2	22	20	-25	29	0	0	0	0
27	3	2.5	21	19	-25	-29	0	0	0	0
28	3	3	22	18	-25	27	0	0	0	0
30	3	4	23	-18	-25	-27	0	0	0	0
31	3	4.5	-23	-18	-25	26	0	0	0	0
31.5	3	4.75	-23	-18	-25	25	0	0	0	0
32	4	1	24	17	26	28	24	31	31	31
40	5	1	0	0	0	0	31	29	31	33
44	5	3	0	0	0	0	31	29	31	34
48	6	1	0	0	0	0	30	28	32	35
51	6	2.5	0	0	0	0	-30	-28	-32	34
51.5	6	2.75	0	0	0	0	-30	-28	-32	35
52	6	3	0	0	0	0	29	27	-32	36
54	6	4	0	0	0	0	30	28	-32	35
58	7	2	0	0	0	0	29	27	-32	36
59	7	2.5	0	0	0	0	28	26	-32	-36
60	7	3	0	0	27	0	29	25	-32	34
62	7	4	0	0	-27	0	30	-25	-32	-34
63	7	4.5	0	0	-27	0	-30	-25	-32	33
63.5	7	4.75	0	0	-27	0	-30	-25	-32	32
64	8	1	17	24	26	0	31	24	33	35
68	8	3	-17	-24	-26	28	-31	-24	-33	-35
72	9	1	21	23	25	-28	0	0	0	0
76	9	3	18	22	0	27	0	0	0	0
78	9	4	20	-22	0	-27	0	0	0	0
80	10	1	17	21	26	26	0	0	0	0
82	10	2	-17	24	-26	28	0	0	0	0
84	10	3	21	-24	25	-28	0	0	0	0
85	10	3.5	-21	-24	-25	27	0	0	0	0
86	10	4	-21	23	-25	26	0	0	0	0
87	10	4.5	-21	-23	-25	25	0	0	0	0
88	11	1	17	24	24	26	0	0	0	0
90	11	2	20	22	-24	24	0	0	0	0
92	11	3	-20	-22	-24	22	0	0	34	0
93	11	3.5	-20	-22	-24	23	0	0	-34	0
94	11	4	19	21	-24	24	0	0	-34	0
95	11	4.5	18	20	-24	25	0	0	-34	0
96	12	1	17	21	-24	26	24	31	33	0
100	12	3	-17	-21	-24	-26	-24	-31	-33	35
104	13	1	0	0	0	0	28	30	32	-35
108	13	3	0	0	0	0	25	29	0	34
110	13	4	0	0	0	0	27	-29	0	-34
112	14	1	0	0	0	0	24	28	33	33
114	14	2	0	0	0	0	-24	31	-33	35
116	14	3	0	0	0	0	28	-31	32	-35
117	14	3.5	0	0	0	0	-28	-31	-32	34
118	14	4	0	0	0	0	-28	30	-32	33
119	14	4.5	0	0	0	0	-28	-30	-32	32
120	15	1	0	0	0	0	24	31	31	33
122	15	2	0	0	0	0	27	29	-31	31
124	15	3	0	20	27	0	-27	-29	-31	29
125	15	3.5	0	-20	-27	0	-27	-29	-31	30
126	15	4	0	-20	-27	0	26	28	-31	31
127	15	4.5	0	-20	-27	0	25	27	-31	32
128	16	1	17	24	26	24	24	28	-31	33
129	16	1.5	-17	-24	-26	25	-24	-28	-31	-33
130	16	2	-17	-24	-26	26	-24	-28	-31	-33
131	16	2.5	-17	-24	-26	27	-24	-28	-31	-33
132	16	3	-17	-24	-26	28	-24	-28	-31	-33
134	16	4	-17	23	25	26	-24	-28	-31	-33
135	16	4.5	-17	22	24	-26	-24	-28	-31	-33
136	17	1	17	26	24	28	0	0	0	0
138	17	2	24	22	-24	24	0	0	0	0
139	17	2.5	-24	-22	25	-24	0	0	0	0
140	17	3	23	21	26	0	0	0	0	0
142	17	4	24	22	27	0	0	0	0	0
145	18	1.5	23	21	26	0	0	0	0	0
146	18	2	23	19	26	26	0	0	0	0
148	18	3	-23	20	-26	29	0	0	0	0
150	18	4	-23	-20	25	-29	0	0	0	0
152	19	1	23	19	26	28	0	0	0	0
154	19	2	24	17	-26	21	0	0	0	0
156	19	3	-24	18	0	-21	0	27	34	0
158	19	4	23	-18	0	20	0	-27	-34	0
160	20	1	24	17	0	21	24	31	33	31
161	20	1.5	-24	-17	0	-21	-24	-31	-33	32
162	20	2	-24	-17	0	-21	-24	-31	-33	33
163	20	2.5	-24	-17	0	-21	-24	-31	-33	34
164	20	3	-24	-17	0	-21	-24	-31	-33	35
166	20	4	-24	-17	0	-21	-24	30	32	33
167	20	4.5	-24	-17	0	-21	-24	29	31	-33
168	21	1	0	0	0	0	24	33	31	35
170	21	2	0	0	0	0	31	29	-31	31
171	21	2.5	0	0	0	0	-31	-29	32	-31
172	21	3	0	0	0	0	30	28	33	0
174	21	4	0	0	0	0	31	29	34	0
177	22	1.5	0	0	0	0	30	28	33	0
178	22	2	0	0	0	0	30	26	33	33
180	22	3	0	0	0	0	-30	27	-33	36
182	22	4	0	0	0	0	29	-27	32	-36
184	23	1	0	0	0	0	30	26	33	35
186	23	2	0	0	0	0	31	24	-33	28
188	23	3	0	0	0	0	-31	25	0	-28
190	23	4	0	0	0	0	30	-25	0	27
192	24	1	0	17	24	26	31	24	0	28
196	24	3	0	-17	26	28	-31	-24	0	-28
198	24	4	0	24	-26	28	-31	-24	0	-28
200	25	1	20	-24	27	29	0	0	0	0
202	25	2	-20	22	-27	-29	0	0	0	0
204	25	3	22	24	26	22	0	0	0	0
206	25	4	-22	-24	-26	29	0	0	0	0
208	26	1	23	21	25	-29	0	0	0	0
210	26	2	-23	-21	-25	28	0	0	0	0
212	26	3	22	0	0	-28	0	0	0	0
214	26	4	-22	18	0	27	0	0	0	0
216	27	1	21	19	26	28	0	0	0	0
218	27	2	24	17	-26	-28	0	0	0	0
220	27	3	-24	21	25	-28	0	0	0	0
222	27	4	23	-21	-25	-28	0	0	0	0
224	28	1	24	17	24	-28	0	24	31	33
228	28	3	21	-17	-24	-28	0	-24	33	35
230	28	4	-21	-17	-24	-28	0	31	-33	35
232	29	1	0	0	0	0	27	-31	34	36
234	29	2	0	0	0	0	-27	29	-34	-36
236	29	3	0	0	0	0	29	31	33	29
238	29	4	0	0	0	0	-29	-31	-33	36
240	30	1	0	0	0	0	30	28	32	-36
242	30	2	0	0	0	0	-30	-28	-32	35
