**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	32
8	2	1	0	0	0	33
16	3	1	0	25	0	32
24	4	1	0	26	0	30
26	4	2	0	-26	0	31
28	4	3	0	-26	0	30
31	4	4.5	0	-26	0	29
31.5	4	4.75	0	-26	0	28
32	5	1	0	25	29	27
38	5	4	0	-25	-29	27
40	6	1	0	23	30	-27
42	6	2	0	-23	-30	32
46	6	4	0	-23	-30	31
47	6	4.5	0	-23	-30	30
48	7	1	22	26	29	31
50	7	2	-22	-26	-29	32
54	7	4	-22	-26	-29	31
56	8	1	23	25	27	32
62	8	4	-23	-25	28	-32
64	9	1	22	26	29	31
68	9	3	-22	-26	22	-31
70	9	4	-22	-26	-22	29
72	10	1	20	22	-22	29
74	10	2	-20	-22	23	-29
76	10	3	-20	-22	24	-29
78	10	4	-20	-22	25	-29
80	11	1	19	23	26	28
84	11	3	26	24	-26	29
90	12	2	25	23	0	28
92	12	3	25	21	30	28
96	13	1	24	22	31	-28
100	13	3	-24	-22	24	27
103	13	4.5	-24	-22	23	-27
103.5	13	4.75	-24	-22	22	-27
104	14	1	17	24	26	28
120	16	1	22	26	29	31
124	16	3	24	-26	28	33
128	17	1	-24	28	26	-33
132	17	3	23	-28	30	32
136	18	1	22	27	31	36
140	18	3	-22	26	-31	-36
142	18	4	-22	-26	30	35
143	18	4.5	-22	-26	29	34
144	19	1	24	-26	28	33
148	19	3	-24	28	26	33
152	20	1	23	-28	30	32
156	20	3	-23	27	23	-32
160	21	1	22	-27	24	31
164	21	3	-22	26	-24	-31
168	22	1	21	-26	28	30
172	22	3	-21	25	-28	-30
180	23	3	-21	-25	28	-30
183	23	4.5	-21	-25	29	-30
184	24	1	-21	-25	30	35
185	24	1.5	-21	-25	31	-35
186	24	2	-21	-25	30	-35
188	24	3	-21	28	-30	35
189	24	3.5	-21	-28	29	-35
190	24	4	-21	-28	28	-35
191	24	4.5	-21	-28	27	-35
192	25	1	24	28	26	-35
194	25	2	-24	-28	-26	35
196	25	3	24	-28	31	33
198	25	4	-24	28	-31	-33
200	26	1	-24	26	31	-33
202	26	2	24	-26	-31	-33
204	26	3	22	-26	-31	-33
206	26	4	-22	-26	31	-33
208	27	1	-22	-26	29	-33
212	27	3	22	-26	31	33
216	28	1	24	26	31	-33
220	28	3	-24	26	-31	33
224	29	1	25	27	29	32
228	29	3	-25	-27	-29	32
232	30	1	21	25	28	-32
234	30	2	-21	-25	-28	30
236	30	3	-21	-25	-28	30
240	31	1	0	26	0	30
242	31	2	26	-26	28	-30
244	31	3	-26	23	-28	-30
246	31	4	25	-23	27	-30
248	32	1	26	0	28	-30
250	32	2	-26	26	-28	-30
252	32	3	23	-26	27	-30
254	32	4	-23	25	-27	-30
256	33	1	0	26	0	-30
258	33	2	26	-26	28	-30
260	33	3	-26	23	-28	-30
262	33	4	25	-23	27	-30
264	34	1	26	0	28	-30
266	34	2	-26	26	-28	-30
268	34	3	23	-26	27	-30
270	34	4	-23	25	30	-30
272	35	1	0	26	-30	0
274	35	2	0	-26	29	33
275	35	2.5	0	-26	28	-33
276	35	3	0	23	27	-33
278	35	4	0	-23	-27	32
280	36	1	26	28	26	33
284	36	3	-26	-28	0	30
286	36	4	-26	-28	30	-30
288	37	1	22	29	31	0
290	37	2	-22	-29	-31	33
292	37	3	23	27	30	-33
294	37	4	-23	-27	-30	32
296	38	1	19	26	-30	33
