**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	28	0	0	0
4	1	3	0	26	0	0	0
8	2	1	0	25	0	32	0
12	2	3	0	26	0	30	0
14	2	4	0	28	0	-30	0
16	3	1	0	-28	0	29	0
17	3	1.5	0	27	0	-29	0
17.5	3	1.75	0	26	0	-29	0
18	3	2	0	27	0	-29	0
20	3	3	0	28	0	30	35
21	3	3.5	0	29	0	-30	-35
22	3	4	0	30	0	32	-35
23	3	4.5	0	28	0	-32	-35
24	4	1	0	29	0	-32	33
25	4	1.5	0	-29	0	31	-33
25.5	4	1.75	0	-29	0	30	-33
26	4	2	0	29	0	31	-33
28	4	3	28	30	0	32	32
29	4	3.5	-28	-30	0	31	-32
30	4	4	-28	32	0	30	-32
31	4	4.5	-28	-32	0	29	-32
32	5	1	26	-32	0	28	33
34	5	2	-26	31	0	-28	35
36	5	3	25	32	0	29	-35
37	5	3.5	-25	-32	0	-29	34
37.5	5	3.75	-25	-32	0	-29	33
38	5	4	-25	-32	0	-29	34
39	5	4.5	-25	31	0	-29	-34
40	6	1	26	30	28	0	35
41	6	1.5	-26	29	-28	0	-35
42	6	2	-26	30	-28	33	-35
44	6	3	24	-30	26	-33	0
46	6	4	-24	29	-26	31	0
48	7	1	23	-29	25	32	37
50	7	2	-23	28	-25	30	-37
52	7	3	22	29	26	31	33
53	7	3.5	-22	-29	-26	32	-33
54	7	4	-22	-29	-26	33	36
56	8	1	-22	-29	27	-33	-36
58	8	2	-22	-29	-27	32	36
60	8	3	-22	-29	26	-32	36
61	8	3.5	-22	-29	-26	31	-36
61.5	8	3.75	-22	-29	-26	30	-36
62	8	4	-22	-29	-26	31	-36
64	9	1	25	29	25	32	34
*-	*-	*-	*-	*-	*-	*-	*-
