**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	78	1	0	0	32	0	0
8	79	1	0	0	31	0	0
12	79	3	28	0	32	0	0
16	80	1	-28	0	30	0	0
20	80	3	27	32	29	0	0
24	81	1	28	-32	30	35	0
28	81	3	26	31	28	-35	0
32	82	1	25	32	29	34	39
36	82	3	0	30	28	35	-39
40	83	1	0	29	0	33	38
42	83	2	0	-29	29	-33	-38
44	83	3	28	0	30	32	39
48	84	1	28	32	-30	0	37
50	84	2	-28	-32	28	0	-37
52	84	3	27	-32	29	0	36
55	84	4.5	26	-32	28	0	-36
56	85	1	27	32	29	0	0
58	85	2	28	-32	30	35	0
60	85	3	26	31	28	35	0
64	86	1	25	32	29	34	0
66	86	2	-25	-32	-29	-34	39
67	86	2.5	-25	31	-29	33	-39
68	86	3	0	30	0	34	39
69	86	3.5	0	29	0	-34	-39
70	86	4	0	28	0	35	-39
72	87	1	0	29	0	33	38
75	87	2.5	0	28	0	-33	37
76	87	3	0	29	0	-33	38
78	87	4	0	30	32	32	39
80	88	1	0	28	32	35	37
84	88	3	0	29	31	33	36
86	88	4	22	-29	-31	-33	-36
87	88	4.5	-22	-29	30	-33	35
87.5	88	4.75	-22	-29	-30	-33	34
88	89	1	29	-29	31	-33	33
90	89	2	25	-29	32	34	36
92	89	3	26	0	30	33	-36
94	89	4	-26	33	-30	-33	35
95	89	4.5	-26	-33	-30	32	-35
96	90	1	22	-33	29	31	36
98	90	2	-22	32	-29	34	-36
100	90	3	29	-32	0	33	-36
102	90	4	-29	31	33	-33	-36
104	91	1	28	30	-33	0	0
106	91	2	27	29	32	0	0
108	91	3	28	30	-32	0	0
110	91	4	26	28	31	35	0
112	92	1	25	29	32	-35	0
114	92	2	-25	-29	32	34	36
116	92	3	0	0	31	33	-36
118	92	4	0	0	30	32	35
120	93	1	0	0	31	33	-35
122	93	2	25	0	29	32	34
123	93	2.5	-25	0	-29	31	-34
124	93	3	26	0	28	30	35
125	93	3.5	-26	0	29	-30	-35
126	93	4	-26	28	30	-30	33
127	93	4.5	-26	-28	31	-30	-33
128	94	1	25	29	32	0	34
131	94	2.5	-25	-29	31	0	-34
132	94	3	26	28	30	0	35
133	94	3.5	-26	-28	29	0	-35
134	94	4	-26	-28	28	0	-35
136	95	1	27	29	25	0	0
140	95	3	28	30	0	32	0
143	95	4.5	-28	29	0	-32	0
143.5	95	4.75	-28	30	0	-32	0
144	96	1	26	31	0	33	35
146	96	2	28	30	0	-33	-35
148	96	3	-28	29	0	32	36
150	96	4	27	32	0	-32	-36
152	97	1	26	-32	0	33	35
153	97	1.5	-26	31	0	-33	-35
154	97	2	-26	31	0	-33	-35
155	97	2.5	-26	30	0	-33	-35
156	97	3	25	32	0	34	36
160	98	1	28	32	0	35	37
163	98	2.5	27	-32	0	-35	-37
164	98	3	26	0	28	-35	38
166	98	4	-26	0	-28	34	-38
167	98	4.5	-26	0	-28	33	-38
168	99	1	25	0	29	34	39
170	99	2	-25	25	-29	-34	-39
172	99	3	0	26	28	33	38
174	99	4	0	-26	-28	-33	37
176	100	1	0	27	29	31	-37
177	100	1.5	0	-27	-29	-31	36
178	100	2	0	-27	-29	32	36
180	100	3	0	26	30	33	-36
182	100	4	0	-26	-30	-33	35
184	101	1	22	29	31	-33	36
186	101	2	-22	-29	-31	33	36
188	101	3	25	29	32	34	-36
190	101	4	-25	-29	-32	-34	36
192	102	1	23	0	-32	32	37
194	102	2	22	29	31	33	38
196	102	3	21	30	30	35	39
198	102	4	-21	32	-30	-35	37
200	103	1	22	31	29	33	38
201	103	1.5	-22	-31	-29	-33	36
202	103	2	-22	29	-29	-33	38
204	103	3	26	30	28	-33	-38
205	103	3.5	-26	-30	-28	-33	37
206	103	4	-26	-30	-28	-33	37
207	103	4.5	25	-30	-28	-33	-37
208	104	1	24	31	29	33	-37
209	104	1.5	-24	-31	-29	-33	36
210	104	2	22	-31	-29	-33	36
211	104	2.5	-22	32	-29	-33	-36
212	104	3	26	33	30	-33	-36
214	104	4	-26	30	-30	-33	35
216	105	1	22	31	29	33	36
*-	*-	*-	*-	*-	*-	*-	*-
