**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	22	29	31	33
6	1	4	22	29	31	33
8	2	1	24	28	31	33
12	2	3	25	27	29	32
16	3	1	22	26	29	31
18	3	2	24	-26	28	33
20	3	3	24	22	29	33
22	3	4	23	29	-29	32
23	3	4.5	22	-29	-29	31
24	4	1	23	-29	25	32
26	4	2	23	28	-25	32
28	4	3	22	29	26	31
30	4	4	-22	26	31	33
34	5	2	-22	26	31	33
36	5	3	0	28	30	32
38	5	4	0	-28	32	-32
40	6	1	0	29	-32	34
42	6	2	0	-29	31	33
44	6	3	0	26	-31	-33
45	6	3.5	0	27	-31	-33
46	6	4	0	28	30	32
47	6	4.5	0	-28	29	31
48	7	1	0	-28	30	32
50	7	2	0	27	31	33
51	7	2.5	0	26	-31	-33
52	7	3	0	27	-31	29
53	7	3.5	0	-27	30	30
54	7	4	0	-27	29	31
55	7	4.5	0	-27	-29	29
56	8	1	0	26	-29	30
58	8	2	0	-26	28	-30
60	8	3	25	27	29	0
62	8	4	-25	-27	27	29
64	9	1	24	26	28	31
68	9	3	23	25	28	32
72	10	1	22	26	29	31
74	10	2	22	29	31	33
78	10	4	22	29	31	33
80	11	1	24	28	31	33
82	11	2	24	-28	-31	-33
84	11	3	25	27	29	32
86	11	4	-25	27	29	32
88	12	1	22	26	29	31
90	12	2	-22	27	-29	36
92	12	3	0	-27	31	-36
94	12	4	0	27	29	36
96	13	1	0	26	30	35
100	13	3	0	25	32	34
104	14	1	0	29	31	33
106	14	2	22	-29	24	31
108	14	3	22	-29	26	31
110	14	4	22	-29	27	31
112	15	1	21	25	28	30
114	15	2	-21	-25	25	-30
115	15	2.5	-21	-25	26	-30
116	15	3	20	25	27	29
117	15	3.5	-20	-25	28	-29
118	15	4	-20	25	29	-29
119	15	4.5	-20	-25	27	-29
120	16	1	19	24	28	33
122	16	2	-19	-24	29	-33
124	16	3	-19	23	-29	-33
126	16	4	-19	-23	28	-33
128	17	1	0	22	29	0
130	17	2	22	26	-29	31
134	17	4	22	26	29	31
136	18	1	22	26	-29	31
137	18	1.5	-22	-26	29	-31
138	18	2	-22	-26	29	-31
140	18	3	18	27	29	32
146	19	2	22	26	29	31
148	19	3	22	26	29	31
150	19	4	-22	29	31	-31
151	19	4.5	23	-29	-31	32
152	20	1	24	-29	-31	33
153	20	1.5	-24	28	30	-33
154	20	2	25	27	29	34
156	20	3	23	-27	-29	32
158	20	4	-23	26	28	-32
159	20	4.5	-23	25	-28	-32
