**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	21	1	0	23	0	27	30
4	21	3	0	24	0	26	29
6	21	4	0	25	0	27	-29
8	22	1	0	21	0	28	30
10	22	2	0	23	0	25	-30
12	22	3	0	22	0	26	31
14	22	4	0	-22	26	29	-31
16	23	1	0	0	27	-29	32
17	23	1.5	0	0	-27	28	-32
17.5	23	1.75	0	0	-27	29	-32
18	23	2	0	0	28	30	-32
20	23	3	0	26	24	28	31
22	23	4	0	-26	26	-28	-31
24	24	1	23	27	-26	0	30
25	24	1.5	-23	-27	25	0	-30
26	24	2	-23	28	25	0	-30
28	24	3	24	-28	26	0	29
30	24	4	25	27	27	0	-29
32	25	1	21	26	28	0	28
33	25	1.5	-21	25	27	0	-28
34	25	2	23	25	26	0	-28
35	25	2.5	-23	-25	25	0	-28
36	25	3	22	-25	26	0	29
38	25	4	-22	24	29	26	-29
40	26	1	25	25	-29	27	-29
41	26	1.5	-25	-25	28	-27	-29
42	26	2	-25	-25	27	29	-29
44	26	3	0	0	26	-29	30
45	26	3.5	0	0	-26	28	-30
46	26	4	0	26	-26	28	-30
48	27	1	0	27	0	29	32
50	27	2	23	28	0	30	-32
51	27	2.5	-23	-28	0	-30	31
52	27	3	-23	27	0	-30	32
54	27	4	24	26	26	29	33
55	27	4.5	-24	-26	-26	28	-33
56	28	1	-24	28	26	31	-33
58	28	2	25	27	27	29	32
59	28	2.5	-25	26	-27	-29	-32
60	28	3	21	25	28	30	-32
61	28	3.5	-21	-25	-28	-30	31
62	28	4	-21	26	-28	-30	30
64	29	1	22	24	26	33	-30
66	29	2	-22	-24	-26	-33	29
67	29	2.5	-22	-24	-26	-33	28
68	29	3	-22	-24	-26	0	29
70	29	4	-22	-24	-26	26	-29
72	30	1	19	23	28	26	30
74	30	2	-19	-23	-28	26	-30
75	30	2.5	-19	-23	27	-26	-30
76	30	3	-19	-23	26	28	-30
78	30	4	-19	-23	-26	28	-30
80	31	1	23	-23	25	27	-30
*-	*-	*-	*-	*-	*-	*-	*-
