**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	28	1	0	0	0	0	34
2	28	2	0	0	0	30	-34
4	28	3	0	0	0	-30	35
5	28	3.5	0	0	0	28	-35
6	28	4	0	26	0	28	-35
8	29	1	0	-26	0	31	33
9	29	1.5	0	24	0	-31	-33
10	29	2	0	24	0	-31	-33
12	29	3	0	28	0	30	32
15	29	4.5	0	27	0	29	-32
16	30	1	0	28	0	30	33
18	30	2	0	29	0	31	-33
20	30	3	0	25	0	32	34
22	30	4	0	-25	0	31	-34
23	30	4.5	0	-25	0	30	-34
24	31	1	0	-25	0	29	34
26	31	2	0	-25	0	32	-34
28	31	3	0	29	0	-32	0
30	31	4	0	-29	0	31	0
32	32	1	0	28	0	30	0
34	32	2	0	29	0	31	0
36	32	3	0	-29	0	-31	36
38	32	4	0	28	0	30	-36
39	32	4.5	0	27	0	29	-36
40	33	1	0	26	0	30	35
42	33	2	0	27	0	29	36
44	33	3	0	-27	0	25	-36
46	33	4	0	26	0	32	35
47	33	4.5	0	25	0	-32	34
48	34	1	0	26	0	-32	35
50	34	2	0	-26	0	31	-35
52	34	3	0	25	29	32	34
54	34	4	25	-25	-29	-32	-34
55	34	4.5	-25	-25	28	-32	-34
56	35	1	-25	29	27	0	0
58	35	2	24	-29	26	0	0
60	35	3	23	28	25	0	0
62	35	4	22	27	24	0	0
64	36	1	21	26	23	0	0
66	36	2	20	25	22	29	0
68	36	3	19	26	23	-29	0
70	36	4	-19	-26	-23	28	0
72	37	1	22	26	24	29	0
73	37	1.5	-22	-26	-24	30	0
74	37	2	-22	-26	-24	31	0
75	37	2.5	-22	-26	-24	29	0
76	37	3	21	28	25	30	0
78	37	4	-21	-28	-25	-30	35
80	38	1	18	29	0	32	-35
82	38	2	-18	-29	25	25	34
84	38	3	0	30	23	-25	35
86	38	4	0	-30	21	28	-35
88	39	1	0	29	25	-28	36
90	39	2	25	-29	-25	27	32
92	39	3	23	28	21	30	-32
94	39	4	21	-28	-21	-30	35
95	39	4.5	-21	-28	-21	31	-35
96	40	1	25	29	0	32	-35
98	40	2	-25	-29	0	-32	34
99	40	2.5	-25	-29	0	-32	33
100	40	3	18	29	25	-32	34
104	41	1	0	30	23	0	-34
106	41	2	0	-30	21	32	35
108	41	3	0	29	22	-32	33
109	41	3.5	0	-29	-22	31	-33
109.5	41	3.75	0	-29	-22	30	-33
110	41	4	22	-29	-22	31	-33
112	42	1	20	-29	0	32	0
114	42	2	18	-29	25	-32	34
116	42	3	21	28	23	-32	35
117	42	3.5	-21	-28	-23	-32	34
118	42	4	-21	-28	-23	30	33
119	42	4.5	22	-28	-23	-30	-33
120	43	1	23	27	-23	30	-33
122	43	2	-23	-27	23	-30	32
124	43	3	19	26	23	-30	35
125	43	3.5	-19	-26	24	-30	-35
125.5	43	3.75	-19	-26	25	-30	-35
126	43	4	-19	-26	26	-30	-35
128	44	1	23	27	-26	-30	34
130	44	2	-23	-27	25	-30	-34
131	44	2.5	-23	-27	24	-30	-34
132	44	3	-23	-27	25	-30	-34
136	45	1	-23	-27	25	30	-34
*-	*-	*-	*-	*-	*-	*-	*-
