**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	31	0
3	1	2.5	0	0	0	31	0
4	1	3	0	0	0	33	0
6	1	4	0	0	0	33	31
8	2	1	0	0	0	35	-31
9	2	1.5	0	0	0	-35	31
10	2	2	0	0	0	-35	33
11	2	2.5	0	0	0	34	-33
12	2	3	0	24	0	33	33
13	2	3.5	0	-24	0	32	-33
14	2	4	0	-24	0	31	35
15	2	4.5	0	24	0	-31	-35
16	3	1	0	26	0	-31	-35
17	3	1.5	0	-26	0	-31	34
18	3	2	0	26	0	30	33
19	3	2.5	0	-26	0	-30	32
20	3	3	0	27	0	29	31
22	3	4	0	28	0	28	30
23	3	4.5	0	-28	0	35	-30
24	4	1	0	24	0	-35	29
25	4	1.5	0	-24	0	34	-29
25.5	4	1.75	0	-24	0	33	-29
26	4	2	0	25	0	34	29
28	4	3	24	26	0	35	28
30	4	4	-24	-26	0	-35	31
31	4	4.5	24	27	0	-35	-31
32	5	1	26	28	24	-35	-31
33	5	1.5	-26	-28	-24	-35	31
34	5	2	26	-28	-24	-35	33
35	5	2.5	-26	-28	24	-35	-33
36	5	3	28	0	26	-35	33
38	5	4	-28	24	26	-35	35
39	5	4.5	27	-24	-26	-35	-35
40	6	1	26	24	28	0	-35
41	6	1.5	25	-24	-28	0	34
42	6	2	24	26	-28	0	33
43	6	2.5	23	-26	29	0	32
43.5	6	2.75	-23	-26	30	0	-32
44	6	3	22	26	31	0	33
45	6	3.5	-22	-26	-31	0	31
46	6	4	21	28	30	0	32
48	7	1	25	-28	29	0	-32
49	7	1.5	-25	27	-29	0	31
49.5	7	1.75	-25	26	-29	0	-31
50	7	2	-25	27	-29	32	29
52	7	3	21	28	28	32	30
54	7	4	-21	28	30	32	-30
56	8	1	0	28	30	33	0
58	8	2	0	28	30	-33	33
60	8	3	0	29	31	0	33
62	8	4	0	-29	-31	0	33
64	9	1	0	-29	-31	0	34
66	9	2	0	27	29	0	-34
67	9	2.5	0	-27	-29	0	33
68	9	3	0	28	30	0	32
70	9	4	0	28	30	32	35
72	10	1	0	-28	-30	-32	35
74	10	2	0	27	29	32	36
76	10	3	0	26	30	33	-36
77	10	3.5	0	-26	-30	-33	35
78	10	4	0	-26	29	31	35
79	10	4.5	0	-26	28	-31	-35
80	11	1	0	25	29	32	-35
81	11	1.5	0	-25	-29	-32	34
81.5	11	1.75	0	-25	-29	-32	33
82	11	2	0	-25	-29	-32	34
84	11	3	0	26	28	30	35
86	11	4	26	-26	-28	35	-35
87	11	4.5	-26	25	-28	-35	34
88	12	1	-26	24	0	-35	33
90	12	2	26	-24	31	35	-33
92	12	3	26	-24	-31	35	0
94	12	4	26	-24	31	35	0
96	13	1	27	0	31	36	0
98	13	2	-27	0	31	-36	0
100	13	3	-27	0	32	-36	0
102	13	4	25	0	-32	34	0
104	14	1	26	0	30	35	33
105	14	1.5	25	0	-30	34	-33
106	14	2	24	0	31	33	-33
107	14	2.5	23	0	-31	32	-33
108	14	3	22	0	-31	31	33
110	14	4	21	0	30	32	35
112	15	1	25	0	29	32	34
114	15	2	26	0	28	31	33
116	15	3	25	0	29	32	34
117	15	3.5	-25	0	-29	-32	33
118	15	4	-25	0	-29	-32	32
119	15	4.5	-25	0	-29	-32	31
120	16	1	21	0	28	-32	30
122	16	2	-21	28	-28	-32	-30
124	16	3	24	-28	0	31	33
125	16	3.5	-24	27	0	32	-33
126	16	4	-24	26	31	33	-33
127	16	4.5	-24	25	-31	34	-33
128	17	1	-24	24	-31	35	-33
130	17	2	21	25	30	35	32
132	17	3	21	25	30	35	32
136	18	1	20	0	31	36	34
138	18	2	-20	29	-31	-36	-34
140	18	3	-20	29	31	-36	-34
142	18	4	20	29	31	36	34
144	19	1	22	-29	31	36	33
145	19	1.5	-22	28	30	-36	-33
146	19	2	25	27	29	-36	32
147	19	2.5	-25	-27	28	-36	-32
148	19	3	22	26	29	36	-32
150	19	4	-22	-26	-29	-36	31
152	20	1	0	25	29	34	32
154	20	2	25	-25	-29	34	-32
158	20	4	25	29	-29	34	-32
160	21	1	24	-29	0	33	0
162	21	2	-24	29	0	-33	0
163	21	2.5	22	-29	0	31	0
164	21	3	23	28	0	32	0
166	21	4	24	-28	0	33	0
167	21	4.5	-24	26	0	-33	0
168	22	1	25	27	0	32	0
170	22	2	23	28	32	-32	0
171	22	2.5	-23	-28	-32	33	0
172	22	3	22	29	-32	34	0
174	22	4	-22	-29	31	33	36
176	23	1	0	27	31	29	-36
177	23	1.5	0	-27	-31	30	-36
178	23	2	0	-27	-31	31	36
179	23	2.5	0	-27	29	32	-36
180	23	3	0	26	30	33	35
182	23	4	0	-26	31	-33	-35
183	23	4.5	0	-26	-31	-33	33
184	24	1	0	0	32	0	34
186	24	2	0	0	30	32	35
188	24	3	0	0	29	31	36
190	24	4	0	0	-29	32	34
192	25	1	0	0	-29	-32	33
194	25	2	0	29	-29	31	-33
195	25	2.5	0	-29	-29	30	-33
196	25	3	0	-29	0	31	0
197	25	3.5	0	29	0	-31	0
198	25	4	25	29	0	32	34
200	26	1	-25	27	0	36	-34
201	26	1.5	25	-27	0	-36	34
202	26	2	25	25	29	-36	34
204	26	3	24	26	-29	0	33
205	26	3.5	-24	25	29	0	-33
205.5	26	3.75	-24	26	-29	0	-33
206	26	4	22	27	29	0	31
208	27	1	23	-27	28	0	32
210	27	2	24	26	28	0	33
212	27	3	20	29	27	0	34
214	27	4	-20	-29	31	36	-34
215	27	4.5	-20	28	-31	-36	-34
216	28	1	-20	27	31	-36	-34
217	28	1.5	-20	-27	-31	36	-34
218	28	2	-20	-27	-31	36	-34
220	28	3	24	28	-31	35	33
222	28	4	-24	29	-31	33	-33
224	29	1	0	-29	31	34	0
226	29	2	0	26	-31	35	0
228	29	3	0	27	-31	36	0
230	29	4	0	-27	-31	-36	34
231	29	4.5	0	-27	-31	35	-34
231.5	29	4.75	0	-27	-31	34	-34
232	30	1	0	24	-31	35	-34
234	30	2	0	-24	-31	-35	33
236	30	3	27	0	-31	36	34
238	30	4	-27	29	-31	-36	-34
240	31	1	-27	-29	0	0	31
242	31	2	26	28	0	0	-31
244	31	3	27	29	0	0	-31
248	32	1	26	28	0	0	0
250	32	2	25	27	29	0	0
252	32	3	24	26	-29	0	0
254	32	4	23	25	28	0	32
256	33	1	22	26	29	0	-32
258	33	2	-22	-26	-29	33	31
260	33	3	0	0	28	-33	30
262	33	4	0	29	27	32	29
264	34	1	0	-29	26	33	30
266	34	2	0	28	-26	-33	-30
268	34	3	0	29	27	32	29
269	34	3.5	0	-29	-27	-32	30
270	34	4	0	-29	-27	31	31
271	34	4.5	0	-29	-27	-31	32
272	35	1	0	28	28	30	33
273	35	1.5	0	-28	-28	-30	32
274	35	2	0	27	29	29	32
275	35	2.5	0	-27	-29	-29	31
275.5	35	2.75	0	-27	-29	-29	32
276	35	3	0	26	28	30	33
277	35	3.5	0	-26	26	31	-33
278	35	4	0	25	29	32	34
279	35	4.5	0	-25	-29	31	-34
280	36	1	0	26	-29	30	33
281	36	1.5	0	-26	-29	29	-33
282	36	2	0	-26	28	30	-33
284	36	3	0	0	29	31	0
286	36	4	22	29	-29	-31	33
289	37	1.5	22	29	0	-31	33
290	37	2	22	29	29	-31	33
292	37	3	25	27	-29	0	34
293	37	3.5	-25	-27	29	0	-34
294	37	4	-25	-27	29	0	-34
296	38	1	24	28	31	0	33
298	38	2	-24	-28	31	33	-33
300	38	3	26	-28	30	-33	0
301	38	3.5	-26	-28	-30	33	0
302	38	4	-26	-28	28	33	0
303	38	4.5	26	-28	-28	-33	0
304	39	1	25	27	29	34	0
306	39	2	25	-27	30	-34	0
307	39	2.5	-25	27	-30	-34	0
308	39	3	24	28	31	33	35
310	39	4	-24	24	31	-33	-35
311	39	4.5	-24	-24	-31	-33	35
