**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	127	1	0	0	0	29	0
4	127	3	22	0	0	31	0
8	128	1	24	0	26	-31	0
11	128	2.5	25	0	-26	-31	0
12	128	3	26	0	28	30	33
16	129	1	22	0	29	31	-33
18	129	2	22	0	-29	-31	-33
20	129	3	26	0	30	33	35
23	129	4.5	25	0	-30	-33	-35
24	130	1	24	22	31	-33	36
25	130	1.5	23	-22	-31	-33	-36
26	130	2	22	-22	-31	33	-36
27	130	2.5	21	-22	-31	-33	-36
28	130	3	22	24	-31	33	36
30	130	4	22	-24	-31	-33	-36
31	130	4.5	-22	25	-31	-33	-36
32	131	1	19	26	30	-33	35
34	131	2	-19	-26	-30	30	-35
36	131	3	22	26	29	31	36
38	131	4	-22	22	-29	-31	-36
39	131	4.5	-22	-22	-29	30	-36
40	132	1	-22	29	0	31	-36
41	132	1.5	-22	-29	0	32	-36
42	132	2	-22	-29	26	33	36
43	132	2.5	-22	28	-26	-33	-36
44	132	3	0	27	29	-33	36
46	132	4	0	-27	-29	32	-36
47	132	4.5	0	-27	-29	31	-36
48	133	1	0	-27	-29	32	36
50	133	2	0	27	29	32	-36
52	133	3	0	26	30	33	35
54	133	4	0	-26	-30	30	-35
55	133	4.5	0	27	-30	-30	34
56	134	1	0	28	0	-30	33
58	134	2	0	29	0	31	-33
60	134	3	0	27	0	32	34
61	134	3.5	0	-27	0	31	-34
62	134	4	0	-27	0	31	-34
64	135	1	0	28	0	-31	32
65	135	1.5	0	-28	0	30	-32
66	135	2	0	-28	0	30	-32
68	135	3	0	29	0	-30	31
69	135	3.5	0	-29	0	29	-31
70	135	4	0	-29	0	29	-31
72	136	1	0	26	0	-29	30
73	136	1.5	0	-26	0	28	-30
74	136	2	0	-26	0	28	-30
76	136	3	22	24	29	26	31
79	136	4.5	23	25	-29	-26	-31
80	137	1	24	26	28	-26	-31
81	137	1.5	-24	27	-28	-26	-31
82	137	2	-24	28	-28	-26	-31
83	137	2.5	-24	-28	27	-26	-31
84	137	3	-24	-28	26	0	-31
86	137	4	-24	24	-26	31	-31
88	138	1	20	-24	27	31	29
89	138	1.5	-20	22	-27	-31	-29
90	138	2	-20	29	-27	31	-29
92	138	3	21	28	26	-31	0
94	138	4	-21	-28	-26	30	0
95	138	4.5	-21	27	-26	-30	0
96	139	1	22	26	24	-30	33
97	139	1.5	-22	-26	-24	29	-33
98	139	2	-22	-26	-24	29	-33
100	139	3	19	26	23	-29	-33
102	139	4	-19	-26	-23	28	33
104	140	1	22	-26	24	29	31
105	140	1.5	-22	-26	-24	-29	30
106	140	2	20	27	-24	-29	29
107	140	2.5	-20	-27	-24	-29	30
108	140	3	-20	-27	-24	-29	31
109	140	3.5	-20	-27	-24	-29	32
110	140	4	17	26	-24	-29	33
111	140	4.5	-17	-26	-24	-29	32
111.5	140	4.75	-17	-26	-24	-29	33
112	141	1	18	25	22	-29	34
115	141	2.5	-18	26	-22	-29	33
116	141	3	-18	27	-22	-29	32
120	142	1	22	26	-22	29	31
*-	*-	*-	*-	*-	*-	*-	*-
