**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0
4	1	3	0	24	-28	0
6	1	4	0	-24	28	0
8	2	1	0	-24	28	0
10	2	2	0	24	-28	0
12	2	3	0	24	29	0
16	3	1	0	25	30	0
20	3	3	0	26	31	0
23	3	4.5	0	-26	30	0
24	4	1	0	27	29	31
25	4	1.5	0	-27	28	-31
26	4	2	0	-27	29	-31
30	4	4	0	26	28	31
31	4	4.5	0	25	27	-31
32	5	1	0	26	28	31
34	5	2	0	27	29	-31
36	5	3	0	-27	-29	32
38	5	4	0	28	30	-32
40	6	1	0	26	-30	33
41	6	1.5	0	-26	28	-33
42	6	2	0	-26	31	-33
43	6	2.5	0	25	-31	-33
43.5	6	2.75	0	24	-31	-33
44	6	3	0	25	-31	34
46	6	4	0	-25	30	-34
48	7	1	0	24	31	33
50	7	2	24	-24	-31	-33
52	7	3	-24	0	28	32
54	7	4	23	28	-28	-32
56	8	1	24	-28	0	33
58	8	2	-24	26	0	-33
59	8	2.5	23	-26	0	-33
60	8	3	22	27	0	0
62	8	4	21	26	0	0
64	9	1	20	-26	0	0
65	9	1.5	-20	25	0	0
65.5	9	1.75	-20	24	0	0
66	9	2	-20	25	29	0
68	9	3	19	26	-29	0
70	9	4	-19	-26	28	33
71	9	4.5	-19	25	-28	-33
72	10	1	0	24	29	-33
73	10	1.5	0	23	-29	-33
74	10	2	0	22	-29	31
75	10	2.5	0	-22	28	-31
76	10	3	0	23	27	32
78	10	4	0	24	26	31
80	11	1	0	21	25	-31
81	11	1.5	0	-21	-25	30
81.5	11	1.75	0	-21	-25	29
82	11	2	0	-21	-25	30
84	11	3	0	0	24	31
86	11	4	24	26	-24	-31
88	12	1	24	26	0	28
90	12	2	23	25	0	-28
92	12	3	24	26	0	0
94	12	4	-24	-26	31	33
95	12	4.5	-24	27	-31	-33
96	13	1	0	28	-31	-33
98	13	2	0	-28	30	32
100	13	3	0	24	31	33
103	13	4.5	0	-24	30	32
104	14	1	0	0	29	31
106	14	2	0	0	28	32
108	14	3	0	0	27	-32
109	14	3.5	0	0	-27	31
110	14	4	0	28	28	30
112	15	1	0	-28	25	29
114	15	2	0	27	-25	-29
116	15	3	0	28	26	28
118	15	4	24	-28	-26	-28
119	15	4.5	-24	27	27	-28
120	16	1	-24	26	28	0
122	16	2	23	25	-28	0
124	16	3	24	26	-28	0
126	16	4	-24	24	-28	0
127	16	4.5	23	25	-28	0
128	17	1	22	26	0	0
129	17	1.5	-22	27	0	0
130	17	2	21	28	0	0
132	17	3	22	27	0	0
134	17	4	-22	26	31	33
136	18	1	21	28	-31	-33
138	18	2	-21	-28	30	32
140	18	3	0	24	31	33
143	18	4.5	0	-24	30	32
144	19	1	0	0	29	31
146	19	2	0	0	28	32
148	19	3	0	0	27	-32
149	19	3.5	0	0	-27	31
150	19	4	0	28	28	30
152	20	1	0	-28	25	29
154	20	2	0	27	-25	-29
156	20	3	0	28	26	28
158	20	4	24	-28	-26	-28
159	20	4.5	-24	27	27	-28
160	21	1	-24	26	28	0
162	21	2	23	25	-28	0
164	21	3	24	26	0	0
166	21	4	-24	-26	31	0
167	21	4.5	23	25	-31	0
168	22	1	22	26	31	0
169	22	1.5	-22	27	-31	0
