**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	116	1	21	28	30	0
2	116	2	-21	-28	0	32
4	116	3	-21	-28	28	-32
5	116	3.5	-21	-28	-28	31
6	117	1	0	0	-28	32
7	117	1.5	0	0	27	-32
8	117	2	0	0	28	33
10	117	3	0	0	29	31
12	118	1	0	25	27	32
14	118	2	21	-25	28	-32
15	118	2.5	-21	24	-28	-32
16	118	3	-21	25	-28	-32
17	118	3.5	20	-25	-28	-32
18	119	1	21	26	0	0
20	119	2	22	24	0	0
22	119	3	20	25	0	0
24	120	1	21	-25	0	32
25	120	1.5	-21	24	0	-32
26	120	2	-21	23	28	-32
27	120	2.5	-21	22	-28	31
28	120	3	-21	23	-28	32
29	120	3.5	-21	-23	27	-32
30	121	1	24	0	28	33
32	121	2	22	0	29	31
34	121	3	25	0	27	32
36	122	1	21	0	28	30
38	122	2	22	0	26	31
40	122	3	25	0	27	32
42	123	1	21	25	28	-32
43	123	1.5	-21	-25	-28	31
44	123	2	-21	-25	-28	30
45	123	2.5	-21	24	-28	-30
46	123	3	0	25	27	29
48	124	1	0	26	28	28
50	124	2	0	24	-28	29
51	124	2.5	0	-24	26	-29
52	124	3	0	25	27	-29
54	125	1	21	23	28	30
56	125	2	-21	-23	-28	32
57	125	2.5	20	22	-28	-32
58	125	3	21	23	-28	-32
60	126	1	22	24	0	31
62	126	2	20	25	0	-31
64	126	3	21	-25	0	30
66	127	1	19	24	28	31
68	127	2	17	26	-28	-31
69	127	2.5	-17	-26	27	-31
70	127	3	19	-26	28	-31
71	127	3.5	-19	25	-28	-31
72	128	1	20	24	29	0
74	128	2	18	-24	27	0
75	128	2.5	-18	23	-27	0
75.5	128	2.75	-18	22	-27	0
76	128	3	21	23	28	32
78	129	1	17	24	-28	33
79	129	1.5	-17	-24	27	-33
80	129	2	-17	-24	26	35
81	129	2.5	-17	25	25	-35
82	129	3	24	26	24	-35
83	129	3.5	-24	27	-24	34
84	130	1	-24	28	26	33
85	130	1.5	23	-28	-26	32
86	130	2	22	29	26	31
87	130	2.5	21	-29	-26	30
88	130	3	20	-29	27	29
89	130	3.5	19	28	-27	-29
90	131	1	18	27	-27	-29
91	131	1.5	-18	26	28	-29
92	131	2	-18	27	29	32
94	131	3	22	-27	-29	-32
95	131	3.5	-22	26	-29	31
96	132	1	-22	24	27	31
98	132	2	21	25	28	-31
100	132	3	-21	-25	-28	30
102	133	1	17	24	26	31
*-	*-	*-	*-	*-	*-	*-
