**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0	0	0
4	1	3	25	0	29	0	0	0
6	1	4	27	0	-29	0	0	0
8	2	1	-27	25	29	0	0	0
10	2	2	25	-25	27	0	0	0
12	2	3	27	25	-27	0	0	0
14	2	4	-27	27	25	0	0	0
15	2	4.5	28	-27	-25	0	0	0
16	3	1	29	-27	27	0	0	0
18	3	2	-29	25	-27	0	0	0
19	3	2.5	-29	-25	28	0	0	0
20	3	3	25	27	29	0	0	0
23	3	4.5	-25	28	-29	0	0	0
24	4	1	25	29	27	0	0	0
26	4	2	25	29	-27	0	0	0
28	4	3	21	30	28	0	32	0
32	5	1	0	-30	-28	0	32	32
34	5	2	0	29	25	0	34	-32
36	5	3	0	29	25	32	-34	32
38	5	4	0	-29	-25	-32	32	34
39	5	4.5	0	28	-25	-32	-32	-34
40	6	1	0	29	-25	32	34	-34
41	6	1.5	0	28	-25	-32	-34	-34
42	6	2	0	27	-25	34	-34	32
43	6	2.5	0	26	-25	-34	35	-32
44	6	3	0	25	0	-34	36	34
46	6	4	0	-25	0	32	-36	-34
47	6	4.5	0	-25	0	-32	-36	35
48	7	1	0	0	32	34	-36	36
50	7	2	0	0	-32	-34	32	36
51	7	2.5	0	0	-32	33	-32	-36
52	7	3	0	0	30	32	34	37
54	7	4	0	0	28	32	35	37
56	8	1	0	0	29	31	33	36
58	8	2	0	0	29	31	33	36
60	8	3	0	0	-29	31	-33	36
62	8	4	0	0	29	33	31	38
64	9	1	0	0	28	-33	35	-38
66	9	2	0	0	28	32	35	37
68	9	3	0	0	29	-32	33	36
70	9	4	0	0	-29	31	-33	-36
72	10	1	25	0	29	32	34	36
74	10	2	-25	29	-29	32	34	-36
76	10	3	28	30	0	32	35	0
78	10	4	24	31	0	33	35	0
80	11	1	25	29	0	32	34	0
83	11	2.5	24	-29	0	-32	33	0
83.5	11	2.75	23	-29	0	-32	32	0
84	11	3	22	-29	0	31	33	36
86	11	4	-22	-29	29	-31	33	-36
88	12	1	0	0	29	31	33	36
90	12	2	0	0	29	31	33	36
92	12	3	0	0	32	32	34	36
94	12	4	0	0	28	32	35	37
96	13	1	0	0	29	31	33	36
98	13	2	22	29	31	33	-33	-36
102	13	4	22	29	31	33	0	-36
104	14	1	25	29	32	34	0	0
