**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	28
6	1	4	0	0	0	28
8	2	1	0	0	0	28
10	2	2	0	0	0	28
12	2	3	0	0	0	29
16	3	1	0	24	0	28
22	3	4	0	24	0	0
24	4	1	0	24	0	31
26	4	2	0	24	0	-31
28	4	3	0	25	0	-31
30	4	4	0	-25	0	30
32	5	1	0	24	0	29
34	5	2	0	-24	0	28
36	5	3	0	0	0	27
38	5	4	0	0	0	26
40	6	1	0	27	0	29
44	6	3	0	-27	0	28
46	6	4	0	26	0	-28
47	6	4.5	0	-26	0	29
48	7	1	0	25	0	30
49	7	1.5	0	-25	0	31
50	7	2	0	-25	0	32
51	7	2.5	0	24	0	-32
52	7	3	0	23	0	-32
54	7	4	0	22	0	31
56	8	1	21	25	0	30
58	8	2	-21	24	0	29
59	8	2.5	-21	23	0	28
60	8	3	-21	26	0	30
62	8	4	21	-26	0	31
64	9	1	21	25	28	-31
66	9	2	21	-25	-28	30
68	9	3	22	24	-28	31
70	9	4	-22	-24	27	-31
72	10	1	21	0	26	-31
74	10	2	-21	0	25	30
76	10	3	0	0	24	29
78	10	4	0	0	23	28
80	11	1	24	0	26	-28
81	11	1.5	-24	0	-26	26
82	11	2	-24	0	-26	29
84	11	3	-24	0	25	-29
86	11	4	23	0	-25	28
87	11	4.5	-23	0	26	-28
88	12	1	22	24	27	29
90	12	2	-22	-24	26	-29
91	12	2.5	21	-24	-26	-29
92	12	3	20	-24	29	0
94	12	4	19	24	28	0
96	13	1	22	24	-28	31
98	13	2	-22	24	27	-31
100	13	3	21	25	28	-31
102	13	4	-21	25	-28	30
103	13	4.5	-21	-25	27	-30
104	14	1	0	24	26	29
106	14	2	0	-24	-26	28
108	14	3	0	0	25	27
110	14	4	0	0	24	26
112	15	1	0	27	25	29
114	15	2	0	-27	32	-29
117	15	3.5	0	-27	31	-29
118	15	4	0	26	31	28
120	16	1	27	25	-31	29
122	16	2	-27	-25	30	28
123	16	2.5	-27	-25	-30	27
124	16	3	-27	24	31	28
126	16	4	26	-24	-31	-28
128	17	1	25	23	27	0
130	17	2	24	22	-27	0
132	17	3	23	25	-27	0
134	17	4	22	24	27	0
136	18	1	25	-24	27	0
138	18	2	-25	23	27	0
140	18	3	24	26	28	31
144	19	1	0	25	27	-31
146	19	2	0	-25	-27	30
147	19	2.5	0	24	-27	-30
148	19	3	27	25	0	29
150	19	4	-27	-25	0	28
151	19	4.5	-27	-25	0	27
152	20	1	-27	24	31	28
154	20	2	26	-24	-31	-28
156	20	3	25	27	-31	0
158	20	4	-25	-27	30	0
160	21	1	0	-27	29	31
162	21	2	0	26	28	-31
164	21	3	27	25	29	-31
166	21	4	-27	-25	28	30
167	21	4.5	-27	-25	27	-30
168	22	1	-27	24	31	29
170	22	2	26	-24	-31	28
172	22	3	25	27	30	32
174	22	4	-25	-27	29	32
175	22	4.5	24	26	-29	-32
176	23	1	23	25	28	-32
178	23	2	22	26	29	31
180	23	3	25	27	-29	-31
181	23	3.5	-25	-27	-29	30
181.5	23	3.75	-25	-27	-29	29
182	23	4	-25	-27	28	30
183	23	4.5	-25	-27	27	-30
184	24	1	24	26	28	31
185	24	1.5	-24	-26	-28	28
186	24	2	-24	-26	-28	31
187	24	2.5	23	-26	-28	-31
188	24	3	22	-26	0	-31
190	24	4	21	-26	28	30
192	25	1	20	0	29	31
195	25	2.5	19	0	-29	-31
196	25	3	22	0	31	0
198	25	4	-22	24	-31	0
200	26	1	21	25	-31	28
202	26	2	-21	-25	30	-28
204	26	3	0	27	31	29
208	27	1	0	-27	29	31
210	27	2	0	26	28	-31
212	27	3	0	27	29	0
214	27	4	0	-27	31	0
216	28	1	21	25	-31	0
218	28	2	-21	-25	30	0
220	28	3	22	24	31	0
222	28	4	24	-24	29	0
224	29	1	-24	25	28	0
226	29	2	23	27	25	0
228	29	3	24	-27	26	28
230	29	4	-24	26	28	-28
232	30	1	22	-26	-28	29
233	30	1.5	-22	24	-28	-29
234	30	2	-22	27	27	31
236	30	3	21	25	28	-31
238	30	4	-21	-25	-28	30
240	31	1	22	24	26	31
242	31	2	24	-24	-26	29
244	31	3	-24	0	25	28
246	31	4	23	0	-25	0
247	31	4.5	-23	0	-25	25
248	32	1	24	0	28	26
250	32	2	-24	0	-28	28
252	32	3	22	0	29	-28
254	32	4	-22	0	31	27
256	33	1	21	25	-31	28
258	33	2	-21	-25	30	-28
260	33	3	0	26	31	-28
261	33	3.5	0	-26	30	-28
262	33	4	0	28	30	26
263	33	4.5	0	-28	29	-26
263.5	33	4.75	0	-28	28	-26
264	34	1	0	-28	29	25
266	34	2	25	27	-29	-25
268	34	3	26	28	28	0
270	34	4	28	26	-28	28
272	35	1	-28	25	0	29
274	35	2	27	22	0	31
276	35	3	28	26	0	-31
278	35	4	-28	-26	0	30
279	35	4.5	-28	27	0	-30
280	36	1	26	28	0	31
281	36	1.5	-26	26	0	30
282	36	2	-26	28	0	30
283	36	2.5	-26	-28	0	29
283.5	36	2.75	-26	-28	0	28
284	36	3	25	-28	0	29
285	36	3.5	-25	27	0	-29
285.5	36	3.75	-25	26	0	-29
286	36	4	-25	27	25	-29
288	37	1	21	28	-25	30
290	37	2	-21	-28	25	-30
292	37	3	-21	-28	25	-30
294	37	4	-21	-28	23	-30
296	38	1	0	-28	24	0
298	38	2	21	-28	25	0
300	38	3	-21	-28	26	0
302	38	4	21	-28	25	0
304	39	1	21	0	28	0
306	39	2	19	0	-28	0
308	39	3	20	0	27	0
310	39	4	21	0	26	28
312	40	1	22	0	26	31
314	40	2	-22	0	25	-31
315	40	2.5	-22	0	24	-31
316	40	3	21	0	25	-31
318	40	4	-21	0	-25	30
320	41	1	24	0	26	29
322	41	2	-24	0	-26	28
323	41	2.5	24	0	-26	-28
324	41	3	23	0	25	-28
326	41	4	22	0	24	27
328	42	1	24	0	26	28
330	42	2	-24	0	-26	29
332	42	3	23	0	25	-29
333	42	3.5	-23	0	-25	28
334	42	4	22	0	24	31
336	43	1	21	28	25	-31
338	43	2	-21	-28	-25	30
340	43	3	24	-28	26	31
342	43	4	-24	28	-26	-31
344	44	1	-24	28	-26	0
346	44	2	-24	26	-26	29
348	44	3	23	27	0	32
350	44	4	-23	28	0	32
351	44	4.5	22	-28	0	-32
352	45	1	20	29	0	31
354	45	2	21	28	0	30
356	45	3	-21	31	0	29
358	45	4	20	31	0	-29
360	46	1	21	30	0	28
362	46	2	-21	-30	25	-28
363	46	2.5	-21	-30	-25	27
364	46	3	-21	-30	28	25
366	46	4	-21	29	28	-25
367	46	4.5	-21	28	-28	-25
368	47	1	0	29	27	0
370	47	2	19	28	26	28
372	47	3	22	-28	-26	31
374	47	4	22	27	25	31
375	47	4.5	-22	-27	24	-31
376	48	1	21	28	25	30
378	48	2	21	-28	-25	-30
379	48	2.5	-21	27	-25	29
380	48	3	24	26	0	28
381	48	3.5	-24	25	0	-28
382	48	4	23	27	0	29
383	48	4.5	22	-27	0	-29
384	49	1	23	-27	0	-29
385	49	1.5	-23	-27	0	28
386	49	2	24	26	0	26
388	49	3	22	-26	0	27
390	49	4	23	25	0	28
392	50	1	24	26	28	-28
393	50	1.5	-24	25	-28	27
394	50	2	-24	24	-28	26
395	50	2.5	-24	23	-28	25
396	50	3	0	24	-28	26
398	50	4	0	-24	29	-26
400	51	1	24	0	28	-26
403	51	2.5	-24	0	27	-26
404	51	3	-24	0	26	0
406	51	4	25	0	27	0
408	52	1	24	0	28	0
410	52	2	-24	0	26	0
411	52	2.5	23	0	-26	0
412	52	3	22	0	27	0
414	52	4	23	0	28	0
416	53	1	24	0	26	0
418	53	2	-24	0	25	0
419	53	2.5	22	0	24	0
420	53	3	23	28	25	0
422	53	4	24	-28	26	0
424	54	1	23	-28	25	0
425	54	1.5	21	-28	-25	0
426	54	2	24	29	26	0
428	54	3	-24	28	-26	0
429	54	3.5	23	-28	-26	0
430	54	4	21	-28	25	0
431	54	4.5	-21	27	-25	0
432	55	1	22	26	24	0
434	55	2	-22	27	-24	0
435	55	2.5	20	-27	25	0
436	55	3	24	28	26	31
438	55	4	-24	26	-26	-31
440	56	1	0	27	0	-31
442	56	2	0	-27	0	32
443	56	2.5	0	28	0	-32
444	56	3	0	26	0	31
446	56	4	0	27	0	-31
447	56	4.5	0	-27	0	30
448	57	1	0	-27	0	29
450	57	2	0	26	0	30
451	57	2.5	0	25	0	-30
452	57	3	0	26	0	31
454	57	4	0	27	0	29
456	58	1	0	25	0	30
458	58	2	0	26	0	31
460	58	3	25	27	0	29
463	58	4.5	-25	26	0	30
464	59	1	-25	27	0	29
466	59	2	26	28	0	28
468	59	3	25	29	0	-28
470	59	4	-25	-29	0	27
471	59	4.5	24	-29	0	-27
472	60	1	23	25	0	28
474	60	2	24	26	0	-28
475	60	2.5	-24	-26	0	29
476	60	3	25	27	0	30
477	60	3.5	-25	28	0	-30
478	60	4	-25	-28	25	29
479	60	4.5	-25	27	-25	-29
480	61	1	21	28	-25	30
481	61	1.5	-21	27	-25	-30
482	61	2	-21	28	26	-30
483	61	2.5	-21	29	-26	-30
484	61	3	-21	30	25	0
486	61	4	22	26	24	0
488	62	1	21	-26	23	28
489	62	1.5	-21	25	-23	-28
490	62	2	19	26	24	-28
492	62	3	20	25	-24	29
494	62	4	21	-25	23	28
496	63	1	22	0	24	-28
498	63	2	-22	0	-24	27
500	63	3	21	0	23	26
502	63	4	-21	0	-23	25
504	64	1	0	24	26	28
508	64	3	0	-24	-26	29
510	64	4	0	25	27	-29
511	64	4.5	0	-25	-27	30
512	65	1	0	24	26	29
514	65	2	0	-24	-26	28
515	65	2.5	0	23	25	-28
516	65	3	0	22	24	27
518	65	4	0	23	25	28
519	65	4.5	0	-23	26	-28
520	66	1	20	24	27	29
521	66	1.5	-20	-24	28	-29
522	66	2	-20	-24	29	31
524	66	3	-20	0	25	-31
525	66	3.5	-20	0	-25	30
525.5	66	3.75	-20	0	-25	29
526	66	4	21	0	-25	30
527	66	4.5	-21	0	26	-30
528	67	1	20	0	27	29
529	67	1.5	-20	0	28	-29
530	67	2	-20	27	29	-29
531	67	2.5	19	-27	-29	-29
532	67	3	18	-27	-29	0
534	67	4	19	26	28	0
536	68	1	20	25	29	0
538	68	2	-20	24	-29	0
540	68	3	19	28	0	0
542	68	4	24	26	0	28
544	69	1	-24	-26	0	28
545	69	1.5	-24	25	0	-28
545.5	69	1.75	-24	24	0	-28
546	69	2	23	25	0	28
548	69	3	22	26	0	31
550	69	4	21	-26	0	30
552	70	1	25	0	27	29
555	70	2.5	-25	0	-27	28
555.5	70	2.75	-25	0	-27	27
556	70	3	-25	0	-27	28
558	70	4	24	0	26	-28
560	71	1	23	27	25	0
562	71	2	22	-27	24	0
564	71	3	24	-27	28	0
566	71	4	-24	26	-28	0
568	72	1	23	25	-28	0
570	72	2	22	24	27	31
572	72	3	21	28	26	-31
574	72	4	-21	-28	25	30
576	73	1	0	26	24	29
578	73	2	24	-26	-24	28
580	73	3	-24	27	0	32
582	73	4	23	-27	0	-32
583	73	4.5	-23	26	0	-32
583.5	73	4.75	-23	25	0	-32
584	74	1	22	26	0	31
586	74	2	21	-26	28	30
588	74	3	25	0	-28	29
590	74	4	-25	0	27	-29
591	74	4.5	-25	0	-27	30
592	75	1	24	0	26	31
594	75	2	23	27	25	32
596	75	3	22	-27	29	31
598	75	4	-22	26	-29	-31
600	76	1	23	25	28	0
602	76	2	22	24	27	31
604	76	3	24	28	26	-31
606	76	4	21	-28	25	30
608	77	1	22	27	24	29
610	77	2	24	26	-24	28
612	77	3	-24	25	27	32
614	77	4	23	-25	-27	-32
616	78	1	24	28	-27	31
618	78	2	-24	-28	26	-31
620	78	3	0	27	25	30
622	78	4	0	26	24	29
623	78	4.5	0	-26	-24	28
624	79	1	0	-26	28	30
626	79	2	0	25	-28	31
628	79	3	0	25	27	-31
630	79	4	25	-25	-27	30
631	79	4.5	-25	24	-27	-30
632	80	1	-25	22	26	29
633	80	1.5	-25	-22	-26	30
634	80	2	24	-22	-26	31
635	80	2.5	-24	-22	27	29
636	80	3	23	0	28	30
638	80	4	22	0	29	31
640	81	1	26	0	-29	-31
641	81	1.5	-26	0	28	30
642	81	2	-26	0	28	28
644	81	3	25	0	-28	29
646	81	4	-25	25	27	-29
648	82	1	21	25	28	30
650	82	2	21	25	-28	-30
651	82	2.5	-21	-25	-28	29
652	82	3	24	26	-28	28
654	82	4	-24	-26	-28	31
656	83	1	21	25	-28	-31
658	83	2	-21	-25	-28	30
659	83	2.5	-21	24	-28	29
660	83	3	-21	25	-28	30
662	83	4	-21	26	-28	31
666	84	2	-21	25	-28	30
667	84	2.5	-21	24	-28	29
668	84	3	-21	26	-28	30
670	84	4	-21	25	-28	-30
672	84	1	-21	25	-28	30
688	84	1	0	0	0	0
688	84	1	0	0	28	0
696	85	1	0	0	26	0
700	85	3	0	0	27	0
706	86	2	0	0	26	0
708	86	3	0	0	27	0
710	86	4	0	0	28	0
712	87	1	24	0	26	0
718	87	4	-24	0	24	0
720	88	1	22	0	24	0
722	88	2	-22	0	24	0
724	88	3	23	0	25	0
726	88	4	-23	0	25	0
728	89	1	-23	0	24	0
730	89	2	22	0	-24	0
732	89	3	23	0	25	0
734	89	4	24	0	26	0
736	90	1	23	0	27	32
738	90	2	-23	0	28	-32
739	90	2.5	22	0	29	-32
740	90	3	21	0	30	-32
741	90	3.5	-21	0	31	-32
742	90	4	21	0	30	-32
744	91	1	21	0	-30	30
745	91	1.5	-21	0	29	-30
746	91	2	21	0	28	-30
748	91	3	22	0	-28	31
750	91	4	22	0	27	-31
752	92	1	21	0	28	-31
754	92	2	28	0	-28	30
755	92	2.5	-28	0	30	-30
756	92	3	-28	0	29	31
758	92	4	27	0	-29	32
760	93	1	28	28	26	30
761	93	1.5	27	-28	-26	-30
762	93	2	26	-28	-26	-30
763	93	2.5	25	-28	-26	-30
764	93	3	24	-28	-26	0
766	93	4	-24	-28	-26	28
768	94	1	0	26	0	28
770	94	2	0	-26	0	28
772	94	3	24	-26	0	29
774	94	4	-24	27	0	29
776	95	1	24	27	0	28
778	95	2	24	26	0	31
780	95	3	25	27	0	-31
782	95	4	25	-27	0	30
783	95	4.5	-25	28	0	-30
784	96	1	24	26	0	29
785	96	1.5	-24	-26	0	28
786	96	2	-24	-26	28	31
787	96	2.5	23	-26	-28	-31
788	96	3	21	25	28	30
790	96	4	-21	-25	28	29
791	96	4.5	-21	-25	-28	28
792	97	1	0	25	29	27
794	97	2	0	25	29	-27
796	97	3	21	26	28	0
798	97	4	-21	26	31	0
800	98	1	-21	25	-31	28
801	98	1.5	-21	-25	30	-28
801.5	98	1.75	-21	-25	29	-28
802	98	2	-21	-25	30	-28
803	98	2.5	-21	-25	29	-28
804	98	3	19	0	28	28
805	98	3.5	-19	0	27	-28
806	98	4	-19	0	26	28
807	98	4.5	-19	0	25	-28
808	99	1	20	0	24	29
810	99	2	-20	24	-24	29
812	99	3	-20	24	0	28
814	99	4	19	24	0	31
816	100	1	20	25	0	-31
818	100	2	21	25	28	30
820	100	3	19	24	28	28
822	100	4	-19	28	28	31
824	101	1	0	-28	29	-31
826	101	2	0	27	29	30
827	101	2.5	0	-27	-29	29
828	101	3	24	26	28	31
830	101	4	-24	-26	26	28
831	101	4.5	-24	27	-26	-28
832	102	1	24	28	26	-28
834	102	2	24	29	26	31
836	102	3	25	-29	27	-31
837	102	3.5	-25	-29	-27	30
837.5	102	3.75	-25	-29	-27	29
838	102	4	25	28	-27	30
839	102	4.5	-25	27	27	-30
840	103	1	24	28	26	31
841	103	1.5	-24	-28	-26	30
842	103	2	-24	-28	-26	28
843	103	2.5	-24	27	27	29
843.5	103	2.75	-24	26	-27	-29
844	103	3	23	25	28	30
846	103	4	22	27	29	31
848	104	1	24	-27	28	-31
849	104	1.5	-24	-27	-28	28
850	104	2	-24	26	-28	31
852	104	3	21	25	-28	-31
854	104	4	-21	-25	-28	30
856	105	1	24	26	0	31
858	105	2	-24	-26	28	-31
859	105	2.5	-24	-26	-28	30
860	105	3	-24	-26	31	28
862	105	4	-24	24	-31	-28
864	106	1	0	27	-31	0
866	106	2	0	-27	30	0
868	106	3	0	-27	29	0
870	106	4	0	26	28	0
872	107	1	0	25	27	0
874	107	2	0	24	-27	0
876	107	3	0	23	28	0
878	107	4	0	24	-28	0
879	107	4.5	0	-24	28	0
880	108	1	24	26	28	0
881	108	1.5	-24	27	-28	0
882	108	2	-24	28	26	0
883	108	2.5	24	-28	-26	0
884	108	3	20	29	27	31
886	108	4	21	28	26	-31
887	108	4.5	-21	-28	-26	31
888	109	1	22	28	-26	31
890	109	2	22	27	25	29
891	109	2.5	-22	-27	24	-29
892	109	3	21	28	25	30
894	109	4	-21	25	-25	-30
895	109	4.5	-21	-25	-25	29
896	110	1	21	28	-25	30
897	110	1.5	-21	-28	-25	29
898	110	2	-21	-28	-25	28
899	110	2.5	-21	-28	-25	27
900	110	3	24	-28	0	26
902	110	4	-24	27	24	29
904	111	1	-24	26	31	28
906	111	2	23	25	-31	28
908	111	3	22	24	-31	31
910	111	4	21	24	30	-31
912	112	1	20	27	29	-31
914	112	2	-20	-27	28	30
916	112	3	0	-27	27	29
918	112	4	0	26	30	28
920	113	1	0	25	-30	27
922	113	2	0	24	29	26
924	113	3	0	23	-29	25
926	113	4	0	-23	28	-25
928	114	1	25	0	29	27
931	114	2.5	25	0	29	27
932	114	3	25	25	29	27
934	114	4	23	-25	30	28
935	114	4.5	-23	25	-30	-28
936	115	1	24	26	28	28
938	115	2	22	24	29	27
940	115	3	21	25	30	28
943	115	4.5	-21	-25	29	-28
944	116	1	24	26	28	28
946	116	2	-24	-26	31	-28
947	116	2.5	24	-26	-31	28
948	116	3	20	25	-31	29
950	116	4	21	26	30	28
952	117	1	22	-26	31	26
953	117	1.5	-22	25	-31	-26
954	117	2	-22	24	24	27
956	117	3	21	-24	25	28
957	117	3.5	-21	-24	-25	29
958	117	4	-21	23	-25	30
959	117	4.5	-21	-23	26	28
960	118	1	20	24	27	29
966	118	4	-20	0	25	-29
968	119	1	21	23	-25	0
970	119	2	-21	-23	25	28
972	119	3	-21	-23	25	-28
974	119	4	21	23	-25	28
976	120	1	21	23	-25	28
978	120	2	19	-23	26	-28
980	120	3	22	24	-26	26
982	120	4	-22	-24	24	-26
984	121	1	-22	-24	24	29
986	121	2	20	22	-24	-29
988	121	3	20	22	-24	-29
990	121	4	18	-22	25	29
992	122	1	21	23	-25	28
994	122	2	-21	-23	23	-28
996	122	3	19	21	23	-28
998	122	4	-19	-21	-23	26
1000	123	1	0	28	0	26
1002	123	2	24	-28	0	-26
1004	123	3	-24	24	0	0
