**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	33
4	1	3	0	0	0	32
6	1	4	0	0	0	33
8	2	1	0	0	0	31
11	2	2.5	0	0	0	32
12	2	3	0	0	0	33
14	2	4	0	0	0	34
16	3	1	0	29	0	-34
18	3	2	0	-29	0	33
20	3	3	0	28	0	-33
21	3	3.5	0	-28	0	32
22	3	4	0	29	0	31
23	3	4.5	0	-29	0	30
24	4	1	0	27	0	29
26	4	2	0	-27	0	29
27	4	2.5	0	28	0	-29
28	4	3	0	29	0	31
30	4	4	0	30	0	32
32	5	1	25	-30	0	34
34	5	2	-25	29	0	-34
36	5	3	24	-29	0	33
37	5	3.5	-24	28	0	-33
38	5	4	25	27	0	32
39	5	4.5	-25	26	0	-32
40	6	1	23	25	0	-32
42	6	2	-23	25	32	31
43	6	2.5	24	-25	-32	30
44	6	3	25	27	-32	29
45	6	3.5	-25	-27	-32	28
46	6	4	26	28	31	35
48	7	1	25	30	32	-35
50	7	2	-25	29	-32	34
52	7	3	0	28	30	33
54	7	4	21	30	-30	32
55	7	4.5	-21	-30	31	-32
56	8	1	23	-30	32	-32
58	8	2	24	29	33	31
60	8	3	26	-29	-33	30
61	8	3.5	-26	-29	32	-30
62	8	4	-26	28	30	-30
64	9	1	22	29	31	29
66	9	2	-22	24	33	36
67	9	2.5	23	-24	-33	-36
68	9	3	24	26	-33	35
69	9	3.5	-24	-26	32	-35
70	9	4	25	27	32	34
72	10	1	22	29	-32	33
74	10	2	-22	-29	31	-33
75	10	2.5	-22	28	-31	-33
76	10	3	23	27	32	0
77	10	3.5	-23	25	-32	0
78	10	4	-23	28	-32	32
79	10	4.5	22	-28	-32	-32
79.5	10	4.75	21	-28	-32	-32
80	11	1	22	28	0	31
81	11	1.5	-22	27	0	-31
81.5	11	1.75	-22	26	0	-31
82	11	2	-22	27	0	-31
83	11	2.5	-22	-27	0	32
84	11	3	21	28	25	30
87	11	4.5	-21	-28	-25	31
88	12	1	0	0	27	32
90	12	2	0	0	28	33
92	12	3	21	0	30	-33
94	12	4	-21	0	-30	32
96	13	1	23	0	-30	-32
98	13	2	24	0	29	31
100	13	3	26	0	30	35
102	13	4	-26	24	31	-35
103	13	4.5	25	-24	-31	34
104	14	1	24	26	-31	33
106	14	2	25	27	29	32
108	14	3	-25	29	32	34
109	14	3.5	24	-29	-32	-34
110	14	4	22	-29	31	33
111	14	4.5	-22	28	-31	-33
112	15	1	23	27	30	-33
113	15	1.5	-23	-27	-30	32
114	15	2	21	28	-30	32
116	15	3	22	27	29	-32
118	15	4	-22	26	-29	31
119	15	4.5	-22	-26	31	-31
120	16	1	21	0	30	32
122	16	2	-21	28	-30	-32
123	16	2.5	20	-28	-30	-32
124	16	3	18	28	29	0
126	16	4	-18	27	-29	32
128	17	1	0	28	0	32
130	17	2	0	29	0	31
132	17	3	0	27	0	32
134	17	4	0	28	0	33
136	18	1	0	29	0	31
137	18	1.5	0	28	0	-31
138	18	2	0	27	29	32
139	18	2.5	0	26	-29	31
140	18	3	0	25	29	34
142	18	4	0	26	28	33
144	19	1	0	27	29	-33
146	19	2	0	28	30	32
148	19	3	0	24	28	33
150	19	4	22	-24	29	-33
151	19	4.5	-22	25	-29	-33
152	20	1	22	26	31	0
153	20	1.5	-22	27	29	0
154	20	2	21	28	30	33
156	20	3	22	27	31	33
158	20	4	23	-27	30	32
160	21	1	21	26	-30	33
162	21	2	22	-26	29	-33
163	21	2.5	-22	-26	-29	31
164	21	3	23	0	-29	32
166	21	4	24	24	28	33
168	22	1	20	24	29	34
170	22	2	20	24	-29	-34
172	22	3	20	27	0	0
174	22	4	20	25	27	0
176	23	1	23	25	27	0
178	23	2	-23	25	27	32
180	23	3	0	28	30	32
182	23	4	21	-28	-30	32
184	24	1	21	0	0	35
186	24	2	21	26	28	-35
188	24	3	24	26	28	0
190	24	4	-24	26	28	31
191	24	4.5	23	-26	-28	-31
192	25	1	22	29	31	31
193	25	1.5	21	-29	-31	-31
194	25	2	20	-29	29	31
195	25	2.5	19	28	-29	-31
196	25	3	18	27	-29	34
197	25	3.5	-18	26	-29	-34
198	25	4	23	25	30	-34
199	25	4.5	-23	-25	29	34
200	26	1	23	-25	28	35
201	26	1.5	-23	-25	27	-35
202	26	2	22	24	27	36
