**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	22	26	29	33
8	1	1	26	28	30	33
12	1	3	26	-28	30	33
16	2	1	26	28	30	35
20	2	3	26	-28	30	35
24	3	1	25	29	32	34
28	3	3	-25	29	-32	36
30	3	4	-25	-29	31	-36
31	3	4.5	-25	-29	30	-36
32	4	1	-25	27	29	-36
34	4	2	-25	-27	-29	32
36	4	3	-25	-27	-29	32
39	4	4.5	-25	-27	-29	33
40	5	1	-25	0	32	34
44	5	3	-25	30	-32	-34
46	5	4	-25	-30	30	-34
48	6	1	26	-30	30	0
50	6	2	-26	26	-30	0
52	6	3	-26	26	-30	33
54	6	4	22	-26	29	-33
56	7	1	22	-26	31	-33
58	7	2	-22	-26	-31	29
60	7	3	-22	0	-31	29
64	8	1	-22	29	-31	0
68	8	3	-22	-29	-31	36
70	8	4	-22	28	-31	-36
72	9	1	0	27	0	-36
74	9	2	0	26	0	35
76	9	3	0	25	0	34
78	9	4	0	24	0	33
80	10	1	0	23	0	32
82	10	2	0	22	0	31
84	10	3	0	26	0	30
88	11	1	25	27	0	29
92	11	3	-25	-27	32	-29
94	11	4	24	-27	-32	-29
96	12	1	23	25	-32	0
98	12	2	22	-25	31	0
100	12	3	21	-25	30	0
102	12	4	20	-25	29	0
104	13	1	19	0	28	0
106	13	2	18	0	27	36
108	13	3	22	0	26	36
111	13	4.5	-22	0	-26	35
112	14	1	23	27	25	34
114	14	2	-23	-27	-25	33
116	14	3	-23	-27	-25	32
118	14	4	-23	25	-25	31
120	15	1	21	25	28	30
124	15	3	25	27	29	29
127	15	4.5	-25	28	28	-29
128	16	1	-25	29	27	32
130	16	2	24	22	26	-32
132	16	3	23	23	25	-32
134	16	4	22	24	26	31
136	17	1	21	25	-26	30
137	17	1.5	-21	-25	25	-30
138	17	2	20	22	25	29
140	17	3	19	23	26	-29
142	17	4	-19	-23	-26	28
144	18	1	18	25	27	29
152	19	1	21	-25	0	0
156	19	3	-21	-25	0	32
160	20	1	0	0	28	-32
162	20	2	0	0	-28	32
164	20	3	0	0	-28	32
166	20	4	0	0	28	-32
168	21	1	0	0	28	32
170	21	2	0	0	28	-32
172	21	3	0	0	-28	33
174	21	4	0	25	29	34
176	22	1	21	-25	30	32
178	22	2	-21	25	-30	-32
180	22	3	-21	25	28	-32
182	22	4	21	-25	-28	-32
184	23	1	21	25	-28	0
188	23	3	21	-25	0	0
190	23	4	-21	26	0	0
192	24	1	22	27	0	0
194	24	2	23	25	0	0
196	24	3	21	28	0	0
198	24	4	-21	-28	30	32
200	25	1	0	0	31	33
202	25	2	0	0	29	34
204	25	3	0	30	30	35
207	25	4.5	0	-30	29	34
208	26	1	0	30	28	33
210	26	2	23	30	27	32
212	26	3	24	28	26	33
214	26	4	22	29	31	33
216	27	1	23	27	30	32
218	27	2	-23	28	-30	33
219	27	2.5	24	-28	-30	-33
220	27	3	25	27	29	34
222	27	4	26	30	28	35
224	28	1	24	-30	26	-35
225	28	1.5	-24	29	-26	34
226	28	2	-24	29	-26	33
229	28	3.5	-24	28	0	-33
230	28	4	23	28	30	32
232	29	1	22	-28	31	33
233	29	1.5	-22	27	30	-33
234	29	2	-22	27	29	31
235	29	2.5	-22	-27	28	-31
236	29	3	23	-27	27	30
237	29	3.5	-23	26	28	-30
238	29	4	-23	26	26	-30
239	29	4.5	-23	-26	28	-30
240	30	1	-23	-26	27	-30
241	30	1.5	-23	25	-27	-30
242	30	2	-23	25	-27	-30
244	30	3	19	26	26	0
248	31	1	-19	23	0	0
250	31	2	-19	-23	26	0
252	31	3	0	0	27	0
254	31	4	0	0	28	30
256	32	1	0	0	29	31
258	32	2	0	23	30	32
260	32	3	0	24	26	33
262	32	4	0	25	-26	-33
263	32	4.5	0	-25	27	-33
264	33	1	0	26	28	-33
266	33	2	0	27	29	32
268	33	3	0	26	28	31
271	33	4.5	0	25	-28	30
272	34	1	0	24	26	29
274	34	2	19	23	-26	28
276	34	3	20	22	0	29
278	34	4	21	-22	0	-29
280	35	1	22	0	0	-29
282	35	2	-22	0	26	-29
284	35	3	0	0	27	0
286	35	4	19	0	28	0
288	36	1	20	0	29	0
290	36	2	21	0	-29	0
292	36	3	22	0	-29	0
294	36	4	23	0	28	0
296	37	1	22	0	27	0
299	37	2.5	21	0	26	0
300	37	3	20	0	25	0
302	37	4	19	0	24	0
304	38	1	18	29	25	34
312	39	1	25	29	0	-34
