**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	29	0
4	0	3	0	0	32	0
12	1	3	0	0	32	0
16	2	1	0	0	31	33
20	2	3	0	0	-31	36
22	2	4	0	0	29	-36
24	3	1	0	0	31	-36
28	3	3	0	0	32	36
32	4	1	0	0	33	35
35	4	2.5	0	0	32	-35
36	4	3	0	0	30	-35
38	4	4	0	0	31	33
40	5	1	0	0	32	34
41	5	1.5	0	0	31	-34
42	5	2	0	0	30	-34
43	5	2.5	0	0	29	-34
44	5	3	0	0	30	35
48	6	1	22	0	29	36
50	6	2	-22	0	-29	33
52	6	3	25	0	-29	34
54	6	4	-25	0	-29	36
57	7	1.5	-25	0	-29	35
58	7	2	-25	0	-29	34
59	7	2.5	-25	0	-29	33
60	7	3	25	0	-29	34
64	8	1	24	26	0	33
68	8	3	-24	29	0	-33
70	8	4	22	-29	0	-33
72	9	1	24	-29	0	0
76	9	3	25	29	0	0
80	10	1	26	28	0	0
83	10	2.5	25	-28	0	0
84	10	3	23	-28	0	0
86	10	4	24	26	0	0
88	11	1	25	27	0	0
89	11	1.5	24	-27	0	0
90	11	2	23	-27	29	0
91	11	2.5	22	-27	-29	0
92	11	3	23	28	32	0
94	11	4	-23	-28	32	0
96	12	1	22	29	31	33
100	12	3	-22	-29	-31	36
101	12	3.5	-22	28	-31	-36
102	12	4	-22	27	29	-36
103	12	4.5	-22	26	-29	-36
104	13	1	0	27	31	-36
106	13	2	0	-27	32	36
108	13	3	0	26	33	35
110	13	4	0	-26	-33	33
112	14	1	0	0	-33	35
114	14	2	0	0	32	36
115	14	2.5	0	0	31	-36
116	14	3	0	0	32	37
118	14	4	0	26	33	-37
120	15	1	0	29	-33	38
121	15	1.5	0	-29	32	-38
122	15	2	0	-29	31	-38
123	15	2.5	0	-29	30	-38
124	15	3	0	-29	31	-38
126	15	4	0	29	-31	37
127	15	4.5	0	-29	-31	36
128	16	1	0	28	30	37
129	16	1.5	0	-28	-30	38
130	16	2	0	26	33	37
132	16	3	0	28	-33	-37
134	16	4	0	29	31	36
135	16	4.5	0	-29	-31	35
136	17	1	0	30	32	34
138	17	2	0	-30	-32	37
140	17	3	26	-30	33	-37
141	17	3.5	-26	-30	-33	36
142	17	4	-26	-30	-33	35
143	17	4.5	-26	-30	-33	34
144	18	1	29	31	0	33
150	18	4	29	30	0	-33
151	18	4.5	-29	29	0	-33
152	19	1	28	30	0	35
154	19	2	26	31	0	-35
156	19	3	28	30	0	-35
158	19	4	29	33	0	34
159	19	4.5	-29	-33	0	33
160	20	1	30	-33	0	35
162	20	2	-30	32	0	34
164	20	3	26	33	30	35
166	20	4	-26	-33	31	-35
167	20	4.5	-26	-33	-31	36
168	21	1	0	0	32	37
170	21	2	0	28	33	-37
172	21	3	24	28	0	33
174	21	4	24	29	0	-33
176	22	1	25	30	0	0
178	22	2	26	-30	0	0
180	22	3	-26	26	0	35
182	22	4	24	-26	31	35
184	23	1	-24	0	31	36
185	23	1.5	23	0	-31	-36
186	23	2	21	28	32	37
188	23	3	0	28	33	-37
190	23	4	0	29	-33	36
192	24	1	0	30	-33	35
194	24	2	0	-30	32	34
196	24	3	0	26	31	33
198	24	4	24	33	-31	35
199	24	4.5	-24	-33	30	-35
200	25	1	24	-33	31	-35
202	25	2	25	32	29	34
203	25	2.5	-25	31	-29	-34
204	25	3	26	30	-29	33
206	25	4	-26	33	28	-33
209	26	1.5	-26	32	27	0
210	26	2	-26	31	28	35
211	26	2.5	-26	30	-28	-35
212	26	3	0	31	26	35
214	26	4	0	-31	27	36
216	27	1	0	30	28	37
218	27	2	0	32	-28	-37
219	27	2.5	0	-32	29	-37
220	27	3	0	32	30	37
222	27	4	28	32	-30	-37
224	28	1	28	33	0	-37
226	28	2	29	-33	0	36
228	28	3	30	32	0	35
232	29	1	-30	-32	0	34
234	29	2	29	31	31	-34
236	29	3	28	30	32	35
238	29	4	27	29	32	37
239	29	4.5	26	28	-32	-37
240	30	1	28	30	33	-37
242	30	2	29	31	-33	36
244	30	3	26	30	-33	-36
246	30	4	-26	-30	32	35
248	31	1	22	0	31	36
250	31	2	-22	33	30	-36
251	31	2.5	-22	-33	29	-36
252	31	3	0	-33	31	-36
254	31	4	0	32	32	-36
256	32	1	0	31	29	0
258	32	2	0	30	-29	36
259	32	2.5	0	29	-29	-36
260	32	3	0	31	0	-36
262	32	4	25	32	0	36
264	33	1	-25	29	0	36
