**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	0	0	0
4	1	3	24	0	0	0
12	2	3	25	21	0	0
16	3	1	26	24	0	0
22	3	4	25	-24	0	0
23	3	4.5	24	-24	0	0
24	4	1	23	25	0	0
27	4	2.5	22	-25	0	0
28	4	3	24	26	0	0
30	4	4	28	-26	0	0
34	5	2	27	25	0	0
35	5	2.5	26	24	0	0
36	5	3	27	25	0	0
40	6	1	26	24	0	0
42	6	2	-26	28	0	0
43	6	2.5	25	-28	0	0
44	6	3	23	-28	0	0
45	6	3.5	24	26	0	0
46	6	4	25	27	0	0
49	7	1.5	24	26	0	0
50	7	2	23	25	0	0
51	7	2.5	22	24	0	0
52	7	3	23	25	21	0
56	8	1	24	24	24	28
59	8	2.5	-24	-24	25	-28
60	8	3	-24	-24	26	31
66	9	2	0	0	27	-31
68	9	3	0	0	-27	32
70	9	4	0	0	26	-32
71	9	4.5	0	0	25	-32
72	10	1	0	0	24	33
74	10	2	0	0	28	-33
76	10	3	0	24	-28	-33
77	10	3.5	0	-24	29	-33
78	10	4	0	-24	31	-33
80	11	1	0	28	-31	32
82	11	2	0	-28	30	-32
84	11	3	0	24	31	31
86	11	4	0	-24	-31	35
87	11	4.5	0	-24	30	-35
88	12	1	0	0	28	-35
89	12	1.5	0	0	-28	34
89.5	12	1.75	0	0	-28	33
90	12	2	0	0	29	34
93	12	3.5	0	0	28	33
94	12	4	0	0	27	32
95	12	4.5	0	0	26	31
96	13	1	0	0	27	32
98	13	2	0	0	-27	31
99	13	2.5	0	0	26	-31
100	13	3	21	28	25	-31
102	13	4	-21	-28	-25	30
104	14	1	22	26	24	31
106	14	2	-22	26	-24	-31
108	14	3	-22	24	-24	-31
110	14	4	-22	24	25	-31
111	14	4.5	-22	-24	26	-31
112	15	1	20	22	27	0
116	15	3	-20	22	24	31
118	15	4	-20	-22	27	-31
120	16	1	-20	0	-27	31
121	16	1.5	-20	0	28	-31
122	16	2	-20	0	29	-31
124	16	3	-20	22	-29	-31
125	16	3.5	-20	-22	28	-31
126	16	4	-20	-22	27	30
127	16	4.5	-20	-22	26	29
128	17	1	21	23	25	28
132	17	3	19	24	0	-28
134	17	4	-19	-24	28	26
136	18	1	18	25	27	27
138	18	2	-18	-25	29	-27
139	18	2.5	-18	-25	-29	28
140	18	3	-18	-25	25	29
142	18	4	-18	-25	32	30
144	19	1	21	23	-32	-30
146	19	2	-21	-23	30	28
148	19	3	-21	21	-30	-28
149	19	3.5	-21	-21	29	-28
150	19	4	-21	-21	28	32
152	20	1	-21	22	-28	-32
153	20	1.5	-21	-22	27	-32
154	20	2	0	-22	26	31
156	20	3	0	-22	27	-31
158	20	4	0	-22	-27	30
159	20	4.5	0	-22	-27	29
160	21	1	0	21	28	30
163	21	2.5	0	-21	27	-30
164	21	3	21	-21	25	-30
166	21	4	-21	-21	26	-30
168	22	1	24	0	-26	0
170	22	2	-24	0	25	0
171	22	2.5	-24	0	24	0
172	22	3	25	21	23	0
176	23	1	26	24	24	0
178	23	2	-26	-24	28	0
182	23	4	25	-24	27	0
183	23	4.5	24	-24	26	0
184	24	1	23	25	27	0
187	24	2.5	22	-25	-27	0
188	24	3	24	26	26	28
190	24	4	-24	-26	28	-28
192	25	1	22	-26	-28	31
194	25	2	-22	25	27	-31
195	25	2.5	-22	24	-27	-31
196	25	3	21	23	28	32
199	25	4.5	-21	22	-28	-32
200	26	1	0	24	24	33
202	26	2	24	28	-24	-33
204	26	3	-24	28	0	-33
205	26	3.5	23	-28	0	-33
206	26	4	22	29	0	32
207	26	4.5	-22	-29	0	31
208	27	1	21	30	28	32
212	27	3	24	31	26	31
214	27	4	26	-31	24	35
216	28	1	-26	28	31	-35
217	28	1.5	-26	-28	-31	33
218	28	2	25	29	32	34
220	28	3	-25	27	29	-34
221	28	3.5	-25	-27	-29	32
222	28	4	24	28	31	33
224	29	1	-24	26	-31	-33
225	29	1.5	-24	-26	30	32
226	29	2	20	27	29	31
228	29	3	21	25	28	-31
230	29	4	-21	-25	-28	30
232	30	1	17	24	28	31
240	31	1	17	0	24	0
244	31	3	-17	0	26	0
246	31	4	18	0	27	0
248	32	1	19	0	28	0
252	32	3	20	24	29	0
258	33	2	-20	25	28	0
259	33	2.5	-20	-25	27	0
260	33	3	19	26	28	0
262	33	4	-19	-26	24	0
264	34	1	18	27	25	0
266	34	2	-18	-27	24	0
270	34	4	-18	-27	23	0
272	35	1	17	26	24	31
274	35	2	-17	-26	28	-31
276	35	3	0	24	-28	-31
278	35	4	0	-24	27	32
280	36	1	24	0	26	33
282	36	2	-24	28	-26	-33
284	36	3	25	27	25	34
286	36	4	27	29	-25	-34
288	37	1	-27	-29	25	-34
289	37	1.5	26	28	-25	-34
