**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	18	25	29	32
8	2	1	-18	-25	-29	34
12	2	3	-18	-25	29	34
16	3	1	22	24	-29	33
18	3	2	-22	-24	28	-33
19	3	2.5	-22	-24	27	-33
20	3	3	-22	-24	26	-33
24	4	1	25	0	27	29
28	4	3	-25	27	25	-29
32	5	1	23	28	-25	0
34	5	2	-23	-28	24	0
35	5	2.5	-23	-28	25	0
36	5	3	22	29	26	31
40	6	1	21	30	0	32
42	6	2	-21	28	0	-32
44	6	3	24	-28	28	33
46	6	4	-24	31	-28	-33
48	7	1	25	-31	27	34
50	7	2	-25	30	25	-34
52	7	3	22	31	26	33
54	7	4	24	-31	-26	31
55	7	4.5	-24	29	-26	-31
56	8	1	23	30	25	32
58	8	2	-23	28	-25	-32
60	8	3	22	29	26	31
62	8	4	-22	27	29	-31
64	9	1	21	28	30	0
65	9	1.5	-21	27	29	0
66	9	2	-21	26	28	0
67	9	2.5	-21	25	27	0
68	9	3	22	24	26	33
71	9	4.5	21	-24	-26	-33
72	10	1	20	25	25	34
74	10	2	18	-25	29	-34
76	10	3	19	0	28	35
78	10	4	21	26	26	-35
80	11	1	18	27	25	36
82	11	2	20	-27	32	-36
84	11	3	19	0	30	35
86	11	4	-19	28	31	33
88	12	1	18	29	32	34
90	12	2	21	30	-32	32
91	12	2.5	-21	-30	31	-32
92	12	3	-21	28	30	-32
93	12	3.5	22	-28	29	-32
94	12	4	23	-28	31	33
95	12	4.5	24	-28	-31	-33
96	13	1	25	27	29	32
98	13	2	21	28	30	30
100	13	3	22	26	29	31
104	14	1	23	25	0	32
106	14	2	25	27	29	-32
110	14	4	24	26	31	-32
111	14	4.5	23	25	-31	-32
112	15	1	22	24	-31	0
114	15	2	21	25	30	0
115	15	2.5	20	-25	29	0
116	15	3	19	-25	28	0
118	15	4	-19	24	-28	0
120	16	1	18	25	27	32
122	16	2	-18	-25	29	-32
123	16	2.5	-18	26	-29	-32
124	16	3	0	27	-29	-32
125	16	3.5	0	-27	28	-32
126	16	4	0	28	27	-32
127	16	4.5	0	-28	26	-32
128	17	1	18	29	25	34
130	17	2	-18	30	-25	-34
132	17	3	22	31	26	33
134	17	4	-22	29	-26	-33
136	18	1	-22	-29	24	-33
137	18	1.5	-22	28	-24	-33
138	18	2	24	26	-24	-33
140	18	3	-24	-26	0	31
142	18	4	23	29	26	-31
143	18	4.5	22	-29	-26	-31
144	19	1	23	-29	-26	32
146	19	2	-23	28	25	-32
148	19	3	22	29	26	31
152	20	1	-22	0	27	-31
154	20	2	20	0	-27	-31
155	20	2.5	-20	0	28	-31
156	20	3	-20	32	29	34
158	20	4	19	-32	-29	-34
159	20	4.5	18	-32	-29	-34
160	21	1	20	-32	25	-34
162	21	2	21	31	-25	33
163	21	2.5	-21	30	-25	-33
164	21	3	19	31	28	33
166	21	4	-19	-31	-28	32
167	21	4.5	-19	-31	-28	33
168	22	1	18	32	27	34
170	22	2	25	-32	-27	-34
171	22	2.5	-25	31	-27	-34
172	22	3	-25	29	0	-34
173	22	3.5	24	-29	0	-34
174	22	4	25	30	25	-34
176	23	1	22	31	26	0
178	23	2	25	30	27	0
179	23	2.5	-25	29	-27	0
180	23	3	-25	30	25	0
182	23	4	24	29	26	0
184	24	1	25	-29	25	34
185	24	1.5	-25	28	-25	-34
186	24	2	18	27	-25	-34
187	24	2.5	-18	26	-25	-34
188	24	3	-18	25	29	-34
189	24	3.5	19	-25	-29	-34
190	24	4	20	-25	-29	-34
191	24	4.5	21	-25	30	-34
192	25	1	22	24	31	33
194	25	2	-22	-24	29	-33
196	25	3	0	0	-29	31
197	25	3.5	0	0	28	-31
198	25	4	0	27	27	-31
199	25	4.5	0	-27	26	-31
200	26	1	23	-27	25	32
202	26	2	-23	25	25	-32
204	26	3	-23	27	-25	-32
206	26	4	-23	28	24	-32
207	26	4.5	-23	-28	25	-32
208	27	1	22	29	26	31
210	27	2	-22	31	-26	-31
212	27	3	20	-31	27	29
213	27	3.5	-20	30	-27	-29
214	27	4	27	29	-27	-29
216	28	1	-27	-29	25	-29
217	28	1.5	26	28	-25	-29
218	28	2	25	27	-25	-29
219	28	2.5	24	26	-25	-29
220	28	3	25	27	29	32
222	28	4	21	28	30	-32
224	29	1	23	-28	-30	-32
225	29	1.5	-23	27	29	-32
226	29	2	-23	28	30	-32
227	29	2.5	21	-28	-30	-32
228	29	3	22	26	29	31
232	30	1	18	25	27	32
234	30	2	-18	32	-27	-32
236	30	3	0	31	26	33
237	30	3.5	0	30	-26	-33
238	30	4	0	29	-26	-33
239	30	4.5	0	28	-26	-33
240	31	1	22	29	0	31
244	31	3	-22	26	29	-31
246	31	4	-22	27	-29	-31
248	32	1	24	26	28	0
250	32	2	-24	29	29	0
252	32	3	23	-29	30	0
254	32	4	-23	28	-30	0
256	33	1	22	29	31	31
258	33	2	-22	27	29	-31
260	33	3	-22	26	-29	-31
261	33	3.5	-22	-26	28	-31
262	33	4	-22	-26	29	-31
264	34	1	18	25	27	32
266	34	2	-18	27	29	-32
270	34	4	19	26	28	31
272	35	1	21	25	-28	30
274	35	2	20	-25	29	29
276	35	3	22	24	26	29
278	35	4	18	25	27	-29
279	35	4.5	19	-25	-27	-29
280	36	1	20	-25	-27	-29
281	36	1.5	-20	24	26	-29
282	36	2	-20	23	25	-29
283	36	2.5	-20	22	-25	-29
284	36	3	19	23	26	28
288	37	1	0	22	24	29
290	37	2	22	-22	27	-29
292	37	3	20	0	-27	-29
