**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	22	26	29	0
8	2	1	-22	26	31	0
12	2	3	-22	27	31	0
16	3	1	21	28	30	33
20	3	3	22	26	29	-33
22	3	4	-22	-26	31	-33
24	4	1	-22	0	-31	33
25	4	1.5	-22	0	30	-33
26	4	2	-22	0	29	-33
27	4	2.5	-22	0	28	-33
28	4	3	24	26	29	33
32	5	1	23	27	30	32
34	5	2	-23	28	-30	-32
36	5	3	25	27	0	30
38	5	4	26	28	0	-30
40	6	1	-26	-28	28	-30
42	6	2	23	27	-28	-30
44	6	3	24	26	28	33
46	6	4	-24	25	-28	-33
47	6	4.5	-24	24	-28	-33
48	7	1	21	23	28	32
50	7	2	-21	-23	-28	30
52	7	3	22	0	26	31
54	7	4	-22	0	-26	30
55	7	4.5	-22	0	-26	29
56	8	1	23	0	25	28
58	8	2	24	0	26	-28
60	8	3	-24	26	-26	29
61	8	3.5	-24	-26	25	-29
62	8	4	-24	-26	24	-29
64	9	1	21	25	23	30
67	9	2.5	-21	23	-23	29
67.5	9	2.75	-21	-23	-23	28
68	9	3	22	24	0	27
71	9	4.5	-22	-24	0	26
72	10	1	21	25	23	28
74	10	2	-21	28	-23	-28
75	10	2.5	-21	-28	-23	29
76	10	3	0	-28	21	30
77	10	3.5	0	27	-21	-30
78	10	4	0	26	22	31
80	11	1	19	-26	23	30
81	11	1.5	-19	25	-23	-30
82	11	2	-19	24	24	33
83	11	2.5	-19	23	-24	-33
84	11	3	22	24	-24	-33
85	11	3.5	-22	-24	25	32
86	11	4	-22	-24	26	31
87	11	4.5	-22	-24	27	-31
88	12	1	21	25	28	-31
89	12	1.5	-21	-25	-28	30
90	12	2	-21	-25	27	30
91	12	2.5	-21	24	26	-30
92	12	3	20	22	25	-30
94	12	4	-20	-22	-25	29
96	13	1	19	23	26	-29
98	13	2	-19	-23	-26	28
100	13	3	0	22	-26	29
102	13	4	0	-22	27	-29
104	14	1	21	25	28	0
105	14	1.5	-21	-25	29	0
106	14	2	-21	-25	30	0
108	14	3	-21	-25	-30	32
110	14	4	-21	26	29	-32
111	14	4.5	-21	-26	28	-32
112	15	1	20	27	29	32
116	15	3	21	25	28	-32
118	15	4	-21	-25	28	-32
120	16	1	-21	0	-28	32
122	16	2	-21	0	27	-32
123	16	2.5	-21	0	26	-32
124	16	3	23	0	25	-32
