**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	17	0	24	31
4	1	3	-17	0	26	-31
6	1	4	-17	0	-26	30
8	2	1	18	0	27	29
12	2	3	19	0	28	28
16	3	1	20	24	24	29
18	3	2	-20	-24	27	-29
20	3	3	18	25	-27	-29
22	3	4	-18	-25	26	28
24	4	1	-18	-25	25	27
26	4	2	-18	24	28	26
28	4	3	-18	23	-28	25
30	4	4	-18	22	27	-25
32	5	1	19	21	28	0
34	5	2	17	-21	-28	0
36	5	3	19	21	-28	28
38	5	4	-19	23	27	-28
39	5	4.5	20	-23	26	-28
40	6	1	21	-23	25	-28
42	6	2	-21	23	-25	28
44	6	3	17	24	24	-28
45	6	3.5	-17	-24	-24	26
46	6	4	20	-24	-24	29
49	7	1.5	-20	-24	0	28
50	7	2	21	23	0	28
52	7	3	18	22	25	-28
54	7	4	-18	-22	-25	27
56	8	1	21	21	-25	28
58	8	2	-21	-21	28	-28
60	8	3	22	0	-28	31
61	8	3.5	-22	0	27	-31
62	8	4	-22	0	27	-31
63	8	4.5	-22	0	26	-31
64	9	1	21	23	28	32
68	9	3	0	24	26	33
70	9	4	17	-24	28	-33
72	10	1	17	-24	-28	-33
74	10	2	-17	23	-28	-33
76	10	3	18	22	27	34
78	10	4	-18	21	26	-34
79	10	4.5	-18	20	25	-34
80	11	1	17	19	26	35
83	11	2.5	-17	-19	27	34
84	11	3	0	19	28	33
85	11	3.5	0	-19	-28	32
86	11	4	0	22	24	33
87	11	4.5	0	-22	-24	34
88	12	1	24	-22	-24	33
89	12	1.5	-24	-22	25	-33
90	12	2	-24	22	26	32
91	12	2.5	-24	-22	27	31
92	12	3	25	21	28	30
94	12	4	26	-21	-28	-30
96	13	1	-26	19	0	0
97	13	1.5	25	-19	0	0
98	13	2	24	20	0	0
100	13	3	-24	18	27	32
102	13	4	23	-18	-27	-32
104	14	1	24	17	26	33
107	14	2.5	23	-17	-26	-33
108	14	3	22	0	26	31
109	14	3.5	21	0	-26	-31
110	14	4	20	0	29	-31
112	15	1	-20	0	-29	34
113	15	1.5	21	0	-29	-34
114	15	2	22	0	29	-34
115	15	2.5	23	0	-29	-34
116	15	3	24	0	28	33
118	15	4	21	0	-28	32
120	16	1	24	0	26	-32
121	16	1.5	-24	0	-26	31
122	16	2	20	0	27	31
124	16	3	21	0	25	-31
126	16	4	-21	0	-25	30
128	17	1	22	0	24	31
131	17	2.5	21	0	-24	30
132	17	3	20	0	-24	29
134	17	4	19	0	-24	28
136	18	1	-19	21	-24	-28
137	18	1.5	18	-21	-24	27
138	18	2	17	-21	-24	26
140	18	3	20	22	-24	27
144	19	1	17	21	-24	26
148	19	3	0	0	0	0
152	20	1	17	24	28	0
156	20	3	18	22	27	0
158	20	4	17	24	26	0
160	21	1	21	23	-26	0
161	21	1.5	-21	-23	25	0
162	21	2	-21	21	25	0
164	21	3	19	-21	-25	0
165	21	3.5	-19	-21	24	0
166	21	4	20	22	24	0
168	22	1	18	20	-24	0
170	22	2	-18	-20	23	0
172	22	3	17	21	24	0
176	23	1	-17	22	0	0
178	23	2	20	-22	0	0
182	23	4	21	21	0	0
184	24	1	22	-21	0	31
185	24	1.5	-22	20	0	-31
186	24	2	-22	19	0	-31
188	24	3	20	18	27	32
190	24	4	23	-18	-27	-32
192	25	1	-23	21	28	-32
194	25	2	22	-21	-28	31
196	25	3	21	0	-28	30
198	25	4	-21	0	27	29
200	26	1	0	0	26	28
202	26	2	0	21	25	-28
204	26	3	0	17	24	28
206	26	4	0	21	25	30
208	27	1	0	-21	21	-30
210	27	2	0	-21	28	30
212	27	3	0	22	26	31
214	27	4	0	20	29	-31
217	28	1.5	0	-20	28	-31
218	28	2	0	21	28	30
220	28	3	18	25	-28	29
222	28	4	-18	-25	27	-29
224	29	1	19	21	28	28
228	29	3	17	24	26	0
231	29	4.5	18	-24	-26	0
232	30	1	19	-24	-26	28
233	30	1.5	20	-24	-26	-28
234	30	2	21	23	-26	-28
236	30	3	20	22	27	31
238	30	4	19	21	-27	-31
239	30	4.5	18	20	-27	-31
240	31	1	17	19	28	-31
242	31	2	-17	21	26	30
244	31	3	18	20	27	29
246	31	4	-18	19	-27	28
247	31	4.5	-18	18	-27	27
248	32	1	19	17	28	26
250	32	2	-19	21	-28	-26
252	32	3	0	22	24	26
254	32	4	0	-22	-24	29
255	32	4.5	0	23	-24	-29
256	33	1	0	24	0	-29
258	33	2	0	25	0	29
260	33	3	0	23	0	28
262	33	4	0	26	0	-28
264	34	1	0	-26	0	26
265	34	1.5	0	24	0	-26
266	34	2	0	25	0	27
268	34	3	21	-25	28	25
269	34	3.5	-21	22	-28	-25
270	34	4	-21	23	-28	-25
272	35	1	24	24	26	24
274	35	2	-24	20	29	-24
278	35	4	23	21	28	0
280	36	1	22	18	27	0
282	36	2	21	-18	26	0
283	36	2.5	20	-18	25	0
284	36	3	19	0	24	0
286	36	4	-19	0	28	0
288	37	1	19	0	-28	0
289	37	1.5	-19	0	26	0
290	37	2	22	0	27	0
292	37	3	-22	0	26	31
294	37	4	22	0	25	-31
295	37	4.5	-22	0	24	-31
296	38	1	21	0	23	32
298	38	2	-21	0	21	-32
300	38	3	19	24	-21	33
302	38	4	20	-24	24	31
304	39	1	18	25	-24	34
306	39	2	-18	-25	23	-34
308	39	3	17	26	24	33
310	39	4	-17	-26	-24	35
311	39	4.5	-17	-26	25	-35
312	40	1	-17	24	26	-35
314	40	2	18	27	25	34
316	40	3	16	-27	-25	32
318	40	4	17	26	24	33
320	41	1	-17	24	21	-33
321	41	1.5	-17	-24	-21	32
322	41	2	-17	26	28	31
324	41	3	21	25	-28	-31
326	41	4	-21	-25	-28	30
328	42	1	17	24	28	31
*-	*-	*-	*-	*-	*-	*-
