**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	25	0	32
4	1	3	0	25	23	0	-32
8	2	1	0	23	21	0	-32
10	2	2	0	21	28	0	-32
12	2	3	0	22	-28	0	31
13	2	3.5	0	-22	27	0	-31
13.5	2	3.75	0	-22	26	0	-31
14	2	4	0	-22	27	0	-31
16	3	1	0	21	28	0	30
20	3	3	0	-21	-28	25	-30
24	4	1	25	-21	-28	23	30
28	4	3	23	-21	0	21	-30
30	4	4	21	-21	0	25	-30
32	5	1	22	0	29	-25	29
33	5	1.5	-22	0	-29	24	-29
33.5	5	1.75	-22	0	-29	23	-29
34	5	2	-22	0	-29	24	-29
36	5	3	18	22	27	25	-29
40	6	1	-18	20	25	0	-29
42	6	2	-18	18	25	0	-29
44	6	3	0	19	-25	0	28
45	6	3.5	0	-19	24	0	-28
45.5	6	3.75	0	-19	23	0	-28
46	6	4	0	-19	24	0	-28
48	7	1	0	18	25	0	27
50	7	2	0	25	-25	0	-27
52	7	3	0	-25	22	29	26
53	7	3.5	0	24	-22	-29	-26
53.5	7	3.75	0	23	-22	-29	-26
54	7	4	0	24	29	-29	-26
56	8	1	25	25	-29	27	25
58	8	2	-25	-25	27	-27	-25
60	8	3	23	0	-27	25	-25
61	8	3.5	-23	0	25	-25	-25
62	8	4	21	0	28	25	-25
64	9	1	22	0	-28	-25	29
65	9	1.5	-22	0	-28	24	-29
65.5	9	1.75	-22	0	-28	23	-29
66	9	2	-22	0	27	24	-29
67	9	2.5	-22	0	26	-24	-29
68	9	3	18	0	27	25	-29
70	9	4	-18	0	25	-25	-29
72	10	1	21	25	23	-25	28
76	10	3	-21	23	21	-25	-28
78	10	4	-21	21	25	-25	27
79	10	4.5	-21	-21	-25	-25	26
80	11	1	18	22	-25	0	27
82	11	2	-18	-22	24	0	-27
83	11	2.5	-18	-22	23	0	-27
84	11	3	0	18	22	25	-27
86	11	4	0	-18	25	-25	-27
88	12	1	25	21	-25	23	28
90	12	2	-25	-21	23	-23	-28
92	12	3	23	-21	-23	21	-28
94	12	4	-23	-21	21	-21	-28
96	13	1	21	17	21	21	26
98	13	2	-21	-17	24	21	-26
100	13	3	21	-17	24	24	-26
101	13	3.5	-21	-17	25	-24	-26
102	13	4	21	-17	26	-24	-26
103	13	4.5	-21	-17	27	23	-26
104	14	1	24	-17	28	21	-26
106	14	2	-24	-17	24	28	-26
107	14	2.5	23	-17	-24	-28	-26
108	14	3	21	-17	0	28	-26
110	14	4	-21	-17	28	28	-26
112	15	1	-21	0	28	30	25
114	15	2	-21	21	28	-30	-25
115	15	2.5	-21	-21	-28	29	-25
