**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	25	0
6	0	4	0	0	24	0
8	1	1	0	0	27	0
11	1	2.5	0	0	28	0
12	1	3	0	0	29	0
14	1	4	0	0	30	32
17	2	1.5	0	0	29	-32
18	2	2	0	0	29	31
20	2	3	0	0	-29	34
21	2	3.5	0	0	28	-34
22	2	4	0	0	27	-34
23	2	4.5	0	0	26	35
24	3	1	0	0	25	36
26	3	2	0	0	32	37
29	3	3.5	0	0	-32	36
30	3	4	0	0	31	36
32	4	1	0	0	30	-36
34	4	2	28	0	-30	35
36	4	3	-28	0	29	36
38	4	4	27	25	-29	-36
40	5	1	26	-25	-29	0
42	5	2	-26	24	-29	0
44	5	3	25	27	-29	0
47	5	4.5	-25	28	-29	0
48	6	1	0	29	0	0
50	6	2	25	30	0	0
53	6	3.5	-25	29	0	0
54	6	4	24	29	0	0
56	7	1	23	-29	0	0
58	7	2	-23	28	0	32
60	7	3	22	29	0	-32
62	7	4	-22	-29	29	31
64	8	1	0	26	-29	30
66	8	2	0	-26	28	-30
68	8	3	22	-26	31	29
69	8	3.5	-22	-26	-31	30
70	8	4	-22	-26	-31	31
71	8	4.5	-22	-26	-31	32
72	9	1	-22	0	-31	33
73	9	1.5	-22	0	-31	34
74	9	2	21	0	30	35
76	9	3	24	0	28	-35
77	9	3.5	-24	0	-28	34
78	9	4	-24	28	31	33
79	9	4.5	-24	-28	-31	32
80	10	1	-24	-28	-31	33
81	10	1.5	-24	-28	30	32
82	10	2	25	27	29	32
83	10	2.5	-25	-27	28	-32
84	10	3	22	26	29	-32
86	10	4	-22	-26	-29	31
88	11	1	25	25	0	34
90	11	2	-25	-25	29	-34
91	11	2.5	-25	-25	-29	33
92	11	3	0	0	30	32
94	11	4	0	0	29	31
96	12	1	0	0	32	30
100	12	3	0	0	31	29
102	12	4	0	0	-31	36
103	12	4.5	0	0	30	-36
103.5	12	4.75	0	0	29	-36
104	13	1	0	0	30	-36
106	13	2	0	26	-30	35
108	13	3	22	27	29	36
110	13	4	-22	26	-29	-36
112	14	1	-22	29	0	-36
116	14	3	23	28	0	0
118	14	4	22	27	29	0
119	14	4.5	-22	26	-29	0
120	15	1	25	27	30	0
122	15	2	-25	-27	29	0
124	15	3	24	26	31	0
126	15	4	23	29	-31	0
127	15	4.5	22	-29	-31	0
128	16	1	23	-29	32	0
130	16	2	-23	28	-32	0
132	16	3	22	29	31	0
134	16	4	-22	-29	-31	33
136	17	1	-22	-29	-31	34
138	17	2	-22	-29	-31	33
140	17	3	-22	0	-31	36
142	17	4	-22	29	-31	-36
144	18	1	0	30	0	35
146	18	2	0	29	0	34
147	18	2.5	0	-29	0	33
148	18	3	0	32	0	34
150	18	4	25	-32	0	-34
152	19	1	26	31	0	33
154	19	2	25	-31	0	36
155	19	2.5	-25	30	0	-36
155.5	19	2.75	-25	29	0	-36
156	19	3	28	30	0	-36
158	19	4	-28	-30	0	35
160	20	1	27	29	0	36
162	20	2	-27	32	29	-36
163	20	2.5	26	-32	-29	-36
163.5	20	2.75	25	-32	-29	-36
164	20	3	26	-32	-29	0
166	20	4	-26	31	28	0
168	21	1	25	32	29	0
170	21	2	-25	-32	-29	36
172	21	3	-25	0	25	-36
174	21	4	-25	29	32	32
176	22	1	-25	-29	-32	34
178	22	2	-25	25	29	-34
180	22	3	0	26	31	33
182	22	4	0	27	-31	36
184	23	1	0	25	30	-36
186	23	2	0	26	-30	35
188	23	3	0	27	29	36
190	23	4	25	-27	-29	-36
191	23	4.5	-25	28	-29	-36
192	24	1	-25	29	-29	32
193	24	1.5	-25	30	-29	-32
194	24	2	22	31	-29	33
196	24	3	24	-31	0	-33
198	24	4	-24	29	0	32
199	24	4.5	-24	-29	0	31
200	25	1	23	-29	0	32
202	25	2	-23	28	25	-32
204	25	3	22	29	26	31
206	25	4	25	-29	25	34
208	26	1	-25	25	29	-34
210	26	2	24	26	-29	33
212	26	3	25	27	-29	32
213	26	3.5	-25	28	-29	-32
214	26	4	-25	29	-29	-32
215	26	4.5	-25	27	-29	34
216	27	1	21	28	30	33
217	27	1.5	-21	27	-30	32
218	27	2	23	26	28	32
219	27	2.5	-23	25	-28	-32
220	27	3	22	26	29	-32
222	27	4	-22	27	-29	31
224	28	1	23	-27	27	32
225	28	1.5	-23	25	-27	-32
226	28	2	-23	28	30	-32
227	28	2.5	21	-28	-30	-32
228	28	3	25	-28	-30	-32
230	28	4	-25	27	29	-32
232	29	1	21	30	28	-32
236	29	3	0	29	27	-32
238	29	4	25	-29	-27	-32
239	29	4.5	-25	-29	28	-32
240	30	1	25	0	29	-32
242	30	2	-25	25	-29	-32
244	30	3	27	25	-29	-32
247	30	4.5	26	-25	-29	-32
248	31	1	25	27	-29	0
250	31	2	24	26	-29	0
252	31	3	25	27	-29	0
254	31	4	-25	-27	-29	36
255	31	4.5	-25	28	-29	-36
256	32	1	22	29	0	36
258	32	2	-22	-29	29	-36
260	32	3	-22	26	29	38
263	32	4.5	-22	-26	-29	37
264	33	1	0	0	31	36
266	33	2	0	0	30	35
268	33	3	0	0	31	36
270	33	4	0	29	-31	-36
271	33	4.5	0	-29	32	-36
272	34	1	0	29	33	33
274	34	2	0	-29	29	-33
276	34	3	0	31	29	-33
279	34	4.5	0	30	-29	-33
280	35	1	0	29	31	-33
282	35	2	0	28	-31	-33
283	35	2.5	0	-28	30	-33
284	35	3	0	29	29	-33
286	35	4	0	26	28	-33
288	36	1	0	0	29	-33
290	36	2	22	0	-29	-33
292	36	3	22	0	26	-33
294	36	4	-22	26	33	-33
296	37	1	24	26	-33	0
298	37	2	23	28	32	0
300	37	3	24	-28	31	0
302	37	4	-24	26	-31	33
303	37	4.5	25	-26	-31	-33
304	38	1	26	28	30	33
308	38	3	-26	-28	31	35
310	38	4	25	29	32	34
312	39	1	28	30	-32	35
314	39	2	-28	-30	28	-35
315	39	2.5	-28	-30	-28	36
316	39	3	-28	-30	32	37
318	39	4	24	28	33	38
320	40	1	27	29	31	-38
321	40	1.5	-27	30	-31	37
322	40	2	-27	31	-31	36
323	40	2.5	-27	29	32	-36
324	40	3	26	30	33	-36
326	40	4	-26	-30	-33	35
328	41	1	22	29	31	36
336	42	1	22	0	-31	-36
338	42	2	-22	26	-31	-36
