**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	17	24	26	35
8	2	1	21	23	25	35
12	2	3	21	23	25	35
16	3	1	20	24	27	36
20	3	3	20	24	27	36
24	4	1	18	25	27	36
32	5	1	21	23	25	35
38	5	4	17	21	24	33
40	6	1	17	21	24	33
42	6	2	-17	24	28	-33
44	6	3	20	-24	27	31
45	6	3.5	-20	23	-27	-31
46	6	4	-20	22	29	-31
47	6	4.5	-20	21	-29	-31
48	7	1	-20	22	-29	-31
49	7	1.5	-20	23	-29	-31
50	7	2	19	24	28	-31
52	7	3	18	-24	27	32
54	7	4	-18	23	-27	-32
56	8	1	17	24	0	33
58	8	2	-17	-24	26	35
62	8	4	-17	-24	24	33
64	9	1	-17	0	24	33
66	9	2	-17	28	-24	33
70	9	4	-17	26	28	31
72	10	1	24	26	-28	31
74	10	2	-24	-26	26	38
76	10	3	-24	24	26	-38
78	10	4	20	-24	27	36
80	11	1	20	-24	-27	36
81	11	1.5	-20	-24	28	-36
82	11	2	-20	-24	29	34
86	11	4	-20	-24	28	34
87	11	4.5	-20	-24	27	-34
88	12	1	24	-24	26	35
90	12	2	-24	-24	-26	31
91	12	2.5	-24	-24	27	32
92	12	3	-24	-24	28	33
93	12	3.5	-24	-24	-28	34
94	12	4	23	-24	-28	35
96	13	1	22	-24	0	-35
98	13	2	-22	-24	24	34
100	13	3	21	25	-24	35
102	13	4	-21	-25	23	-35
104	14	1	17	26	24	-35
110	14	4	24	24	-24	-35
111	14	4.5	-24	25	-24	-35
112	15	1	-24	26	21	-35
113	15	1.5	-24	27	-21	-35
114	15	2	23	28	-21	-35
116	15	3	22	-28	0	0
118	15	4	-22	27	24	0
120	16	1	0	28	-24	0
122	16	2	21	-28	25	0
124	16	3	-21	-28	26	0
126	16	4	22	27	24	0
127	16	4.5	-22	26	-24	0
128	17	1	23	25	28	0
130	17	2	21	-25	-28	0
131	17	2.5	-21	-25	27	0
132	17	3	24	0	26	0
133	17	3.5	-24	0	25	0
134	17	4	-24	0	26	35
138	18	2	-24	0	25	36
139	18	2.5	-24	0	24	-36
140	18	3	23	0	25	37
142	18	4	-23	0	-25	35
144	19	1	22	0	26	38
147	19	2.5	21	0	-26	37
148	19	3	20	0	22	36
149	19	3.5	19	0	-22	35
150	19	4	20	24	-22	36
154	20	2	19	25	23	35
155	20	2.5	18	-25	-23	34
156	20	3	17	26	24	35
158	20	4	-17	24	28	-35
159	20	4.5	-17	-24	-28	34
160	21	1	-17	28	-28	33
161	21	1.5	-17	-28	27	32
162	21	2	24	-28	26	33
163	21	2.5	-24	27	25	-33
164	21	3	-24	26	26	31
165	21	3.5	23	25	-26	-31
166	21	4	22	26	24	38
167	21	4.5	21	-26	-24	-38
168	22	1	22	-26	-24	-38
169	22	1.5	-22	-26	25	-38
170	22	2	-22	25	26	37
171	22	2.5	-22	24	27	36
172	22	3	21	25	28	37
174	22	4	18	-25	27	36
176	23	1	21	-25	25	-36
177	23	1.5	-21	-25	-25	35
178	23	2	-21	23	26	35
180	23	3	22	24	-26	-35
182	23	4	-22	-24	25	34
183	23	4.5	-22	-24	24	-34
184	24	1	21	25	23	35
186	24	2	-21	-25	25	-35
187	24	2.5	-21	25	-25	-35
187.5	24	2.75	-21	24	-25	-35
188	24	3	-21	23	25	-35
190	24	4	-21	-23	25	-35
192	25	1	17	0	26	-35
194	25	2	-17	21	24	-35
196	25	3	-17	21	28	0
198	25	4	-17	21	-28	0
200	26	1	0	22	27	0
202	26	2	17	21	26	0
204	26	3	17	28	-26	0
205	26	3.5	-17	-28	25	0
206	26	4	17	-28	24	0
207	26	4.5	-17	-28	23	0
208	27	1	18	27	22	0
210	27	2	17	26	24	35
212	27	3	24	-26	-24	35
213	27	3.5	-24	25	25	-35
214	27	4	-24	24	26	35
215	27	4.5	-24	23	-26	-35
216	28	1	-24	22	-26	36
217	28	1.5	-24	-22	27	-36
218	28	2	23	25	28	35
220	28	3	22	-25	-28	38
222	28	4	-22	24	27	-38
224	29	1	21	25	28	37
226	29	2	22	24	26	36
228	29	3	18	25	0	-36
229	29	3.5	-18	-25	0	35
230	29	4	20	24	22	34
231	29	4.5	-20	-24	-22	33
232	30	1	-20	22	-22	32
234	30	2	19	23	21	33
235	30	2.5	-19	24	-21	-33
236	30	3	18	25	22	34
239	30	4.5	-18	-25	23	34
240	31	1	17	21	24	34
242	31	2	-17	-21	24	33
246	31	4	0	-21	23	32
248	32	1	0	0	22	33
250	32	2	0	24	-22	-33
251	32	2.5	0	-24	-22	34
252	32	3	0	-24	21	35
254	32	4	0	23	-21	-35
256	33	1	0	24	0	-35
258	33	2	24	-24	0	-35
259	33	2.5	-24	25	0	-35
260	33	3	-24	26	0	-35
262	33	4	23	25	0	-35
264	34	1	24	26	0	-35
267	34	2.5	25	-26	0	-35
268	34	3	26	24	0	-35
270	34	4	24	-24	26	-35
271	34	4.5	-24	23	-26	-35
271.5	34	4.75	-24	22	-26	-35
272	35	1	-24	21	-26	-35
274	35	2	23	-21	25	-35
276	35	3	22	0	26	0
278	35	4	-22	26	-26	31
279	35	4.5	-22	-26	27	-31
280	36	1	21	-26	28	-31
282	36	2	-21	25	-28	30
284	36	3	17	26	-28	31
287	36	4.5	-17	27	-28	32
288	37	1	-17	28	-28	33
290	37	2	24	24	-28	33
292	37	3	-24	25	21	32
294	37	4	23	-25	-21	35
296	38	1	22	26	0	-35
298	38	2	-22	24	24	34
300	38	3	21	-24	25	35
302	38	4	-21	23	-25	-35
304	39	1	17	24	26	-35
307	39	2.5	-17	25	25	-35
308	39	3	-17	26	24	-35
312	40	1	21	25	23	35
315	40	2.5	-21	24	-23	-35
316	40	3	-21	23	25	-35
320	41	1	18	25	27	36
324	41	3	20	24	-27	-36
328	42	1	-20	-24	27	36
332	42	3	20	24	27	36
336	43	1	17	24	26	35
338	43	2	-17	-24	24	38
339	43	2.5	-17	23	-24	-38
340	43	3	0	22	26	-38
342	43	4	0	-22	27	37
343	43	4.5	0	-22	-27	36
344	44	1	0	21	28	37
346	44	2	21	-21	-28	-37
348	44	3	22	0	27	0
350	44	4	23	0	28	0
352	45	1	24	0	26	0
354	45	2	-24	0	26	0
356	45	3	23	0	25	0
358	45	4	24	24	26	0
360	46	1	22	26	-26	0
362	46	2	22	27	25	0
363	46	2.5	-22	-27	24	0
364	46	3	21	28	25	0
366	46	4	-21	-28	-25	35
368	47	1	0	27	-25	36
370	47	2	21	28	-25	37
372	47	3	24	26	0	38
375	47	4.5	25	-26	0	-38
376	48	1	26	-26	0	37
377	48	1.5	27	-26	0	-37
378	48	2	28	26	0	38
380	48	3	-28	25	0	36
382	48	4	27	-25	25	-36
383	48	4.5	-27	-25	-25	36
384	49	1	26	28	26	35
386	49	2	-26	-28	28	31
387	49	2.5	25	27	-28	32
388	49	3	24	26	-28	33
389	49	3.5	-24	25	27	34
390	49	4	-24	24	26	35
391	49	4.5	23	-24	25	-35
392	50	1	22	-24	24	36
393	50	1.5	-22	25	-24	37
394	50	2	-22	26	-24	38
395	50	2.5	-22	27	-24	36
396	50	3	21	28	25	37
397	50	3.5	-21	-28	-25	38
398	50	4	-21	25	28	39
400	51	1	24	26	-28	-39
401	51	1.5	-24	-26	26	38
402	51	2	20	27	29	38
404	51	3	21	25	28	-38
406	51	4	-21	-25	-28	37
408	52	1	17	24	0	38
410	52	2	-17	-24	21	-38
412	52	3	-17	-24	28	-38
416	53	1	0	-24	28	-38
418	53	2	17	-24	28	-38
420	53	3	24	0	-28	-38
422	53	4	-24	0	28	-38
424	54	1	24	0	26	0
426	54	2	24	24	-26	0
427	54	2.5	-24	-24	24	0
428	54	3	-24	28	26	0
430	54	4	24	-28	-26	0
432	55	1	23	28	25	0
434	55	2	21	28	-25	0
437	55	3.5	22	-28	-25	0
438	55	4	23	28	-25	0
439	55	4.5	24	-28	-25	0
440	56	1	25	27	0	0
441	56	1.5	26	-27	0	0
442	56	2	27	25	0	0
445	56	3.5	26	26	0	0
446	56	4	25	27	0	0
447	56	4.5	-25	28	0	0
448	57	1	-25	29	0	0
449	57	1.5	-25	25	0	0
450	57	2	24	28	0	35
451	57	2.5	23	-28	0	-35
452	57	3	22	-28	0	38
454	57	4	-22	27	0	-38
456	58	1	0	28	24	38
458	58	2	0	-28	-24	38
460	58	3	0	24	28	-38
462	58	4	0	-24	-28	38
464	59	1	0	0	28	37
466	59	2	0	0	28	-37
467	59	2.5	0	0	-28	35
468	59	3	0	0	-28	37
470	59	4	0	0	28	-37
472	60	1	0	0	27	36
474	60	2	0	0	-27	32
477	60	3.5	0	0	-27	33
478	60	4	0	0	25	34
479	60	4.5	0	0	-25	35
480	61	1	0	0	-25	36
481	61	1.5	0	0	26	35
482	61	2	0	0	27	36
483	61	2.5	0	0	28	37
484	61	3	0	0	29	38
485	61	3.5	0	0	25	37
486	61	4	0	0	28	36
487	61	4.5	0	0	-28	35
488	62	1	0	0	-28	36
490	62	2	0	25	27	-36
492	62	3	21	25	28	35
494	62	4	-21	23	25	-35
496	63	1	-21	25	25	0
498	63	2	21	21	23	35
499	63	2.5	-21	22	-23	-35
500	63	3	19	23	26	35
