**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	0	1	0	0	0	0	26	0
4	0	3	22	0	0	0	-26	0
8	1	1	-22	0	0	0	27	0
12	1	3	23	0	0	0	-27	0
16	2	1	-23	0	0	0	28	0
20	2	3	24	0	0	26	-28	0
22	2	4	-24	0	0	-26	27	0
24	3	1	-24	0	0	-26	26	0
26	3	2	23	0	0	-26	25	0
28	3	3	22	0	0	-26	24	29
32	4	1	-22	0	0	27	24	-29
36	4	3	21	0	0	28	25	30
44	5	3	17	0	0	-28	26	31
48	6	1	-17	0	0	26	-26	-31
52	6	3	18	0	0	25	27	29
56	7	1	19	0	0	23	26	28
60	7	3	-19	0	0	-23	26	-28
62	7	4	-19	0	0	24	-26	-28
64	8	1	20	22	0	-24	0	31
66	8	2	-20	-22	0	23	0	-31
67	8	2.5	-20	-22	0	22	0	-31
68	8	3	-20	-22	0	29	0	32
72	9	1	19	23	0	-29	0	33
74	9	2	-19	-23	0	28	30	-33
75	9	2.5	-19	-23	0	27	-30	-33
76	9	3	19	-23	0	28	30	-33
78	9	4	-19	-23	0	26	28	-33
80	10	1	22	24	26	0	29	-33
82	10	2	-22	-24	-26	26	-29	-33
83	10	2.5	-22	-24	-26	-26	28	-33
83.5	10	2.75	-22	-24	-26	-26	27	-33
84	10	3	-22	-24	-26	26	26	29
86	10	4	-22	-24	-26	24	29	-29
88	11	1	18	22	27	25	-29	-29
90	11	2	-18	-22	-27	-25	25	-29
91	11	2.5	-18	-22	-27	24	-25	-29
91.5	11	2.75	-18	-22	-27	23	-25	-29
92	11	3	-18	-22	-27	22	-25	-29
93	11	3.5	-18	-22	-27	-22	26	-29
94	11	4	-18	-22	-27	25	27	-29
96	12	1	0	21	28	-25	23	30
97	12	1.5	0	-21	-28	24	-23	-30
98	12	2	21	-21	-28	23	-23	-30
99	12	2.5	-21	-21	-28	22	24	-30
100	12	3	21	0	-28	23	25	-30
102	12	4	19	0	-28	-23	26	-30
104	13	1	22	24	26	0	-26	31
105	13	1.5	-22	-24	-26	0	22	-31
106	13	2	-22	-24	-26	0	29	-31
108	13	3	-22	-24	-26	22	-29	-31
112	14	1	18	25	25	-22	27	29
116	14	3	21	-25	0	23	25	28
118	14	4	-21	-25	0	-23	28	-28
120	15	1	17	26	28	24	-28	31
121	15	1.5	-17	-26	-28	-24	27	-31
122	15	2	-17	-26	-28	-24	26	-31
123	15	2.5	-17	-26	-28	-24	25	30
124	15	3	-17	24	-28	-24	26	31
125	15	3.5	-17	-24	-28	-24	-26	32
126	15	4	-17	-24	-28	-24	-26	33
128	16	1	0	-24	29	22	0	-33
129	16	1.5	0	-24	-29	-22	0	32
130	16	2	0	-24	-29	-22	26	31
131	16	2.5	0	-24	-29	-22	-26	30
132	16	3	18	25	-29	-22	27	29
134	16	4	-18	-25	-29	-22	-27	32
136	17	1	21	-25	30	21	28	32
138	17	2	-21	-25	-30	-21	-28	32
139	17	2.5	-21	-25	-30	22	27	-32
140	17	3	-21	-25	28	23	28	30
141	17	3.5	-21	-25	-28	-23	29	-30
142	17	4	21	-25	-28	-23	30	-30
144	18	1	19	26	-28	-23	-30	33
146	18	2	-19	-26	-28	-23	23	-33
148	18	3	22	-26	29	0	24	-33
150	18	4	-22	-26	-29	22	-24	-33
152	19	1	18	27	-29	-22	25	32
153	19	1.5	-18	-27	-29	-22	24	-32
154	19	2	-18	-27	-29	25	25	-32
155	19	2.5	-18	26	-29	-25	26	-32
156	19	3	0	25	-29	-25	27	-32
157	19	3.5	0	24	-29	-25	-27	-32
158	19	4	18	25	-29	25	-27	-32
160	20	1	21	-25	30	23	25	0
161	20	1.5	-21	24	-30	-23	-25	0
162	20	2	21	23	-30	-23	28	32
163	20	2.5	-21	22	-30	-23	-28	-32
164	20	3	19	23	-30	26	-28	35
166	20	4	-19	-23	-30	-26	26	35
168	21	1	22	22	31	-26	-26	33
170	21	2	-22	-22	-31	24	29	-33
171	21	2.5	-22	-22	30	-24	-29	32
171.5	21	2.75	-22	-22	-30	-24	-29	33
172	21	3	18	-22	29	25	27	34
173	21	3.5	-18	-22	28	-25	-27	33
174	21	4	-18	-22	29	-25	-27	32
175	21	4.5	-18	-22	-29	-25	28	-32
176	22	1	0	-22	-29	26	29	-32
177	22	1.5	0	-22	28	-26	-29	31
178	22	2	0	-22	27	-26	-29	31
179	22	2.5	0	-22	26	-26	-29	30
179.5	22	2.75	0	-22	-26	-26	-29	31
180	22	3	18	-22	27	25	-29	32
184	23	1	19	0	26	21	28	30
186	23	2	-19	0	-26	28	-28	-30
187	23	2.5	-19	0	-26	-28	27	29
188	23	3	21	0	-26	-28	26	30
189	23	3.5	-21	0	-26	27	25	-30
190	23	4	22	0	-26	26	24	31
193	24	1.5	-22	0	-26	25	25	30
194	24	2	-22	0	-26	24	26	29
