**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	25	0
4	1	2	0	0	29	0
8	1	3	0	0	29	0
12	2	1	0	0	30	32
16	2	2	0	0	29	36
18	2	2.5	0	0	31	-36
20	2	3	0	0	-31	36
22	2	3.5	0	0	30	-36
23	2	3.75	0	0	29	-36
24	3	1	0	0	28	37
28	3	2	0	0	0	36
30	3	2.5	0	0	29	38
32	3	3	0	0	29	-38
34	3	3.5	0	0	29	37
35	3	3.75	0	0	-29	36
36	4	1	0	0	30	35
38	4	1.5	0	0	31	-35
40	4	2	0	0	30	0
42	4	2.5	0	0	31	36
44	4	3	0	0	-31	36
45	4	3.25	0	0	30	-36
46	4	3.5	0	0	29	36
48	5	1	0	0	28	37
50	5	1.5	0	0	26	38
52	5	2	0	0	27	-38
53	5	2.25	0	0	-27	37
54	5	2.5	0	0	-27	36
56	5	3	0	0	26	35
58	5	3.5	0	0	-26	33
60	6	1	0	0	0	34
62	6	1.5	0	0	29	-34
64	6	2	0	0	-29	33
65	6	2.25	0	0	29	-33
66	6	2.5	0	0	29	-33
68	6	3	0	0	27	0
70	6	3.5	0	0	25	36
72	7	1	0	0	27	-36
73	7	1.25	0	0	-27	36
74	7	1.5	0	0	-27	36
75	7	1.75	0	0	28	-36
76	7	2	0	0	29	34
78	7	2.5	0	0	30	32
80	7	3	0	0	29	34
82	7	3.5	0	0	32	-34
83	7	3.75	0	0	-32	35
84	8	1	0	0	31	36
86	8	1.5	0	0	32	37
88	8	2	0	0	-32	36
89	8	2.25	0	0	31	-36
90	8	2.5	0	0	29	38
93	8	3.25	0	0	28	37
94	8	3.5	0	0	30	35
96	9	1	0	0	-30	34
97	9	1.25	0	0	29	-34
98	9	1.5	0	0	27	36
101	9	2.25	0	0	26	35
102	9	2.5	0	0	28	33
104	9	3	0	0	-28	32
105	9	3.25	0	0	27	-32
106	9	3.5	0	0	25	34
108	10	1	0	0	27	-34
109	10	1.25	0	0	-27	33
110	10	1.5	0	0	26	31
112	10	2	0	0	-26	32
113	10	2.25	0	0	25	-32
114	10	2.5	0	0	32	-32
116	10	3	0	0	-32	33
118	10	3.5	0	0	31	-33
120	11	1	0	0	32	32
122	11	1.5	0	0	-32	36
124	11	2	0	0	0	35
126	11	2.5	0	0	0	34
128	11	3	0	0	25	-34
130	11	3.5	0	0	-25	33
131	11	3.75	0	0	-25	32
132	12	1	0	0	29	33
136	12	2	0	0	29	-33
138	12	2.5	0	0	29	-33
140	12	3	22	0	29	0
142	12	3.5	-22	0	29	0
144	13	1	26	0	30	35
147	13	1.75	-26	0	-30	35
148	13	2	26	0	-30	35
150	13	2.5	26	0	-30	35
152	13	3	26	0	28	35
154	13	3.5	26	0	-28	35
156	14	1	27	25	29	34
158	14	1.5	25	-25	-29	36
160	14	2	27	-25	32	-36
162	14	2.5	28	-25	-32	35
164	14	3	29	-25	-32	34
168	15	1	22	29	31	33
172	15	2	-22	-29	29	-33
174	15	2.5	-22	-29	31	32
175	15	2.75	-22	-29	-31	31
176	15	3	0	-29	-31	33
178	15	3.5	0	-29	30	-33
179	15	3.75	0	-29	29	34
180	16	1	26	30	28	35
182	16	1.5	-26	-30	26	-35
184	16	2	-26	-30	28	35
187	16	2.75	-26	-30	29	-35
188	16	3	-26	28	30	-35
190	16	3.5	-26	-28	31	-35
192	17	1	27	29	-31	31
193	17	1.25	-27	-29	30	-31
194	17	1.5	-27	-29	29	38
195	17	1.75	-27	-29	28	-38
196	17	2	-27	31	29	-38
197	17	2.25	-27	-31	-29	37
198	17	2.5	-27	-31	27	36
200	17	3	-27	-31	29	-36
201	17	3.25	-27	-31	-29	35
202	17	3.5	-27	-31	-29	36
204	18	1	28	30	0	32
206	18	1.5	-28	-30	28	35
207	18	1.75	27	-30	-28	-35
208	18	2	26	-30	-28	-35
210	18	2.5	25	-30	32	34
212	18	3	28	-30	30	32
214	18	3.5	-28	-30	28	-32
215	18	3.75	-28	-30	-28	33
216	19	1	27	31	29	34
218	19	1.5	26	-31	28	35
221	19	2.25	24	-31	26	-35
222	19	2.5	27	-31	29	31
224	19	3	26	-31	-29	35
226	19	3.5	-26	-31	28	-35
228	20	1	25	32	29	34
230	20	1.5	-25	-32	25	-34
231	20	1.75	-25	31	-25	-34
232	20	2	0	30	26	35
234	20	2.5	25	29	27	36
236	20	3	-25	32	25	-36
237	20	3.25	24	-32	-25	-36
238	20	3.5	25	-32	29	35
239	20	3.75	26	-32	-29	34
240	21	1	27	31	-29	36
241	21	1.25	-27	-31	28	-36
242	21	1.5	28	30	26	35
244	21	2	26	-30	-26	-35
245	21	2.25	-26	28	25	33
246	21	2.5	24	31	26	36
248	21	3	25	30	27	-36
250	21	3.5	26	-30	28	35
252	22	1	22	29	26	36
254	22	1.5	-22	-29	31	-36
258	22	2.5	25	-29	32	-36
260	22	3	25	-29	29	-36
262	22	3.5	25	-29	32	-36
264	23	1	27	-29	31	0
266	23	1.5	-27	-29	34	0
267	23	1.75	26	-29	-34	0
268	23	2	25	-29	-34	0
269	23	2.25	24	-29	33	0
270	23	2.5	25	-29	32	36
271	23	2.75	-25	-29	31	-36
272	23	3	-25	-29	32	36
274	23	3.5	24	-29	-32	36
275	23	3.75	23	-29	-32	-36
276	24	1	22	0	31	38
278	24	1.5	29	0	-31	-38
279	24	1.75	28	0	-31	37
280	24	2	27	0	-31	36
281	24	2.25	26	0	-31	35
282	24	2.5	27	29	-31	36
284	24	3	-27	29	27	-36
286	24	3.5	26	29	-27	35
287	24	3.75	25	-29	-27	34
288	25	1	24	31	0	33
290	25	1.5	20	-31	0	29
291	25	1.75	-20	30	0	-29
292	25	2	27	29	0	-29
293	25	2.25	-27	28	0	30
294	25	2.5	-27	29	0	31
295	25	2.75	26	-29	0	32
296	25	3	24	-29	0	33
298	25	3.5	25	28	0	34
