**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	22	26	29	0	33
3	1	1.75	-22	26	-29	0	-33
4	1	2	-22	26	-29	0	33
6	1	2.5	-22	26	-29	0	33
8	1	3	22	24	-29	0	33
10	1	3.5	22	-24	-29	0	31
11	1	3.75	-22	22	-29	0	-31
12	2	1	22	22	-29	0	-31
14	2	1.5	20	-22	-29	36	29
16	2	2	-20	0	-29	36	29
18	2	2.5	18	29	-29	36	-29
20	2	3	18	29	-29	-36	0
22	2	3.5	-18	29	-29	36	36
24	3	1	0	-29	27	36	36
26	3	1.5	25	29	-27	34	36
28	3	2	25	29	29	-34	-36
30	3	2.5	25	27	-29	32	36
32	3	3	-25	-27	-29	32	36
34	3	3.5	25	25	-29	-32	34
36	4	1	25	25	30	0	-34
38	4	1.5	23	-25	-30	32	32
40	4	2	-23	-25	-30	32	32
42	4	2.5	21	-25	-30	30	-32
44	4	3	21	0	-30	-30	0
45	4	3.25	-21	0	-30	28	0
46	4	3.5	-21	0	-30	28	33
48	5	1	0	0	29	31	33
50	5	1.5	22	0	-29	31	31
52	5	2	22	29	-29	29	-31
53	5	2.25	-22	-29	-29	-29	29
54	5	2.5	20	29	-29	-29	29
56	5	3	-20	27	-29	32	-29
57	5	3.25	18	-27	-29	-32	-29
58	5	3.5	18	-27	-29	-32	36
59	5	3.75	-18	25	-29	-32	-36
60	6	1	-18	25	0	-32	-36
62	6	1.5	25	27	0	31	36
63	6	1.75	-25	-27	0	30	-36
64	6	2	-25	-27	0	29	32
66	6	2.5	25	27	0	-29	-32
68	6	3	21	28	0	30	0
70	6	3.5	-21	-28	0	-30	32
73	7	1.25	-21	-28	0	0	33
73.5	7	1.375	-21	-28	0	0	34
74	7	1.5	-21	-28	0	30	35
76	7	2	0	0	0	32	34
78	7	2.5	25	0	0	-32	32
79	7	2.75	-25	0	0	33	-32
79.5	7	2.875	-25	0	0	34	-32
80	7	3	24	0	0	35	33
82	7	3.5	25	29	0	34	32
84	8	1	-25	30	0	32	-32
85	8	1.25	-25	-30	0	-32	33
85.5	8	1.375	-25	-30	0	-32	34
86	8	1.5	24	31	0	33	35
88	8	2	25	29	0	32	34
90	8	2.5	-25	30	0	-32	32
91	8	2.75	-25	-30	0	33	-32
91.5	8	2.875	-25	-30	0	34	-32
92	8	3	24	26	0	35	33
94	8	3.5	25	27	0	34	32
96	9	1	-25	-27	29	32	-32
97	9	1.25	-25	-27	-29	-32	31
98	9	1.5	24	26	-29	33	29
100	9	2	25	27	-29	-33	-29
101	9	2.25	-25	-27	-29	32	-29
102	9	2.5	-25	25	-29	32	36
104	9	3	22	26	-29	-32	-36
105	9	3.25	-22	-26	-29	-32	35
106	9	3.5	-22	-26	-29	31	33
108	10	1	18	25	-29	32	34
110	10	1.5	-18	-25	-29	-32	32
112	10	2	-18	-25	27	0	-32
114	10	2.5	-18	-25	-27	0	31
115	10	2.75	-18	-25	-27	0	30
116	10	3	-18	0	29	0	29
118	10	3.5	-18	27	-29	0	-29
120	11	1	0	28	30	32	28
122	11	1.5	21	-28	-30	-32	-28
123	11	1.75	-21	27	-30	-32	-28
124	11	2	-21	25	-30	32	-28
126	11	2.5	21	28	-30	32	-28
128	11	3	23	-28	-30	-32	0
130	11	3.5	23	27	-30	32	0
132	12	1	19	28	-30	33	0
134	12	1.5	23	27	-30	34	0
136	12	2	19	26	-30	35	0
138	12	2.5	23	28	-30	32	0
140	12	3	24	-28	29	33	0
142	12	3.5	25	27	-29	34	0
144	13	1	21	30	0	35	32
148	13	2	25	29	29	34	32
150	13	2.5	-25	-29	-29	-34	32
152	13	3	-25	0	27	-34	-32
154	13	3.5	-25	25	-27	33	34
155	13	3.75	-25	-25	-27	32	-34
156	14	1	22	26	29	31	33
158	14	1.5	-22	27	-29	-31	36
160	14	2	-22	26	-29	-31	-36
161	14	2.25	-22	-26	-29	-31	35
162	14	2.5	-22	-26	-29	-31	36
164	14	3	0	25	30	0	34
166	14	3.5	26	28	-30	0	35
169	15	1.25	25	-28	-30	0	34
170	15	1.5	26	26	-30	0	35
172	15	2	24	29	29	0	33
174	15	2.5	25	25	-29	0	34
176	15	3	-25	29	-29	0	-34
177	15	3.25	24	-29	-29	0	33
178	15	3.5	25	25	-29	0	34
180	16	1	23	28	0	0	32
182	16	1.5	24	-28	0	0	33
184	16	2	-24	28	0	0	-33
185	16	2.25	25	27	0	0	32
186	16	2.5	23	26	0	0	32
187	16	2.75	-23	25	0	0	-32
188	16	3	22	26	0	33	-32
190	16	3.5	-22	-26	0	-33	31
192	17	1	18	25	29	34	32
194	17	1.5	-18	-25	-29	36	-32
198	17	2.5	25	-25	-29	34	-32
200	17	3	25	0	27	-34	0
202	17	3.5	25	0	-27	36	0
204	18	1	22	0	29	-36	0
206	18	1.5	24	0	-29	33	33
208	18	2	21	0	30	33	35
210	18	2.5	26	0	-30	35	35
212	18	3	28	0	-30	35	32
214	18	3.5	28	0	-30	32	-32
215	18	3.75	-28	0	-30	-32	33
216	19	1	25	0	29	-32	34
217	19	1.25	-25	0	-29	33	35
218	19	1.5	25	0	-29	34	36
220	19	2	27	0	29	-34	-36
221	19	2.25	-27	0	-29	33	-36
222	19	2.5	-27	0	-29	32	35
223	19	2.75	-27	0	-29	-32	34
224	19	3	26	0	0	-32	35
226	19	3.5	-26	0	0	31	-35
228	20	1	25	29	0	32	34
232	20	2	-25	-29	25	-32	-34
234	20	2.5	-25	27	-25	-32	-34
236	20	3	0	29	-25	-32	0
238	20	3.5	0	30	23	-32	0
240	21	1	0	-30	25	0	0
242	21	1.5	0	29	-25	0	0
244	21	2	0	-29	26	0	0
246	21	2.5	0	28	25	0	0
247	21	2.75	0	27	-25	0	0
248	21	3	0	26	-25	0	0
250	21	3.5	22	-26	24	0	0
252	22	1	23	25	25	0	0
254	22	1.5	25	-25	-25	0	0
258	22	2.5	24	26	-25	0	0
260	22	3	25	27	0	0	0
262	22	3.5	24	29	0	0	0
263	22	3.75	23	-29	0	0	0
264	23	1	22	-29	0	0	0
266	23	1.5	23	28	0	30	0
268	23	2	22	29	0	31	0
270	23	2.5	24	28	0	33	0
271	23	2.75	-24	27	0	-33	0
272	23	3	-24	26	0	-33	0
274	23	3.5	23	27	0	32	0
276	24	1	24	26	0	33	0
278	24	1.5	23	28	0	32	0
279	24	1.75	22	-28	0	31	0
280	24	2	21	-28	0	30	0
281	24	2.25	-21	27	0	-30	0
282	24	2.5	23	25	0	32	32
284	24	3	22	29	0	31	33
286	24	3.5	21	30	0	32	35
288	25	1	18	29	25	-32	-35
290	25	1.5	-18	-29	-25	32	34
292	25	2	21	28	-25	30	35
294	25	2.5	-21	-28	-25	-30	34
295	25	2.75	-21	-28	-25	31	33
296	25	3	-21	0	-25	32	32
298	25	3.5	18	0	-25	-32	34
300	26	1	19	0	23	28	33
302	26	1.5	21	0	-23	-28	32
304	26	2	-21	0	-23	0	35
305	26	2.25	20	0	-23	0	-35
306	26	2.5	19	30	-23	0	-35
307	26	2.75	18	-30	-23	0	-35
308	26	3	19	30	-23	0	35
312	27	1	18	30	25	32	34
314	27	1.5	-18	29	-25	-32	-34
315	27	1.75	-18	-29	-25	32	-34
316	27	2	-18	-29	-25	32	-34
318	27	2.5	-18	27	-25	32	-34
320	27	3	0	28	26	31	0
324	28	1	0	27	25	32	0
328	28	2	0	0	25	-32	0
330	28	2.5	0	30	-25	-32	0
332	28	3	0	30	23	0	34
334	28	3.5	0	30	-23	32	-34
335	28	3.75	0	-30	-23	-32	34
336	29	1	0	30	25	32	34
338	29	1.5	0	29	-25	32	34
340	29	2	0	-29	-25	32	34
342	29	2.5	0	27	-25	32	34
344	29	3	0	28	26	30	33
346	29	3.5	0	-28	-26	31	-33
348	30	1	0	29	25	32	34
352	30	2	25	-29	-25	-32	0
354	30	2.5	-25	-29	-25	-32	34
356	30	3	-25	29	0	-32	-34
358	30	3.5	-25	-29	0	-32	34
360	31	1	21	30	0	0	35
362	31	1.5	-21	-30	25	0	-35
364	31	2	21	30	-25	0	-35
366	31	2.5	21	30	25	0	34
367	31	2.75	-21	-30	-25	0	33
368	31	3	-21	-30	25	0	32
370	31	3.5	20	29	25	0	35
371	31	3.75	19	28	-25	0	-35
372	32	1	18	29	-25	0	34
374	32	1.5	21	30	23	0	33
376	32	2	20	29	25	0	-33
377	32	2.25	-20	-29	-25	0	32
378	32	2.5	18	-29	-25	0	32
380	32	3	22	29	26	0	-32
382	32	3.5	-22	-29	-26	0	31
384	33	1	18	27	25	29	32
388	33	2	-18	-27	0	30	-32
390	33	2.5	-18	-27	29	32	-32
392	33	3	0	0	29	-32	0
393	33	3.25	0	0	-29	31	0
394	33	3.5	25	0	27	29	0
396	34	1	-25	0	29	-29	0
397	34	1.25	24	0	-29	-29	0
398	34	1.5	23	0	30	32	0
399	34	1.75	22	0	-30	-32	0
400	34	2	21	0	-30	-32	0
402	34	2.5	22	0	29	31	0
404	34	3	23	0	-29	32	0
405	34	3.25	-23	0	28	-32	0
406	34	3.5	-23	0	28	-32	0
408	35	1	22	26	29	31	0
412	35	2	-22	27	-29	-31	0
414	35	2.5	-22	29	-29	-31	33
416	35	3	-22	-29	-29	-31	33
417	35	3.25	-22	28	-29	-31	-33
418	35	3.5	-22	26	-29	-31	31
420	36	1	0	-26	0	0	33
422	36	1.5	0	29	0	0	34
425	36	2.25	0	28	0	0	-34
426	36	2.5	0	27	0	0	33
427	36	2.75	0	26	0	0	-33
428	36	3	0	27	0	0	-33
429	36	3.25	0	-27	0	0	32
430	36	3.5	0	-27	0	0	32
432	37	1	22	26	29	31	33
434	37	1.5	-22	26	-29	-31	33
436	37	2	18	25	-29	32	34
438	37	2.5	22	26	-29	31	33
440	37	3	18	25	-29	32	34
442	37	3.5	25	27	-29	29	32
446	38	1.5	22	26	-29	33	31
448	38	2	25	25	-29	34	32
450	38	2.5	22	26	-29	33	31
452	38	3	18	25	-29	34	32
454	38	3.5	22	26	-29	33	29
456	39	1	-22	29	27	0	-29
457	39	1.25	21	-29	-27	0	-29
458	39	1.5	20	-29	-27	29	36
459	39	1.75	19	28	-27	-29	-36
460	39	2	18	27	29	29	-36
461	39	2.25	-18	26	-29	-29	35
462	39	2.5	18	25	-29	32	34
463	39	2.75	-18	-25	-29	-32	33
464	39	3	21	25	30	32	32
466	39	3.5	21	28	-30	30	32
