**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	23	0	0	0
8	1	3	23	0	0	0
12	2	1	26	0	0	0
16	2	2	-26	0	0	30
20	2	3	26	0	0	-30
24	3	1	25	0	0	-30
28	3	2	24	0	0	33
31	3	2.75	23	0	0	-33
32	3	3	24	0	0	-33
36	4	1	23	0	0	32
38	4	1.5	26	0	0	31
41	4	2.25	-26	0	0	30
42	4	2.5	25	0	0	30
44	4	3	24	0	0	-30
46	4	3.5	-24	0	0	29
48	5	1	23	0	0	30
51	5	1.75	-23	0	0	31
52	5	2	-23	0	0	32
54	5	2.5	22	0	0	33
55	5	2.75	21	0	0	-33
56	5	3	20	0	0	-33
58	5	3.5	-20	0	0	32
60	6	1	19	23	0	33
66	6	2.5	-19	-23	0	33
68	6	3	-19	23	0	-33
69	6	3.25	-19	-23	0	34
70	6	3.5	-19	-23	0	35
72	7	1	-19	26	0	-35
73	7	1.25	-19	-26	0	34
74	7	1.5	-19	-26	0	33
75	7	1.75	-19	-26	0	32
76	7	2	22	-26	0	33
78	7	2.5	-22	-26	0	32
80	7	3	-22	26	0	-32
82	7	3.5	-22	-26	0	31
84	8	1	18	25	22	32
86	8	1.5	-18	-25	-22	25
88	8	2	22	24	-22	26
91	8	2.75	-22	23	-22	-26
92	8	3	-22	24	22	27
96	9	1	21	23	25	28
99	9	1.75	-21	-23	-25	29
100	9	2	-21	-23	-25	30
102	9	2.5	-21	-23	-25	30
104	9	3	-21	-23	25	-30
105	9	3.25	-21	-23	-25	29
106	9	3.5	-21	-23	-25	28
107	9	3.75	-21	-23	-25	27
108	10	1	22	0	24	26
111	10	1.75	-22	0	-24	27
112	10	2	19	0	23	28
114	10	2.5	-19	0	-23	29
115	10	2.75	-19	0	22	-29
116	10	3	-19	0	23	-29
118	10	3.5	-19	0	-23	28
120	11	1	0	0	22	29
122	11	1.5	26	0	-22	-29
125	11	2.25	25	0	-22	0
126	11	2.5	24	0	-22	29
127	11	2.75	23	0	-22	-29
128	11	3	24	0	-22	-29
129	11	3.25	-24	0	-22	30
130	11	3.5	-24	0	-22	31
132	12	1	23	27	0	32
136	12	2	0	27	0	-32
138	12	2.5	23	-27	0	-32
140	12	3	-23	23	0	32
141	12	3.25	22	-23	0	-32
142	12	3.5	21	-23	0	31
143	12	3.75	-21	-23	0	30
144	13	1	20	27	0	29
146	13	1.5	23	27	0	32
148	13	2	-23	27	0	-32
150	13	2.5	19	26	0	31
152	13	3	21	-26	0	30
154	13	3.5	-21	25	0	-30
156	14	1	22	24	26	29
160	14	2	19	23	26	28
162	14	2.5	-19	-23	-26	30
164	14	3	26	0	22	29
166	14	3.5	-26	0	-22	31
168	15	1	22	0	26	-31
169	15	1.25	-22	0	-26	30
170	15	1.5	-22	0	26	29
171	15	1.75	23	0	-26	-29
172	15	2	24	0	26	28
174	15	2.5	21	0	25	30
177	15	3.25	-21	0	-25	29
178	15	3.5	22	0	24	29
180	16	1	19	0	23	-29
182	16	1.5	-19	0	-23	28
184	16	2	0	0	22	29
186	16	2.5	26	0	-22	-29
188	16	3	-26	30	0	28
190	16	3.5	23	-30	0	32
192	17	1	-23	30	0	-32
193	17	1.25	-23	-30	0	33
194	17	1.5	25	-30	0	34
195	17	1.75	-25	-30	0	35
196	17	2	-25	29	0	34
198	17	2.5	22	-29	0	33
200	17	3	24	29	0	-33
202	17	3.5	23	-29	0	32
203	17	3.75	22	-29	0	31
204	18	1	21	30	0	32
208	18	2	-21	30	0	28
210	18	2.5	-21	-30	0	32
212	18	3	18	27	29	-32
213	18	3.25	-18	-27	-29	31
214	18	3.5	-18	-27	-29	32
216	19	1	-18	-27	29	29
218	19	1.5	-18	-27	-29	32
220	19	2	21	30	28	0
222	19	2.5	-21	-30	-28	32
224	19	3	-21	30	28	-32
226	19	3.5	-21	-30	-28	33
228	20	1	20	29	29	34
231	20	1.75	-20	-29	-29	33
232	20	2	-20	29	29	31
234	20	2.5	-20	-29	-29	32
236	20	3	0	30	26	33
238	20	3.5	0	-30	-26	35
240	21	1	19	-30	-26	-35
242	21	1.5	-19	-30	-26	34
243	21	1.75	-19	-30	-26	33
244	21	2	18	27	29	34
246	21	2.5	-18	-27	-29	32
248	21	3	-18	-27	29	-32
249	21	3.25	-18	-27	-29	31
250	21	3.5	-18	-27	-29	29
252	22	1	21	0	28	30
255	22	1.75	-21	0	-28	31
256	22	2	23	30	28	32
260	22	3	22	31	29	31
262	22	3.5	-22	-31	-29	33
266	23	1.5	-22	-31	-29	34
268	23	2	21	30	26	35
270	23	2.5	22	29	-26	33
272	23	3	19	28	-26	-33
273	23	3.25	-19	-28	-26	32
273.5	23	3.375	-19	-28	-26	31
274	23	3.5	-19	-28	-26	30
276	24	1	23	27	0	-30
277	24	1.25	-23	-27	0	31
278	24	1.5	-23	-27	0	32
279	24	1.75	24	-27	0	-32
280	24	2	25	-27	29	-32
281	24	2.25	-25	-27	-29	33
282	24	2.5	-25	-27	-29	34
283	24	2.75	24	-27	-29	-34
284	24	3	23	-27	30	-34
285	24	3.25	22	-27	-30	-34
286	24	3.5	23	-27	-30	32
288	25	1	21	0	-30	-32
289	25	1.25	-21	0	-30	33
290	25	1.5	25	0	-30	34
291	25	1.75	-25	0	-30	35
292	25	2	-25	0	29	34
294	25	2.5	26	0	28	33
296	25	3	23	0	27	-33
298	25	3.5	-23	0	-27	32
300	26	1	19	23	26	33
306	26	2.5	-19	-23	-26	35
308	26	3	-19	23	-26	-35
309	26	3.25	-19	-23	-26	34
310	26	3.5	-19	-23	-26	33
312	27	1	-19	26	0	-33
313	27	1.25	-19	-26	0	32
314	27	1.5	-19	-26	0	31
315	27	1.75	-19	-26	0	30
316	27	2	22	-26	0	31
318	27	2.5	-22	-26	0	32
320	27	3	-22	26	0	-32
322	27	3.5	-22	-26	0	31
324	28	1	18	25	22	32
326	28	1.5	-18	-25	-22	25
328	28	2	22	24	-22	26
332	28	3	-22	-24	22	27
