**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	23	0	0	0
8	1	3	23	0	0	0
12	2	1	26	0	0	30
18	2	2.5	25	0	0	-30
20	2	3	25	0	0	30
24	3	1	24	0	0	33
30	3	2.5	23	0	0	32
32	3	3	23	0	0	32
36	4	1	0	0	0	31
38	4	1.5	26	0	0	-31
39	4	1.75	-26	0	0	30
40	4	2	-26	0	0	30
42	4	2.5	25	0	0	-30
45	4	3.25	24	0	0	-30
46	4	3.5	23	0	0	-30
47	4	3.75	22	0	0	-30
48	5	1	21	0	0	0
50	5	1.5	22	0	0	33
52	5	2	19	0	0	-33
54	5	2.5	23	0	0	32
57	5	3.25	24	0	0	31
58	5	3.5	25	0	0	30
59	5	3.75	-25	0	0	29
60	6	1	26	24	0	28
62	6	1.5	22	-24	0	29
64	6	2	-22	-24	0	26
65	6	2.25	23	-24	0	-26
66	6	2.5	22	-24	0	-26
67	6	2.75	21	-24	0	27
67.5	6	2.875	20	-24	0	-27
68	6	3	19	24	0	28
70	6	3.5	22	-24	0	29
72	7	1	18	27	0	-29
73	7	1.25	-18	-27	0	28
74	7	1.5	-18	-27	0	30
76	7	2	-18	-27	0	29
78	7	2.5	-18	-27	0	32
80	7	3	18	27	0	-32
81	7	3.25	-18	-27	0	31
82	7	3.5	-18	-27	0	30
83	7	3.75	-18	-27	0	29
84	8	1	19	26	23	28
87	8	1.75	20	-26	-23	-28
88	8	2	21	25	-23	-28
92	8	3	21	-25	23	-28
96	9	1	17	24	26	28
102	9	2.5	-17	-24	-26	29
104	9	3	17	-24	26	28
106	9	3.5	-17	-24	-26	31
108	10	1	21	0	25	-31
110	10	1.5	-21	0	-25	30
112	10	2	22	0	24	31
116	10	3	-22	0	-24	33
120	11	1	19	28	23	-33
124	11	2	21	28	-23	32
128	11	3	-21	28	-23	-32
132	12	1	22	24	0	31
134	12	1.5	-22	-24	0	33
137	12	2.25	-22	-24	0	32
138	12	2.5	-22	-24	0	31
139	12	2.75	-22	-24	0	30
140	12	3	22	-24	0	31
144	13	1	23	0	27	30
147	13	1.75	-23	0	-27	31
148	13	2	-23	0	27	32
150	13	2.5	22	0	-27	-32
151	13	2.75	21	0	-27	-32
152	13	3	20	0	27	25
156	14	1	19	28	23	26
160	14	2	-19	28	-23	0
162	14	2.5	-19	-28	-23	26
164	14	3	19	28	-23	-26
165	14	3.25	-19	-28	-23	27
166	14	3.5	-19	-28	-23	28
168	15	1	18	27	0	29
170	15	1.5	-18	-27	0	30
172	15	2	-18	-27	0	29
174	15	2.5	-18	-27	0	32
176	15	3	22	26	0	-32
178	15	3.5	-22	-26	0	31
180	16	1	18	25	27	32
184	16	2	-18	-25	27	-32
188	16	3	18	-25	27	29
192	17	1	22	24	26	29
196	17	2	-22	-24	-26	26
198	17	2.5	19	-24	-26	28
200	17	3	21	0	25	-28
201	17	3.25	-21	0	-25	29
202	17	3.5	-21	0	-25	30
204	18	1	22	26	24	29
206	18	1.5	-22	-26	-24	31
209	18	2.25	-22	-26	-24	30
210	18	2.5	19	-26	-24	28
212	18	3	22	-26	-24	29
215	18	3.75	-22	-26	-24	28
216	19	1	0	27	23	30
218	19	1.5	25	-27	-23	-30
222	19	2.5	24	-27	-23	-30
223	19	2.75	23	-27	-23	-30
224	19	3	23	-27	-23	-30
228	20	1	0	0	0	0
228	20	1	23	30	0	0
231	20	2.5	24	-30	0	0
232	20	3	25	-30	0	0
234	20	4	26	-30	0	0
238	21	2	25	-30	0	0
240	21	3	26	-30	26	0
243	21	4.5	-26	-30	27	0
244	22	1	0	30	28	0
246	22	2	0	-30	29	0
250	22	4	0	-30	28	0
252	23	1	22	29	29	0
255	23	2.5	23	-29	-29	0
256	23	3	24	-29	-29	0
258	23	4	25	-29	28	0
259	23	4.5	-25	-29	27	0
260	24	1	-25	-29	26	0
262	24	2	24	-29	-26	0
264	24	3	25	-29	25	0
267	24	4.5	-25	-29	26	0
268	25	1	-25	29	27	0
270	25	2	24	-29	28	0
271	25	2.5	23	-29	-28	0
272	25	3	22	-29	-28	0
274	25	4	-22	-29	27	0
276	26	1	21	30	28	0
280	26	3	-21	-30	-28	32
282	26	4	-21	-30	27	-32
283	26	4.5	-21	-30	26	33
284	27	1	0	-30	25	34
286	27	2	0	-30	26	35
290	27	4	0	-30	25	34
292	28	1	0	30	26	35
294	28	2	0	-30	-26	33
296	28	3	0	-30	23	32
298	28	4	23	-30	25	-32
300	29	1	-23	27	-25	0
302	29	2	22	-27	24	0
304	29	3	23	-27	25	0
306	29	4	-23	-27	24	0
307	29	4.5	-23	-27	23	0
308	30	1	22	-27	22	0
310	30	2	23	-27	25	32
313	30	3.5	22	-27	0	-32
314	30	4	25	-27	0	31
315	30	4.5	-25	-27	0	30
316	31	1	-25	27	0	29
318	31	2	24	-27	0	32
319	31	2.5	23	-27	0	-32
320	31	3	22	-27	0	0
322	31	4	-22	-27	29	0
323	31	4.5	23	-27	-29	0
324	32	1	22	0	-29	0
326	32	2	23	0	28	0
327	32	2.5	-23	0	27	0
328	32	3	24	0	26	0
330	32	4	25	0	25	32
332	33	1	21	30	28	-32
334	33	2	-21	-30	-28	33
336	33	3	-21	-30	28	32
337	33	3.5	-21	-30	27	-32
338	33	4	-21	-30	26	35
339	33	4.5	-21	-30	25	-35
340	34	1	19	-30	26	-35
341	34	1.5	-19	-30	-26	34
342	34	2	-19	-30	23	33
343	34	2.5	-19	-30	-23	32
344	34	3	19	-30	26	33
345	34	3.5	20	-30	-26	-33
346	34	4	21	-30	-26	29
347	34	4.5	22	-30	-26	-29
348	35	1	23	30	25	0
349	35	1.5	-23	-30	26	0
350	35	2	-23	-30	27	32
351	35	2.5	-23	-30	28	-32
352	35	3	-23	-30	27	-32
353	35	3.5	-23	-30	-27	33
354	35	4	-23	-30	25	34
355	35	4.5	-23	-30	-25	35
356	36	1	25	29	0	34
358	36	2	-25	-29	0	32
360	36	3	22	-29	24	33
