**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	24	0
8	1	3	0	0	24	0
12	2	1	0	0	24	31
16	2	2	0	0	27	-31
20	2	3	0	0	-27	31
22	2	3.5	0	0	26	-31
24	3	1	0	0	26	31
28	3	2	0	0	25	34
34	3	3.5	0	0	24	33
35	3	3.75	0	0	23	-33
36	4	1	0	0	22	33
38	4	1.5	0	0	21	-33
40	4	2	0	0	-21	32
42	4	2.5	0	0	22	-32
44	4	3	0	0	23	-32
46	4	3.5	0	0	-23	31
47	4	3.75	0	0	-23	30
48	5	1	0	0	24	29
50	5	1.5	0	0	-24	28
52	5	2	0	0	-24	31
60	6	1	0	0	28	30
66	6	2.5	0	0	-28	31
68	6	3	0	0	-28	32
72	7	1	0	0	-28	33
78	7	2.5	0	0	-28	32
80	7	3	0	0	28	-32
82	7	3.5	0	0	-28	31
83	7	3.75	0	0	-28	30
84	8	1	0	0	27	29
88	8	2	0	0	26	28
90	8	2.5	0	0	24	-28
92	8	3	0	0	-24	31
93	8	3.25	0	0	23	-31
94	8	3.5	0	0	22	-31
96	9	1	0	0	21	30
98	9	1.5	0	0	24	29
100	9	2	0	0	25	-29
102	9	2.5	0	0	26	28
104	9	3	0	0	-26	27
106	9	3.5	0	0	25	-27
108	10	1	0	0	26	26
116	10	3	0	0	0	28
118	10	3.5	0	0	24	-28
120	11	1	0	0	-24	29
122	11	1.5	0	0	25	30
124	11	2	0	0	26	-30
126	11	2.5	0	0	-26	31
128	11	3	0	0	27	32
130	11	3.5	0	0	28	-32
132	12	1	0	0	-28	33
134	12	1.5	0	0	24	-33
136	12	2	0	0	23	32
138	12	2.5	0	0	24	33
141	12	3.25	0	0	25	32
142	12	3.5	0	0	26	31
143	12	3.75	0	0	-26	30
144	13	1	0	0	27	29
146	13	1.5	0	0	28	28
148	13	2	0	0	24	-28
150	13	2.5	0	0	-24	31
152	13	3	0	0	27	-31
153	13	3.25	0	0	-27	30
154	13	3.5	0	0	-27	29
155	13	3.75	0	0	26	28
156	14	1	0	0	25	27
157	14	1.25	0	0	24	-27
158	14	1.5	0	0	28	26
160	14	2	0	0	24	-26
162	14	2.5	0	0	-24	29
164	14	3	0	0	29	-29
165	14	3.25	0	0	-29	28
166	14	3.5	0	0	-29	27
167	14	3.75	0	0	28	26
168	15	1	0	0	27	25
169	15	1.25	0	0	26	-25
170	15	1.5	0	0	28	24
172	15	2	0	0	24	-24
174	15	2.5	0	0	-24	31
176	15	3	0	0	29	-31
177	15	3.25	0	0	-29	32
178	15	3.5	0	0	-29	34
180	16	1	0	0	28	33
182	16	1.5	0	0	27	32
186	16	2.5	0	0	26	31
188	16	3	0	0	25	-31
190	16	3.5	0	0	-25	30
192	17	1	0	24	24	31
200	17	3	17	-24	28	-31
204	18	1	20	-24	27	0
206	18	1.5	-20	-24	29	0
210	18	2.5	21	-24	28	0
211	18	2.75	-21	-24	27	0
212	18	3	22	-24	26	31
216	19	1	23	27	25	32
220	19	2	22	-27	0	31
222	19	2.5	23	-27	0	32
224	19	3	-23	-27	23	-32
226	19	3.5	22	-27	-23	31
227	19	3.75	21	-27	-23	30
228	20	1	20	-27	24	29
231	20	1.75	-20	-27	-24	30
232	20	2	0	-27	22	31
233	20	2.25	0	-27	-22	29
234	20	2.5	0	-27	23	32
236	20	3	16	-27	-23	-32
237	20	3.25	-16	-27	24	31
238	20	3.5	-16	-27	25	30
239	20	3.75	-16	-27	-25	29
240	21	1	17	26	26	28
242	21	1.5	24	-26	-26	-28
243	21	1.75	-24	-26	27	-28
244	21	2	-24	-26	28	0
245	21	2.25	23	-26	-28	0
246	21	2.5	22	-26	29	31
248	21	3	21	-26	0	-31
249	21	3.25	-21	-26	0	30
250	21	3.5	22	-26	22	29
252	22	1	19	-26	23	28
254	22	1.5	24	-26	22	29
256	22	2	-24	-26	-22	26
257	22	2.25	23	-26	21	-26
258	22	2.5	22	-26	22	31
260	22	3	21	-26	23	30
262	22	3.5	22	-26	24	29
264	23	1	18	25	25	-29
265	23	1.25	-18	-25	-25	28
266	23	1.5	23	-25	-25	27
267	23	1.75	-23	-25	26	26
268	23	2	-23	-25	27	25
269	23	2.25	22	-25	-27	-25
270	23	2.5	21	-25	28	30
272	23	3	20	-25	0	-30
273	23	3.25	-20	-25	0	29
274	23	3.5	21	-25	21	28
276	24	1	18	-25	22	27
278	24	1.5	23	-25	21	28
280	24	2	-23	-25	-21	25
281	24	2.25	22	-25	20	-25
282	24	2.5	21	-25	21	30
284	24	3	20	-25	22	29
286	24	3.5	21	-25	23	28
288	25	1	17	24	24	-28
289	25	1.25	-17	-24	-24	27
290	25	1.5	22	-24	-24	26
291	25	1.75	-22	-24	25	25
292	25	2	-22	-24	26	24
293	25	2.25	21	-24	-26	-24
294	25	2.5	20	-24	27	31
296	25	3	19	-24	28	-31
297	25	3.25	-19	-24	-28	30
298	25	3.5	20	-24	29	29
300	26	1	17	-24	26	28
302	26	1.5	-17	-24	27	29
304	26	2	-17	-24	28	26
314	27	1.5	17	0	-28	0
318	27	2.5	20	0	24	0
320	27	3	19	0	-24	0
322	27	3.5	18	0	27	0
324	28	1	21	0	26	0
326	28	1.5	-21	0	25	0
327	28	1.75	20	0	-25	0
328	28	2	19	0	28	0
329	28	2.25	18	0	-28	0
330	28	2.5	17	0	-28	0
331	28	2.75	-17	0	27	0
332	28	3	-17	0	26	0
333	28	3.25	-17	0	25	0
334	28	3.5	20	0	24	0
