**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	17	21	24	31
3	1	1.75	18	-21	-24	-31
4	1	2	19	-21	-24	-31
6	1	2.5	20	22	25	30
7	1	2.75	-20	-22	-25	29
8	2	1	21	23	26	28
10	2	1.5	-21	25	28	30
12	2	2	22	-25	-28	29
14	2	2.5	-22	24	27	31
16	3	1	21	25	28	-31
17	3	1.25	-21	-25	-28	30
18	3	1.5	-21	-25	-28	30
20	3	2	22	24	27	31
22	3	2.5	20	-24	-27	-31
24	4	1	22	-24	-27	0
26	4	1.5	23	25	28	0
28	4	2	24	26	29	31
30	4	2.5	26	28	31	-31
32	5	1	25	-28	-31	32
34	5	1.5	-25	27	30	-32
36	5	2	24	28	31	33
38	5	2.5	-24	-28	-31	35
40	6	1	26	0	0	-35
41	6	1.25	-26	0	0	34
42	6	1.5	-26	0	0	33
44	6	2	27	0	0	-33
46	6	2.5	-27	0	0	32
48	7	1	26	0	0	33
52	7	2	19	21	24	-33
54	7	2.5	-19	-21	-24	35
58	8	1.5	20	22	25	34
60	8	2	21	23	26	33
62	8	2.5	-21	25	28	32
63	8	2.75	20	-25	-28	-32
64	9	1	21	-25	-28	30
66	9	1.5	22	24	27	31
68	9	2	21	25	28	-31
70	9	2.5	-21	-25	-28	30
72	10	1	22	24	27	31
76	10	2	20	-24	-27	-31
82	11	1.5	-20	-24	-27	31
84	11	2	22	-24	-27	-31
86	11	2.5	-22	-24	-27	30
87	11	2.75	-22	-24	-27	29
88	12	1	21	25	28	30
92	12	2	22	24	27	31
94	12	2.5	21	25	28	30
98	13	1.5	-21	23	26	28
100	13	2	20	22	25	32
102	13	2.5	19	21	24	33
106	14	1.5	17	-21	-24	-33
108	14	2	24	0	0	-33
110	14	2.5	25	0	0	34
112	15	1	26	0	0	33
114	15	1.5	24	0	0	29
116	15	2	-24	0	0	31
118	15	2.5	23	0	0	32
120	16	1	24	28	31	33
124	16	2	25	27	30	32
126	16	2.5	24	28	31	33
128	17	1	-24	-28	-31	31
130	17	1.5	-24	26	29	-31
132	17	2	23	25	28	0
134	17	2.5	22	24	27	31
136	18	1	20	-24	-27	-31
138	18	1.5	22	-24	-27	29
140	18	2	21	25	28	30
142	18	2.5	-21	-25	-28	30
144	19	1	22	24	27	31
146	19	1.5	21	25	28	30
149	19	2.25	20	-25	-28	29
150	19	2.5	21	23	26	28
152	20	1	18	22	25	27
154	20	1.5	19	21	24	28
158	20	2.5	17	-21	-24	35
160	21	1	17	21	24	-35
161	21	1.25	-17	-21	-24	34
162	21	1.5	-17	-21	-24	33
164	21	2	19	-21	-24	-33
166	21	2.5	20	22	25	32
167	21	2.75	-20	-22	-25	31
168	22	1	21	23	26	30
170	22	1.5	-21	25	28	-30
172	22	2	22	-25	-28	0
174	22	2.5	-22	24	27	31
176	23	1	21	25	28	-31
177	23	1.25	-21	-25	-28	29
178	23	1.5	-21	-25	-28	30
180	23	2	22	24	27	31
182	23	2.5	20	-24	-27	34
184	24	1	22	-24	-27	-34
185	24	1.25	-22	-24	-27	33
186	24	1.5	23	25	28	32
188	24	2	24	26	29	31
190	24	2.5	-24	28	31	33
191	24	2.75	23	-28	-31	-33
192	25	1	24	-28	-31	-33
194	25	1.5	25	27	30	32
196	25	2	24	28	31	33
200	26	1	21	0	0	32
202	26	1.5	24	0	0	33
205	26	2.25	-24	0	0	31
206	26	2.5	23	0	0	32
208	27	1	24	0	0	28
210	27	1.5	-24	0	0	31
211	27	1.75	-24	0	0	32
212	27	2	17	21	24	33
213	27	2.25	-17	-21	-24	34
214	27	2.5	-17	-21	-24	35
216	28	1	19	-21	-24	-35
218	28	1.5	20	22	25	34
220	28	2	21	23	26	33
222	28	2.5	-21	25	28	32
224	29	1	21	-25	-28	30
226	29	1.5	22	24	27	31
228	29	2	21	25	28	-31
230	29	2.5	-21	-25	-28	30
232	30	1	17	24	-28	31
240	31	1	0	0	0	0
240	31	1	24	28	24	31
248	32	1	24	26	24	-31
252	32	3	22	24	26	-31
256	33	1	21	25	28	30
258	33	2	23	-25	-28	-30
260	33	3	23	-25	-28	28
262	33	4	22	26	-28	-28
263	33	4.5	21	-26	-28	-28
264	34	1	20	27	31	29
272	35	1	17	26	0	28
274	35	2	-17	-26	0	35
277	35	3.5	-17	-26	0	34
278	35	4	-17	-26	0	33
280	36	1	0	-26	24	-33
281	36	1.5	0	-26	-24	32
282	36	2	0	-26	-24	31
285	36	3.5	0	-26	-24	30
286	36	4	0	-26	-24	29
288	37	1	24	-26	-24	28
290	37	2	-24	-26	-24	29
292	37	3	-24	-26	26	-29
293	37	3.5	-24	-26	-26	30
294	37	4	-24	-26	-26	31
296	38	1	-24	22	27	29
298	38	2	-24	-22	-27	31
300	38	3	22	24	-27	-31
302	38	4	-22	-24	-27	30
303	38	4.5	-22	-24	-27	29
304	39	1	21	25	28	30
310	39	4	-21	24	-28	-30
311	39	4.5	-21	23	-28	-30
312	40	1	20	22	24	31
316	40	3	-20	29	-24	29
318	40	4	-20	-29	-24	31
320	41	1	24	-29	26	-31
321	41	1.5	-24	-29	-26	30
322	41	2	22	-29	-26	31
323	41	2.5	-22	-29	-26	32
324	41	3	-22	-29	27	33
325	41	3.5	21	-29	-27	-33
326	41	4	22	-29	-27	-33
327	41	4.5	23	-29	-27	-33
328	42	1	24	28	26	-33
332	42	3	-24	29	-26	31
