**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	27	0
4	1	2	0	0	25	0
8	1	3	0	0	26	0
12	2	1	27	0	25	0
14	2	1.5	-27	0	27	0
16	2	2	25	0	-27	0
17	2	2.25	-25	0	26	0
18	2	2.5	-25	0	25	0
20	2	3	26	0	24	0
22	2	3.5	-26	0	22	0
24	3	1	25	27	23	0
26	3	1.5	27	-27	22	0
28	3	2	-27	25	23	0
29	3	2.25	26	-25	-23	0
30	3	2.5	25	-25	-23	0
32	3	3	24	26	22	0
34	3	3.5	22	-26	29	0
36	4	1	23	25	28	0
38	4	1.5	22	27	29	0
40	4	2	23	-27	25	0
42	4	2.5	-23	25	-25	0
44	4	3	22	26	29	31
48	5	1	0	25	0	32
50	5	1.5	0	-25	27	-32
52	5	2	0	0	28	33
54	5	2.5	0	0	29	-33
57	5	3.25	0	0	28	-33
58	5	3.5	0	0	27	32
59	5	3.75	0	0	26	33
60	6	1	0	0	25	34
62	6	1.5	0	0	32	-34
64	6	2	0	0	30	35
65	6	2.25	0	0	28	-35
66	6	2.5	0	0	32	34
68	6	3	0	0	-32	33
69	6	3.25	0	0	30	-33
70	6	3.5	0	0	31	-33
72	7	1	0	27	32	32
74	7	1.5	25	-27	-32	-32
76	7	2	23	25	0	0
77	7	2.25	21	-25	0	0
78	7	2.5	25	-25	0	32
80	7	3	-25	26	0	35
81	7	3.25	23	-26	0	-35
82	7	3.5	24	-26	0	-35
84	8	1	25	25	0	34
86	8	1.5	-25	-25	32	-34
87	8	1.75	-25	-25	-32	33
88	8	2	-25	0	-32	34
90	8	2.5	-25	0	30	35
92	8	3	-25	0	29	-35
94	8	3.5	-25	0	-29	34
96	9	1	0	30	28	35
98	9	1.5	28	-30	-28	-35
99	9	1.75	-28	-30	29	-35
100	9	2	-28	28	30	-35
101	9	2.25	27	-28	-30	-35
102	9	2.5	26	-28	31	-35
104	9	3	25	29	32	34
106	9	3.5	-25	-29	29	-34
108	10	1	0	28	30	33
110	10	1.5	28	30	-30	32
111	10	1.75	-28	-30	28	-32
112	10	2	-28	-30	28	35
113	10	2.25	27	-30	29	-35
114	10	2.5	26	28	30	-35
115	10	2.75	-26	-28	31	-35
116	10	3	25	29	32	34
117	10	3.25	-25	-29	29	-34
118	10	3.5	24	-29	31	33
120	11	1	26	28	-31	35
121	11	1.25	-26	-28	30	-35
122	11	1.5	-26	-28	28	-35
123	11	1.75	25	-28	-28	34
124	11	2	24	0	29	33
125	11	2.25	-24	0	-29	32
126	11	2.5	23	0	25	32
128	11	3	22	0	26	-32
130	11	3.5	-22	0	-26	31
132	12	1	0	0	25	32
134	12	1.5	25	0	27	-32
136	12	2	24	0	28	0
138	12	2.5	22	0	29	0
140	12	3	23	0	-29	0
141	12	3.25	-23	0	27	0
142	12	3.5	-23	0	28	32
144	13	1	22	31	29	31
146	13	1.5	-22	-31	-29	33
148	13	2	0	29	-29	-33
149	13	2.25	0	-29	-29	32
150	13	2.5	0	-29	25	34
152	13	3	0	30	32	-34
153	13	3.25	0	-30	-32	33
154	13	3.5	0	-30	-32	34
155	13	3.75	0	-30	-32	32
156	14	1	0	29	31	33
158	14	1.5	22	-29	-31	-33
160	14	2	23	0	27	32
162	14	2.5	21	0	28	30
164	14	3	22	31	26	31
166	14	3.5	-22	-31	24	33
168	15	1	22	29	-24	-33
169	15	1.25	-22	-29	25	-33
170	15	1.5	-22	-29	26	31
171	15	1.75	-22	-29	24	-31
172	15	2	21	30	28	32
174	15	2.5	-21	-30	25	-32
176	15	3	0	29	27	31
178	15	3.5	0	31	26	-31
180	16	1	0	-31	27	0
182	16	1.5	22	29	26	0
184	16	2	-22	30	27	0
186	16	2.5	21	-30	28	32
188	16	3	22	29	26	-32
190	16	3.5	-22	-29	-26	31
192	17	1	23	0	25	32
194	17	1.5	-23	0	32	-32
196	17	2	22	0	-32	33
197	17	2.25	-22	0	31	-33
198	17	2.5	-22	0	31	-33
199	17	2.75	-22	0	30	-33
200	17	3	0	0	32	32
202	17	3.5	0	0	25	-32
204	18	1	0	0	26	0
206	18	1.5	0	0	27	29
208	18	2	0	0	28	30
210	18	2.5	0	0	29	31
212	18	3	0	0	25	32
213	18	3.25	0	0	-25	33
214	18	3.5	0	0	-25	34
215	18	3.75	0	0	26	35
216	19	1	0	0	27	36
217	19	1.25	0	0	28	37
218	19	1.5	0	0	29	36
219	19	1.75	0	0	30	-36
220	19	2	0	0	31	-36
222	19	2.5	0	0	32	35
223	19	2.75	0	0	-32	34
224	19	3	0	0	31	33
226	19	3.5	0	0	32	32
228	20	1	0	0	29	33
230	20	1.5	22	31	-29	-33
232	20	2	22	-31	-29	0
234	20	2.5	22	29	-29	31
236	20	3	21	30	0	32
238	20	3.5	22	29	0	34
240	21	1	-22	31	0	33
241	21	1.25	23	-31	0	-33
242	21	1.5	24	-31	0	-33
243	21	1.75	25	-31	0	34
244	21	2	26	-31	0	35
245	21	2.25	24	-31	0	-35
246	21	2.5	27	29	0	36
248	21	3	-27	30	0	34
250	21	3.5	26	-30	0	35
252	22	1	27	29	0	31
254	22	1.5	20	31	27	-31
258	22	2.5	20	29	27	0
260	22	3	21	30	26	0
262	22	3.5	20	29	27	36
264	23	1	-20	31	-27	-36
265	23	1.25	21	-31	-27	-36
266	23	1.5	22	-31	27	36
267	23	1.75	23	-31	-27	-36
268	23	2	24	-31	26	35
270	23	2.5	20	29	27	36
272	23	3	21	30	23	0
274	23	3.5	20	29	27	36
276	24	1	-20	31	-27	-36
277	24	1.25	21	-31	-27	-36
278	24	1.5	22	-31	27	36
279	24	1.75	23	-31	-27	-36
280	24	2	24	-31	26	35
282	24	2.5	20	29	27	36
284	24	3	21	30	23	32
288	25	1	20	29	0	0
290	25	1.5	-20	-29	27	36
292	25	2	-20	-29	27	36
294	25	2.5	-20	-29	27	36
296	25	3	0	-29	27	36
299	25	3.75	0	-29	25	-36
300	26	1	0	0	26	35
302	26	1.5	0	0	25	34
306	26	2.5	0	0	24	33
308	26	3	0	0	27	32
310	26	3.5	0	0	28	-32
312	27	1	0	0	29	31
314	27	1.5	27	0	-29	-31
316	27	2	27	0	-29	0
318	27	2.5	27	0	-29	31
320	27	3	27	0	-29	32
322	27	3.5	-27	0	-29	32
323	27	3.75	25	0	-29	-32
324	28	1	26	0	0	31
325	28	1.25	27	0	0	-31
326	28	1.5	25	0	0	30
329	28	2.25	24	0	0	29
330	28	2.5	22	0	0	29
331	28	2.75	23	0	0	-29
332	28	3	24	0	0	-29
333	28	3.25	25	0	0	-29
334	28	3.5	23	0	0	28
336	29	1	22	0	0	29
338	29	1.5	-22	0	26	-29
340	29	2	-22	0	27	-29
342	29	2.5	-22	0	26	-29
344	29	3	0	0	27	-29
348	30	1	22	0	26	0
350	30	1.5	-22	0	29	0
352	30	2	23	0	28	0
354	30	2.5	22	0	27	0
356	30	3	23	0	-27	0
357	30	3.25	-23	0	26	0
358	30	3.5	-23	0	25	0
360	31	1	22	0	24	0
362	31	1.5	25	0	27	0
364	31	2	24	0	26	0
366	31	2.5	23	0	25	0
367	31	2.75	-23	0	28	0
369	31	3.25	22	0	27	0
370	31	3.5	21	0	-27	0
371	31	3.75	-21	0	26	0
372	32	1	20	0	27	0
374	32	1.5	27	0	29	0
376	32	2	26	0	28	0
378	32	2.5	25	0	27	0
379	32	2.75	-25	0	30	0
381	32	3.25	24	0	29	0
382	32	3.5	23	0	-29	0
383	32	3.75	-23	0	28	0
384	33	1	22	0	29	0
386	33	1.5	-22	31	-29	33
388	33	2	0	29	27	34
