**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	0	28	0
6	1	4	-21	0	27	0
7	1	4.5	-21	0	26	0
8	2	1	-21	0	28	0
11	2	2.5	-21	0	27	0
12	2	3	-21	0	25	0
16	3	1	-21	0	-25	35
18	3	2	-21	0	26	-35
22	3	4	-21	0	25	34
23	3	4.5	-21	0	24	33
24	4	1	-21	0	23	35
27	4	2.5	-21	0	-23	34
28	4	3	-21	0	28	32
32	5	1	21	28	-28	-32
34	5	2	-21	-28	27	33
35	5	2.5	-21	-28	26	-33
36	5	3	-21	-28	28	-33
38	5	4	-21	27	-28	32
39	5	4.5	-21	26	29	31
40	6	1	-21	28	30	30
42	6	2	-21	-28	28	-30
43	6	2.5	-21	27	-28	-30
44	6	3	-21	25	-28	-30
45	6	3.5	-21	-25	27	-30
46	6	4	-21	-25	28	-30
48	7	1	22	24	26	0
50	7	2	-22	-24	29	0
52	7	3	-22	-24	-29	31
54	7	4	-22	23	28	-31
55	7	4.5	-22	22	-28	-31
56	8	1	-22	24	26	-31
58	8	2	-22	-24	-26	30
59	8	2.5	-22	25	-26	29
60	8	3	-22	26	24	31
63	8	4.5	-22	-26	-24	30
64	9	1	24	0	0	28
66	9	2	-24	26	0	-28
68	9	3	-24	-26	31	-28
70	9	4	-24	25	-31	29
71	9	4.5	-24	24	-31	-29
72	10	1	-24	26	-31	-29
74	10	2	-24	-26	30	28
75	10	2.5	-24	27	29	27
76	10	3	-24	28	31	26
79	10	4.5	-24	-28	30	-26
80	11	1	-24	0	28	0
82	11	2	-24	0	-28	26
84	11	3	-24	31	-28	-26
86	11	4	-24	-31	29	25
87	11	4.5	-24	-31	-29	24
88	12	1	-24	-31	-29	26
90	12	2	-24	30	28	-26
91	12	2.5	-24	29	27	27
92	12	3	-24	31	26	28
95	12	4.5	-24	30	-26	-28
96	13	1	0	28	-26	-28
98	13	2	0	-28	25	29
99	13	2.5	0	-28	24	-29
100	13	3	0	-28	23	30
102	13	4	0	29	22	31
104	14	1	0	-29	24	-31
106	14	2	0	28	-24	30
107	14	2.5	0	27	-24	29
108	14	3	0	26	-24	28
112	15	1	20	22	-24	0
116	15	3	-20	-22	25	29
128	17	1	19	0	26	28
131	17	2.5	-19	0	27	-28
132	17	3	-19	26	28	-28
133	17	3.5	-19	-26	29	-28
134	17	4	-19	-26	28	27
135	17	4.5	-19	-26	-28	26
136	18	1	-19	26	-28	28
138	18	2	-19	-26	27	-28
139	18	2.5	-19	-26	26	29
140	18	3	-19	26	28	30
144	19	1	-19	28	26	0
147	19	2.5	-19	-28	27	0
148	19	3	-19	-28	28	26
149	19	3.5	-19	-28	29	-26
150	19	4	-19	27	28	-26
151	19	4.5	-19	26	-28	-26
152	20	1	-19	28	-28	26
154	20	2	-19	-28	27	-26
155	20	2.5	-19	29	26	-26
156	20	3	-19	30	28	26
159	20	4.5	-19	-30	29	-26
160	21	1	19	26	30	28
163	21	2.5	-19	27	-30	-28
164	21	3	-19	28	26	-28
165	21	3.5	-19	29	-26	-28
166	21	4	-19	28	-26	27
167	21	4.5	-19	-28	-26	26
168	22	1	-19	-28	26	28
170	22	2	-19	27	-26	-28
171	22	2.5	-19	26	-26	29
172	22	3	-19	28	26	30
175	22	4.5	-19	29	-26	-30
176	23	1	19	30	28	26
179	23	2.5	-19	-30	-28	27
180	23	3	-19	26	-28	28
181	23	3.5	-19	-26	-28	29
182	23	4	-19	-26	27	28
183	23	4.5	-19	-26	26	-28
184	24	1	-19	30	28	-28
