**absq	**bar	**beat	**b7
16	3	1	23
22	3	2.5	24
24	4	1	25
28	4	2	0
30	4	2.5	26
34	5	1.5	25
36	5	2	26
38	5	2.5	28
40	6	1	27
44	6	2	26
48	7	1	0
56	8	1	25
59	8	1.75	26
60	8	2	27
62	8	2.5	28
64	9	1	27
66	9	1.5	30
70	9	2.5	29
72	10	1	30
80	11	1	0
88	12	1	26
92	12	2	25
94	12	2.5	24
98	13	1.5	23
100	13	2	22
104	14	1	21
112	15	1	0
120	16	1	28
124	16	2	27
126	16	2.5	26
130	17	1.5	25
132	17	2	24
136	18	1	23
144	19	1	0
152	20	1	0
160	21	1	23
166	21	4	24
168	22	1	25
172	22	3	0
174	22	4	26
178	23	2	25
180	23	3	26
182	23	4	28
184	24	1	27
188	24	3	26
192	25	1	0
200	26	1	25
203	26	2.5	26
204	26	3	27
206	26	4	28
208	27	1	27
210	27	2	30
214	27	4	29
216	28	1	30
224	29	1	0
232	30	1	26
236	30	3	25
238	30	4	24
242	31	2	23
244	31	3	22
248	32	1	21
256	33	1	0
264	34	1	28
268	34	3	27
270	34	4	26
274	35	2	25
276	35	3	24
280	36	1	23
288	37	1	23
*-	*-	*-	*-
