**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0
8	2	1	25	0	0	0
12	2	3	24	0	0	0
16	3	1	27	0	25	0
22	3	4	25	0	-25	0
24	4	1	27	0	25	0
28	4	3	28	0	24	0
32	5	1	29	0	27	0
36	5	3	25	0	-27	0
38	5	4	29	0	25	0
40	6	1	-29	0	27	0
42	6	2	28	0	-27	0
43	6	2.5	27	0	-27	0
44	6	3	26	0	28	0
48	7	1	25	0	29	0
50	7	2	29	0	-29	0
52	7	3	-29	0	25	0
53	7	3.5	28	0	-25	0
54	7	4	27	0	29	0
58	8	2	26	0	28	0
59	8	2.5	25	0	27	0
60	8	3	24	0	26	0
62	8	4	28	0	-26	0
64	9	1	27	0	25	0
66	9	2	-27	0	29	0
67	9	2.5	28	0	-29	0
68	9	3	29	0	-29	0
69	9	3.5	30	0	28	0
70	9	4	29	0	27	0
74	10	2	28	0	26	0
75	10	2.5	27	0	25	0
76	10	3	26	0	24	0
78	10	4	-26	0	28	0
80	11	1	25	0	27	0
83	11	2.5	26	0	28	0
84	11	3	27	0	29	0
85	11	3.5	28	0	30	0
86	11	4	27	0	29	0
90	12	2	26	0	28	0
91	12	2.5	25	0	27	0
92	12	3	24	0	26	0
93	12	3.5	25	0	-26	0
94	12	4	26	0	-26	0
95	12	4.5	24	0	-26	0
96	13	1	25	0	25	0
104	14	1	0	0	27	29
108	14	3	22	0	-27	-29
111	14	4.5	23	0	-27	-29
112	15	1	24	0	26	28
116	15	3	20	0	29	31
120	16	1	21	0	28	30
122	16	2	18	0	27	29
124	16	3	20	0	-27	-29
126	16	4	21	0	26	28
127	16	4.5	-21	0	25	27
128	17	1	22	0	24	26
132	17	3	0	0	0	0
136	18	1	20	24	27	29
144	19	1	-20	22	25	27
148	19	3	20	22	25	27
152	20	1	19	23	26	28
156	20	3	22	24	27	29
160	21	1	21	25	28	30
164	21	3	21	-25	-28	-30
166	21	4	-21	23	26	28
168	22	1	-21	23	26	28
170	22	2	19	-23	-26	-28
172	22	3	19	0	0	0
174	22	4	-19	0	26	0
176	23	1	0	0	27	0
178	23	2	19	0	28	0
180	23	3	20	0	29	0
182	23	4	21	0	25	0
183	23	4.5	-21	0	26	0
184	24	1	22	0	27	0
185	24	1.5	-22	0	28	0
186	24	2	18	0	29	0
187	24	2.5	19	0	-29	0
188	24	3	20	0	-29	0
189	24	3.5	21	0	-29	0
190	24	4	22	0	28	0
191	24	4.5	23	0	27	0
192	25	1	24	0	26	0
194	25	2	25	0	25	0
196	25	3	-25	0	26	0
198	25	4	24	0	-26	0
200	26	1	25	0	25	0
208	27	1	18	0	25	27
214	27	4	19	0	-25	-27
216	28	1	20	0	25	27
218	28	2	21	0	-25	-27
220	28	3	22	0	24	26
224	29	1	18	0	27	29
226	29	2	25	0	-27	-29
227	29	2.5	24	0	-27	-29
228	29	3	25	0	-27	-29
229	29	3.5	26	0	-27	-29
230	29	4	27	0	25	27
232	30	1	-27	0	27	29
233	30	1.5	26	0	-27	-29
234	30	2	25	0	-27	-29
235	30	2.5	24	0	-27	-29
236	30	3	23	25	28	30
240	31	1	22	26	29	31
246	31	4	-22	27	-29	-31
248	32	1	-22	26	-29	-31
250	32	2	-22	27	-29	-31
252	32	3	20	-27	-29	-31
254	32	4	-20	26	-29	-31
255	32	4.5	21	25	-29	-31
256	33	1	22	24	-29	-31
260	33	3	20	27	-29	-31
263	33	4.5	21	-27	-29	-31
264	34	1	22	26	-29	-31
272	35	1	0	0	0	0
272	35	1	22	0	29	0
275	35	2.5	23	0	-29	0
276	35	3	24	0	-29	0
278	35	4	25	0	-29	0
280	36	1	18	0	-29	0
281	36	1.5	17	0	-29	0
282	36	2	18	0	-29	0
283	36	2.5	19	0	-29	0
284	36	3	20	0	29	0
285	36	3.5	19	0	-29	0
286	36	4	20	0	-29	0
287	36	4.5	21	0	-29	0
288	37	1	22	0	29	0
289	37	1.5	21	0	-29	0
290	37	2	22	0	-29	0
291	37	2.5	23	0	28	0
292	37	3	24	0	29	0
293	37	3.5	25	0	-29	0
294	37	4	26	0	28	0
297	38	1.5	25	0	27	0
298	38	2	25	0	26	0
299	38	2.5	-25	0	25	0
300	38	3	-25	0	26	0
302	38	4	24	0	-26	0
304	39	1	25	0	25	0
308	39	3	29	0	22	0
310	39	4	-29	0	25	0
312	40	1	-29	0	24	0
314	40	2	-29	0	25	0
316	40	3	29	0	-25	0
317	40	3.5	-29	0	24	0
318	40	4	-29	0	25	0
319	40	4.5	-29	0	26	0
320	41	1	29	0	27	0
321	41	1.5	-29	0	28	0
322	41	2	-29	0	29	0
323	41	2.5	28	0	30	0
324	41	3	29	0	31	0
325	41	3.5	-29	0	32	0
326	41	4	28	0	33	0
329	42	1.5	27	0	32	0
330	42	2	26	0	32	0
331	42	2.5	25	0	-32	0
332	42	3	26	0	-32	0
334	42	4	-26	0	31	0
336	43	1	25	0	32	0
340	43	3	23	25	28	30
344	44	1	22	26	29	31
348	44	3	25	27	30	32
352	45	1	24	28	31	33
356	45	3	-24	26	29	31
358	45	4	22	-26	-29	-31
360	46	1	25	27	30	32
362	46	2	23	-27	-30	-32
364	46	3	25	-27	-30	-32
368	47	1	22	26	29	31
378	48	2	-22	0	29	0
382	48	4	25	0	27	0
384	49	1	23	0	28	0
386	49	2	24	0	29	0
388	49	3	25	0	-29	0
389	49	3.5	-25	0	28	0
390	49	4	-25	0	27	0
391	49	4.5	24	0	26	0
392	50	1	23	0	25	0
393	50	1.5	22	0	-25	0
394	50	2	21	0	26	0
396	50	3	22	0	27	0
398	50	4	23	0	25	0
400	51	1	21	0	-25	0
402	51	2	-21	0	28	0
404	51	3	24	0	-28	0
405	51	3.5	-24	0	27	0
406	51	4	-24	0	26	0
407	51	4.5	23	0	25	0
408	52	1	22	0	24	0
409	52	1.5	21	0	-24	0
410	52	2	20	0	25	0
412	52	3	21	0	26	0
414	52	4	22	0	24	0
416	53	1	20	0	-24	0
418	53	2	-20	0	25	0
420	53	3	21	0	26	0
422	53	4	22	0	27	0
424	54	1	18	0	-27	0
425	54	1.5	-18	0	26	0
426	54	2	-18	0	25	0
428	54	3	19	0	-25	0
430	54	4	-19	0	24	0
432	55	1	18	0	25	0
436	55	3	25	0	-25	0
440	56	1	21	0	0	0
444	56	3	23	25	28	30
448	57	1	22	26	29	31
452	57	3	25	27	30	32
456	58	1	24	28	31	33
460	58	3	-24	26	29	31
462	58	4	22	-26	-29	-31
464	59	1	25	27	30	32
466	59	2	23	-27	-30	-32
468	59	3	25	-27	-30	-32
472	60	1	22	26	29	31
480	61	1	0	0	0	0
480	61	1	25	0	29	0
486	61	4	24	0	-29	0
488	62	1	23	0	28	0
490	62	2	25	0	27	0
492	62	3	-25	0	29	0
494	62	4	24	0	-29	0
496	63	1	23	0	28	0
498	63	2	25	0	27	0
500	63	3	-25	0	29	0
502	63	4	24	0	-29	0
504	64	1	23	0	28	0
506	64	2	25	0	27	0
508	64	3	-25	0	29	0
