**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0
4	1	3	0	0	28	0
6	1	4	0	0	28	0
10	2	2	0	0	28	0
12	2	3	0	0	29	0
14	2	4	0	0	30	32
16	3	1	0	0	28	35
19	3	2.5	0	0	-28	34
20	3	3	0	0	0	33
22	3	4	0	0	28	32
24	4	1	0	0	31	33
27	4	2.5	0	0	30	32
28	4	3	0	0	29	31
30	4	4	0	0	28	30
32	5	1	0	0	31	29
34	5	2	0	0	31	-29
36	5	3	21	0	30	28
40	6	1	21	0	-30	0
42	6	2	21	0	-30	32
44	6	3	-21	0	0	35
46	6	4	21	0	30	-35
47	6	4.5	-21	0	-30	34
48	7	1	22	0	31	33
50	7	2	23	25	30	32
52	7	3	21	28	-30	-32
53	7	3.5	-21	-28	-30	31
54	7	4	-21	-28	28	30
55	7	4.5	-21	27	-28	29
56	8	1	0	26	-28	28
57	8	1.5	0	-26	29	-28
58	8	2	21	25	30	35
60	8	3	24	0	26	-35
61	8	3.5	-24	0	-26	34
62	8	4	-24	26	28	33
63	8	4.5	23	-26	-28	32
64	9	1	22	-26	29	31
66	9	2	21	28	30	32
68	9	3	24	-28	-30	33
69	9	3.5	-24	27	-30	-33
70	9	4	24	26	29	-33
71	9	4.5	-24	-26	-29	34
72	10	1	23	-26	30	35
74	10	2	-23	25	-30	34
76	10	3	0	28	-30	32
78	10	4	23	28	-30	-32
80	11	1	-23	27	0	-32
82	11	2	23	-27	30	-32
84	11	3	21	0	-30	0
86	11	4	21	28	30	32
88	12	1	25	-28	29	-32
90	12	2	-25	27	30	32
92	12	3	24	28	31	33
94	12	4	25	27	30	32
95	12	4.5	-25	-27	29	-32
96	13	1	21	25	28	30
98	13	2	-21	-25	-28	32
99	13	2.5	-21	26	-28	-32
100	13	3	0	27	32	-32
101	13	3.5	0	-27	-32	31
102	13	4	0	28	-32	30
104	14	1	25	-28	32	-30
106	14	2	-25	27	32	29
108	14	3	21	28	-32	30
109	14	3.5	-21	-28	31	-30
110	14	4	28	-28	30	-30
111	14	4.5	-28	27	-30	-30
112	15	1	-28	25	-30	32
114	15	2	27	-25	29	-32
116	15	3	26	0	30	28
118	15	4	26	0	-30	35
120	16	1	25	32	0	-35
122	16	2	-25	-32	0	34
124	16	3	0	29	0	33
126	16	4	0	31	0	33
128	17	1	0	-31	28	32
130	17	2	0	30	-28	35
132	17	3	25	29	25	-35
133	17	3.5	-25	-29	-25	34
134	17	4	-25	29	32	34
135	17	4.5	-25	-29	-32	33
136	18	1	21	28	-32	35
138	18	2	28	-28	30	-35
139	18	2.5	-28	27	-30	-35
140	18	3	-28	25	29	0
142	18	4	27	32	29	0
144	19	1	26	-32	28	0
146	19	2	26	31	-28	35
148	19	3	25	30	0	-35
150	19	4	-25	-30	32	34
152	20	1	-25	0	-32	34
154	20	2	-25	0	32	-34
155	20	2.5	-25	0	-32	33
155.5	20	2.75	-25	0	-32	32
156	20	3	0	0	31	33
158	20	4	0	0	30	32
160	21	1	0	0	32	-32
161	21	1.5	0	0	-32	31
162	21	2	0	0	-32	30
163	21	2.5	0	0	-32	29
164	21	3	0	0	-32	28
166	21	4	0	0	31	35
168	22	1	0	0	30	-35
170	22	2	0	0	32	34
172	22	3	0	0	-32	32
174	22	4	0	0	31	35
176	23	1	0	0	30	-35
178	23	2	0	0	29	34
180	23	3	0	29	-29	33
181	23	3.5	0	-29	28	-33
182	23	4	0	-29	27	32
183	23	4.5	0	28	26	-32
184	24	1	0	27	25	-32
185	24	1.5	0	-27	-25	31
186	24	2	0	28	32	30
187	24	2.5	0	-28	-32	29
188	24	3	0	26	-32	28
190	24	4	0	-26	31	35
192	25	1	0	25	30	-35
194	25	2	25	-25	29	34
196	25	3	26	0	28	33
198	25	4	28	0	-28	32
200	26	1	-28	0	29	31
202	26	2	27	0	-29	-31
203	26	2.5	-27	0	-29	30
203.5	26	2.75	-27	0	-29	29
204	26	3	26	28	30	28
206	26	4	-26	-28	-30	35
207	26	4.5	-26	-28	31	-35
208	27	1	25	29	32	34
210	27	2	22	31	33	36
213	27	3.5	-22	-31	-33	35
214	27	4	23	30	32	35
216	28	1	24	29	33	-35
218	28	2	25	-29	32	34
220	28	3	21	28	30	35
230	29	4	28	0	-30	-35
234	30	2	28	32	-30	-35
236	30	3	27	-32	29	0
238	30	4	25	32	-29	0
240	31	1	26	31	0	0
242	31	2	27	29	32	0
244	31	3	28	30	-32	0
246	31	4	-28	-30	32	0
247	31	4.5	-28	31	-32	0
248	32	1	0	32	30	0
250	32	2	28	-32	-30	0
251	32	2.5	-28	-32	31	0
252	32	3	-28	0	32	0
254	32	4	28	0	30	0
256	33	1	26	0	31	0
258	33	2	27	32	32	0
259	33	2.5	-27	-32	31	0
260	33	3	28	-32	30	0
261	33	3.5	27	-32	29	0
262	33	4	27	32	30	0
263	33	4.5	26	-32	-30	0
263.5	33	4.75	25	-32	-30	0
264	34	1	26	30	-30	0
266	34	2	-26	31	29	0
267	34	2.5	-26	-31	28	0
268	34	3	25	32	27	0
272	35	1	26	30	0	0
274	35	2	-26	31	0	0
276	35	3	27	32	0	0
278	35	4	28	-32	0	0
279	35	4.5	-28	31	0	0
280	36	1	-28	30	0	0
281	36	1.5	27	29	0	0
282	36	2	26	28	30	0
283	36	2.5	25	-28	-30	0
284	36	3	26	-28	31	0
286	36	4	25	27	32	0
288	37	1	26	28	-32	0
289	37	1.5	-26	-28	31	0
290	37	2	-26	-28	31	35
291	37	2.5	-26	-28	30	-35
292	37	3	25	0	32	-35
294	37	4	-25	29	-32	34
296	38	1	0	30	0	32
298	38	2	0	29	0	33
300	38	3	25	27	32	29
301	38	3.5	-25	26	-32	-29
302	38	4	-25	27	-32	36
303	38	4.5	-25	28	-32	-36
304	39	1	25	29	32	-36
305	39	1.5	-25	-29	-32	35
306	39	2	25	-29	32	34
307	39	2.5	-25	-29	-32	33
308	39	3	-25	-29	32	34
310	39	4	25	27	-32	32
311	39	4.5	-25	-27	31	-32
312	40	1	26	28	30	-32
314	40	2	-26	-28	29	31
315	40	2.5	-26	-28	28	-31
316	40	3	25	29	27	32
320	41	1	21	28	0	0
322	41	2	-21	30	32	35
324	41	3	23	-30	-32	34
325	41	3.5	-23	29	-32	-34
326	41	4	24	28	31	33
328	42	1	25	27	29	36
329	42	1.5	24	-27	-29	-36
330	42	2	25	25	-29	-36
331	42	2.5	26	-25	-29	35
332	42	3	27	-25	30	34
334	42	4	28	24	31	33
336	43	1	-28	25	29	32
338	43	2	27	-25	-29	-32
340	43	3	28	0	30	-32
342	43	4	-28	32	-30	-32
346	44	2	-28	32	-30	35
348	44	3	0	31	0	-35
350	44	4	0	30	0	35
352	45	1	0	-30	0	34
354	45	2	0	31	0	33
356	45	3	24	-31	0	35
357	45	3.5	-24	30	0	-35
358	45	4	-24	28	0	-35
359	45	4.5	-24	-28	0	34
360	46	1	23	30	0	32
362	46	2	24	29	0	33
364	46	3	25	-29	0	34
366	46	4	26	28	0	33
368	47	1	27	29	0	-33
370	47	2	28	30	0	32
372	47	3	26	-30	0	-32
374	47	4	-26	29	0	31
375	47	4.5	-26	28	0	-31
376	48	1	25	27	0	32
378	48	2	-25	-27	29	-32
380	48	3	-25	0	29	-32
382	48	4	-25	29	29	-32
384	49	1	-25	29	27	-32
386	49	2	-25	29	25	-32
388	49	3	-25	27	27	-32
389	49	3.5	-25	-27	26	-32
390	49	4	-25	25	27	-32
391	49	4.5	-25	-25	28	-32
392	50	1	-25	27	29	0
393	50	1.5	-25	26	-29	0
394	50	2	-25	27	-29	0
395	50	2.5	-25	28	-29	0
396	50	3	-25	29	0	0
398	50	4	-25	25	29	0
400	51	1	0	27	29	0
401	51	1.5	0	26	-29	0
402	51	2	0	27	29	0
403	51	2.5	0	28	-29	0
404	51	3	0	29	27	0
406	51	4	23	30	25	0
408	52	1	25	29	27	0
409	52	1.5	-25	-29	26	0
410	52	2	25	27	27	0
411	52	2.5	-25	26	28	0
412	52	3	-25	27	29	0
413	52	3.5	-25	28	-29	0
414	52	4	25	29	27	0
416	53	1	23	25	-27	0
418	53	2	21	26	30	0
419	53	2.5	-21	25	-30	0
420	53	3	28	26	-30	0
421	53	3.5	-28	27	29	0
422	53	4	-28	28	28	0
423	53	4.5	27	29	-28	0
424	54	1	26	30	-28	0
425	54	1.5	-26	31	-28	0
426	54	2	25	32	27	0
428	54	3	26	-32	28	0
430	54	4	-26	31	-28	0
432	55	1	25	32	0	0
434	55	2	-25	-32	29	0
436	55	3	-25	-32	-29	34
438	55	4	-25	-32	29	-34
440	56	1	0	-32	30	-34
442	56	2	0	-32	-30	34
444	56	3	24	0	28	35
446	56	4	-24	0	31	-35
448	57	1	-24	0	-31	33
449	57	1.5	-24	0	30	-33
450	57	2	24	29	29	36
451	57	2.5	-24	-29	28	-36
452	57	3	25	-29	27	-36
453	57	3.5	-25	-29	-27	35
454	57	4	-25	29	-27	34
455	57	4.5	-25	-29	-27	33
456	58	1	23	30	-27	32
458	58	2	26	-30	28	33
460	58	3	-26	28	26	35
461	58	3.5	25	-28	-26	-35
462	58	4	24	31	-26	-35
463	58	4.5	23	-31	-26	-35
464	59	1	22	-31	33	36
466	59	2	-22	30	-33	-36
467	59	2.5	-22	29	-33	-36
468	59	3	26	28	-33	37
470	59	4	-26	-28	32	-37
471	59	4.5	-26	-28	31	-37
472	60	1	-26	-28	30	-37
474	60	2	-26	-28	31	36
475	60	2.5	-26	-28	-31	35
476	60	3	25	29	32	34
478	60	4	-25	-29	-32	36
479	60	4.5	26	-29	-32	-36
480	61	1	27	-29	-32	-36
482	61	2	28	30	-32	35
484	61	3	25	29	-32	-35
486	61	4	-25	-29	-32	34
488	62	1	21	28	-32	35
492	62	3	-21	-28	30	0
