**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0
4	1	3	0	0	29	33
8	2	1	0	0	31	33
12	2	3	0	0	30	35
16	3	1	0	0	29	34
20	3	3	0	0	-29	33
22	3	4	0	0	28	-33
24	4	1	0	0	29	-33
26	4	2	0	0	27	32
28	4	3	0	0	26	33
30	4	4	0	0	29	31
32	5	1	0	0	30	30
34	5	2	0	0	28	33
36	5	3	0	0	29	34
38	5	4	0	0	27	32
40	6	1	0	0	26	33
42	6	2	0	0	29	31
44	6	3	19	0	30	30
46	6	4	-19	0	28	-30
48	7	1	20	0	29	29
50	7	2	-20	0	31	-29
52	7	3	20	0	-31	0
54	7	4	-20	0	30	29
55	7	4.5	-20	0	29	-29
56	8	1	19	0	28	30
60	8	3	0	0	0	30
62	8	4	19	0	28	-30
64	9	1	20	22	29	29
66	9	2	20	-22	22	-29
68	9	3	20	-22	24	0
70	9	4	20	-22	22	29
72	10	1	19	21	26	30
74	10	2	-19	-21	-26	30
76	10	3	0	-21	25	30
78	10	4	19	-21	26	30
80	11	1	20	22	24	29
82	11	2	18	-22	25	-29
84	11	3	20	-22	-25	0
85	11	3.5	-20	-22	24	0
86	11	4	-20	-22	22	29
88	12	1	19	21	0	30
90	12	2	-19	-21	26	28
92	12	3	0	-21	25	30
94	12	4	19	-21	26	-30
96	13	1	20	22	24	29
98	13	2	20	-22	-24	31
100	13	3	20	-22	25	-31
102	13	4	20	-22	-25	30
103	13	4.5	-20	-22	-25	29
104	14	1	19	24	26	28
106	14	2	17	-24	-26	-28
107	14	2.5	-17	-24	25	-28
108	14	3	-17	-24	26	-28
109	14	3.5	18	-24	27	-28
110	14	4	19	-24	28	-28
111	14	4.5	20	-24	29	-28
112	15	1	21	23	30	0
114	15	2	22	-23	29	0
116	15	3	19	-23	-29	0
117	15	3.5	-19	-23	28	0
118	15	4	-19	-23	28	0
119	15	4.5	-19	-23	27	0
120	16	1	26	22	29	0
124	16	3	27	-22	-29	0
126	16	4	26	-22	-29	0
128	17	1	-26	0	0	33
130	17	2	24	0	0	-33
132	17	3	25	0	0	34
134	17	4	26	0	0	33
136	18	1	24	0	0	-33
138	18	2	-24	0	0	31
139	18	2.5	22	0	0	-31
140	18	3	23	0	0	32
142	18	4	22	0	0	33
144	19	1	0	0	0	31
146	19	2	22	0	0	-31
147	19	2.5	-22	0	0	29
148	19	3	21	0	0	30
150	19	4	22	0	0	29
153	20	1.5	23	0	0	0
154	20	2	24	0	0	29
155	20	2.5	22	0	0	-29
156	20	3	23	0	0	28
158	20	4	22	0	0	29
161	21	1.5	0	0	0	30
162	21	2	0	0	29	31
163	21	2.5	0	0	-29	29
164	21	3	0	0	28	30
166	21	4	0	0	29	29
169	22	1.5	0	0	30	0
170	22	2	0	0	31	33
171	22	2.5	0	0	29	-33
172	22	3	0	0	30	32
174	22	4	0	0	29	33
177	23	1.5	0	0	0	34
178	23	2	0	0	26	35
179	23	2.5	0	0	-26	33
180	23	3	0	0	25	34
182	23	4	0	0	26	35
185	24	1.5	0	0	27	34
186	24	2	0	0	28	33
187	24	2.5	0	0	26	-33
188	24	3	23	0	27	-33
189	24	3.5	-23	0	-27	32
190	24	4	-23	0	-27	32
191	24	4.5	-23	0	-27	31
192	25	1	24	26	26	33
194	25	2	22	-26	29	-33
196	25	3	24	-26	28	0
198	25	4	-24	-26	26	33
200	26	1	23	25	30	34
202	26	2	-23	-25	-30	32
204	26	3	0	-25	29	34
206	26	4	25	-25	-29	-34
208	27	1	24	26	0	33
210	27	2	22	-26	29	-33
212	27	3	24	-26	28	0
214	27	4	-24	-26	26	33
216	28	1	23	25	30	34
218	28	2	-23	-25	-30	32
220	28	3	0	-25	29	34
222	28	4	25	-25	-29	-34
224	29	1	24	26	0	33
226	29	2	22	-26	29	-33
228	29	3	24	-26	28	0
230	29	4	-24	-26	26	33
231	29	4.5	23	-26	-26	-33
232	30	1	21	28	30	32
234	30	2	19	-28	-30	33
236	30	3	-19	-28	0	35
237	30	3.5	20	-28	0	-35
238	30	4	21	-28	30	-35
239	30	4.5	22	-28	-30	34
240	31	1	23	27	-30	32
242	31	2	24	-27	29	33
244	31	3	23	-27	30	-33
245	31	3.5	-23	-27	-30	32
246	31	4	-23	-27	-30	32
247	31	4.5	-23	-27	-30	31
248	32	1	19	26	28	33
250	32	2	22	-26	31	-33
252	32	3	21	-26	30	-33
254	32	4	22	-26	29	-33
256	33	1	-22	0	31	0
257	33	1.5	23	0	-31	0
258	33	2	24	0	-31	29
259	33	2.5	25	0	-31	-29
260	33	3	26	0	30	28
262	33	4	27	0	29	29
264	34	1	-27	0	31	-29
265	34	1.5	26	0	-31	30
266	34	2	26	0	-31	31
267	34	2.5	-26	0	-31	32
268	34	3	-26	0	-31	33
270	34	4	25	0	30	34
272	35	1	26	0	28	-34
273	35	1.5	-26	0	-28	33
274	35	2	28	0	-28	33
276	35	3	27	0	29	-33
278	35	4	-27	0	-29	32
280	36	1	26	0	30	33
282	36	2	-26	0	-30	35
284	36	3	0	0	-30	34
286	36	4	25	0	-30	-34
288	37	1	26	0	0	33
290	37	2	24	0	0	-33
293	37	3.5	22	0	0	0
294	37	4	23	0	0	32
296	38	1	24	0	0	33
298	38	2	22	0	0	31
301	38	3.5	20	0	0	29
302	38	4	21	0	0	30
304	39	1	22	0	0	31
305	39	1.5	23	0	0	-31
306	39	2	24	0	0	29
307	39	2.5	25	0	0	-29
308	39	3	23	0	0	-29
309	39	3.5	22	0	0	27
310	39	4	26	0	0	28
312	40	1	27	0	0	29
313	40	1.5	26	0	0	30
314	40	2	29	0	0	31
315	40	2.5	-29	0	0	29
316	40	3	-29	0	26	30
317	40	3.5	28	0	-26	-30
318	40	4	28	0	-26	-30
319	40	4.5	27	0	-26	-30
320	41	1	29	29	27	29
322	41	2	-29	-29	25	36
324	41	3	0	-29	27	-36
325	41	3.5	0	-29	-27	35
326	41	4	25	-29	-27	36
327	41	4.5	-25	-29	-27	34
328	42	1	26	28	26	35
330	42	2	24	-28	-26	33
332	42	3	26	-28	0	-33
333	42	3.5	-26	-28	0	32
334	42	4	-26	-28	26	30
335	42	4.5	-26	-28	-26	31
336	43	1	25	29	27	32
337	43	1.5	-25	-29	-27	33
338	43	2	-25	-29	25	34
339	43	2.5	-25	-29	-25	35
340	43	3	0	-29	27	36
342	43	4	25	-29	-27	34
344	44	1	26	28	26	35
346	44	2	24	-28	-26	33
348	44	3	26	-28	0	-33
349	44	3.5	-26	-28	0	32
350	44	4	-26	-28	26	30
351	44	4.5	-26	-28	-26	31
352	45	1	25	29	27	32
353	45	1.5	-25	-29	-27	33
354	45	2	-25	-29	25	34
355	45	2.5	-25	-29	-25	35
356	45	3	0	-29	27	36
358	45	4	25	-29	-27	34
360	46	1	24	31	26	35
362	46	2	22	-31	29	31
363	46	2.5	-22	-31	-29	32
364	46	3	24	-31	28	33
365	46	3.5	-24	-31	-28	34
366	46	4	-24	-31	26	35
367	46	4.5	23	-31	-26	-35
368	47	1	21	30	28	-35
369	47	1.5	-21	-30	-28	34
370	47	2	-21	-30	-28	32
371	47	2.5	22	-30	27	-32
372	47	3	23	-30	25	-32
373	47	3.5	24	-30	-25	33
374	47	4	25	-30	-25	34
376	48	1	-25	29	-25	-34
378	48	2	24	-29	26	33
380	48	3	25	-29	27	32
384	49	1	22	-29	26	31
392	50	1	0	0	0	0
392	50	1	22	0	26	0
396	50	3	-22	0	27	0
398	50	4	-22	0	26	0
400	51	1	21	0	-26	0
402	51	2	-21	0	25	0
403	51	2.5	-21	0	24	0
404	51	3	21	0	23	0
408	52	1	22	0	22	0
410	52	2	-22	0	26	0
411	52	2.5	21	0	-26	0
412	52	3	22	0	27	0
413	52	3.5	23	0	-27	0
414	52	4	24	0	26	0
418	53	2	23	0	25	0
419	53	2.5	22	0	24	0
420	53	3	21	0	23	0
421	53	3.5	22	0	-23	0
422	53	4	23	0	-23	0
423	53	4.5	21	0	-23	0
424	54	1	22	0	22	0
426	54	2	-22	0	-22	33
428	54	3	-22	0	29	34
430	54	4	-22	0	-29	33
432	55	1	0	0	28	-33
434	55	2	0	0	-28	32
435	55	2.5	0	0	-28	31
436	55	3	0	0	28	30
440	56	1	0	0	29	29
442	56	2	0	0	-29	33
443	56	2.5	0	0	28	-33
444	56	3	0	0	29	34
445	56	3.5	0	0	30	-34
446	56	4	0	0	31	33
450	57	2	0	0	30	32
451	57	2.5	0	0	29	31
452	57	3	0	0	28	30
453	57	3.5	0	0	29	-30
454	57	4	0	0	30	-30
455	57	4.5	0	0	28	-30
456	58	1	26	22	29	29
460	58	3	27	-22	-29	0
462	58	4	26	-22	-29	0
464	59	1	-26	21	0	0
466	59	2	25	-21	0	0
467	59	2.5	24	-21	0	0
468	59	3	23	-21	0	0
472	60	1	22	22	0	0
474	60	2	26	-22	0	0
476	60	3	27	-22	0	0
478	60	4	26	-22	0	0
480	61	1	-26	21	0	0
482	61	2	25	-21	0	0
483	61	2.5	24	-21	0	0
484	61	3	23	-21	0	0
488	62	1	22	22	0	0
490	62	2	-22	-22	29	0
492	62	3	0	-22	-29	33
494	62	4	22	-22	29	-33
496	63	1	-22	24	29	-33
498	63	2	22	-24	29	33
500	63	3	22	-24	29	33
502	63	4	22	-24	26	-33
504	64	1	25	23	27	32
506	64	2	23	-23	25	32
508	64	3	25	-23	27	32
510	64	4	21	-23	28	32
512	65	1	24	22	29	31
514	65	2	-24	-22	-29	29
515	65	2.5	25	-22	-29	30
516	65	3	26	-22	29	31
517	65	3.5	-26	-22	-29	32
518	65	4	22	-22	-29	33
519	65	4.5	-22	-22	27	-33
520	66	1	25	0	27	29
522	66	2	-25	0	-27	32
523	66	2.5	23	0	25	-32
524	66	3	23	0	25	-32
526	66	4	21	0	-25	30
527	66	4.5	-21	0	23	-30
528	67	1	-21	0	23	30
530	67	2	19	0	-23	-30
531	67	2.5	-19	0	-23	28
532	67	3	19	0	0	28
534	67	4	-19	0	30	-28
535	67	4.5	-19	0	-30	26
536	68	1	0	0	-30	26
538	68	2	26	0	28	-26
540	68	3	24	0	29	0
542	68	4	25	0	30	0
544	69	1	26	0	26	0
546	69	2	22	0	0	0
548	69	3	0	0	26	0
550	69	4	22	0	27	0
552	70	1	23	0	28	0
554	70	2	24	0	29	0
556	70	3	25	0	27	0
558	70	4	23	0	-27	0
559	70	4.5	-23	0	25	0
560	71	1	-23	0	25	0
561	71	1.5	21	0	-25	0
562	71	2	21	0	0	0
564	71	3	0	0	25	0
566	71	4	21	0	26	0
568	72	1	22	0	27	0
570	72	2	23	0	28	0
572	72	3	24	0	26	0
574	72	4	22	0	27	0
576	73	1	23	0	28	0
578	73	2	24	0	29	0
580	73	3	25	0	30	0
582	73	4	26	0	26	0
583	73	4.5	-26	0	27	0
584	74	1	-26	26	28	0
585	74	1.5	25	-26	29	0
586	74	2	24	-26	30	0
587	74	2.5	23	-26	-30	0
588	74	3	24	-26	-30	0
590	74	4	-24	-26	29	0
592	75	1	23	25	30	0
594	75	2	-23	-25	28	32
596	75	3	0	-25	27	32
598	75	4	23	-25	-27	32
600	76	1	24	26	0	28
602	76	2	22	-26	29	31
605	76	3.5	23	-26	28	32
606	76	4	24	-26	26	33
608	77	1	25	25	27	29
610	77	2	21	-25	28	30
613	77	3.5	22	-25	27	31
614	77	4	23	-25	25	32
616	78	1	24	26	0	28
618	78	2	22	-26	29	31
620	78	3	24	-26	28	-31
621	78	3.5	-24	-26	-28	32
622	78	4	-24	-26	31	33
623	78	4.5	25	-26	-31	-33
624	79	1	26	28	30	-33
625	79	1.5	-26	-28	-30	34
626	79	2	-26	-28	26	35
627	79	2.5	-26	-28	27	-35
628	79	3	0	-28	28	-35
629	79	3.5	0	-28	29	-35
630	79	4	19	-28	30	34
631	79	4.5	-19	-28	-30	33
632	80	1	23	27	0	32
634	80	2	-23	-27	30	-32
635	80	2.5	24	-27	-30	-32
636	80	3	25	-27	29	0
638	80	4	23	-27	30	32
640	81	1	24	26	28	33
642	81	2	22	-26	29	31
644	81	3	24	-26	26	33
646	81	4	-24	-26	28	-33
647	81	4.5	25	-26	-28	32
648	82	1	26	0	-28	30
649	82	1.5	-26	0	29	-30
650	82	2	-26	0	30	26
651	82	2.5	-26	0	-30	27
652	82	3	0	0	26	28
653	82	3.5	0	0	-26	29
654	82	4	19	0	28	30
655	82	4.5	-19	0	-28	31
656	83	1	23	0	-28	32
657	83	1.5	-23	0	27	-32
658	83	2	-23	0	25	-32
659	83	2.5	24	0	26	31
660	83	3	25	0	27	29
662	83	4	23	0	28	32
664	84	1	24	0	26	28
666	84	2	22	0	29	31
668	84	3	24	0	-29	-31
669	84	3.5	-24	0	28	32
670	84	4	-24	0	26	33
671	84	4.5	25	0	-26	-33
672	85	1	26	0	-26	30
673	85	1.5	-26	0	27	-30
674	85	2	-26	0	28	26
675	85	2.5	-26	0	29	27
676	85	3	0	0	30	28
677	85	3.5	0	0	-30	29
678	85	4	19	0	28	30
679	85	4.5	-19	0	-28	31
680	86	1	23	0	27	32
682	86	2	-23	0	30	-32
683	86	2.5	24	0	-30	33
684	86	3	25	0	-30	34
685	86	3.5	-25	0	29	-34
686	86	4	22	0	31	33
688	87	1	24	0	-31	-33
690	87	2	-24	0	30	32
691	87	2.5	25	0	29	31
692	87	3	26	0	28	30
693	87	3.5	-26	0	29	-30
694	87	4	-26	0	30	-30
695	87	4.5	-26	0	28	-30
696	88	1	22	0	29	0
697.333	88	1.66667	-22	0	31	0
698	88	2	-22	0	-31	29
698.667	88	2.33333	-22	0	30	-29
700	88	3	0	0	29	33
702	88	4	25	0	28	34
702.667	88	4.33333	-25	0	27	-34
704	89	1	26	0	26	35
707	89	2.5	25	0	-26	34
708	89	3	24	0	0	33
710	89	4	23	0	0	32
710.667	89	4.33333	-23	0	30	-32
712	90	1	22	29	31	31
714	90	2	-22	-29	-31	29
714.667	90	2.33333	-22	-29	30	-29
716	90	3	0	-29	29	33
