**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	0
4	1	2	0	0	27	0
8	1	3	0	0	26	0
10	1	3.5	0	0	24	0
12	2	1	0	0	25	30
14	2	1.5	0	0	26	-30
16	2	2	0	0	-26	31
17	2	2.25	0	0	22	-31
18	2	2.5	0	0	29	-31
20	2	3	0	0	28	30
21	2	3.25	0	0	27	-30
22	2	3.5	0	0	26	28
23	2	3.75	0	0	25	-28
24	3	1	0	0	24	29
26	3	1.5	0	0	25	30
28	3	2	0	0	26	-30
29	3	2.25	0	0	-26	26
30	3	2.5	0	0	-26	33
31	3	2.75	0	0	27	-33
32	3	3	0	0	28	32
33	3	3.25	0	0	29	31
34	3	3.5	0	0	30	30
35	3	3.75	0	0	-30	29
36	4	1	0	0	-30	28
37	4	1.25	0	0	29	-28
38	4	1.5	0	0	29	29
40	4	2	0	0	-29	30
42	4	2.5	0	0	28	-30
44	4	3	0	0	29	29
46	4	3.5	0	0	-29	31
48	5	1	0	0	27	32
50	5	1.5	0	0	28	33
52	5	2	0	0	29	-33
53	5	2.25	0	0	-29	32
54	5	2.5	0	0	-29	31
55	5	2.75	0	0	-29	30
56	5	3	0	0	29	29
57	5	3.25	0	0	-29	28
58	5	3.5	0	0	-29	27
60	6	1	0	0	28	26
62	6	1.5	0	0	29	33
64	6	2	0	0	26	-33
65	6	2.25	0	0	-26	32
66	6	2.5	0	0	-26	31
67	6	2.75	0	0	-26	30
68	6	3	0	0	29	29
69	6	3.25	0	0	-29	28
70	6	3.5	0	0	-29	27
72	7	1	0	0	28	26
74	7	1.5	0	0	29	33
76	7	2	0	0	26	-33
77	7	2.25	0	0	-26	32
78	7	2.5	0	0	-26	31
79	7	2.75	0	0	-26	30
80	7	3	24	0	29	29
81	7	3.25	-24	0	-29	28
82	7	3.5	25	0	-29	27
84	8	1	26	0	28	26
86	8	1.5	-26	0	-28	33
87	8	1.75	25	0	-28	-33
88	8	2	24	0	0	-33
89	8	2.25	23	0	0	32
90	8	2.5	22	0	0	31
91	8	2.75	21	0	0	30
92	8	3	20	0	0	29
94	8	3.5	19	0	0	28
96	9	1	26	22	0	0
98	9	1.5	-26	-22	26	33
99	9	1.75	25	-22	-26	-33
100	9	2	24	-22	-26	-33
101	9	2.25	23	-22	-26	32
102	9	2.5	22	-22	26	31
104	9	3	-22	-22	26	-31
105	9	3.25	21	-22	-26	30
106	9	3.5	20	-22	27	29
108	10	1	19	21	28	30
111	10	1.75	-19	-21	27	-30
112	10	2	-19	-21	28	-30
114	10	2.5	-19	-21	26	-30
116	10	3	0	-21	25	30
120	11	1	0	22	24	26
122	11	1.5	26	-22	-24	-26
124	11	2	-26	-22	31	33
126	11	2.5	26	-22	-31	-33
127	11	2.75	-26	-22	-31	33
128	11	3	26	-22	-31	33
130	11	3.5	27	-22	30	31
131	11	3.75	-27	-22	29	-31
132	12	1	28	21	30	33
134	12	1.5	-28	-21	-30	32
135	12	1.75	27	-21	29	-32
136	12	2	28	-21	30	-32
137	12	2.25	-28	-21	-30	31
138	12	2.5	26	-21	28	31
140	12	3	25	-21	-28	-31
141	12	3.25	-25	-21	27	-31
142	12	3.5	-25	-21	28	30
144	13	1	24	22	26	31
146	13	1.5	26	-22	-26	-31
148	13	2	-26	-22	0	33
149	13	2.25	25	-22	0	-33
150	13	2.5	24	-22	22	-33
151	13	2.75	23	-22	-22	32
152	13	3	22	-22	24	31
153	13	3.25	21	-22	-24	30
154	13	3.5	20	-22	25	29
156	14	1	19	24	26	28
158	14	1.5	26	-24	-26	35
159	14	1.75	-26	-24	27	-35
160	14	2	-26	-24	28	-35
161	14	2.25	25	-24	-28	34
162	14	2.5	24	-24	-28	33
163	14	2.75	23	-24	-28	32
164	14	3	22	-24	29	31
165	14	3.25	21	-24	-29	30
166	14	3.5	20	-24	-29	29
167	14	3.75	19	-24	-29	28
168	15	1	21	23	25	32
169	15	1.25	22	-23	-25	-32
170	15	1.5	23	-23	-25	-32
171	15	1.75	-23	-23	-25	31
172	15	2	19	-23	26	30
173	15	2.25	-19	-23	-26	29
174	15	2.5	20	-23	25	29
176	15	3	19	-23	26	-29
178	15	3.5	-19	-23	-26	28
180	16	1	26	22	0	29
182	16	1.5	-26	-22	26	-29
183	16	1.75	25	-22	-26	-29
184	16	2	24	-22	-26	-29
185	16	2.25	23	-22	-26	-29
186	16	2.5	22	-22	26	-29
188	16	3	-22	-22	26	-29
189	16	3.25	21	-22	-26	-29
190	16	3.5	20	-22	27	-29
192	17	1	19	0	28	0
194	17	1.5	26	0	-28	0
195	17	1.75	-26	0	28	0
196	17	2	-26	0	28	0
198	17	2.5	26	0	24	0
200	17	3	26	0	-24	0
201	17	3.25	-26	0	23	0
202	17	3.5	27	0	22	0
204	18	1	28	0	21	0
206	18	1.5	-28	0	24	0
207	18	1.75	28	0	-24	0
208	18	2	28	0	23	0
210	18	2.5	24	0	26	0
213	18	3.25	23	0	-26	0
214	18	3.5	22	0	24	0
216	19	1	21	0	28	0
218	19	1.5	24	0	-28	0
219	19	1.75	-24	0	27	0
220	19	2	23	0	25	0
222	19	2.5	26	0	24	0
224	19	3	-26	0	28	0
226	19	3.5	24	0	-28	0
227	19	3.75	-24	0	27	0
228	20	1	28	0	26	0
229	20	1.25	-28	0	25	0
230	20	1.5	-28	0	24	0
231	20	1.75	27	0	-24	0
232	20	2	26	0	23	0
233	20	2.25	25	0	-23	0
234	20	2.5	24	0	22	0
236	20	3	28	0	21	0
238	20	3.5	-28	0	28	0
239	20	3.75	27	0	-28	0
240	21	1	26	0	-28	0
241	21	1.25	25	0	27	0
242	21	1.5	24	0	26	0
244	21	2	23	0	25	0
246	21	2.5	22	0	24	0
248	21	3	21	0	28	0
250	21	3.5	28	0	-28	0
251	21	3.75	-28	0	27	0
252	22	1	-28	0	26	0
253	22	1.25	27	0	25	0
254	22	1.5	26	0	24	0
256	22	2	25	0	23	0
258	22	2.5	24	0	28	0
260	22	3	28	0	-28	0
261	22	3.25	-28	0	27	0
262	22	3.5	-28	0	26	0
263	22	3.75	27	0	25	0
264	23	1	26	0	24	0
265	23	1.25	25	0	-24	0
266	23	1.5	24	0	28	0
268	23	2	23	0	-28	0
269	23	2.25	-23	0	27	0
