**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	25	32
6	1	2.5	-25	0	26	-32
8	1	3	23	0	27	32
11	1	3.75	-23	0	28	-32
12	2	1	24	28	26	33
14	2	1.5	-24	-28	-26	33
18	2	2.5	25	-28	-26	32
19	2	2.75	-25	-28	-26	31
20	2	3	26	28	0	30
22	2	3.5	-26	-28	26	-30
24	3	1	0	29	27	29
26	3	1.5	22	29	-27	-29
27	3	1.75	-22	-29	26	-29
28	3	2	-22	-29	24	0
30	3	2.5	25	28	25	0
31	3	2.75	-25	27	-25	0
32	3	3	-25	26	22	33
34	3	3.5	24	-26	-22	-33
36	4	1	25	25	0	34
38	4	1.5	-25	-25	29	-34
40	4	2	22	0	-29	33
42	4	2.5	24	0	28	33
44	4	3	-24	29	26	-33
46	4	3.5	23	-29	27	32
48	5	1	21	30	28	32
49.3333	5	1.33333	-21	-30	25	-32
50.6667	5	1.66667	-21	-30	26	-32
52	5	2	20	29	27	0
54	5	2.5	-20	29	-27	0
56	5	3	-20	-29	-27	31
58	5	3.5	-20	28	-27	32
60	6	1	24	28	26	33
63	6	1.75	-24	-28	27	-33
64	6	2	-24	0	28	-33
66	6	2.5	-24	0	24	-33
68	6	3	23	27	25	32
70	6	3.5	-23	28	-25	-32
72	7	1	22	29	26	31
74	7	1.5	-22	-29	-26	33
78	7	2.5	-22	-29	-26	32
79	7	2.75	-22	-29	-26	31
80	7	3	26	28	0	30
82	7	3.5	-26	-28	28	-30
84	8	1	27	27	29	29
86	8	1.5	-27	29	25	34
88	8	2	25	-29	27	-34
89	8	2.25	-25	-29	-27	33
90	8	2.5	-25	28	-27	32
91	8	2.75	-25	27	28	-32
92	8	3	22	26	29	-32
94	8	3.5	-22	-26	-29	31
95	8	3.75	-22	-26	27	-31
96	9	1	23	25	27	32
98	9	1.5	21	30	28	-32
100	9	2	23	-30	25	-32
101	9	2.25	-23	29	-25	-32
102	9	2.5	-23	28	28	-32
103	9	2.75	24	-28	-28	-32
104	9	3	22	-28	29	0
106	9	3.5	-22	27	31	0
108	10	1	21	28	30	32
114	10	2.5	-21	-28	30	-32
116	10	3	21	0	30	-32
120	11	1	24	28	31	33
123	11	1.75	-24	-28	30	-33
124	11	2	-24	-28	28	-33
126	11	2.5	-24	-28	31	34
128	11	3	26	-28	30	35
130	11	3.5	-26	-28	31	-35
132	12	1	25	29	32	34
136	12	2	-25	-29	-32	36
138	12	2.5	27	30	31	-36
139	12	2.75	-27	-30	30	-36
140	12	3	-27	31	29	-36
144	13	1	28	30	30	32
148	13	2	-28	32	-30	0
150	13	2.5	25	-32	-30	34
152	13	3	-25	-32	29	-34
153	13	3.25	-25	-32	-29	35
154	13	3.5	-25	-32	-29	36
156	14	1	26	28	0	35
158	14	1.5	24	-28	0	33
160	14	2	-24	0	28	-33
162	14	2.5	23	30	-28	32
163	14	2.75	-23	-30	-28	31
164	14	3	21	-30	-28	30
165	14	3.25	-21	31	-28	-30
166	14	3.5	-21	32	-28	-30
168	15	1	22	31	26	29
170	15	1.5	-22	29	-26	-29
171	15	1.75	23	-29	-26	-29
172	15	2	24	-29	-26	0
174	15	2.5	25	28	27	32
175	15	2.75	-25	27	-27	-32
176	15	3	-25	26	28	33
178	15	3.5	24	-26	26	35
180	16	1	25	25	27	34
182	16	1.5	-25	-25	29	-34
184	16	2	24	0	-29	33
185	16	2.25	-24	0	30	-33
186	16	2.5	-24	28	31	-33
188	16	3	-24	29	-31	-33
189	16	3.25	-24	-29	30	-33
190	16	3.5	-24	31	28	-33
192	17	1	21	30	-28	32
194	17	1.5	-21	-30	32	35
196	17	2	25	29	-32	36
198	17	2.5	-25	-29	-32	34
200	17	3	-25	-29	32	-34
202	17	3.5	-25	-29	-32	33
204	18	1	26	28	0	35
206	18	1.5	24	31	28	-35
208	18	2	28	32	-28	0
210	18	2.5	-28	30	27	0
211	18	2.75	27	-30	26	0
211.5	18	2.875	26	-30	-26	0
212	18	3	25	-30	27	34
214	18	3.5	-25	29	-27	-34
216	19	1	24	31	28	33
218	19	1.5	-24	-31	31	-33
219	19	1.75	25	-31	-31	34
220	19	2	26	0	30	35
222	19	2.5	22	0	33	36
224	19	3	26	30	-33	-36
225	19	3.25	-26	-30	32	-36
226	19	3.5	-26	-30	33	35
228	20	1	27	29	31	36
231	20	1.75	-27	30	-31	-36
232	20	2	26	31	0	35
234	20	2.5	25	32	0	34
236	20	3	29	-32	0	33
238	20	3.5	-29	31	0	-33
240	21	1	25	32	29	32
243	21	1.75	-25	-32	30	-32
244	21	2	22	31	31	0
246	21	2.5	23	30	32	32
248	21	3	24	29	0	33
250	21	3.5	25	-29	32	34
252	22	1	26	28	30	35
254	22	1.5	-26	-28	28	-35
256	22	2	24	0	-28	-35
258	22	2.5	26	28	26	-35
260	22	3	25	29	27	34
262	22	3.5	-25	30	-27	-34
264	23	1	24	31	28	33
266	23	1.5	22	-31	29	-33
269	23	2.25	23	-31	-29	-33
270	23	2.5	24	-31	28	-33
272	23	3	21	30	-28	32
276	24	1	22	29	26	31
278	24	1.5	-22	-29	29	-31
281	24	2.25	-22	-29	28	-31
282	24	2.5	-22	-29	27	29
284	24	3	0	28	-27	30
286	24	3.5	0	-28	26	-30
287	24	3.75	0	-28	-26	31
288	25	1	25	27	27	29
290	25	1.5	-25	-27	29	-29
291	25	1.75	24	-27	-29	30
292	25	2	22	-27	-29	31
294	25	2.5	23	25	28	32
296	25	3	22	26	29	-32
298	25	3.5	-22	-26	-29	31
299	25	3.75	-22	27	-29	-31
300	26	1	23	25	27	32
302	26	1.5	25	-25	-27	-32
303	26	1.75	-25	26	28	-32
304	26	2	-25	27	29	-32
306	26	2.5	21	28	30	30
308	26	3	22	-28	29	31
310	26	3.5	-22	27	-29	-31
311	26	3.75	-22	-27	-29	32
312	27	1	21	28	0	30
315	27	1.75	22	-28	0	31
316	27	2	23	-28	0	32
318	27	2.5	24	26	0	33
320	27	3	23	27	0	-33
322	27	3.5	-23	-27	0	32
323	27	3.75	-23	28	0	-32
324	28	1	24	26	28	33
327	28	1.75	-24	27	-28	-33
328	28	2	-24	28	27	-33
330	28	2.5	22	29	26	31
332	28	3	23	-29	-26	32
334	28	3.5	-23	28	25	-32
335	28	3.75	-23	-28	-25	33
336	29	1	22	29	26	31
338	29	1.5	-22	-29	31	-31
339	29	1.75	23	-29	-31	32
340	29	2	24	-29	-31	33
342	29	2.5	25	27	30	34
344	29	3	-25	28	31	-34
346	29	3.5	24	-28	-31	33
347	29	3.75	-24	29	-31	-33
348	30	1	25	27	0	34
350	30	1.5	-25	-27	29	-34
351	30	1.75	26	28	-29	-34
352	30	2	27	29	-29	-34
353	30	2.25	-27	-29	28	-34
354	30	2.5	23	30	27	32
356	30	3	24	-30	-27	33
358	30	3.5	-24	29	26	-33
359	30	3.75	-24	-29	-26	34
360	31	1	23	30	27	32
363	31	1.75	24	-30	-27	33
364	31	2	25	-30	0	34
366	31	2.5	26	28	0	35
368	31	3	25	29	32	-35
370	31	3.5	-25	-29	-32	34
371	31	3.75	-25	30	-32	-34
372	32	1	26	28	30	35
374	32	1.5	-26	-28	31	-35
375	32	1.75	-26	29	-31	-35
376	32	2	-26	30	-31	-35
377	32	2.25	-26	-30	30	-35
378	32	2.5	24	31	29	33
379	32	2.75	-24	-31	28	-33
380	32	3	25	-31	27	34
382	32	3.5	-25	30	-27	-34
383	32	3.75	26	-30	26	35
384	33	1	24	31	28	33
387	33	1.75	25	-31	-28	34
388	33	2	26	-31	0	35
390	33	2.5	27	29	0	36
392	33	3	26	30	0	-36
394	33	3.5	-26	-30	26	35
395	33	3.75	-26	31	-26	-35
396	34	1	22	29	-26	36
398	34	1.5	-22	-29	27	-36
399	34	1.75	-22	30	-27	-36
400	34	2	0	31	-27	-36
402	34	2.5	0	32	25	35
403	34	2.75	0	-32	-25	34
404	34	3	22	-32	29	33
406	34	3.5	-22	31	-29	-33
408	35	1	25	32	27	32
411	35	1.75	26	-32	28	-32
412	35	2	27	-32	29	-32
414	35	2.5	28	-32	30	-32
418	35	3.5	27	-32	29	-32
419	35	3.75	26	-32	28	-32
420	36	1	25	-32	29	-32
432	37	1	0	0	0	0
432	37	1	25	0	0	32
435	37	1.75	26	0	0	-32
436	37	2	27	0	0	-32
438	37	2.5	28	0	0	31
439	37	2.75	-28	0	0	30
440	37	3	-28	0	0	29
442	37	3.5	27	0	0	-29
444	38	1	28	28	0	30
446	38	1.5	26	-28	0	-30
449	38	2.25	25	-28	0	-30
450	38	2.5	24	27	0	31
451	38	2.75	-24	26	0	-31
452	38	3	23	25	0	32
456	39	1	22	26	0	31
458	39	1.5	24	-26	0	33
461	39	2.25	23	-26	0	32
462	39	2.5	22	27	0	31
464	39	3	21	28	0	30
465	39	3.25	22	-28	0	-30
466	39	3.5	23	-28	0	-30
467	39	3.75	24	-28	0	-30
468	40	1	25	27	0	29
470	40	1.5	27	29	0	-29
473	40	2.25	26	28	0	0
474	40	2.5	25	27	0	0
476	40	3	24	26	0	35
479	40	3.75	23	-26	0	-35
480	41	1	25	25	0	34
482	41	1.5	23	-25	0	32
485	41	2.25	24	0	0	33
486	41	2.5	25	0	0	34
487	41	2.75	26	0	0	35
488	41	3	24	31	0	33
489	41	3.25	25	-31	0	-33
490	41	3.5	26	-31	0	-33
491	41	3.75	27	-31	0	-33
492	42	1	28	30	0	32
494	42	1.5	-28	28	0	-32
496	42	2	21	-28	0	0
497	42	2.25	-21	29	0	0
498	42	2.5	-21	30	0	0
