**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	25	32
6	1	2.5	-25	0	26	-32
8	1	3	23	0	27	32
11	1	3.75	-23	0	28	-32
12	2	1	24	28	26	33
18	2	2.5	25	-28	-26	32
19	2	2.75	-25	-28	-26	31
20	2	3	26	28	0	30
22	2	3.5	-26	-28	26	-30
24	3	1	0	29	27	29
26	3	1.5	22	-29	-27	-29
27	3	1.75	-22	-29	26	-29
28	3	2	-22	-29	24	0
30	3	2.5	25	28	25	0
31	3	2.75	-25	27	-25	0
32	3	3	-25	26	22	33
34	3	3.5	24	-26	-22	-33
36	4	1	25	25	0	34
38	4	1.5	-25	-25	29	-34
40	4	2	22	0	-29	33
42	4	2.5	24	0	28	33
44	4	3	-24	29	26	-33
46	4	3.5	22	-29	27	31
48	5	1	21	30	28	32
49.3333	5	1.33333	-21	-30	25	-32
50.6667	5	1.66667	-21	-30	26	-32
52	5	2	20	29	27	0
54	5	2.5	-20	29	-27	0
56	5	3	-20	-29	-27	31
58	5	3.5	-20	27	-27	32
60	6	1	24	28	26	33
63	6	1.75	25	-28	-26	34
64	6	2	26	0	0	35
66	6	2.5	27	0	0	36
68	6	3	-27	27	0	-36
69	6	3.25	25	-27	0	-36
70	6	3.5	26	28	0	35
72	7	1	25	29	25	34
74	7	1.5	27	-29	-25	36
75	7	1.75	-27	30	-25	-36
76	7	2	-27	31	29	-36
77	7	2.25	-27	-31	-29	35
78	7	2.5	25	32	-29	34
80	7	3	22	-32	-29	33
82	7	3.5	-22	31	-29	-33
84	8	1	23	30	25	32
86	8	1.5	-23	32	30	-32
88	8	2	21	-32	-30	0
89	8	2.25	-21	31	29	0
90	8	2.5	23	30	28	0
92	8	3	24	29	-28	0
94	8	3.5	25	-29	27	0
96	9	1	21	28	28	0
98	9	1.5	-21	-28	32	0
99	9	1.75	22	-28	-32	0
100	9	2	23	0	-32	0
101	9	2.25	-23	0	30	0
102	9	2.5	24	0	33	0
105	9	3.25	25	0	32	0
106	9	3.5	26	0	31	0
107	9	3.75	-26	0	30	0
108	10	1	27	0	29	0
110	10	1.5	29	0	-29	0
111	10	1.75	-29	0	30	0
112	10	2	-29	0	31	0
113	10	2.25	28	0	-31	0
114	10	2.5	27	0	32	0
116	10	3	26	0	-32	0
118	10	3.5	-26	0	31	0
120	11	1	0	0	30	32
121	11	1.25	0	0	28	-32
122	11	1.5	0	0	32	-32
123	11	1.75	0	0	-32	33
124	11	2	0	0	-32	34
126	11	2.5	0	0	30	35
128	11	3	25	0	29	-35
130	11	3.5	-25	0	-29	34
132	12	1	26	28	28	33
134	12	1.5	-26	-28	-28	35
135	12	1.75	-26	29	-28	-35
136	12	2	-26	30	-28	-35
137	12	2.25	-26	-30	-28	34
138	12	2.5	24	31	-28	33
140	12	3	28	-31	0	32
142	12	3.5	-28	30	28	-32
144	13	1	0	29	29	31
146	13	1.5	24	31	-29	-31
147	13	1.75	-24	-31	28	-31
148	13	2	-24	-31	26	0
149	13	2.25	-24	30	-26	0
150	13	2.5	27	29	27	0
152	13	3	-27	28	24	35
154	13	3.5	26	-28	-24	-35
156	14	1	27	27	0	36
158	14	1.5	-27	-27	29	-36
160	14	2	25	0	-29	34
162	14	2.5	26	0	28	35
164	14	3	-26	31	26	-35
166	14	3.5	22	-31	-26	33
168	15	1	0	32	25	34
170	15	1.5	25	-32	-25	-34
172	15	2	26	30	0	35
174	15	2.5	-26	31	0	-35
176	15	3	27	-31	29	36
178	15	3.5	-27	29	-29	-36
180	16	1	28	30	28	0
182	16	1.5	-28	-30	30	32
184	16	2	0	31	29	33
188	16	3	25	32	0	34
190	16	3.5	-25	-32	29	-34
192	17	1	26	0	28	35
194	17	1.5	-26	28	26	-35
196	17	2	22	29	-26	0
198	17	2.5	-22	-29	24	31
200	17	3	0	30	28	32
202	17	3.5	21	-30	-28	-32
204	18	1	24	31	0	33
206	18	1.5	-24	-31	26	-33
208	18	2	25	0	27	29
210	18	2.5	-25	27	29	-29
212	18	3	26	28	28	0
214	18	3.5	-26	-28	26	30
216	19	1	0	29	0	31
218	19	1.5	22	-29	29	-31
220	19	2	23	25	27	32
222	19	2.5	-23	-25	28	-32
224	19	3	24	0	26	33
226	19	3.5	-24	26	-26	-33
228	20	1	25	27	0	0
230	20	1.5	-25	-27	0	29
232	20	2	0	28	0	30
236	20	3	0	29	0	31
238	20	3.5	22	-29	0	-31
240	21	1	23	0	0	32
242	21	1.5	-23	25	0	34
244	21	2	24	26	0	-34
245	21	2.25	-24	-26	0	33
246	21	2.5	-24	-26	0	33
248	21	3	25	27	0	-33
250	21	3.5	-25	-27	0	32
252	22	1	0	28	26	33
254	22	1.5	0	30	28	32
257	22	2.25	0	29	-28	31
258	22	2.5	0	29	29	29
260	22	3	0	-29	26	30
262	22	3.5	26	28	-26	-30
264	23	1	22	29	0	29
266	23	1.5	24	28	26	33
269	23	2.25	25	27	27	32
270	23	2.5	23	25	28	32
272	23	3	22	26	29	-32
274	23	3.5	-22	-26	-29	31
276	24	1	25	25	29	32
288	25	1	0	0	0	0
288	25	1	25	0	32	0
292	25	2	26	0	31	0
294	25	2.5	25	0	32	0
296	25	3	27	0	-32	0
298	25	3.5	28	0	30	0
300	26	1	29	0	31	0
302	26	1.5	-29	0	29	0
306	26	2.5	25	0	32	0
308	26	3	27	0	-32	0
309	26	3.25	-27	0	31	0
310	26	3.5	28	0	30	0
311	26	3.75	-28	0	29	0
312	27	1	29	0	31	0
315	27	1.75	28	0	30	0
316	27	2	26	0	28	0
318	27	2.5	27	0	29	0
322	27	3.5	26	0	28	0
323	27	3.75	25	0	27	0
324	28	1	24	0	26	0
327	28	1.75	-24	0	27	0
328	28	2	0	0	28	0
330	28	2.5	22	0	29	0
332	28	3	23	0	25	0
334	28	3.5	24	0	29	0
336	29	1	25	0	-29	0
337	29	1.25	-25	0	28	0
338	29	1.5	-25	0	29	0
339	29	1.75	24	0	-29	0
340	29	2	25	0	30	0
342	29	2.5	26	0	31	0
344	29	3	27	0	32	0
346	29	3.5	28	0	-32	0
347	29	3.75	-28	0	31	0
348	30	1	-28	0	33	0
349	30	1.25	27	0	-33	0
350	30	1.5	28	0	33	0
352	30	2	29	0	-33	0
354	30	2.5	29	0	31	0
356	30	3	-29	0	30	0
358	30	3.5	28	0	-30	0
360	31	1	29	0	29	0
362	31	1.5	25	0	-29	0
364	31	2	29	0	0	0
366	31	2.5	27	0	29	0
368	31	3	26	0	30	0
370	31	3.5	-26	0	31	0
372	32	1	25	0	32	0
374	32	1.5	27	0	-32	0
375	32	1.75	-27	0	31	0
376	32	2	-27	0	29	0
377	32	2.25	26	0	-29	0
378	32	2.5	26	0	28	0
380	32	3	-26	0	27	0
382	32	3.5	25	0	-27	0
384	33	1	26	0	26	0
386	33	1.5	27	0	29	0
390	33	2.5	26	0	28	0
392	33	3	25	0	27	0
394	33	3.5	24	0	26	0
395	33	3.75	23	0	25	0
396	34	1	22	0	24	0
398	34	1.5	29	0	-24	0
402	34	2.5	28	0	24	0
404	34	3	27	0	25	0
406	34	3.5	26	0	27	0
407	34	3.75	25	0	-27	0
408	35	1	24	0	26	0
410	35	1.5	-24	0	29	0
412	35	2	27	0	-29	0
414	35	2.5	-27	0	25	0
416	35	3	28	0	26	0
418	35	3.5	29	0	27	0
420	36	1	-29	0	25	0
422	36	1.5	25	0	-25	0
424	36	2	26	0	24	0
426	36	2.5	27	0	25	0
428	36	3	25	0	-25	0
429	36	3.25	-25	0	26	0
430	36	3.5	-25	0	27	0
431	36	3.75	-25	0	28	0
432	37	1	24	0	26	0
434	37	1.5	25	0	25	0
436	37	2	-25	0	29	0
437	37	2.25	26	0	-29	0
438	37	2.5	27	0	-29	0
439	37	2.75	28	0	-29	0
440	37	3	26	0	28	0
442	37	3.5	25	0	29	0
444	38	1	29	0	-29	0
445	38	1.25	-29	0	30	0
446	38	1.5	-29	0	31	0
447	38	1.75	-29	0	32	0
448	38	2	28	0	30	0
450	38	2.5	29	0	29	0
452	38	3	25	0	-29	0
454	38	3.5	29	0	25	0
456	39	1	-29	0	29	0
458	39	1.5	25	0	-29	0
459	39	1.75	-25	0	30	0
460	39	2	29	0	31	0
461	39	2.25	-29	0	32	0
462	39	2.5	-29	0	33	0
463	39	2.75	28	0	-33	0
464	39	3	29	0	-33	0
465	39	3.25	-29	0	31	0
466	39	3.5	25	0	32	0
467	39	3.75	-25	0	33	0
468	40	1	29	0	34	0
470	40	1.5	-29	0	33	0
471	40	1.75	28	0	-33	0
472	40	2	29	0	-33	0
473	40	2.25	-29	0	32	0
474	40	2.5	27	0	32	0
476	40	3	26	0	-32	0
478	40	3.5	-26	0	31	0
480	41	1	25	0	32	0
492	42	1	0	0	0	0
492	42	1	27	0	0	29
495	42	1.75	-27	0	0	30
496	42	2	-27	0	0	31
498	42	2.5	25	0	0	32
500	42	3	26	0	28	-32
502	42	3.5	-26	0	-28	31
504	43	1	25	25	29	32
506	43	1.5	-25	-25	27	-32
507	43	1.75	-25	26	-27	-32
508	43	2	-25	27	-27	-32
510	43	2.5	24	28	26	33
511	43	2.75	-24	-28	25	-33
512	43	3	22	-28	24	-33
514	43	3.5	-22	27	-24	32
515	43	3.75	-22	-27	-24	31
516	44	1	21	28	25	30
520	44	2	0	-28	26	0
522	44	2.5	22	29	27	29
524	44	3	-22	-29	-27	31
525	44	3.25	-22	-29	26	-31
526	44	3.5	23	28	25	32
527	44	3.75	-23	27	-25	-32
528	45	1	24	26	24	33
