**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	33
3	1	1.75	0	0	27	-33
4	1	2	0	0	28	-33
6	1	2.5	0	0	29	-33
8	1	3	0	0	28	33
10	1	3.5	0	0	29	-33
12	2	1	0	0	26	33
14	2	1.5	0	0	29	-33
16	2	2	0	0	28	-33
18	2	2.5	0	0	29	31
20	2	3	0	0	27	32
24	3	1	0	0	0	33
26	3	1.5	0	0	26	-33
28	3	2	0	0	28	30
30	3	2.5	0	0	-28	33
31	3	2.75	0	0	29	-33
32	3	3	0	0	30	32
34	3	3.5	0	0	26	33
36	4	1	0	0	28	30
38	4	1.5	0	0	-28	33
39	4	1.75	0	0	29	-33
40	4	2	0	0	30	32
42	4	2.5	0	0	28	33
44	4	3	0	0	29	31
46	4	3.5	0	0	26	-31
48	5	1	26	0	-26	30
49	5	1.25	-26	0	27	-30
50	5	1.5	-26	0	28	-30
51	5	1.75	-26	0	29	-30
52	5	2	-26	0	30	35
54	5	2.5	-26	0	31	-35
56	5	3	26	0	30	35
58	5	3.5	-26	0	26	-35
60	6	1	26	0	28	35
63	6	1.75	-26	0	29	-35
64	6	2	-26	0	30	-35
66	6	2.5	24	0	31	33
68	6	3	25	0	29	34
70	6	3.5	-25	0	30	-34
72	7	1	26	30	-30	35
73	7	1.25	-26	-30	29	-35
74	7	1.5	-26	-30	28	-35
76	7	2	23	-30	27	0
78	7	2.5	26	-30	26	35
80	7	3	25	30	0	34
82	7	3.5	26	-30	28	35
84	8	1	23	30	27	32
85	8	1.25	-23	-30	26	-32
86	8	1.5	26	-30	28	33
88	8	2	25	-30	27	34
90	8	2.5	26	28	26	35
92	8	3	24	29	-26	33
93	8	3.25	-24	-29	25	-33
94	8	3.5	-24	-29	26	-33
96	9	1	23	30	27	32
98	9	1.5	-23	-30	30	-32
100	9	2	-23	27	-30	32
101	9	2.25	-23	-27	29	-32
102	9	2.5	-23	30	28	-32
103	9	2.75	-23	-30	-28	33
104	9	3	0	29	27	34
106	9	3.5	0	30	23	32
107	9	3.75	0	-30	-23	33
108	10	1	0	27	25	34
110	10	1.5	0	30	23	35
112	10	2	0	29	25	-35
113	10	2.25	0	-29	-25	34
114	10	2.5	0	30	-25	34
116	10	3	0	28	26	-34
118	10	3.5	0	-28	-26	33
120	11	1	23	27	0	34
122	11	1.5	-23	-27	23	-34
124	11	2	23	-27	25	-34
126	11	2.5	-23	-27	-25	32
127	11	2.75	-23	-27	26	-32
128	11	3	23	0	27	32
130	11	3.5	-23	0	28	-32
132	12	1	24	0	-28	33
133	12	1.25	-24	0	27	-33
134	12	1.5	-24	0	28	-33
136	12	2	-24	0	29	33
138	12	2.5	-24	0	30	-33
140	12	3	24	0	-30	33
142	12	3.5	-24	0	29	-33
144	13	1	23	27	30	32
146	13	1.5	25	-27	-30	-32
148	13	2	-25	27	23	-32
150	13	2.5	23	-27	-23	-32
152	13	3	22	27	24	0
156	14	1	21	28	25	30
158	14	1.5	-21	-28	26	-30
159	14	1.75	-21	-28	-26	31
160	14	2	0	-28	23	32
162	14	2.5	0	-28	24	33
164	14	3	21	28	23	-33
165	14	3.25	-21	-28	-23	32
166	14	3.5	-21	-28	25	30
168	15	1	25	27	-25	29
169	15	1.25	-25	-27	26	-29
170	15	1.5	-25	29	27	-29
171	15	1.75	-25	-29	28	-29
172	15	2	-25	-29	29	0
174	15	2.5	-25	27	30	32
176	15	3	24	26	-30	33
178	15	3.5	-24	-26	29	31
180	16	1	23	25	28	32
182	16	1.5	25	-25	27	-32
183	16	1.75	-25	-25	-27	31
184	16	2	-25	0	-27	30
185	16	2.25	24	0	26	29
186	16	2.5	22	0	26	29
188	16	3	23	25	0	-29
190	16	3.5	-23	-25	25	32
192	17	1	22	29	26	31
194	17	1.5	-22	-29	27	29
197	17	2.25	0	-29	-27	30
198	17	2.5	22	-29	26	31
200	17	3	23	28	0	32
202	17	3.5	24	-28	26	33
204	18	1	25	27	27	29
206	18	1.5	-25	29	25	34
207	18	1.75	24	-29	-25	-34
208	18	2	22	-29	29	-34
209	18	2.25	-22	28	-29	33
210	18	2.5	24	26	-29	33
212	18	3	23	27	30	-33
214	18	3.5	-23	-27	-30	32
216	19	1	0	26	28	33
218	19	1.5	26	-26	-28	35
220	19	2	25	0	29	34
222	19	2.5	24	26	-29	33
224	19	3	23	27	0	32
226	19	3.5	-23	28	25	30
228	20	1	22	29	26	31
230	20	1.5	-22	-29	27	-31
231	20	1.75	-22	28	-27	32
232	20	2	0	26	28	30
234	20	2.5	26	28	26	-30
