**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0	0
4	1	3	0	0	26	28	0
8	2	1	0	0	28	26	35
12	2	3	0	0	0	28	-35
14	2	4	0	0	24	-28	-35
16	3	1	0	0	-24	0	33
18	3	2	0	0	24	28	-33
20	3	3	0	0	21	-28	35
22	3	4	0	0	28	26	-35
24	4	1	0	0	26	28	0
26	4	2	0	0	-26	-28	35
27	4	2.5	0	0	27	29	-35
28	4	3	0	0	28	30	-35
30	4	4	0	0	24	31	35
32	5	1	0	0	28	30	32
35	5	2.5	0	0	27	-30	-32
36	5	3	0	0	26	28	35
39	5	4.5	0	0	-26	29	-35
40	6	1	0	0	25	30	0
42	6	2	0	0	24	26	33
45	6	3.5	0	0	-24	27	-33
46	6	4	0	0	23	28	32
48	7	1	0	0	22	24	-32
50	7	2	0	0	-22	-24	31
52	7	3	0	0	21	25	-31
54	7	4	0	0	-21	-25	30
56	8	1	24	0	0	0	31
58	8	2	-24	0	28	24	-31
60	8	3	24	0	26	-24	0
61	8	3.5	-24	0	-26	25	0
62	8	4	-24	0	28	26	31
63	8	4.5	-24	0	-28	27	-31
64	9	1	24	28	-28	28	31
65	9	1.5	-24	-28	27	-28	-31
66	9	2	-24	-28	26	-28	31
67	9	2.5	-24	-28	-26	29	-31
68	9	3	21	-28	25	30	30
70	9	4	24	-28	26	31	33
72	10	1	-24	26	-26	-31	-33
73	10	1.5	-24	-26	25	-31	-33
74	10	2	21	-26	23	30	32
76	10	3	22	-26	24	-30	31
78	10	4	-22	-26	-24	29	-31
80	11	1	21	28	25	30	30
82	11	2	-21	-28	23	-30	32
85	11	3.5	-21	-28	24	-30	31
86	11	4	-21	-28	25	-30	30
87	11	4.5	-21	-28	-25	-30	29
88	12	1	19	-28	26	0	28
90	12	2	-19	-28	-26	28	30
92	12	3	19	-28	-26	28	-30
94	12	4	19	-28	-26	28	30
96	13	1	21	-28	23	25	30
100	13	3	-21	-28	23	25	30
102	13	4	-21	-28	23	-25	-30
104	14	1	18	0	25	27	29
110	14	4	-18	0	-25	27	-29
112	15	1	20	0	22	24	29
118	15	4	17	0	-22	24	28
120	16	1	17	28	24	31	28
122	16	2	-17	-28	-24	-31	35
124	16	3	17	-28	-24	-31	-35
125	16	3.5	-17	-28	-24	-31	34
126	16	4	-17	-28	21	30	33
127	16	4.5	-17	-28	-21	29	-33
128	17	1	0	28	21	30	32
130	17	2	21	-28	-21	-30	-32
132	17	3	19	-28	0	0	33
134	17	4	17	-28	24	0	-33
136	18	1	18	25	22	29	34
142	18	4	-18	-25	23	28	33
143	18	4.5	-18	-25	-23	27	32
144	19	1	17	28	24	26	33
146	19	2	-17	-28	-24	31	-33
147	19	2.5	-17	-28	-24	-31	34
148	19	3	0	-28	0	30	35
150	19	4	24	-28	26	28	33
152	20	1	24	0	26	-28	34
153	20	1.5	-24	0	-26	29	-34
154	20	2	23	0	25	30	-34
156	20	3	24	0	26	28	33
158	20	4	22	0	-26	29	-33
159	20	4.5	-22	0	-26	-29	34
160	21	1	21	0	0	30	35
162	21	2	24	0	26	28	31
164	21	3	-24	0	27	-28	32
165	21	3.5	-24	0	-27	29	-32
166	21	4	23	0	27	30	32
168	22	1	24	26	26	28	31
170	22	2	17	-26	-26	-28	33
171	22	2.5	-17	-26	25	-28	-33
172	22	3	-17	-26	24	-28	-33
173	22	3.5	18	-26	23	-28	32
174	22	4	19	-26	24	-28	31
175	22	4.5	20	-26	-24	-28	-31
176	23	1	21	25	21	-28	-31
178	23	2	-21	-25	-21	-28	30
179	23	2.5	-21	-25	-21	-28	29
180	23	3	21	-25	0	-28	30
182	23	4	-21	-25	28	-28	-30
184	24	1	17	24	26	0	31
186	24	2	-17	-24	28	26	-31
189	24	3.5	0	-24	27	27	-31
190	24	4	17	-24	26	28	-31
191	24	4.5	-17	-24	25	-28	-31
192	25	1	20	0	24	29	0
194	25	2	-20	0	24	29	31
196	25	3	18	0	25	27	34
198	25	4	18	0	25	27	-34
200	26	1	21	0	23	28	32
202	26	2	-21	0	-23	-28	32
204	26	3	17	0	24	26	35
206	26	4	-17	0	-24	26	-35
208	27	1	20	24	22	27	31
210	27	2	-20	-24	22	-27	-31
212	27	3	20	-24	-22	-27	31
214	27	4	-20	-24	22	-27	31
216	28	1	17	26	24	28	-31
218	28	2	24	-26	-24	-28	33
220	28	3	-24	-26	24	0	33
222	28	4	23	-26	-24	28	32
223	28	4.5	22	-26	-24	-28	31
224	29	1	21	28	25	-28	30
226	29	2	-21	-28	23	27	28
227	29	2.5	-21	-28	-23	26	-28
228	29	3	21	-28	-23	25	-28
229	29	3.5	-21	-28	24	26	29
