**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	29	0	33
4	1	3	22	-29	29	-33
8	2	1	22	29	31	33
12	2	3	22	-29	31	33
16	3	1	25	29	32	34
20	3	3	-25	29	-32	-34
24	4	1	22	-29	31	33
28	4	3	22	29	31	33
32	5	1	25	-29	32	34
36	5	3	-25	29	-32	36
40	6	1	24	31	33	-36
42	6	2	-24	-31	-33	35
44	6	3	-24	-31	-33	35
46	6	4	25	-31	-33	-35
48	7	1	26	30	33	-35
50	7	2	27	-30	-33	-35
52	7	3	28	-30	32	35
54	7	4	21	-30	-32	-35
56	8	1	25	29	-32	34
58	8	2	-25	-29	25	-34
60	8	3	24	29	26	33
64	9	1	23	30	27	32
66	9	2	-23	-30	25	-32
67	9	2.5	-23	-30	-25	33
68	9	3	0	-30	32	34
70	9	4	21	-30	-32	35
73	10	1.5	22	-30	0	-35
74	10	2	23	-30	32	34
75	10	2.5	24	-30	-32	-34
76	10	3	25	-30	-32	-34
77	10	3.5	-25	-30	31	-34
78	10	4	26	-30	30	33
79	10	4.5	-26	-30	29	34
80	11	1	-26	-30	28	35
81	11	1.5	27	-30	-28	36
82	11	2	28	-30	26	37
85	11	3.5	27	-30	27	36
86	11	4	26	-30	28	35
87	11	4.5	-26	-30	29	-35
88	12	1	25	-30	30	34
90	12	2	26	-30	28	33
92	12	3	23	-30	27	-33
94	12	4	-23	-30	-27	32
96	13	1	26	0	26	33
98	13	2	-26	0	30	-33
100	13	3	0	29	31	-33
102	13	4	22	-29	-31	-33
104	14	1	25	29	32	0
106	14	2	25	-29	32	0
108	14	3	22	-29	31	0
110	14	4	-22	29	-31	33
111	14	4.5	-22	-29	32	-33
112	15	1	0	29	33	36
114	15	2	0	-29	-33	36
116	15	3	0	29	0	33
118	15	4	25	-29	32	34
120	16	1	28	30	32	35
122	16	2	28	-30	32	-35
124	16	3	25	29	32	34
128	17	1	0	28	0	33
130	17	2	21	-28	30	32
132	17	3	21	-28	30	0
134	17	4	21	-28	-30	32
136	18	1	23	27	30	32
138	18	2	-23	-27	32	32
139	18	2.5	24	-27	-32	-32
140	18	3	25	-27	-32	34
142	18	4	-25	-27	29	-34
143	18	4.5	-25	-27	-29	35
144	19	1	22	26	31	36
145	19	1.5	-22	-26	-31	33
146	19	2	-22	-26	-31	36
148	19	3	0	-26	30	-36
150	19	4	0	-26	-30	35
152	20	1	0	27	29	36
156	20	3	0	25	0	-36
158	20	4	25	-25	32	-36
160	21	1	25	29	32	0
162	21	2	25	-29	32	36
164	21	3	27	-29	31	36
166	21	4	27	-29	32	36
168	22	1	26	0	33	35
172	22	3	24	0	26	-35
174	22	4	25	29	27	34
176	23	1	-25	29	-27	36
178	23	2	24	29	26	36
179	23	2.5	23	-29	25	-36
180	23	3	22	31	26	36
182	23	4	-22	31	27	-36
184	24	1	21	30	28	32
187	24	2.5	-21	-30	29	-32
188	24	3	0	28	30	0
190	24	4	0	29	31	33
192	25	1	0	-29	-31	33
194	25	2	0	28	30	33
195	25	2.5	0	27	29	-33
196	25	3	0	26	30	35
198	25	4	0	-26	31	35
200	26	1	0	25	32	34
202	26	2	25	-25	-32	-34
203	26	2.5	-25	-25	31	-34
204	26	3	-25	0	30	32
205	26	3.5	-25	0	29	-32
206	26	4	22	0	31	33
208	27	1	24	0	-31	-33
210	27	2	25	0	30	32
211	27	2.5	-25	0	29	31
212	27	3	26	0	28	30
216	28	1	22	0	29	29
218	28	2	-22	29	-29	36
219	28	2.5	-22	-29	30	-36
220	28	3	0	-29	31	-36
222	28	4	0	26	30	37
224	29	1	0	28	-30	-37
226	29	2	0	29	33	36
227	29	2.5	0	-29	-33	35
228	29	3	0	30	-33	34
230	29	4	0	-30	32	-34
232	30	1	0	26	33	33
234	30	2	22	29	-33	31
235	30	2.5	-22	-29	-33	32
236	30	3	-22	-29	0	33
237	30	3.5	-22	-29	0	34
238	30	4	19	30	33	35
240	31	1	21	-30	32	-35
242	31	2	22	29	31	34
243	31	2.5	-22	28	-31	33
244	31	3	23	27	30	32
248	32	1	19	26	-30	33
250	32	2	-19	-26	28	-33
251	32	2.5	20	-26	-28	-33
252	32	3	21	0	28	30
254	32	4	-21	25	-28	-30
255	32	4.5	22	-25	-28	31
256	33	1	23	-25	0	32
257	33	1.5	-23	26	0	-32
258	33	2	-23	27	32	-32
259	33	2.5	24	-27	-32	33
260	33	3	25	-27	-32	34
261	33	3.5	-25	28	-32	-34
262	33	4	-25	29	29	34
263	33	4.5	-25	27	-29	-34
264	34	1	26	28	31	33
266	34	2	27	29	32	32
268	34	3	26	30	33	35
270	34	4	-26	31	-33	-35
272	35	1	25	32	29	34
275	35	2.5	-25	31	-29	-34
276	35	3	-25	30	0	-34
277	35	3.5	-25	29	0	-34
278	35	4	-25	30	32	-34
280	36	1	22	31	33	0
281	36	1.5	-22	30	-33	0
282	36	2	-22	29	-33	0
283	36	2.5	-22	28	-33	0
284	36	3	-22	29	31	36
288	37	1	26	28	30	37
292	37	3	26	-28	-30	35
294	37	4	-26	27	-30	-35
295	37	4.5	-26	26	-30	-35
296	38	1	23	30	0	34
298	38	2	-23	-30	32	-34
300	38	3	0	27	-32	0
301	38	3.5	0	-27	31	0
302	38	4	25	-27	30	34
303	38	4.5	-25	-27	29	-34
304	39	1	26	0	28	33
