**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	23	0	0	23	0
8	2	1	19	0	0	26	0
12	2	3	23	0	0	25	0
16	3	1	21	0	0	28	0
20	3	3	25	0	0	27	0
24	4	1	-25	0	0	27	0
28	4	3	23	0	0	-27	0
30	4	4	-23	0	0	27	0
32	5	1	-23	0	0	27	0
34	5	2	23	0	0	27	0
36	5	3	23	0	0	30	0
38	5	4	23	0	0	-30	0
40	6	1	26	0	0	-30	0
42	6	2	-26	0	0	29	0
44	6	3	-26	0	0	28	0
46	6	4	25	0	0	27	0
48	7	1	24	0	0	28	0
50	7	2	23	0	0	-28	0
52	7	3	24	0	0	26	0
56	8	1	22	0	0	27	0
60	8	3	23	0	0	-27	0
68	9	3	0	0	0	23	0
72	10	1	19	0	0	26	0
76	10	3	23	0	0	25	0
80	11	1	21	0	0	28	0
84	11	3	25	0	0	27	0
88	12	1	-25	0	0	30	0
92	12	3	23	0	0	-30	0
96	13	1	24	0	0	29	0
100	13	3	-24	0	0	28	0
102	13	4	23	0	0	-28	0
104	14	1	22	0	0	27	0
106	14	2	21	0	0	26	0
108	14	3	20	0	0	-26	0
110	14	4	-20	0	0	25	0
112	15	1	19	0	0	26	33
116	15	3	0	0	26	-26	-33
120	16	1	19	0	28	0	30
124	16	3	23	0	25	23	32
128	17	1	22	0	29	24	33
134	17	4	-22	0	29	-24	-33
136	18	1	-22	0	-29	22	0
138	18	2	-22	0	29	-22	33
140	18	3	19	0	28	23	-33
142	18	4	-19	0	26	-23	33
144	19	1	0	0	27	-23	32
148	19	3	26	0	26	0	35
152	20	1	25	0	30	23	34
154	20	2	-25	0	-30	-23	32
156	20	3	24	0	31	26	33
160	21	1	-24	0	-31	-26	35
162	21	2	24	0	31	26	-35
164	21	3	26	0	30	-26	-35
166	21	4	-26	0	28	24	35
168	22	1	25	0	29	25	34
170	22	2	24	0	-29	26	33
172	22	3	25	0	29	-26	34
174	22	4	25	0	-29	25	-34
176	23	1	22	0	-29	26	33
178	23	2	22	0	-29	26	-33
180	23	3	22	0	0	26	-33
182	23	4	-22	0	0	26	-33
184	24	1	22	0	29	24	0
188	24	3	0	0	29	22	33
192	25	1	22	0	26	0	33
