**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0
3	1	2.5	0	0	29	0
4	1	3	0	0	29	0
6	1	4	0	0	29	0
8	2	1	0	0	29	0
12	2	3	0	0	28	0
14	2	4	0	0	28	0
16	3	1	0	0	31	33
19	3	2.5	0	0	-31	33
20	3	3	0	0	31	33
22	3	4	0	0	30	33
24	4	1	0	0	29	33
26	4	2	0	0	28	-33
28	4	3	0	0	27	32
30	4	4	0	0	-27	32
32	5	1	0	0	26	35
36	5	3	0	0	-26	35
38	5	4	0	0	-26	34
40	6	1	22	0	-26	33
42	6	2	-22	0	-26	32
43	6	2.5	22	0	-26	-32
44	6	3	22	0	-26	31
46	6	4	22	0	-26	-31
47	6	4.5	-22	0	-26	30
47.5	6	4.75	-22	0	-26	29
48	7	1	22	0	0	31
52	7	3	21	0	0	30
54	7	4	21	0	0	-30
56	8	1	24	26	0	26
58	8	2	-24	-26	0	33
59	8	2.5	-24	26	0	-33
60	8	3	24	26	0	-33
62	8	4	23	26	0	32
64	9	1	22	26	0	31
66	9	2	21	-26	0	30
68	9	3	20	25	0	-30
70	9	4	-20	25	0	29
72	10	1	19	28	33	30
76	10	3	-19	28	-33	0
78	10	4	-19	27	32	0
80	11	1	0	26	31	33
82	11	2	0	25	30	-33
84	11	3	0	24	-30	33
86	11	4	0	-24	29	33
88	12	1	0	23	30	32
91	12	2.5	0	-23	29	31
92	12	3	0	0	30	32
94	12	4	0	0	31	33
96	13	1	22	26	31	-33
97	13	1.5	-22	-26	30	32
98	13	2	-22	-26	29	31
99	13	2.5	-22	-26	28	30
100	13	3	22	-26	29	31
102	13	4	22	27	-29	-31
104	14	1	21	28	30	0
106	14	2	-21	-28	-30	30
107	14	2.5	20	-28	-30	-30
108	14	3	21	-28	0	-30
110	14	4	22	27	0	31
112	15	1	22	-27	0	-31
113	15	1.5	21	26	0	30
114	15	2	20	26	0	29
115	15	2.5	19	-26	0	28
116	15	3	20	-26	0	29
118	15	4	-20	25	0	-29
120	16	1	19	26	0	28
122	16	2	24	-26	33	26
124	16	3	24	-26	33	-26
125	16	3.5	-24	-26	-33	27
126	16	4	24	-26	33	28
127	16	4.5	-24	-26	-33	29
128	17	1	23	0	32	30
129	17	1.5	-23	0	-32	31
130	17	2	-23	0	-32	32
131	17	2.5	22	0	31	-32
132	17	3	23	0	32	32
134	17	4	24	0	33	29
136	18	1	22	0	-33	-29
137	18	1.5	-22	0	32	30
138	18	2	-22	29	31	31
139	18	2.5	-22	-29	30	32
140	18	3	-22	29	31	33
141	18	3.5	-22	-29	-31	32
142	18	4	-22	29	-31	33
143	18	4.5	-22	-29	-31	34
144	19	1	0	28	30	35
145	19	1.5	0	-28	-30	33
146	19	2	26	-28	28	35
147	19	2.5	-26	27	29	-35
148	19	3	-26	28	30	-35
149	19	3.5	-26	-28	31	-35
150	19	4	25	29	32	34
152	20	1	24	-29	29	-34
153	20	1.5	-24	28	-29	-34
154	20	2	-24	27	-29	33
155	20	2.5	-24	26	-29	-33
156	20	3	23	27	30	-33
158	20	4	-23	-27	-30	32
160	21	1	19	26	0	33
162	21	2	-19	-26	30	-33
163	21	2.5	20	-26	-30	-33
164	21	3	21	-26	30	-33
166	21	4	22	-26	29	-33
168	22	1	19	0	30	0
170	22	2	-19	0	26	33
172	22	3	0	0	30	33
174	22	4	0	0	-30	32
176	23	1	0	0	0	33
178	23	2	0	0	29	29
180	23	3	0	0	29	33
182	23	4	0	0	28	-33
184	24	1	0	0	29	0
186	24	2	23	0	25	32
188	24	3	23	0	29	32
190	24	4	22	0	-29	31
191	24	4.5	-22	0	28	-31
192	25	1	23	0	27	32
193	25	1.5	-23	0	26	-32
194	25	2	19	26	28	28
196	25	3	23	26	27	32
198	25	4	-23	25	-27	-32
199	25	4.5	-23	-25	-27	31
200	26	1	0	26	26	30
201	26	1.5	0	-26	-26	29
202	26	2	22	22	-26	31
204	26	3	22	26	-26	30
206	26	4	21	-26	-26	-30
208	27	1	22	0	0	29
210	27	2	18	25	29	-29
212	27	3	22	25	-29	-29
213	27	3.5	-22	-25	28	-29
214	27	4	-22	24	27	-29
215	27	4.5	21	-24	26	-29
216	28	1	20	25	25	0
217	28	1.5	19	-25	-25	0
218	28	2	21	23	-25	32
220	28	3	20	25	0	-32
221	28	3.5	-20	-25	0	31
222	28	4	-20	-25	25	30
223	28	4.5	-20	24	-25	29
224	29	1	19	23	26	28
225	29	1.5	-19	22	-26	-28
226	29	2	-19	24	-26	29
228	29	3	-19	23	0	-29
230	29	4	-19	-23	33	28
232	30	1	0	22	33	29
234	30	2	24	-22	-33	-29
236	30	3	24	-22	-33	-29
238	30	4	23	-22	32	-29
240	31	1	22	0	31	0
242	31	2	21	0	30	0
244	31	3	20	25	29	34
248	32	1	19	26	28	35
254	32	4	-19	25	-28	34
256	33	1	0	24	0	33
258	33	2	0	23	0	32
260	33	3	0	22	26	31
264	34	1	0	21	28	30
270	34	4	0	-21	28	-30
272	35	1	22	0	29	0
274	35	2	-22	26	-29	0
276	35	3	24	-26	26	0
278	35	4	-24	28	-26	0
282	36	2	24	28	-26	0
284	36	3	25	27	0	29
286	36	4	-25	-27	29	-29
288	37	1	22	26	-29	31
290	37	2	-22	-26	29	-31
292	37	3	-22	0	29	-31
293	37	3.5	-22	0	28	-31
294	37	4	-22	29	27	31
295	37	4.5	-22	-29	26	-31
296	38	1	0	-29	25	32
298	38	2	25	29	-25	-32
300	38	3	-25	29	0	29
301	38	3.5	-25	28	0	-29
302	38	4	25	27	0	32
303	38	4.5	-25	26	0	-32
304	39	1	25	25	0	-32
305	39	1.5	24	-25	0	-32
306	39	2	23	-25	0	32
307	39	2.5	22	-25	0	-32
308	39	3	21	-25	0	32
309	39	3.5	-21	-25	0	31
310	39	4	-21	-25	0	30
311	39	4.5	-21	-25	0	29
312	40	1	0	0	0	28
314	40	2	0	0	32	-28
316	40	3	21	25	-32	-28
318	40	4	-21	-25	32	-28
320	41	1	20	25	32	0
321	41	1.5	-20	-25	31	0
322	41	2	-20	-25	30	0
323	41	2.5	-20	-25	29	0
324	41	3	19	26	28	0
328	42	1	-19	28	-28	0
332	42	3	22	27	0	0
334	42	4	-22	26	31	0
335	42	4.5	21	-26	-31	0
336	43	1	20	-26	-31	0
337	43	1.5	-20	25	-31	0
338	43	2	21	25	30	0
339	43	2.5	-21	-25	29	0
340	43	3	19	-25	28	35
342	43	4	-19	24	-28	-35
344	44	1	18	25	0	34
346	44	2	25	-25	0	-34
348	44	3	24	0	31	33
349	44	3.5	23	0	-31	-33
350	44	4	24	0	-31	-33
351	44	4.5	25	0	-31	-33
352	45	1	26	0	30	35
354	45	2	-26	0	28	-35
356	45	3	25	0	29	34
358	45	4	24	0	-29	33
359	45	4.5	-24	0	28	-33
360	46	1	25	0	27	-33
361	46	1.5	-25	0	-27	32
362	46	2	21	0	28	32
364	46	3	22	0	26	-32
366	46	4	-22	0	-26	31
368	47	1	18	0	25	32
370	47	2	-18	25	-25	-32
372	47	3	-18	25	0	-32
374	47	4	-18	25	0	-32
376	48	1	0	26	0	0
378	48	2	0	-26	28	0
380	48	3	0	28	28	0
382	48	4	0	-28	28	32
384	49	1	25	27	29	32
386	49	2	-25	-27	-29	32
388	49	3	24	26	31	33
391	49	4.5	25	-26	-31	-33
392	50	1	26	0	30	35
394	50	2	23	0	-30	-35
396	50	3	25	0	29	34
398	50	4	-25	25	-29	-34
400	51	1	22	26	0	33
403	51	2.5	-22	27	0	-33
404	51	3	0	29	0	0
406	51	4	0	28	28	0
408	52	1	25	27	29	0
410	52	2	-25	-27	-29	32
411	52	2.5	-25	-27	30	-32
412	52	3	24	26	31	33
414	52	4	-24	-26	31	-33
415	52	4.5	25	-26	-31	34
416	53	1	26	0	30	35
418	53	2	23	0	-30	35
420	53	3	25	0	29	34
424	54	1	22	0	29	33
426	54	2	-22	26	31	-33
427	54	2.5	23	-26	-31	-33
428	54	3	24	-26	-31	0
429	54	3.5	25	27	-31	0
430	54	4	26	28	30	0
431	54	4.5	-26	29	-30	0
432	55	1	23	30	32	0
434	55	2	25	27	-32	29
437	55	3.5	24	-27	-32	30
438	55	4	22	29	31	31
439	55	4.5	23	-29	-31	32
440	56	1	24	26	-31	33
441	56	1.5	25	-26	30	-33
441.5	56	1.75	-25	-26	29	-33
442	56	2	26	28	28	30
444	56	3	-26	-28	30	-30
445	56	3.5	25	27	-30	-30
446	56	4	23	25	-30	33
447	56	4.5	24	26	29	-33
447.5	56	4.75	-24	-26	28	-33
448	57	1	25	27	27	29
449	57	1.5	-25	28	-27	-29
450	57	2	22	29	26	31
451	57	2.5	23	-29	-26	-31
452	57	3	24	26	33	-31
453	57	3.5	25	-26	-33	30
454	57	4	26	-26	-33	28
455	57	4.5	-26	27	-33	29
456	58	1	-26	28	-33	30
457	58	1.5	25	29	-33	31
458	58	2	23	30	32	32
459	58	2.5	24	-30	33	-32
460	58	3	25	27	34	29
461	58	3.5	-25	-27	35	-29
462	58	4	-25	-27	34	-29
463	58	4.5	-25	-27	-34	30
464	59	1	22	29	33	31
465	59	1.5	-22	-29	-33	32
466	59	2	-22	26	-33	33
468	59	3	0	28	32	30
470	59	4	26	-28	33	-30
471	59	4.5	-26	27	-33	-30
472	60	1	23	25	34	32
473	60	1.5	-23	26	-34	-32
474	60	2	25	27	-34	29
475	60	2.5	-25	28	-34	-29
476	60	3	22	29	33	31
479	60	4.5	23	-29	-33	-31
480	61	1	24	-29	-33	-31
481	61	1.5	25	-29	-33	-31
482	61	2	26	28	-33	30
483	61	2.5	-26	27	-33	29
484	61	3	-26	26	-33	28
486	61	4	19	-26	-33	30
487	61	4.5	-19	27	-33	-30
488	62	1	-19	28	-33	-30
489	62	1.5	20	-28	-33	-30
490	62	2	21	-28	-33	29
491	62	2.5	22	27	-33	28
491.5	62	2.75	-22	26	-33	-28
492	62	3	23	25	0	27
494	62	4	19	26	0	30
496	63	1	20	24	0	-30
497	63	1.5	-20	-24	0	29
498	63	2	18	25	0	29
500	63	3	19	23	33	-29
502	63	4	-19	-23	-33	28
504	64	1	22	22	33	29
506	64	2	-22	-22	33	33
508	64	3	0	0	35	33
510	64	4	0	0	-35	35
511	64	4.5	0	0	34	-35
512	65	1	0	26	33	-35
514	65	2	0	-26	32	34
516	65	3	0	26	31	33
518	65	4	0	26	-31	33
520	66	1	0	28	30	32
521	66	1.5	0	-28	-30	31
522	66	2	0	-28	-30	30
523	66	2.5	0	27	-30	29
524	66	3	19	26	-30	28
526	66	4	-19	25	-30	27
528	67	1	19	24	0	26
530	67	2	19	-24	28	-26
532	67	3	21	23	30	25
534	67	4	-21	-23	-30	32
535	67	4.5	20	-23	29	-32
536	68	1	19	-23	28	33
538	68	2	18	-23	27	34
540	68	3	17	0	26	35
544	69	1	21	0	25	-35
546	69	2	-21	0	32	34
547	69	2.5	-21	0	-32	33
548	69	3	0	0	-32	32
550	69	4	22	0	31	29
552	70	1	22	0	29	31
554	70	2	22	0	31	29
556	70	3	24	0	-31	33
557	70	3.5	-24	0	30	-33
558	70	4	-24	0	29	-33
559	70	4.5	23	0	28	30
560	71	1	22	0	27	31
561	71	1.5	-22	0	26	-31
562	71	2	21	0	26	30
564	71	3	20	0	-26	29
566	71	4	-20	0	25	-29
568	72	1	19	0	26	28
570	72	2	-19	26	-26	-28
572	72	3	-19	26	-26	-28
574	72	4	-19	26	-26	-28
576	73	1	-19	28	-26	-28
579	73	2.5	-19	27	-26	-28
580	73	3	-19	26	-26	-28
582	73	4	-19	25	-26	-28
584	74	1	-19	24	-26	-28
588	74	3	-19	23	-26	-28
592	75	1	0	0	0	0
592	75	1	19	26	0	0
598	75	4	19	26	0	0
600	76	1	21	26	0	0
604	76	3	22	26	0	0
608	77	1	23	25	0	0
614	77	4	21	-25	0	0
616	78	1	22	0	0	0
620	78	3	23	25	0	0
624	79	1	24	26	0	0
628	79	3	23	27	0	0
632	80	1	19	28	0	0
636	80	3	-19	28	0	0
640	81	1	0	27	0	0
644	81	3	23	-27	30	32
648	82	1	23	-27	30	32
652	82	3	23	-27	30	32
656	83	1	24	0	28	33
660	83	3	26	0	28	35
664	84	1	25	0	29	34
666	84	2	-25	25	-29	-34
668	84	3	24	26	29	33
671	84	4.5	-24	27	-29	-33
672	85	1	23	28	30	32
674	85	2	-23	27	-30	-32
677	85	3.5	-23	26	-30	-32
678	85	4	24	26	29	33
679	85	4.5	-24	-26	28	-33
680	86	1	22	-26	27	34
682	86	2	23	25	-27	-34
684	86	3	19	26	26	35
686	86	4	24	-26	-26	-35
687	86	4.5	-24	-26	25	34
688	87	1	-24	0	26	33
689	87	1.5	-24	0	27	-33
690	87	2	23	0	28	32
692	87	3	22	24	-28	31
694	87	4	-22	-24	27	-31
696	88	1	21	25	28	30
700	88	3	0	26	0	-30
702	88	4	0	-26	28	-30
704	89	1	0	22	29	0
708	89	3	21	0	30	0
712	90	1	22	24	26	0
714	90	2	-22	-24	29	0
716	90	3	23	25	-29	0
718	90	4	-23	-25	27	0
720	91	1	19	26	28	0
722	91	2	22	-26	29	0
724	91	3	-22	22	27	0
726	91	4	20	-22	-27	0
728	92	1	21	0	26	0
730	92	2	22	26	-26	0
732	92	3	20	26	0	0
734	92	4	-20	25	0	0
736	93	1	19	26	28	0
740	93	3	0	24	29	0
742	93	4	22	-24	-29	0
744	94	1	22	23	30	0
746	94	2	21	-23	-30	0
748	94	3	22	0	26	0
750	94	4	-22	26	-26	0
752	95	1	20	26	0	0
754	95	2	-20	25	29	0
756	95	3	19	26	29	0
758	95	4	-19	-26	28	0
760	96	1	0	24	29	0
762	96	2	22	-24	-29	33
764	96	3	23	23	27	33
766	96	4	-23	-23	-27	32
768	97	1	24	0	26	33
770	97	2	-24	26	-26	-33
772	97	3	22	27	0	31
774	97	4	-22	-27	29	-31
776	98	1	21	28	30	30
780	98	3	0	26	31	0
782	98	4	24	-26	-31	33
784	99	1	25	25	29	34
788	99	3	26	0	28	35
790	99	4	-26	28	-28	-35
792	100	1	24	29	31	33
796	100	3	23	30	32	32
798	100	4	-23	-30	-32	30
799	100	4.5	-23	29	-32	-30
800	101	1	0	28	33	-30
802	101	2	24	26	-33	33
804	101	3	25	27	29	33
806	101	4	23	-27	30	32
808	102	1	26	26	28	35
810	102	2	-26	-26	31	-35
811	102	2.5	25	-26	-31	34
812	102	3	24	0	-31	33
813	102	3.5	-24	0	30	32
814	102	4	-24	24	29	33
815	102	4.5	23	-24	-29	-33
815.5	102	4.75	22	-24	-29	-33
816	103	1	23	25	-29	32
818	103	2	-23	23	28	-32
820	103	3	22	26	29	31
822	103	4	19	-26	28	30
823	103	4.5	-19	25	-28	-30
824	104	1	20	24	27	-30
825	104	1.5	-20	-24	-27	29
826	104	2	20	-24	25	29
827	104	2.5	-20	23	-25	-29
827.5	104	2.75	-20	22	-25	-29
828	104	3	19	23	26	-29
830	104	4	-19	-23	-26	28
832	105	1	0	22	26	29
834	105	2	22	-22	-26	-29
836	105	3	22	0	-26	-29
838	105	4	22	26	-26	-29
840	106	1	24	26	0	0
842	106	2	-24	26	0	0
844	106	3	-24	28	0	0
846	106	4	23	-28	0	0
847	106	4.5	22	-28	0	0
848	107	1	21	-28	0	0
850	107	2	24	27	0	0
851	107	2.5	-24	26	0	0
852	107	3	23	25	0	0
854	107	4	21	28	0	0
856	108	1	22	27	0	0
858	108	2	23	25	0	0
860	108	3	24	26	0	0
862	108	4	23	27	0	0
864	109	1	19	28	0	0
866	109	2	22	27	29	0
868	109	3	-22	26	29	0
869	109	3.5	21	-26	-29	0
870	109	4	22	27	29	0
872	110	1	-22	-27	31	0
873	110	1.5	21	26	-31	0
874	110	2	20	26	-31	0
875	110	2.5	19	-26	-31	0
876	110	3	20	-26	-31	0
878	110	4	-20	25	30	0
879	110	4.5	-20	-25	29	0
880	111	1	19	26	28	0
886	111	4	-19	-26	31	33
888	112	1	0	-26	30	33
890	112	2	0	-26	31	33
892	112	3	0	-26	-31	35
894	112	4	0	-26	30	-35
895	112	4.5	0	-26	29	-35
896	113	1	0	0	28	-35
898	113	2	0	0	31	34
899	113	2.5	0	0	-31	33
900	113	3	0	0	30	32
902	113	4	0	0	28	35
904	114	1	0	0	29	34
906	114	2	0	0	30	32
908	114	3	0	0	31	33
910	114	4	0	0	30	34
912	115	1	0	0	26	35
914	115	2	0	0	29	34
916	115	3	0	0	-29	33
917	115	3.5	0	0	28	-33
918	115	4	0	0	29	34
921	116	1.5	0	0	28	33
922	116	2	0	0	27	33
923	116	2.5	0	0	26	-33
924	116	3	0	23	27	-33
926	116	4	0	-23	-27	32
928	117	1	0	24	26	33
930	117	2	0	22	29	-33
932	117	3	19	23	29	0
934	117	4	-19	-23	28	0
936	118	1	20	0	29	0
938	118	2	18	25	-29	29
940	118	3	19	24	0	29
942	118	4	-19	23	0	28
944	119	1	0	22	0	29
946	119	2	22	-22	26	31
948	119	3	21	0	26	30
950	119	4	20	22	25	29
952	120	1	19	23	26	28
954	120	2	-19	21	-26	30
956	120	3	0	24	-26	-30
957	120	3.5	0	-24	-26	29
958	120	4	0	22	-26	29
960	121	1	0	23	0	-29
962	121	2	19	-23	26	28
964	121	3	20	22	25	29
965	121	3.5	-20	-22	26	-29
966	121	4	18	-22	27	-29
968	122	1	21	0	-27	0
969	122	1.5	-21	0	26	0
970	122	2	19	0	26	0
972	122	3	20	0	-26	0
974	122	4	-20	0	25	0
976	123	1	19	0	26	0
978	123	2	-19	26	-26	33
980	123	3	0	27	0	32
981	123	3.5	0	-27	0	33
982	123	4	0	25	0	34
984	124	1	0	28	0	-34
985	124	1.5	0	-28	0	33
986	124	2	0	26	0	33
988	124	3	0	27	0	-33
990	124	4	23	-27	30	32
992	125	1	24	26	29	33
993	125	1.5	-24	-26	30	-33
994	125	2	22	-26	31	-33
996	125	3	25	0	-31	0
997	125	3.5	-25	0	30	0
998	125	4	23	0	30	0
1000	126	1	24	0	-30	0
1002	126	2	-24	26	29	33
1004	126	3	23	27	30	32
1006	126	4	-23	25	-30	34
1008	127	1	23	28	0	-34
1009	127	1.5	-23	-28	0	33
1010	127	2	-23	26	0	33
1012	127	3	-23	27	30	-33
1014	127	4	-23	-27	-30	32
1015	127	4.5	-23	-27	29	-32
1016	128	1	0	26	28	33
1017	128	1.5	0	-26	27	-33
1018	128	2	0	-26	28	-33
1020	128	3	19	-26	-28	-33
1022	128	4	-19	-26	27	-33
1023	128	4.5	-19	-26	26	-33
1024	129	1	20	0	25	0
1026	129	2	18	0	27	29
1028	129	3	21	0	-27	30
1029	129	3.5	-21	0	26	-30
1030	129	4	19	0	26	28
1032	130	1	20	22	-26	29
1034	130	2	-20	-22	25	27
1036	130	3	19	23	26	28
1038	130	4	-19	21	-26	30
1040	131	1	19	24	-26	-30
1041	131	1.5	-19	-24	-26	29
1042	131	2	-19	22	-26	29
1044	131	3	-19	23	-26	-29
1046	131	4	-19	-23	-26	28
1048	132	1	22	22	-26	29
*-	*-	*-	*-	*-	*-	*-
