**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	25	0	0
4	1	3	0	28	0	32
8	2	1	21	-28	0	35
12	2	3	24	26	28	-35
16	3	1	-24	26	31	33
20	3	3	22	29	-31	33
24	4	1	22	-29	29	36
26	4	2	-22	28	-29	-36
28	4	3	25	27	29	-36
30	4	4	-25	26	-29	35
32	5	1	-25	25	32	34
34	5	2	24	-25	-32	33
36	5	3	23	0	-32	32
38	5	4	22	0	31	-32
40	6	1	21	25	30	0
44	6	3	0	28	-30	32
46	6	4	0	-28	29	-32
48	7	1	21	-28	28	35
52	7	3	24	26	0	-35
54	7	4	-24	-26	28	-35
56	8	1	-24	0	31	33
58	8	2	-24	26	-31	-33
60	8	3	22	29	-31	-33
64	9	1	26	-29	30	33
66	9	2	-26	28	-30	-33
67	9	2.5	-26	27	-30	-33
68	9	3	-26	28	-30	33
71	9	4.5	-26	29	-30	-33
72	10	1	25	29	32	34
78	10	4	22	29	31	33
80	11	1	23	27	30	-33
81	11	1.5	-23	-27	-30	32
82	11	2	21	28	-30	32
84	11	3	22	26	29	-32
86	11	4	-22	-26	-29	31
88	12	1	25	25	0	32
90	12	2	-25	-25	29	-32
91	12	2.5	26	-25	-29	-32
92	12	3	27	-25	29	-32
94	12	4	25	-25	29	-32
96	13	1	-25	0	30	0
97	13	1.5	24	0	-30	0
98	13	2	23	25	-30	0
99	13	2.5	22	-25	-30	0
100	13	3	23	25	32	0
102	13	4	-23	25	-32	0
104	14	1	22	26	-32	0
106	14	2	-22	-26	31	0
108	14	3	0	28	30	0
110	14	4	0	-28	-30	32
112	15	1	0	-28	29	32
114	15	2	0	27	-29	32
115	15	2.5	0	-27	30	-32
116	15	3	0	26	31	33
118	15	4	0	-26	30	35
120	16	1	0	25	-30	-35
121	16	1.5	0	-25	29	-35
122	16	2	0	-25	32	34
124	16	3	0	0	-32	33
126	16	4	0	29	31	-33
128	17	1	0	30	32	32
130	17	2	25	29	-32	-32
132	17	3	25	32	0	-32
134	17	4	25	-32	0	0
136	18	1	26	-32	28	0
138	18	2	-26	31	-28	0
140	18	3	28	30	32	0
142	18	4	-28	29	-32	32
144	19	1	-28	28	30	32
146	19	2	27	-28	32	32
148	19	3	26	0	-32	33
150	19	4	-26	28	31	35
151	19	4.5	-26	29	-31	-35
152	20	1	25	30	32	-35
153	20	1.5	-25	31	-32	-35
154	20	2	-25	32	25	34
156	20	3	0	-32	29	33
158	20	4	22	31	-29	-33
160	21	1	23	32	25	32
162	21	2	21	-32	-25	-32
163	21	2.5	-21	-32	26	-32
164	21	3	25	0	27	32
165	21	3.5	-25	0	28	-32
166	21	4	-25	25	29	-32
167	21	4.5	24	-25	-29	-32
168	22	1	23	25	-29	32
170	22	2	-23	25	28	32
172	22	3	22	26	29	-32
174	22	4	-22	-26	-29	31
176	23	1	0	28	0	32
178	23	2	0	-28	32	30
180	23	3	0	-28	32	29
182	23	4	0	27	32	-29
184	24	1	0	26	-32	0
186	24	2	0	-26	31	33
188	24	3	0	25	32	34
190	24	4	25	-25	30	32
192	25	1	25	0	29	34
194	25	2	25	29	-29	-34
196	25	3	-25	29	0	33
198	25	4	24	29	0	-33
200	26	1	25	-29	0	0
202	26	2	23	28	0	32
204	26	3	22	29	0	32
206	26	4	-22	27	29	32
208	27	1	-22	26	29	-32
210	27	2	-22	26	29	31
212	27	3	0	27	-29	32
214	27	4	0	26	28	30
216	28	1	0	27	29	29
218	28	2	0	25	27	-29
220	28	3	0	-25	26	-29
222	28	4	0	24	26	-29
224	29	1	0	25	27	-29
226	29	2	25	-25	25	-29
227	29	2.5	-25	26	-25	-29
228	29	3	25	27	-25	29
229	29	3.5	-25	28	26	-29
230	29	4	25	29	27	-29
231	29	4.5	-25	-29	28	30
232	30	1	-25	-29	29	31
233	30	1.5	-25	28	30	32
234	30	2	24	26	31	33
236	30	3	25	27	29	-33
237	30	3.5	-25	-27	-29	32
238	30	4	23	25	28	32
240	31	1	22	26	29	-32
242	31	2	-22	-26	29	31
244	31	3	0	25	27	32
248	32	1	29	-25	0	-32
252	32	3	-29	-25	29	-32
254	32	4	28	-25	-29	-32
256	33	1	27	-25	-29	-32
258	33	2	-27	-25	28	-32
