**absq	**bar	**beat	**b7
0	1	1	36
6	1	4	36
8	2	1	37
10	2	2	36
12	2	3	35
14	2	4	34
16	3	1	35
20	3	3	35
22	3	4	35
24	4	1	36
26	4	2	35
28	4	3	34
30	4	4	33
32	5	1	34
36	5	3	34
38	5	4	34
40	6	1	35
42	6	2	34
44	6	3	33
46	6	4	32
48	7	1	36
51	7	2.5	35
52	7	3	34
54	7	4	33
56	8	1	34
58	8	2	35
60	8	3	33
64	9	1	0
66	9	2	36
70	9	4	35
71	9	4.5	34
72	10	1	33
74	10	2	32
76	10	3	31
78	10	4	38
81	11	1.5	37
82	11	2	36
85	11	3.5	35
86	11	4	35
87	11	4.5	34
88	12	1	36
96	13	1	0
104	14	1	0
112	15	1	0
120	16	1	0
128	17	1	0
136	18	1	0
144	19	1	0
152	20	1	0
160	21	1	0
168	22	1	0
176	23	1	0
180	23	3	0
182	23	4	36
186	24	2	36
188	24	3	38
191	24	4.5	39
192	25	1	36
196	25	3	0
200	26	1	0
204	26	3	0
206	26	4	36
208	27	1	35
210	27	2	33
212	27	3	36
216	28	1	35
218	28	2	34
220	28	3	33
224	29	1	32
228	29	3	0
232	30	1	0
240	31	1	0
244	31	3	0
246	31	4	32
248	32	1	34
249	32	1.5	33
250	32	2	34
251	32	2.5	35
252	32	3	36
254	32	4	36
256	33	1	32
260	33	3	0
264	34	1	0
272	35	1	0
276	35	3	31
280	36	1	32
284	36	3	33
288	37	1	34
292	37	3	32
294	37	4	32
296	38	1	34
299	38	2.5	35
300	38	3	36
302	38	4	37
305	39	1.5	36
306	39	2	36
310	39	4	35
312	40	1	36
320	41	1	0
324	41	3	36
328	42	1	36
330	42	2	35
332	42	3	34
334	42	4	33
336	43	1	32
344	44	1	0
348	44	3	35
352	45	1	35
354	45	2	34
356	45	3	33
358	45	4	32
360	46	1	31
376	48	1	0
384	49	1	0
388	49	3	38
392	50	1	38
394	50	2	38
398	50	4	38
402	51	2	36
406	51	4	36
408	52	1	37
416	53	1	0
424	54	1	0
432	55	1	0
440	56	1	0
448	57	1	0
456	58	1	0
464	59	1	0
466	59	2	35
470	59	4	36
472	60	1	35
474	60	2	38
478	60	4	37
480	61	1	38
488	62	1	0
496	63	1	0
504	64	1	38
507	64	2.5	38
508	64	3	38
510	64	4	38
512	65	1	35
520	66	1	0
524	66	3	0
526	66	4	36
528	67	1	35
530	67	2	33
532	67	3	34
534	67	4	35
537	68	1.5	34
538	68	2	33
539	68	2.5	32
540	68	3	33
542	68	4	33
544	69	1	32
552	70	1	0
554	70	2	34
556	70	3	34
558	70	4	34
560	71	1	34
562	71	2	34
564	71	3	35
568	72	1	33
576	73	1	0
584	74	1	0
588	74	3	0
590	74	4	31
592	75	1	33
595	75	2.5	34
596	75	3	35
598	75	4	35
600	76	1	31
608	77	1	0
616	78	1	0
624	79	1	0
632	80	1	0
640	81	1	0
648	82	1	0
656	83	1	0
664	84	1	0
672	85	1	0
674	85	2	36
676	85	3	36
678	85	4	36
680	86	1	33
683	86	2.5	34
684	86	3	35
686	86	4	36
688	87	1	34
690	87	2	33
691	87	2.5	32
692	87	3	33
696	88	1	32
704	89	1	0
706	89	2	35
708	89	3	35
712	90	1	36
718	90	4	36
720	91	1	34
722	91	2	34
724	91	3	34
728	92	1	35
736	93	1	0
744	94	1	0
752	95	1	0
760	96	1	0
768	97	1	0
776	98	1	0
778	98	2	36
780	98	3	36
782	98	4	36
784	99	1	38
792	100	1	36
796	100	3	36
798	100	4	36
800	101	1	38
806	101	4	37
808	102	1	36
810	102	2	35
811	102	2.5	34
812	102	3	35
816	103	1	31
818	103	2	34
822	103	4	33
824	104	1	34
832	105	1	0
840	106	1	0
848	107	1	0
856	108	1	0
864	109	1	34
868	109	3	34
872	110	1	33
878	110	4	33
880	111	1	34
904	114	1	0
908	114	3	0
910	114	4	36
912	115	1	34
914	115	2	35
916	115	3	36
924	116	3	32
928	117	1	0
936	118	1	0
944	119	1	0
952	120	1	0
960	121	1	0
962	121	2	35
964	121	3	35
966	121	4	34
968	122	1	35
972	122	3	0
974	122	4	33
976	123	1	33
982	123	4	33
984	124	1	33
990	124	4	32
991	124	4.5	31
992	125	1	32
996	125	3	0
1000	126	1	0
1008	127	1	32
1010	127	2	35
1012	127	3	34
1014	127	4	32
1016	128	1	34
1020	128	3	31
1023	128	4.5	32
1024	129	1	33
1048	131	1	0
