**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	27	0	0	0
6	1	4	0	27	0	0	0
8	2	1	0	27	0	0	0
12	2	3	0	27	0	0	0
16	3	1	23	27	0	0	0
20	3	3	-23	27	0	0	0
22	3	4	23	-27	0	0	0
24	4	1	23	28	0	0	0
28	4	3	23	-28	0	0	0
32	5	1	23	27	0	0	0
36	5	3	23	30	0	0	0
40	6	1	24	29	0	0	0
42	6	2	-24	28	0	0	0
46	6	4	-24	27	0	0	0
47	6	4.5	-24	26	0	0	0
48	7	1	23	25	0	0	34
54	7	4	-23	-25	0	0	34
56	8	1	-23	-25	0	0	34
60	8	3	-23	-25	0	0	34
64	9	1	0	0	0	30	34
68	9	3	0	0	0	-30	34
70	9	4	0	0	0	30	-34
72	10	1	0	0	0	30	35
76	10	3	0	0	0	30	-35
80	11	1	0	0	0	30	34
84	11	3	0	0	0	30	-34
88	12	1	0	0	0	31	0
92	12	3	0	0	0	-31	33
96	13	1	0	0	0	30	34
100	13	3	0	0	0	-30	35
104	14	1	0	0	0	0	36
108	14	3	0	0	0	29	-36
112	15	1	0	0	0	30	35
116	15	3	0	0	0	31	33
120	16	1	0	0	0	32	34
124	16	3	0	0	0	-32	32
128	17	1	0	0	0	31	33
132	17	3	0	0	0	29	34
136	18	1	0	0	0	30	35
140	18	3	0	0	0	31	-35
142	18	4	0	0	0	-31	34
143	18	4.5	0	0	0	-31	33
144	19	1	23	0	30	32	35
146	19	2	-23	0	-30	-32	34
147	19	2.5	-23	0	-30	31	-34
148	19	3	-23	27	-30	30	32
149	19	3.5	-23	-27	-30	29	-32
150	19	4	23	-27	30	30	-32
151	19	4.5	-23	-27	-30	-30	31
152	20	1	23	-27	30	-30	32
154	20	2	-23	27	-30	29	33
155	20	2.5	-23	-27	-30	28	-33
156	20	3	23	27	30	27	32
158	20	4	-23	27	-30	-27	33
159	20	4.5	-23	-27	-30	-27	32
160	21	1	19	28	30	26	33
164	21	3	19	28	30	-26	-33
168	22	1	22	29	31	-26	-33
176	23	1	19	28	30	0	-33
179	23	2.5	-19	27	-30	0	-33
180	23	3	-19	26	-30	0	-33
181	23	3.5	-19	25	-30	0	-33
182	23	4	-19	26	-30	0	-33
184	24	1	-19	-26	-30	28	0
186	24	2	-19	25	-30	-28	0
