**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	33
8	2	1	0	0	29	-33
16	3	1	0	0	-29	34
24	4	1	0	0	30	-34
28	4	3	0	0	-30	32
32	5	1	0	0	-30	32
36	5	3	0	0	28	-32
40	6	1	0	0	28	0
44	6	3	0	0	-28	32
48	7	1	0	0	-28	33
51	7	2.5	0	0	-28	32
52	7	3	0	0	-28	33
53	7	3.5	0	0	-28	34
54	7	4	0	0	-28	35
58	8	2	0	0	0	34
59	8	2.5	0	0	0	33
60	8	3	0	0	28	32
64	9	1	0	0	29	31
67	9	2.5	0	0	28	-31
68	9	3	0	0	29	-31
69	9	3.5	0	0	30	-31
70	9	4	0	0	31	-31
74	10	2	0	0	30	0
75	10	2.5	0	0	29	0
76	10	3	0	0	30	34
78	10	4	0	0	29	-34
80	11	1	0	0	27	-34
84	11	3	0	0	30	34
88	12	1	0	0	-30	34
92	12	3	0	0	30	35
96	13	1	0	0	30	-35
98	13	2	0	0	-30	35
100	13	3	0	0	31	35
106	14	2	0	0	31	31
108	14	3	0	0	31	-31
109	14	3.5	0	0	-31	32
110	14	4	0	0	-31	33
111	14	4.5	0	0	-31	34
112	15	1	0	0	0	35
114	15	2	0	0	24	33
117	15	3.5	0	0	25	-33
118	15	4	0	0	26	32
119	15	4.5	0	0	27	31
120	16	1	0	26	28	30
122	16	2	0	-26	29	31
126	16	4	0	-26	28	30
128	17	1	22	-26	29	31
136	18	1	-22	27	-29	-31
144	19	1	23	-27	27	32
148	19	3	-23	25	-27	-32
152	20	1	-23	25	-27	-32
156	20	3	21	-25	28	30
160	21	1	21	0	28	30
164	21	3	-21	25	-28	-30
168	22	1	-21	26	-28	-30
171	22	2.5	-21	25	-28	-30
172	22	3	-21	26	-28	-30
173	22	3.5	-21	27	-28	-30
174	22	4	-21	28	-28	-30
178	23	2	0	27	-28	-30
179	23	2.5	0	26	-28	-30
180	23	3	21	25	-28	-30
184	24	1	22	24	0	0
187	24	2.5	21	-24	0	0
188	24	3	22	-24	0	0
189	24	3.5	23	-24	0	0
190	24	4	24	-24	0	0
194	25	2	23	0	0	0
195	25	2.5	22	0	0	0
196	25	3	23	27	0	0
198	25	4	22	-27	0	0
200	26	1	20	-27	0	0
204	26	3	23	27	0	0
208	27	1	-23	27	0	0
210	27	2	23	-27	0	0
212	27	3	23	28	0	0
216	28	1	24	-28	0	0
218	28	2	-24	28	0	0
220	28	3	-24	28	0	0
222	28	4	24	-28	0	0
224	29	1	24	-28	0	0
226	29	2	25	27	0	0
228	29	3	26	28	0	0
230	29	4	27	29	0	0
232	30	1	24	-29	0	0
233	30	1.5	-24	28	0	0
234	30	2	27	29	0	0
235	30	2.5	-27	27	0	0
236	30	3	-27	28	0	0
237	30	3.5	26	-28	0	0
238	30	4	26	-28	0	0
239	30	4.5	25	-28	0	0
240	31	1	27	27	0	0
244	31	3	-27	-27	0	31
248	32	1	-27	0	0	32
252	32	3	-27	0	31	31
256	33	1	0	0	32	34
260	33	3	0	0	31	35
262	33	4	0	0	-31	36
265	34	1.5	0	0	-31	35
266	34	2	0	0	29	36
267	34	2.5	0	0	-29	34
268	34	3	0	0	30	35
270	34	4	0	0	31	36
272	35	1	0	0	27	-36
273	35	1.5	0	0	-27	35
274	35	2	0	0	-27	34
276	35	3	0	0	28	-34
277	35	3.5	0	0	-28	33
278	35	4	0	0	-28	33
279	35	4.5	0	0	27	32
280	36	1	0	27	25	34
283	36	2.5	0	-27	24	-34
284	36	3	0	-27	25	0
286	36	4	0	-27	-25	34
288	37	1	24	28	24	-34
290	37	2	-24	-28	-24	33
291	37	2.5	-24	-28	-24	32
292	37	3	-24	-28	0	33
294	37	4	-24	-28	31	-33
296	38	1	25	27	-31	34
298	38	2	-25	-27	30	-34
299	38	2.5	-25	-27	29	33
300	38	3	21	28	30	32
302	38	4	-21	-28	-30	35
304	39	1	24	-28	26	-35
305	39	1.5	-24	-28	-26	34
306	39	2	-24	28	-26	33
307	39	2.5	-24	-28	-26	32
308	39	3	-24	28	31	33
310	39	4	24	-28	-31	-33
311	39	4.5	-24	27	-31	-33
312	40	1	24	28	-31	-33
314	40	2	-24	29	-31	-33
316	40	3	25	-29	27	36
