**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	28	28
3	1	1.75	0	0	-28	29
4	1	2	0	0	-28	30
5	1	2.25	0	0	-28	31
6	1	2.5	0	0	27	32
8	1	3	0	0	26	-32
10	1	3.5	0	0	-26	31
12	2	1	0	0	27	32
15	2	1.75	0	0	25	-32
16	2	2	0	0	26	0
17	2	2.25	0	0	27	0
18	2	2.5	0	0	28	0
22	2	3.5	0	0	27	32
24	3	1	0	0	28	33
26	3	1.5	0	0	-28	35
30	3	2.5	0	0	-28	34
32	3	3	0	0	0	33
36	4	1	0	0	28	32
38	4	1.5	0	0	-28	33
41	4	2.25	0	0	-28	32
42	4	2.5	0	0	-28	30
44	4	3	0	0	29	31
48	5	1	0	0	30	30
50	5	1.5	0	0	-30	32
52	5	2	0	0	30	32
54	5	2.5	0	0	-30	28
56	5	3	0	0	29	-28
57	5	3.25	0	0	-29	27
58	5	3.5	0	0	30	28
60	6	1	0	0	31	29
64	6	2	0	0	30	30
66	6	2.5	0	0	29	31
69	6	3.25	0	0	28	30
70	6	3.5	0	0	27	32
71	6	3.75	0	0	26	-32
71.5	6	3.875	0	0	25	-32
72	7	1	0	0	26	-32
73	7	1.25	0	0	-26	31
74	7	1.5	0	0	25	30
75	7	1.75	0	0	-25	29
76	7	2	0	0	26	28
77	7	2.25	0	0	25	-28
78	7	2.5	0	0	28	30
80	7	3	0	0	-28	29
82	7	3.5	0	0	27	-29
84	8	1	0	0	28	28
96	9	1	21	28	0	0
99	9	1.75	22	-28	0	0
100	9	2	23	-28	0	0
101	9	2.25	24	-28	0	0
102	9	2.5	25	27	0	0
104	9	3	-25	26	0	0
106	9	3.5	24	-26	0	0
108	10	1	25	27	0	0
111	10	1.75	-25	25	0	0
112	10	2	0	26	0	0
113	10	2.25	0	27	0	0
114	10	2.5	0	28	0	0
118	10	3.5	25	27	0	0
120	11	1	26	28	0	0
122	11	1.5	28	-28	0	0
126	11	2.5	27	0	0	0
128	11	3	26	28	0	0
132	12	1	25	29	0	0
134	12	1.5	24	-29	0	0
135	12	1.75	25	-29	0	0
136	12	2	-25	30	0	0
137	12	2.25	26	-30	0	0
138	12	2.5	25	-30	0	0
139	12	2.75	26	-30	0	0
141	12	3.25	23	-30	0	0
142	12	3.5	24	29	0	0
144	13	1	23	30	0	0
146	13	1.5	25	-30	0	0
148	13	2	25	29	0	0
150	13	2.5	21	30	0	0
152	13	3	22	31	0	0
156	14	1	23	30	0	0
158	14	1.5	24	29	0	0
160	14	2	25	-29	0	0
161	14	2.25	-25	28	0	0
162	14	2.5	-25	27	0	0
163	14	2.75	24	26	0	0
164	14	3	23	25	0	0
165	14	3.25	22	-25	0	0
166	14	3.5	21	26	0	0
167	14	3.75	-21	25	0	0
168	15	1	-21	26	0	0
169	15	1.25	-21	25	0	0
170	15	1.5	20	29	0	0
172	15	2	21	-29	0	0
173	15	2.25	-21	28	0	0
174	15	2.5	-21	28	0	0
176	15	3	22	-28	0	0
178	15	3.5	-22	27	0	0
180	16	1	21	28	0	0
186	16	2.5	-21	-28	0	32
188	16	3	0	-28	0	33
190	16	3.5	0	-28	0	34
192	17	1	0	0	28	35
195	17	1.75	0	0	-28	34
196	17	2	0	0	-28	33
197	17	2.25	0	0	-28	32
198	17	2.5	0	0	27	32
200	17	3	0	0	26	-32
202	17	3.5	0	0	-26	31
204	18	1	0	0	27	32
206	18	1.5	0	0	25	-32
208	18	2	0	0	26	28
209	18	2.25	0	0	25	-28
210	18	2.5	0	0	28	-28
212	18	3	0	0	-28	29
214	18	3.5	0	0	27	-29
216	19	1	0	0	28	30
219	19	1.75	0	0	-28	31
220	19	2	0	0	28	32
222	19	2.5	0	0	-28	33
224	19	3	0	0	29	-33
226	19	3.5	0	0	-29	32
227	19	3.75	0	0	-29	31
228	20	1	0	0	30	30
230	20	1.5	0	0	-30	32
234	20	2.5	0	0	28	33
236	20	3	25	0	29	34
238	20	3.5	-25	0	30	-34
240	21	1	26	0	-30	35
241	21	1.25	-26	0	29	-35
242	21	1.5	-26	0	31	-35
244	21	2	27	0	-31	36
245	21	2.25	-27	0	30	-36
246	21	2.5	-27	0	29	-36
247	21	2.75	-27	0	28	-36
248	21	3	-27	0	29	-36
252	22	1	28	28	28	37
255	22	1.75	27	-28	-28	-37
256	22	2	26	-28	0	35
257	22	2.25	25	-28	0	-35
258	22	2.5	25	27	0	36
260	22	3	-25	26	0	-36
261	22	3.25	-25	-26	0	35
262	22	3.5	24	-26	0	33
264	23	1	25	27	0	32
267	23	1.75	-25	25	0	-32
268	23	2	0	26	0	31
269	23	2.25	0	27	0	-31
270	23	2.5	0	28	0	30
272	23	3	25	-28	32	29
274	23	3.5	-25	27	-32	-29
276	24	1	26	28	30	28
278	24	1.5	-26	-28	33	-28
282	24	2.5	-26	-28	32	0
284	24	3	-26	-28	-32	35
286	24	3.5	-26	-28	31	-35
288	25	1	25	0	32	34
290	25	1.5	26	0	28	33
292	25	2	-26	28	-28	35
293	25	2.25	25	-28	29	-35
294	25	2.5	23	-28	30	-35
295	25	2.75	-23	-28	-30	34
296	25	3	24	29	26	33
298	25	3.5	25	-29	27	32
