**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	32
4	1	3	0	0	0	0	25	-32
8	2	1	0	0	0	0	-25	32
12	2	3	0	0	0	0	25	32
16	3	1	0	0	0	25	25	34
20	3	3	0	0	0	-25	27	32
24	4	1	0	0	0	25	25	34
28	4	3	0	0	0	25	27	-34
30	4	4	0	0	0	-25	-27	35
32	5	1	18	0	0	27	-27	36
34	5	2	-18	0	0	-27	26	-36
35	5	2.5	-18	0	0	-27	25	-36
36	5	3	-18	0	0	25	27	-36
39	5	4.5	-18	0	0	-25	28	-36
40	6	1	18	0	0	27	29	-36
42	6	2	-18	0	0	-27	25	-36
44	6	3	18	0	0	-27	-25	-36
46	6	4	-18	0	0	28	24	-36
47	6	4.5	-18	0	0	-28	23	-36
48	7	1	20	0	0	29	22	0
52	7	3	18	0	0	0	-22	0
54	7	4	-18	0	0	29	-22	0
56	8	1	20	0	0	-29	29	0
57	8	1.5	-20	0	0	28	-29	0
58	8	2	-20	0	0	27	-29	0
62	8	4	21	0	0	26	-29	0
63	8	4.5	-21	0	0	25	-29	0
64	9	1	22	0	0	24	0	0
68	9	3	-22	0	0	-24	31	33
72	10	1	-22	0	0	0	31	33
76	10	3	-22	0	0	0	31	33
80	11	1	0	0	0	0	32	34
84	11	3	0	0	0	0	31	33
86	11	4	0	0	0	0	32	34
88	12	1	0	0	0	0	31	33
90	12	2	0	0	0	0	32	34
94	12	4	0	0	0	0	31	33
95	12	4.5	0	0	0	0	30	32
96	13	1	0	0	0	29	31	33
100	13	3	22	0	0	-29	-31	-33
104	14	1	24	0	0	28	0	0
108	14	3	24	0	0	26	0	0
112	15	1	25	0	0	27	0	0
116	15	3	24	0	0	26	0	0
118	15	4	25	0	0	27	0	0
120	16	1	24	0	0	26	0	0
122	16	2	25	0	0	27	0	0
126	16	4	24	0	0	26	0	0
127	16	4.5	23	0	0	25	0	0
128	17	1	22	0	0	26	0	0
132	17	3	-22	0	0	-26	31	33
136	18	1	0	0	0	0	32	34
140	18	3	0	0	0	0	31	33
142	18	4	0	0	0	0	32	34
146	19	2	0	0	0	0	31	33
147	19	2.5	0	0	0	0	30	32
148	19	3	0	0	0	0	29	34
150	19	4	0	0	0	0	31	33
152	20	1	0	0	0	0	30	32
154	20	2	0	0	0	0	29	31
156	20	3	0	0	0	26	-29	30
158	20	4	0	0	0	-26	28	-30
160	21	1	0	0	0	27	29	29
164	21	3	22	0	0	26	-29	-29
166	21	4	-22	0	0	27	-29	-29
168	22	1	23	0	0	-27	0	0
170	22	2	-23	0	0	26	0	0
171	22	2.5	-23	0	0	25	0	0
172	22	3	22	0	0	27	0	0
174	22	4	-22	0	0	26	0	0
176	23	1	25	0	0	25	0	0
177	23	1.5	-25	0	0	26	0	0
178	23	2	-25	0	0	27	0	0
179	23	2.5	-25	0	0	28	0	0
180	23	3	-25	0	0	29	0	0
182	23	4	25	0	0	30	0	0
184	24	1	24	0	0	-30	0	0
185	24	1.5	-24	0	0	29	0	0
186	24	2	-24	0	0	29	0	0
187	24	2.5	22	0	0	-29	0	0
188	24	3	23	0	0	-29	0	0
190	24	4	-23	0	0	28	0	0
192	25	1	22	0	0	29	0	0
196	25	3	-22	0	0	-29	31	33
200	26	1	0	0	0	0	32	34
204	26	3	0	0	0	0	32	34
208	27	1	0	0	0	0	31	33
211	27	2.5	0	0	0	0	30	35
212	27	3	0	0	0	0	29	34
214	27	4	0	0	0	0	28	33
216	28	1	0	0	0	0	27	-33
217	28	1.5	0	0	0	0	-27	32
218	28	2	0	0	0	0	-27	32
219	28	2.5	0	0	0	0	25	-32
220	28	3	22	0	0	26	26	-32
221	28	3.5	-22	0	0	-26	-26	31
222	28	4	-22	0	0	-26	-26	31
223	28	4.5	-22	0	0	-26	-26	30
