**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	29	36
3	1	2.5	0	0	0	30	-36
4	1	3	0	0	0	31	-36
5	1	3.5	0	0	0	32	-36
6	1	4	0	0	0	31	-36
8	2	1	0	0	0	-31	35
10	2	2	0	0	0	30	-35
11	2	2.5	0	0	0	29	-35
12	2	3	0	0	0	30	-35
16	3	1	0	29	0	29	36
20	3	3	22	-29	0	-29	-36
24	4	1	23	28	32	0	32
26	4	2	21	-28	-32	0	-32
28	4	3	23	-28	-32	25	-32
32	5	1	22	29	31	26	0
36	5	3	-22	-29	-31	26	0
40	6	1	0	25	32	27	36
42	6	2	0	-25	-32	25	-36
44	6	3	25	-25	-32	27	-36
48	7	1	26	0	28	26	35
50	7	2	24	0	-28	-26	-35
52	7	3	26	28	-28	0	-35
54	7	4	-26	-28	-28	26	-35
56	8	1	25	29	0	27	34
58	8	2	-25	-29	0	25	-34
59	8	2.5	-25	-29	0	26	-34
60	8	3	-25	25	0	27	-34
61	8	3.5	-25	-25	0	28	-34
62	8	4	-25	-25	0	29	33
63	8	4.5	-25	-25	0	30	32
64	9	1	0	29	0	31	33
65	9	1.5	0	-29	0	32	-33
66	9	2	0	-29	0	33	-33
67	9	2.5	0	-29	0	31	-33
68	9	3	25	-29	0	32	34
69.3333	9	3.66667	-25	-29	0	29	-34
70.6667	9	4.33333	-25	-29	0	32	-34
72	10	1	26	28	0	30	35
74	10	2	24	-28	0	31	-35
76	10	3	26	24	0	-31	-35
77	10	3.5	-26	-24	0	32	-35
78	10	4	-26	-24	0	33	-35
79	10	4.5	-26	-24	0	31	-35
80	11	1	25	27	29	32	0
83	11	2.5	-25	25	-29	-32	0
84	11	3	0	25	-29	-32	34
86	11	4	25	32	-29	-32	-34
88	12	1	26	30	28	0	35
90	12	2	24	31	-28	0	-35
92	12	3	26	-31	-28	0	-35
93	12	3.5	-26	32	-28	0	-35
94	12	4	-26	33	-28	0	33
95	12	4.5	-26	31	-28	0	-33
96	13	1	25	32	29	0	34
98	13	2	-25	29	-29	0	-34
99	13	2.5	-25	30	-29	0	35
100	13	3	0	31	-29	29	33
101	13	3.5	0	32	-29	-29	-33
102	13	4	22	33	-29	-29	-33
103	13	4.5	-22	31	-29	-29	-33
104	14	1	23	32	25	27	32
106	14	2	21	-32	-25	28	-32
108	14	3	23	-32	-25	-28	0
109	14	3.5	-23	-32	-25	27	0
110	14	4	-23	-32	-25	25	32
112	15	1	22	0	0	27	-32
114	15	2	-22	0	0	-27	31
115	15	2.5	-22	0	0	28	30
116	15	3	0	0	0	26	31
118	15	4	22	29	0	-26	-31
120	16	1	23	27	0	25	32
122	16	2	21	28	0	-25	-32
124	16	3	23	-28	0	-25	-32
125	16	3.5	-23	27	0	-25	-32
126	16	4	-23	25	0	-25	-32
128	17	1	22	27	0	0	0
131	17	2.5	-22	28	0	0	0
132	17	3	-22	26	0	29	31
136	18	1	0	25	32	27	32
138	18	2	0	-25	-32	25	-32
140	18	3	25	-25	-32	29	34
144	19	1	26	0	31	28	35
148	19	3	26	0	-31	28	-35
150	19	4	-26	0	-31	-28	34
151	19	4.5	-26	0	-31	-28	33
152	20	1	25	0	32	29	34
155	20	2.5	26	0	-32	-29	35
156	20	3	27	0	-32	-29	36
158	20	4	28	0	-32	30	32
160	21	1	-28	0	28	-30	-32
161	21	1.5	27	0	-28	29	-32
162	21	2	26	0	-28	28	31
163	21	2.5	25	0	-28	27	30
164	21	3	26	0	-28	28	31
168	22	1	25	0	0	29	32
172	22	3	-25	29	0	0	-32
176	23	1	0	25	0	29	0
180	23	3	27	0	0	25	36
182	23	4	-27	32	0	-25	-36
184	24	1	-27	31	0	29	-36
186	24	2	25	32	0	-29	34
188	24	3	26	30	0	28	35
192	25	1	22	29	29	31	36
198	25	4	-22	29	-29	-31	-36
200	26	1	0	30	28	0	32
