**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	25	0	0
8	3	1	0	25	0	32
12	3	3	0	25	0	-32
16	4	1	21	28	0	32
20	4	3	-21	-28	0	32
22	4	4	-21	28	0	-32
24	5	1	21	28	28	35
28	5	3	21	28	-28	-35
30	5	4	-21	-28	-28	35
32	6	1	24	26	28	35
36	6	3	-24	-26	28	35
38	6	4	24	-26	-28	-35
40	7	1	24	26	31	33
44	7	3	24	-26	-31	-33
46	7	4	-24	-26	31	-33
48	8	1	22	29	31	33
52	8	3	22	-29	31	-33
56	9	1	25	27	29	34
60	9	3	-25	-27	29	-34
62	9	4	-25	28	-29	33
63	9	4.5	-25	-28	-29	32
64	10	1	25	29	32	34
68	10	3	21	30	32	35
72	11	1	25	29	32	34
75	11	2.5	24	30	-32	35
75.5	11	2.75	23	-30	-32	-35
76	11	3	22	31	31	36
78	11	4	21	32	30	37
82	12	2	22	31	33	36
84	12	3	26	30	-33	-36
85	12	3.5	-26	-30	32	-36
86	12	4	-26	-30	30	35
88	13	1	22	29	31	36
90	13	2	-22	-29	33	-36
91	13	2.5	23	-29	-33	-36
92	13	3	24	-29	-33	-36
93	13	3.5	-24	-29	32	-36
94	13	4	25	-29	32	34
96	14	1	26	28	-32	35
98	14	2	-26	-28	31	-35
100	14	3	25	29	32	34
102	14	4	-25	-29	29	-34
103	14	4.5	-25	-29	-29	33
103.5	14	4.75	-25	-29	-29	32
104	15	1	22	0	-29	31
105	15	1.5	-22	0	30	-31
106	15	2	-22	29	31	-31
107	15	2.5	23	-29	-31	32
108	15	3	24	-29	-31	33
109	15	3.5	-24	28	30	-33
110	15	4	25	27	29	34
111	15	4.5	-25	26	-29	-34
112	16	1	23	25	-29	-34
113	16	1.5	-23	-25	-29	33
114	16	2	-23	-25	28	32
116	16	3	22	26	29	-32
118	16	4	-22	-26	-29	31
120	17	1	25	25	-29	32
122	17	2	-25	-25	27	-32
124	17	3	-25	-25	27	-32
132	18	3	-25	29	0	-32
140	19	3	-25	29	0	0
144	20	1	25	27	0	0
148	20	3	23	28	0	0
152	21	1	24	29	0	0
156	21	3	25	30	0	0
160	22	1	26	-30	0	0
164	22	3	-26	28	0	0
168	23	1	24	31	0	0
172	23	3	27	-31	0	0
174	23	4	-27	30	0	0
176	24	1	-27	29	0	0
178	24	2	26	28	0	0
180	24	3	25	29	0	0
182	24	4	24	-29	0	0
184	25	1	25	-29	0	0
186	25	2	-25	30	0	0
188	25	3	25	-30	0	0
189	25	3.5	-25	29	0	0
190	25	4	26	28	0	0
191	25	4.5	-26	27	0	0
192	26	1	-26	26	0	0
193	26	1.5	25	-26	0	0
194	26	2	24	-26	0	0
195	26	2.5	-24	27	0	0
195.5	26	2.75	-24	28	0	0
196	26	3	-24	29	0	0
198	26	4	23	30	0	0
199	26	4.5	22	-30	0	0
200	27	1	21	-30	0	0
201	27	1.5	-21	29	0	0
202	27	2	22	29	0	0
204	27	3	23	-29	32	37
206	27	4	-23	28	-32	-37
208	28	1	22	29	31	38
211	28	2.5	23	-29	32	-38
212	28	3	24	-29	33	38
213	28	3.5	25	-29	-33	-38
214	28	4	26	28	-33	37
216	29	1	24	29	33	-37
218	29	2	22	-29	33	36
220	29	3	26	30	-33	-36
221	29	3.5	-26	-30	32	-36
222	29	4	-26	-30	31	35
223	29	4.5	-26	-30	30	-35
224	30	1	22	29	31	36
226	30	2	-22	28	32	-36
227	30	2.5	-22	27	-32	-36
228	30	3	-22	26	-32	-36
229	30	3.5	-22	25	-32	-36
230	30	4	-22	26	31	-36
232	31	1	25	25	32	0
236	31	3	-25	-25	-32	36
244	32	3	-25	-25	-32	36
248	33	1	0	0	32	37
252	33	3	0	0	33	-37
254	33	4	0	0	-33	36
256	34	1	0	0	-33	35
258	34	2	0	0	32	34
260	34	3	0	0	31	33
262	34	4	0	0	30	-33
264	35	1	0	0	29	0
266	35	2	0	0	-29	36
267	35	2.5	0	0	30	-36
268	35	3	0	0	31	-36
269	35	3.5	0	0	32	-36
270	35	4	0	0	33	35
272	36	1	0	0	-33	34
273	36	1.5	0	0	32	-34
274	36	2	0	0	32	-34
275	36	2.5	0	0	-32	35
276	36	3	0	0	-32	33
