**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	24	0	0
8	1	3	0	0	0	25	0	0
12	2	1	24	0	0	26	0	0
20	2	3	25	0	0	27	0	0
23	2	3.75	-25	0	0	26	0	0
24	3	1	23	0	0	25	0	28
25	3	1.25	-23	0	0	24	0	-28
26	3	1.5	24	0	0	26	0	-28
29	3	2.25	-24	0	0	25	0	-28
30	3	2.5	23	0	0	25	0	-28
32	3	3	22	0	0	-25	0	29
34	3	3.5	-22	0	0	24	0	-29
36	4	1	21	0	28	25	0	30
44	4	3	0	0	29	0	29	31
47	4	3.75	0	0	-29	0	30	30
48	5	1	0	0	27	0	31	29
49	5	1.25	0	0	-27	0	32	28
50	5	1.5	0	0	28	0	33	30
53	5	2.25	0	0	-28	0	32	29
54	5	2.5	0	0	27	0	32	29
56	5	3	0	0	26	0	-32	-29
58	5	3.5	0	0	-26	0	31	28
60	6	1	0	25	25	27	32	29
68	6	3	0	23	0	28	32	0
72	7	1	20	22	0	29	31	0
75	7	1.75	-20	23	0	-29	-31	0
76	7	2	-20	24	0	-29	-31	0
78	7	2.5	-20	25	0	-29	30	0
79	7	2.75	-20	-25	0	-29	29	0
80	7	3	21	-25	0	30	28	0
82	7	3.5	-21	26	0	-30	-28	0
83	7	3.75	-21	-26	0	-30	27	0
84	8	1	22	-26	0	29	26	31
86	8	1.5	-22	27	0	-29	29	-31
87	8	1.75	-22	26	0	28	-29	-31
88	8	2	-22	27	0	27	-29	-31
89	8	2.25	-22	28	0	26	28	-31
90	8	2.5	-22	29	0	27	27	-31
91	8	2.75	-22	-29	0	-27	26	-31
92	8	3	23	-29	0	-27	25	32
93	8	3.25	-23	28	0	-27	-25	-32
94	8	3.5	-23	28	0	26	-25	-32
95	8	3.75	-23	27	0	25	-25	-32
96	9	1	22	29	24	24	0	33
98	9	1.5	-22	-29	-24	31	24	-33
101	9	2.25	-22	-29	-24	30	-24	-33
102	9	2.5	-22	-29	-24	29	31	-33
104	9	3	25	0	25	-29	-31	34
105	9	3.25	-25	0	-25	-29	30	-34
106	9	3.5	-25	0	-25	28	30	-34
107	9	3.75	-25	0	-25	27	29	-34
108	10	1	24	0	26	28	31	33
110	10	1.5	-24	0	-26	28	-31	-33
111	10	1.75	23	0	-26	-28	-31	32
112	10	2	22	0	-26	29	-31	31
113	10	2.25	21	0	-26	-29	-31	30
114	10	2.5	22	0	-26	-29	-31	31
116	10	3	-22	0	27	-29	29	-31
118	10	3.5	21	0	-27	-29	-29	30
119	10	3.75	20	0	-27	-29	-29	29
120	11	1	24	28	26	0	0	28
122	11	1.5	-24	-28	-26	0	28	35
123	11	1.75	-24	27	-26	0	-28	-35
124	11	2	-24	26	-26	0	-28	-35
125	11	2.25	-24	25	-26	0	-28	34
126	11	2.5	-24	24	-26	0	28	33
128	11	3	25	-24	29	0	27	-33
130	11	3.5	-25	23	-29	0	-27	32
131	11	3.75	-25	22	-29	0	26	31
132	12	1	25	23	28	0	25	32
134	12	1.5	-25	21	-28	0	-25	32
135	12	1.75	-25	-21	27	0	-25	-32
136	12	2	22	0	26	24	24	33
137	12	2.25	-22	0	25	-24	-24	-33
138	12	2.5	-22	24	26	-24	-24	-33
142	12	3.5	-22	23	25	-24	31	-33
143	12	3.75	-22	22	24	-24	-31	-33
144	13	1	0	21	28	25	-31	0
145	13	1.25	0	-21	-28	-25	30	0
