**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	29
4	1	3	29	0	29
6	1	4	-29	0	29
8	2	1	29	0	33
10	2	2	29	0	-33
12	2	3	29	0	-33
14	2	4	-29	0	34
15	2	4.5	-29	0	35
16	3	1	-29	25	36
18	3	2	28	-25	-36
20	3	3	27	25	-36
22	3	4	26	25	35
24	4	1	25	29	34
26	4	2	-25	-29	33
27	4	2.5	-25	-29	32
28	4	3	24	-29	33
30	4	4	-24	30	-33
31	4	4.5	-24	31	-33
32	5	1	23	32	32
35	5	2.5	24	-32	33
36	5	3	25	-32	34
37	5	3.5	26	-32	35
38	5	4	27	31	36
40	6	1	28	30	-36
41	6	1.5	-28	-30	35
42	6	2	26	29	35
43	6	2.5	-26	28	-35
44	6	3	25	29	-35
46	6	4	-25	-29	34
48	7	1	21	28	35
54	7	4	28	-28	0
56	8	1	-28	0	36
58	8	2	27	0	-36
59	8	2.5	26	0	-36
60	8	3	27	0	36
62	8	4	-27	0	36
64	9	1	28	0	37
68	9	3	-28	0	37
70	9	4	27	0	36
71	9	4.5	26	0	-36
72	10	1	25	32	-36
73	10	1.5	-25	-32	35
74	10	2	-25	-32	34
75	10	2.5	-25	-32	33
76	10	3	25	32	34
78	10	4	-25	32	-34
80	11	1	24	33	33
83	11	2.5	25	-33	34
84	11	3	26	-33	35
85	11	3.5	27	-33	36
86	11	4	28	32	37
88	12	1	29	31	-37
90	12	2	27	30	36
91	12	2.5	-27	29	-36
92	12	3	26	30	-36
94	12	4	-26	-30	35
96	13	1	22	29	36
104	14	1	0	0	29
108	14	3	29	0	29
110	14	4	-29	0	29
112	15	1	29	0	33
114	15	2	29	0	-33
116	15	3	29	0	-33
118	15	4	-29	0	34
119	15	4.5	-29	0	35
120	16	1	-29	25	36
122	16	2	28	-25	-36
124	16	3	27	25	-36
126	16	4	26	25	35
128	17	1	25	29	34
130	17	2	-25	-29	33
131	17	2.5	-25	-29	32
132	17	3	24	-29	33
134	17	4	-24	30	-33
135	17	4.5	-24	31	-33
136	18	1	23	32	32
139	18	2.5	24	-32	33
140	18	3	25	-32	34
141	18	3.5	26	-32	35
142	18	4	27	31	36
144	19	1	28	30	-36
145	19	1.5	-28	-30	35
146	19	2	26	29	35
147	19	2.5	-26	28	-35
148	19	3	25	29	-35
150	19	4	-25	-29	34
152	20	1	21	28	35
158	20	4	28	-28	0
160	21	1	-28	0	36
162	21	2	27	0	-36
163	21	2.5	26	0	-36
164	21	3	27	0	36
166	21	4	-27	0	36
168	22	1	28	0	37
172	22	3	-28	0	37
174	22	4	27	0	36
175	22	4.5	26	0	-36
176	23	1	25	32	-36
177	23	1.5	-25	-32	35
178	23	2	-25	-32	34
179	23	2.5	-25	-32	33
180	23	3	25	32	34
182	23	4	-25	32	-34
184	24	1	24	33	33
187	24	2.5	25	-33	34
188	24	3	26	-33	35
189	24	3.5	27	-33	36
190	24	4	28	32	37
192	25	1	29	31	-37
194	25	2	27	30	36
195	25	2.5	-27	29	-36
196	25	3	26	30	-36
198	25	4	-26	-30	35
200	26	1	22	29	36
206	26	4	-22	-29	35
208	27	1	25	0	34
210	27	2	-25	0	33
211	27	2.5	-25	0	32
212	27	3	24	0	33
214	27	4	-24	28	-33
216	28	1	25	27	32
218	28	2	-25	26	-32
219	28	2.5	-25	25	-32
220	28	3	24	26	0
222	28	4	-24	-26	35
224	29	1	25	25	34
226	29	2	-25	-25	33
227	29	2.5	-25	-25	32
228	29	3	24	0	33
229	29	3.5	-24	0	32
230	29	4	-24	28	31
231	29	4.5	-24	-28	30
232	30	1	25	27	29
234	30	2	23	26	32
235	30	2.5	-23	25	-32
236	30	3	22	26	-32
238	30	4	-22	-26	31
240	31	1	0	25	32
244	31	3	29	-25	0
248	32	1	-29	0	33
252	32	3	29	0	-33
254	32	4	-29	0	34
256	33	1	28	26	35
259	33	2.5	27	-26	-35
260	33	3	26	-26	-35
262	33	4	25	27	34
264	34	1	24	28	33
266	34	2	21	-28	32
269	34	3.5	22	-28	31
270	34	4	23	27	30
271	34	4.5	-23	-27	29
272	35	1	24	26	28
274	35	2	22	25	31
275	35	2.5	-22	24	-31
276	35	3	21	25	-31
278	35	4	-21	-25	30
280	36	1	0	24	31
284	36	3	26	-24	0
288	37	1	-26	0	33
290	37	2	27	0	-33
292	37	3	28	0	-33
294	37	4	-28	0	34
296	38	1	-28	26	35
298	38	2	29	-26	-35
300	38	3	30	-26	-35
302	38	4	-30	27	36
304	39	1	26	28	37
306	39	2	-26	29	-37
307	39	2.5	27	-29	36
308	39	3	28	30	35
309	39	3.5	-28	-30	34
310	39	4	29	31	33
313	40	1.5	-29	30	-33
314	40	2	27	29	36
316	40	3	26	30	-36
318	40	4	-26	-30	35
320	41	1	0	29	36
322	41	2	22	-29	-36
323	41	2.5	-22	-29	35
324	41	3	-22	-29	33
325	41	3.5	23	-29	-33
326	41	4	24	-29	-33
327	41	4.5	25	-29	-33
328	42	1	26	31	0
329	42	1.5	24	-31	0
330	42	2	26	-31	35
332	42	3	-26	28	-35
333	42	3.5	25	-28	34
334	42	4	24	-28	33
335	42	4.5	23	-28	32
336	43	1	22	29	31
338	43	2	-22	28	33
339	43	2.5	23	27	-33
340	43	3	24	26	-33
341	43	3.5	25	27	32
342	43	4	26	28	31
343	43	4.5	-26	-28	30
344	44	1	27	29	29
346	44	2	-27	25	32
348	44	3	28	26	-32
350	44	4	-28	-26	31
352	45	1	29	25	32
*-	*-	*-	*-	*-	*-
