**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	24	31
8	2	1	20	24	31
12	2	3	-20	24	-31
16	3	1	20	27	31
20	3	3	-20	-27	31
24	4	1	20	-27	34
28	4	3	20	-27	-34
30	4	4	-20	-27	33
32	5	1	23	27	32
36	5	3	-23	-27	32
40	6	1	20	27	31
44	6	3	-20	27	31
48	7	1	0	29	31
50	7	2	0	-29	34
52	7	3	20	-29	-34
54	7	4	-20	-29	33
55	7	4.5	-20	-29	32
56	8	1	24	28	33
64	9	1	25	27	34
72	10	1	23	30	32
76	10	3	-23	-30	34
80	11	1	24	28	33
82	11	2	-24	-28	32
83	11	2.5	-24	-28	31
84	11	3	21	30	32
86	11	4	23	-30	-32
88	12	1	20	29	31
90	12	2	-20	28	34
91	12	2.5	-20	27	-34
92	12	3	24	28	-34
94	12	4	-24	-28	33
96	13	1	25	27	34
98	13	2	-25	30	-34
102	13	4	-25	29	-34
104	14	1	23	30	34
108	14	3	-23	-30	32
112	15	1	26	30	35
118	15	4	25	-30	34
119	15	4.5	24	-30	33
120	16	1	23	-30	32
128	17	1	20	29	31
132	17	3	-20	-29	34
136	18	1	24	28	35
140	18	3	0	-28	37
144	19	1	25	27	36
148	19	3	26	30	35
154	20	2	25	-30	34
156	20	3	27	29	34
160	21	1	24	28	-34
162	21	2	-24	-28	33
163	21	2.5	-24	-28	32
164	21	3	-24	-28	33
168	22	1	0	27	34
172	22	3	25	-27	-34
178	23	2	26	-27	0
180	23	3	27	-27	0
184	24	1	23	30	32
192	25	1	23	30	32
196	25	3	21	30	32
200	26	1	22	27	31
202	26	2	23	-27	32
206	26	4	22	-27	31
207	26	4.5	21	-27	30
208	27	1	20	-27	29
214	27	4	21	-27	30
216	28	1	22	24	31
220	28	3	23	27	32
226	29	2	-23	-27	31
228	29	3	24	26	31
232	30	1	21	25	-31
234	30	2	-21	-25	30
235	30	2.5	-21	-25	29
236	30	3	-21	-25	30
240	31	1	22	24	31
248	32	1	0	25	0
252	32	3	21	-25	30
256	33	1	22	0	31
260	33	3	-22	24	-31
264	34	1	0	25	0
268	34	3	21	-25	30
272	35	1	22	24	31
276	35	3	23	27	32
280	36	1	20	-27	-32
282	36	2	24	26	31
284	36	3	23	27	32
288	37	1	-23	28	-32
290	37	2	22	-28	31
292	37	3	21	-28	30
294	37	4	20	-28	29
296	38	1	19	-28	30
300	38	3	19	-28	30
304	39	1	20	27	29
307	39	2.5	21	-27	30
308	39	3	22	-27	31
310	39	4	23	-27	32
312	40	1	22	29	31
314	40	2	20	-29	34
318	40	4	20	-29	33
319	40	4.5	-20	-29	32
320	41	1	24	28	33
328	42	1	24	0	31
332	42	3	24	0	29
334	42	4	25	0	30
337	43	1.5	24	0	29
338	43	2	23	0	28
339	43	2.5	22	0	27
340	43	3	21	0	26
344	44	1	20	31	27
346	44	2	-20	-31	31
348	44	3	20	29	-31
349	44	3.5	-20	-29	30
350	44	4	23	30	32
353	45	1.5	-23	29	31
354	45	2	23	28	30
355	45	2.5	-23	27	29
356	45	3	24	26	28
359	45	4.5	-24	25	-28
360	46	1	20	27	27
362	46	2	-20	31	-27
365	46	3.5	-20	30	-27
366	46	4	-20	32	-27
369	47	1.5	0	31	0
370	47	2	22	30	31
371	47	2.5	-22	29	-31
372	47	3	23	28	32
374	47	4	24	-28	33
376	48	1	25	27	34
380	48	3	23	30	-34
382	48	4	-23	-30	32
384	49	1	24	28	33
386	49	2	22	29	34
388	49	3	21	30	35
390	49	4	24	31	-35
392	50	1	-24	-31	31
394	50	2	22	27	-31
396	50	3	23	-27	34
398	50	4	-23	30	-34
400	51	1	23	-30	32
402	51	2	24	28	33
405	51	3.5	23	-28	-33
406	51	4	24	27	32
407	51	4.5	-24	26	31
408	52	1	21	25	30
410	52	2	22	24	31
412	52	3	21	25	-31
414	52	4	-21	-25	30
416	53	1	0	24	31
418	53	2	22	27	-31
420	53	3	20	-27	-31
421	53	3.5	-20	25	-31
422	53	4	23	28	-31
425	54	1.5	22	27	0
426	54	2	21	26	0
427	54	2.5	20	25	0
428	54	3	21	26	0
432	55	1	20	27	31
436	55	3	27	0	-31
438	55	4	-27	27	-31
439	55	4.5	26	-27	-31
440	56	1	25	29	32
442	56	2	-25	30	-32
444	56	3	24	31	33
448	57	1	0	27	34
450	57	2	25	-27	-34
452	57	3	-25	30	-34
454	57	4	23	-30	32
456	58	1	23	-30	32
458	58	2	-23	28	-32
460	58	3	26	28	35
464	59	1	24	31	-35
466	59	2	-24	-31	34
468	59	3	-24	-31	33
470	59	4	25	30	32
471	59	4.5	26	-30	-32
472	60	1	27	29	31
474	60	2	26	28	-31
476	60	3	25	27	34
478	60	4	24	-27	-34
480	61	1	23	30	35
484	61	3	22	31	36
488	62	1	20	-31	-36
490	62	2	-20	29	34
492	62	3	0	32	37
498	63	2	0	31	36
500	63	3	27	30	36
502	63	4	-27	29	-36
504	64	1	25	30	-36
508	64	3	26	30	35
512	65	1	27	29	36
520	66	1	0	30	0
524	66	3	26	-30	35
528	67	1	27	0	36
532	67	3	-27	29	-36
536	68	1	0	30	0
540	68	3	26	-30	35
544	69	1	27	0	36
548	69	3	-27	29	-36
550	69	4	27	-29	36
552	70	1	27	31	36
556	70	3	27	-31	-36
558	70	4	26	31	35
560	71	1	27	31	36
562	71	2	26	-31	35
564	71	3	27	27	36
566	71	4	-27	31	-36
568	72	1	26	-31	35
570	72	2	27	29	36
572	72	3	-27	30	-36
574	72	4	26	31	35
575	72	4.5	25	-31	34
576	73	1	24	-31	33
578	73	2	25	30	34
579	73	2.5	-25	29	-34
580	73	3	24	28	-34
582	73	4	-24	-28	33
584	74	1	20	27	34
*-	*-	*-	*-	*-	*-
