**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	28	0
3	1	2.5	0	29	0
4	1	3	0	30	0
6	1	4	0	31	0
10	2	2	0	30	0
11	2	2.5	0	29	0
12	2	3	0	30	32
15	2	4.5	0	-30	33
16	3	1	23	-30	34
18	3	2	-23	-30	35
20	3	3	-23	30	-35
22	3	4	-23	-30	34
23	3	4.5	-23	-30	33
24	4	1	25	30	34
28	4	3	-25	29	34
32	5	1	-25	32	34
35	5	2.5	-25	-32	35
36	5	3	-25	-32	36
38	5	4	-25	-32	37
40	6	1	26	30	-37
41	6	1.5	-26	-30	36
42	6	2	-26	-30	35
44	6	3	-26	31	-35
46	6	4	-26	-31	34
47	6	4.5	-26	-31	33
48	7	1	25	32	34
54	7	4	-25	31	-34
56	8	1	0	30	0
58	8	2	0	29	0
60	8	3	0	32	34
64	9	1	0	0	33
66	9	2	0	28	35
70	9	4	0	29	34
71	9	4.5	0	-29	33
72	10	1	0	30	32
74	10	2	0	31	33
76	10	3	0	30	32
78	10	4	0	31	33
81	11	1.5	0	30	32
82	11	2	0	29	31
83	11	2.5	0	28	30
84	11	3	0	27	29
87	11	4.5	0	28	-29
88	12	1	27	29	0
92	12	3	-27	25	36
96	13	1	-27	0	36
100	13	3	-27	32	36
104	14	1	28	-32	37
108	14	3	-28	32	-37
112	15	1	-28	30	37
116	15	3	29	29	38
120	16	1	-29	31	-38
122	16	2	-29	-31	37
123	16	2.5	-29	-31	36
124	16	3	-29	-31	38
128	17	1	28	32	37
132	17	3	27	25	36
136	18	1	26	28	-36
138	18	2	-26	-28	35
140	18	3	-26	-28	35
144	19	1	25	29	-35
146	19	2	-25	-29	34
147	19	2.5	-25	-29	33
148	19	3	-25	-29	34
152	20	1	0	28	35
158	20	4	0	-28	34
159	20	4.5	0	-28	33
160	21	1	0	0	32
162	21	2	0	0	33
164	21	3	0	28	30
168	22	1	0	28	0
170	22	2	0	-28	35
172	22	3	0	29	34
174	22	4	0	-29	33
176	23	1	0	31	-33
177	23	1.5	0	-31	32
178	23	2	0	-31	31
179	23	2.5	0	-31	30
180	23	3	0	-31	29
184	24	1	28	30	28
188	24	3	-28	-30	35
192	25	1	-28	-30	35
196	25	3	25	29	34
200	26	1	26	28	-34
202	26	2	-26	-28	33
204	26	3	-26	26	33
208	27	1	23	27	-33
212	27	3	-23	-27	32
216	28	1	0	26	33
220	28	3	24	-26	-33
222	28	4	-24	27	-33
224	29	1	-24	28	0
226	29	2	23	29	0
227	29	2.5	22	-29	0
228	29	3	23	-29	32
230	29	4	-23	28	-32
232	30	1	22	29	31
234	30	2	-22	-29	33
238	30	4	-22	0	32
239	30	4.5	-22	0	31
240	31	1	0	28	30
244	31	3	26	-28	-30
246	31	4	-26	29	-30
248	32	1	-26	30	0
250	32	2	25	31	0
251	32	2.5	24	-31	0
252	32	3	25	-31	34
254	32	4	-25	30	-34
256	33	1	24	31	33
258	33	2	-24	-31	35
262	33	4	-24	0	34
263	33	4.5	-24	0	33
264	34	1	0	30	32
268	34	3	28	-30	-32
270	34	4	-28	31	-32
272	35	1	-28	32	0
274	35	2	27	33	0
275	35	2.5	26	-33	0
276	35	3	27	-33	36
278	35	4	-27	32	-36
280	36	1	26	33	35
282	36	2	-26	-33	37
283	36	2.5	-26	32	-37
284	36	3	-26	30	-37
286	36	4	-26	-30	36
287	36	4.5	-26	31	35
288	37	1	0	32	34
291	37	2.5	0	31	35
292	37	3	25	29	36
294	37	4	-25	30	32
296	38	1	25	-30	-32
298	38	2	-25	29	31
299	38	2.5	-25	28	30
300	38	3	25	27	29
303	38	4.5	-25	26	-29
304	39	1	-25	27	0
306	39	2	24	28	32
307	39	2.5	23	-28	-32
308	39	3	24	26	33
310	39	4	-24	-26	35
312	40	1	25	25	34
314	40	2	-25	32	-34
315	40	2.5	-25	-32	35
316	40	3	-25	-32	36
317	40	3.5	-25	31	-36
318	40	4	-25	30	37
319	40	4.5	-25	29	-37
320	41	1	-25	32	-37
321	41	1.5	-25	-32	36
322	41	2	-25	28	35
324	41	3	-25	29	-35
326	41	4	-25	-29	34
328	42	1	21	28	35
336	43	1	0	0	0
336	43	1	25	32	34
344	44	1	-25	32	34
348	44	3	-25	32	34
352	45	1	0	30	35
356	45	3	0	31	-35
358	45	4	0	-31	34
359	45	4.5	0	-31	33
360	46	1	0	32	34
363	46	2.5	0	31	35
364	46	3	0	29	36
366	46	4	0	30	32
370	47	2	0	29	31
371	47	2.5	0	28	30
372	47	3	25	27	29
374	47	4	-25	28	30
376	48	1	-25	27	-30
378	48	2	-25	28	29
379	48	2.5	-25	-28	28
380	48	3	-25	-28	29
382	48	4	-25	27	-29
384	49	1	26	28	28
387	49	2.5	-26	-28	29
388	49	3	-26	-28	30
390	49	4	25	-28	31
391	49	4.5	24	-28	-31
392	50	1	23	0	32
395	50	2.5	22	0	-32
396	50	3	24	28	0
398	50	4	-24	-28	33
400	51	1	-24	26	-33
402	51	2	23	-26	32
404	51	3	22	27	31
406	51	4	-22	-27	30
407	51	4.5	-22	-27	29
408	52	1	21	28	30
420	53	3	-21	-28	32
424	54	1	0	0	33
428	54	3	0	29	34
432	55	1	0	30	35
436	55	3	0	31	-35
438	55	4	0	-31	34
439	55	4.5	0	-31	33
440	56	1	25	32	34
444	56	3	-25	-32	34
446	56	4	-25	31	-34
448	57	1	26	30	35
452	57	3	27	29	36
456	58	1	28	30	32
458	58	2	-28	-30	33
459	58	2.5	-28	-30	34
460	58	3	-28	-30	35
462	58	4	27	-30	-35
464	59	1	26	0	-35
466	59	2	-26	28	34
467	59	2.5	-26	-28	33
468	59	3	25	29	34
470	59	4	-25	30	32
472	60	1	23	-30	-32
473	60	1.5	-23	29	31
474	60	2	-23	28	32
475	60	2.5	-23	27	-32
476	60	3	24	26	33
477	60	3.5	-24	-26	32
478	60	4	-24	-26	31
479	60	4.5	-24	-26	30
480	61	1	25	27	29
488	62	1	25	-27	-29
496	63	1	0	0	0
*-	*-	*-	*-	*-	*-
