**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	26
4	1	3	0	0	26
6	1	4	0	0	26
8	2	1	0	0	28
14	2	4	0	0	28
16	3	1	22	0	29
20	3	3	22	0	31
22	3	4	22	0	-31
24	4	1	24	0	-31
26	4	2	-24	0	30
27	4	2.5	-24	0	29
28	4	3	-24	0	28
30	4	4	24	0	29
32	5	1	25	0	-29
34	5	2	27	0	25
35	5	2.5	-27	0	26
36	5	3	-27	0	27
37	5	3.5	-27	0	28
38	5	4	26	0	29
39	5	4.5	25	0	30
40	6	1	26	26	31
42	6	2	22	-26	-31
43	6	2.5	23	-26	30
44	6	3	24	26	29
45	6	3.5	25	-26	-29
46	6	4	26	26	28
48	7	1	-26	28	-28
50	7	2	25	-28	27
51	7	2.5	24	-28	26
52	7	3	23	-28	25
54	7	4	-23	28	-25
56	8	1	22	29	0
58	8	2	25	-29	27
62	8	4	24	-29	26
63	8	4.5	23	-29	25
64	9	1	22	31	26
68	9	3	-22	-31	27
70	9	4	-22	30	-27
71	9	4.5	-22	29	-27
72	10	1	21	30	28
75	10	2.5	-21	-30	27
76	10	3	-21	-30	25
79	10	4.5	-21	-30	26
80	11	1	0	0	27
81	11	1.5	0	0	28
82	11	2	25	0	27
84	11	3	25	0	-27
86	11	4	25	29	26
87	11	4.5	-25	-29	25
88	12	1	24	29	26
90	12	2	23	29	24
91	12	2.5	22	-29	-24
92	12	3	23	28	25
94	12	4	23	27	25
95	12	4.5	-23	26	-25
96	13	1	22	27	29
98	13	2	25	-27	-29
100	13	3	25	27	0
102	13	4	25	-27	29
104	14	1	24	26	29
106	14	2	23	-26	29
107	14	2.5	22	-26	-29
108	14	3	23	0	28
110	14	4	-23	0	27
111	14	4.5	24	0	26
112	15	1	25	0	27
114	15	2	-25	29	27
115	15	2.5	24	-29	-27
116	15	3	22	29	26
118	15	4	-22	29	-26
119	15	4.5	23	-29	-26
120	16	1	24	28	0
121	16	1.5	25	-28	0
122	16	2	26	27	0
123	16	2.5	24	26	0
124	16	3	25	27	29
126	16	4	-25	27	-29
128	17	1	22	26	29
130	17	2	-22	-26	29
132	17	3	0	-26	31
134	17	4	22	-26	-31
136	18	1	22	0	-31
138	18	2	22	26	32
140	18	3	24	26	33
142	18	4	-24	26	-33
144	19	1	-24	28	-33
146	19	2	25	-28	32
147	19	2.5	-25	-28	31
148	19	3	26	-28	30
150	19	4	-26	28	-30
151	19	4.5	-26	-28	31
152	20	1	25	29	32
156	20	3	27	-29	31
159	20	4.5	-27	-29	30
160	21	1	-27	31	29
162	21	2	26	-31	28
163	21	2.5	25	-31	27
164	21	3	26	-31	28
166	21	4	-26	30	-28
167	21	4.5	-26	29	-28
168	22	1	0	30	-28
170	22	2	25	-30	27
172	22	3	24	0	26
174	22	4	23	29	25
175	22	4.5	22	-29	24
176	23	1	23	28	25
178	23	2	23	27	32
179	23	2.5	-23	26	-32
180	23	3	22	27	-32
182	23	4	-22	27	31
183	23	4.5	-22	-27	30
184	24	1	-22	26	31
186	24	2	-22	29	-31
188	24	3	0	28	30
190	24	4	25	27	29
192	25	1	24	-27	-29
193	25	1.5	-24	26	-29
194	25	2	23	26	28
195	25	2.5	22	-26	27
196	25	3	23	-26	28
198	25	4	23	25	-28
200	26	1	22	26	29
206	26	4	-22	-26	29
208	27	1	-22	-26	29
210	27	2	-22	-26	29
212	27	3	0	-26	31
214	27	4	22	-26	-31
216	28	1	22	0	-31
218	28	2	22	0	31
220	28	3	24	0	28
222	28	4	-24	26	-28
224	29	1	-24	26	-28
226	29	2	24	26	29
228	29	3	21	28	30
231	29	4.5	-21	-28	29
232	30	1	-21	-28	30
234	30	2	22	28	29
236	30	3	23	25	27
239	30	4.5	22	-25	-27
240	31	1	23	-25	-27
242	31	2	21	26	28
244	31	3	20	27	29
247	31	4.5	-20	26	-29
248	32	1	-20	27	-29
250	32	2	21	26	30
252	32	3	22	24	31
254	32	4	-22	25	-31
256	33	1	0	26	30
258	33	2	22	-26	33
259	33	2.5	23	-26	-33
260	33	3	24	-26	-33
261	33	3.5	25	-26	-33
262	33	4	26	-26	32
263	33	4.5	27	-26	31
264	34	1	28	-26	30
265	34	1.5	26	-26	-30
266	34	2	29	-26	29
268	34	3	-29	-26	30
270	34	4	28	-26	-30
272	35	1	29	0	29
274	35	2	-29	0	25
275	35	2.5	-29	0	26
276	35	3	-29	0	27
277	35	3.5	-29	0	28
278	35	4	-29	0	29
279	35	4.5	-29	0	30
280	36	1	0	0	31
281	36	1.5	0	0	32
282	36	2	22	0	33
283	36	2.5	-22	0	32
284	36	3	22	0	31
285	36	3.5	-22	0	30
286	36	4	22	0	31
288	37	1	24	0	-31
290	37	2	-24	0	30
291	37	2.5	-24	0	29
292	37	3	-24	0	28
294	37	4	24	0	29
296	38	1	25	0	-29
297	38	1.5	-25	0	28
298	38	2	-25	0	27
299	38	2.5	-25	0	26
300	38	3	25	0	27
302	38	4	25	0	29
304	39	1	24	26	-29
305	39	1.5	-24	-26	28
306	39	2	-24	-26	31
308	39	3	22	26	-31
310	39	4	-22	26	30
311	39	4.5	-22	-26	29
312	40	1	23	28	32
314	40	2	-23	-28	25
