**absq	**bar	**beat	**b7	**b7	**b7	**b7
4	1	3	0	26	0	0
8	2	1	0	27	0	0
12	2	3	22	-27	0	0
14	2	4	-22	26	0	0
16	3	1	23	25	0	0
20	3	3	-23	27	0	0
22	3	4	22	-27	0	0
24	4	1	21	28	0	0
28	4	3	23	-28	0	0
30	4	4	-23	28	0	0
30.5	4	4.25	-23	27	0	0
31	4	4.5	-23	26	0	0
31.5	4	4.75	-23	25	0	0
32	5	1	24	24	0	0
38	5	4	24	-24	0	0
38.5	5	4.25	23	-24	0	0
39	5	4.5	22	-24	0	0
39.5	5	4.75	21	-24	0	0
40	6	1	20	0	0	0
44	6	3	0	27	0	0
46	6	4	20	-27	0	0
48	7	1	21	26	0	0
50	7	2	22	-26	0	0
52	7	3	20	25	0	0
54	7	4	21	-25	0	0
56	8	1	-21	25	0	0
57	8	1.5	20	-25	0	0
58	8	2	18	-25	0	0
60	8	3	19	24	0	33
64	9	1	18	25	0	34
68	9	3	-18	-25	29	-34
70	9	4	-18	-25	-29	33
72	10	1	0	0	30	32
76	10	3	0	0	-30	34
78	10	4	0	0	29	-34
80	11	1	0	0	28	35
84	11	3	0	0	30	-35
86	11	4	0	0	-30	35
86.5	11	4.25	0	0	-30	34
87	11	4.5	0	0	-30	33
87.5	11	4.75	0	0	-30	32
88	12	1	0	0	31	31
94	12	4	0	0	31	-31
94.5	12	4.25	0	0	30	-31
95	12	4.5	0	0	29	-31
95.5	12	4.75	0	0	28	-31
96	13	1	25	0	27	0
98	13	2	-25	29	-27	0
100	13	3	-25	-29	0	34
102	13	4	-25	27	0	-34
104	14	1	24	28	31	33
106	14	2	22	29	-31	-33
108	14	3	23	27	30	32
110	14	4	21	28	30	-32
112	15	1	23	-28	28	32
113	15	1.5	-23	27	-28	-32
114	15	2	-23	25	28	-32
116	15	3	22	26	29	31
120	16	1	0	25	-29	32
122	16	2	0	-25	27	-32
124	16	3	18	-25	-27	-32
125	16	3.5	-18	-25	28	-32
126	16	4	-18	-25	29	-32
128	17	1	20	0	-29	0
130	17	2	-20	0	28	0
131	17	2.5	-20	0	27	0
132	17	3	19	0	28	0
133	17	3.5	-19	0	27	0
134	17	4	-19	0	26	0
135	17	4.5	-19	0	25	0
136	18	1	20	0	24	0
138	18	2	-20	0	25	0
140	18	3	21	25	23	0
144	19	1	22	27	24	0
148	19	3	22	26	0	0
150	19	4	22	-26	24	0
152	20	1	22	27	-24	0
153	20	1.5	-22	-27	22	0
154	20	2	22	-27	24	0
156	20	3	21	28	-24	32
158	20	4	21	-28	23	-32
160	21	1	20	29	24	34
164	21	3	0	29	-24	33
166	21	4	22	29	-24	-33
168	22	1	-22	29	0	34
169	22	1.5	21	-29	0	-34
170	22	2	20	29	24	-34
172	22	3	-20	28	25	35
174	22	4	19	28	26	-35
176	23	1	20	27	24	36
180	23	3	0	-27	25	36
182	23	4	20	-27	24	36
184	24	1	-20	0	-24	36
185	24	1.5	21	0	-24	-36
186	24	2	22	27	31	36
187	24	2.5	23	-27	-31	-36
188	24	3	24	-27	-31	35
189	24	3.5	-24	-27	30	-35
190	24	4	24	26	31	35
192	25	1	25	27	29	34
194	25	2	24	28	26	33
195	25	2.5	23	-28	-26	32
196	25	3	22	29	27	31
198	25	4	21	30	28	35
200	26	1	25	29	29	-35
201	26	1.5	-25	-29	-29	34
202	26	2	-25	27	30	34
204	26	3	24	28	31	-34
206	26	4	-24	-28	-31	33
208	27	1	22	27	31	34
210	27	2	23	-27	32	-34
214	27	4	22	0	31	-34
215	27	4.5	21	0	30	-34
216	28	1	20	29	31	0
220	28	3	18	29	32	36
224	29	1	0	-29	0	36
226	29	2	25	28	0	-36
228	29	3	25	27	32	-36
230	29	4	-25	26	-32	35
232	30	1	-25	25	32	34
234	30	2	24	-25	-32	33
236	30	3	23	25	-32	32
238	30	4	22	-25	31	-32
240	31	1	21	25	30	32
242	31	2	-21	-25	29	-32
244	31	3	21	28	28	32
248	32	1	21	-28	28	35
250	32	2	-21	27	-28	-35
252	32	3	24	26	28	-35
254	32	4	-24	25	-28	34
256	33	1	-24	24	31	33
258	33	2	23	-24	-31	32
260	33	3	22	-24	-31	31
262	33	4	21	-24	30	-31
264	34	1	20	0	29	-31
266	34	2	-20	0	28	-31
268	34	3	20	29	27	31
270	34	4	-20	-29	27	-31
272	35	1	20	29	31	34
280	36	1	0	27	0	0
284	36	3	0	27	0	34
288	37	1	23	-27	0	34
290	37	2	-23	27	0	-34
292	37	3	23	25	30	-34
294	37	4	-23	-25	-30	34
296	38	1	-23	-25	30	32
298	38	2	23	26	-30	-32
299	38	2.5	-23	27	-30	-32
300	38	3	21	28	-30	-32
302	38	4	-21	-28	30	33
303	38	4.5	-21	-28	-30	34
304	39	1	-21	-28	28	35
306	39	2	22	28	-28	-35
306.5	39	2.25	-22	27	-28	-35
307	39	2.5	23	26	-28	-35
307.5	39	2.75	-23	25	-28	-35
308	39	3	24	24	-28	-35
310	39	4	-24	-24	29	35
310.5	39	4.25	-24	-24	-29	34
311	39	4.5	-24	-24	30	33
311.5	39	4.75	-24	-24	-30	32
312	40	1	-24	0	31	31
314	40	2	24	0	-31	-31
314.5	40	2.25	23	0	-31	-31
315	40	2.5	22	0	-31	-31
315.5	40	2.75	21	0	-31	-31
316	40	3	20	27	-31	-31
318	40	4	-20	-27	31	-31
318.5	40	4.25	-20	-27	30	-31
319	40	4.5	-20	28	29	-31
319.5	40	4.75	-20	-28	28	-31
320	41	1	18	29	27	0
321	41	1.5	-18	30	-27	0
322	41	2	-18	29	-27	0
324	41	3	0	-29	0	34
326	41	4	25	27	29	-34
328	42	1	-25	28	30	33
330	42	2	24	29	31	-33
332	42	3	25	27	29	32
334	42	4	21	28	30	-32
336	43	1	-21	-28	-30	32
337	43	1.5	22	27	-30	-32
338	43	2	23	25	29	-32
339	43	2.5	-23	-25	28	-32
340	43	3	22	26	29	31
344	44	1	0	25	-29	32
348	44	3	23	-25	0	-32
350	44	4	-23	-25	27	-32
351	44	4.5	22	-25	-27	-32
352	45	1	21	0	26	0
354	45	2	20	0	25	0
356	45	3	19	0	25	0
358	45	4	-19	0	24	0
360	46	1	18	0	25	0
362	46	2	22	27	24	0
364	46	3	-22	26	-24	0
365	46	3.5	21	-26	23	0
366	46	4	20	25	22	0
368	47	1	19	25	-22	0
370	47	2	-19	24	21	0
372	47	3	18	25	22	0
374	47	4	-18	29	-22	34
376	48	1	19	28	0	33
378	48	2	20	27	29	32
380	48	3	21	26	30	32
382	48	4	22	26	29	31
384	49	1	18	25	-29	34
385	49	1.5	-18	-25	28	-34
386	49	2	-18	-25	27	-34
387	49	2.5	-18	26	26	-34
388	49	3	0	27	25	-34
389	49	3.5	0	28	-25	-34
390	49	4	25	29	27	34
392	50	1	24	-29	28	33
394	50	2	23	28	25	32
396	50	3	22	29	26	32
398	50	4	-22	-29	-26	31
400	51	1	25	0	25	34
402	51	2	-25	29	-25	-34
403	51	2.5	-25	-29	26	-34
404	51	3	-25	-29	27	-34
405	51	3.5	-25	-29	28	-34
406	51	4	25	27	29	34
407	51	4.5	-25	-27	30	-34
408	52	1	24	28	31	33
410	52	2	22	29	-31	33
412	52	3	23	27	0	32
414	52	4	21	28	30	32
416	53	1	23	25	28	-32
418	53	2	-23	-25	-28	31
419	53	2.5	-23	-25	-28	30
420	53	3	22	26	29	32
422	53	4	-22	-26	-29	31
424	54	1	18	25	29	32
432	55	1	-18	-25	29	-32
*-	*-	*-	*-	*-	*-	*-
