**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	23	0	30	30
8	2	1	24	0	28	33
12	2	3	22	0	31	33
16	3	1	23	23	30	32
22	3	4	22	24	-30	31
23	3	4.5	21	-24	-30	30
24	4	1	20	25	0	29
27	4	2.5	19	-25	0	28
28	4	3	20	25	0	29
32	5	1	19	26	0	28
34	5	2	-19	-26	30	35
36	5	3	-19	0	30	35
38	5	4	-19	26	30	35
40	6	1	0	25	32	34
42	6	2	0	23	-32	34
44	6	3	0	24	31	33
46	6	4	0	22	-31	-33
48	7	1	28	26	30	0
52	7	3	-28	-26	30	35
56	8	1	25	0	29	34
60	8	3	26	0	28	33
64	9	1	23	0	27	-33
66	9	2	-23	0	-27	32
67	9	2.5	-23	0	-27	31
68	9	3	-23	0	-27	32
72	10	1	0	28	30	0
76	10	3	0	-28	-30	35
80	11	1	0	25	29	34
84	11	3	0	26	28	33
88	12	1	0	23	27	-33
90	12	2	0	-23	-27	32
91	12	2.5	0	-23	-27	31
92	12	3	21	-23	30	32
96	13	1	24	0	31	33
98	13	2	-24	0	-31	33
100	13	3	-24	0	-31	33
102	13	4	24	0	31	33
104	14	1	21	0	30	32
106	14	2	21	0	30	32
108	14	3	22	0	29	31
112	15	1	19	0	28	30
114	15	2	26	30	28	-30
116	15	3	26	30	28	-30
118	15	4	26	30	28	-30
120	16	1	25	30	27	0
122	16	2	25	30	27	0
124	16	3	24	29	26	0
128	17	1	23	30	27	34
132	17	3	23	30	32	-34
136	18	1	26	28	30	35
140	18	3	26	28	30	33
144	19	1	23	27	30	34
148	19	3	-23	-27	0	37
150	19	4	-23	-27	30	-37
152	20	1	0	0	31	36
158	20	4	0	0	30	35
160	21	1	0	0	29	34
162	21	2	0	0	28	33
164	21	3	23	30	27	32
168	22	1	24	29	26	33
174	22	4	23	28	-26	-33
176	23	1	22	27	0	0
178	23	2	21	26	0	0
180	23	3	20	25	0	0
184	24	1	19	26	0	0
188	24	3	-19	-26	0	30
192	25	1	0	25	30	32
196	25	3	23	-25	32	32
200	26	1	25	0	-32	29
204	26	3	25	27	32	-29
208	27	1	22	29	31	0
210	27	2	-22	-29	-31	36
212	27	3	-22	29	-31	36
214	27	4	-22	-29	-31	36
216	28	1	0	26	0	35
218	28	2	0	-26	33	-35
220	28	3	0	-26	33	-35
222	28	4	0	-26	33	-35
224	29	1	0	0	32	34
228	29	3	22	29	31	33
232	30	1	23	27	30	0
234	30	2	19	28	-30	0
236	30	3	23	27	-30	0
238	30	4	21	28	-30	0
241	31	1.5	-21	27	0	0
242	31	2	22	26	0	0
244	31	3	20	-26	0	36
246	31	4	-20	25	0	-36
248	32	1	19	26	28	35
254	32	4	-19	26	-28	-35
256	33	1	0	25	32	34
258	33	2	0	23	-32	-34
260	33	3	0	24	31	33
262	33	4	0	22	-31	-33
264	34	1	0	26	30	0
266	34	2	24	26	31	33
268	34	3	24	28	31	33
270	34	4	24	28	31	33
272	35	1	21	28	30	32
276	35	3	22	26	29	31
279	35	4.5	-22	27	-29	-31
280	36	1	19	28	28	30
282	36	2	24	26	31	33
284	36	3	24	28	31	33
286	36	4	24	28	31	33
288	37	1	21	28	30	32
292	37	3	22	26	29	31
295	37	4.5	-22	27	-29	-31
296	38	1	19	28	28	30
298	38	2	19	26	28	30
300	38	3	23	25	27	32
302	38	4	19	26	28	30
304	39	1	23	25	27	32
308	39	3	19	26	28	30
311	39	4.5	-19	-26	-28	31
312	40	1	23	25	27	32
*-	*-	*-	*-	*-	*-	*-
