**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	25	25	0
3	1	2.5	-25	-25	26	0
4	1	3	-25	-25	27	0
5	1	3.5	-25	-25	28	0
6	1	4	-25	-25	29	0
8	2	1	22	24	-29	0
10	2	2	-22	-24	28	0
11	2	2.5	-22	-24	27	0
12	2	3	22	24	26	0
16	3	1	23	25	25	0
20	3	3	21	28	30	0
24	4	1	25	-28	-30	0
26	4	2	-25	27	29	0
27	4	2.5	-25	26	28	0
28	4	3	-25	27	29	0
30	4	4	-25	28	30	0
31	4	4.5	-25	27	29	0
32	5	1	21	28	30	32
34	5	2	25	27	29	-32
37	5	3.5	24	-27	-29	-32
38	5	4	23	26	28	-32
39	5	4.5	-23	25	-28	-32
40	6	1	22	26	29	31
44	6	3	0	29	29	31
45	6	3.5	0	-29	28	-31
46	6	4	22	-29	27	-31
47	6	4.5	-22	-29	26	-31
48	7	1	25	-29	27	32
49	7	1.5	-25	-29	25	-32
50	7	2	-25	28	32	-32
51	7	2.5	-25	27	-32	-32
52	7	3	26	28	-32	35
54	7	4	-26	29	31	-35
55	7	4.5	-26	28	-31	-35
56	8	1	25	29	32	35
60	8	3	-25	-29	0	34
62	8	4	-25	-29	32	-34
64	9	1	21	28	30	35
67	9	2.5	22	-28	31	-35
68	9	3	23	-28	32	35
70	9	4	24	-28	28	33
72	10	1	-24	26	29	-33
73	10	1.5	23	-26	-29	-33
74	10	2	22	-26	-29	32
75	10	2.5	21	-26	-29	31
76	10	3	22	27	-29	31
78	10	4	-22	-27	-29	30
79	10	4.5	-22	-27	-29	29
80	11	1	21	28	25	30
84	11	3	21	-28	-25	-30
86	11	4	-21	-28	-25	31
88	12	1	-21	28	-25	32
90	12	2	20	-28	-25	33
91	12	2.5	19	-28	-25	-33
92	12	3	18	29	32	34
94	12	4	25	-29	-32	-34
95	12	4.5	-25	-29	31	-34
96	13	1	-25	29	32	-34
98	13	2	26	28	30	33
100	13	3	24	-28	-30	33
102	13	4	-24	27	29	-33
103	13	4.5	-24	26	-29	-33
104	14	1	23	27	30	-33
106	14	2	-23	28	-30	32
107	14	2.5	-23	-28	-30	31
108	14	3	-23	27	-30	32
112	15	1	19	26	-30	33
118	15	4	-19	26	-30	-33
120	16	1	-19	28	-30	0
124	16	3	0	28	-30	0
126	16	4	19	-28	-30	0
