**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0
3	1	1.75	25	0	0	0
4	1	2	24	0	0	0
6	1	2.5	27	0	0	0
8	2	1	27	0	0	0
10	2	1.5	26	0	0	0
12	2	2	27	25	0	0
15	2	2.75	-27	25	0	0
16	3	1	20	24	0	0
18	3	1.5	-20	27	0	0
20	3	2	21	27	0	0
22	3	2.5	-21	26	0	0
24	4	1	20	27	29	0
25	4	1.25	21	-27	-29	0
26	4	1.5	22	-27	-29	0
27	4	1.75	23	-27	29	0
28	4	2	24	0	28	0
30	4	2.5	22	26	31	0
32	5	1	-22	27	31	32
34	5	1.5	21	28	30	-32
35	5	1.75	-21	-28	-30	32
36	5	2	22	26	31	31
38	5	2.5	20	27	-31	34
40	6	1	24	28	-31	34
42	6	1.5	-24	-28	-31	33
44	6	2	20	27	0	34
48	7	1	0	-27	31	-34
51	7	1.75	0	-27	30	-34
52	7	2	27	0	29	0
54	7	2.5	-27	0	28	0
55	7	2.75	26	0	-28	0
56	8	1	25	0	29	0
57	8	1.25	-25	0	30	0
58	8	1.5	24	0	31	0
59	8	1.75	-24	0	29	0
60	8	2	25	0	30	0
61	8	2.25	26	0	-30	0
62	8	2.5	27	0	29	0
63	8	2.75	25	0	-29	0
64	9	1	26	0	28	0
66	9	1.5	25	0	29	0
68	9	2	0	0	25	34
71	9	2.75	0	0	26	33
72	10	1	0	0	27	32
73	10	1.25	0	0	28	-32
74	10	1.5	22	27	29	31
76	10	2	23	-27	-29	32
77	10	2.25	-23	26	-29	33
78	10	2.5	-23	25	25	34
79	10	2.75	-23	-25	-25	32
80	11	1	22	24	29	33
82	11	1.5	23	25	28	32
83	11	1.75	-23	26	-28	-32
84	11	2	22	27	29	-32
85	11	2.25	-22	25	-29	-32
86	11	2.5	-22	26	-29	31
88	12	1	18	25	-29	32
90	12	1.5	-18	-25	27	-32
92	12	2	25	-25	-27	-32
93	12	2.25	-25	-25	28	-32
94	12	2.5	-25	-25	29	-32
95	12	2.75	25	-25	30	-32
96	13	1	24	0	31	0
98	13	1.5	27	0	29	0
100	13	2	27	0	28	0
102	13	2.5	26	0	-28	0
104	14	1	27	25	27	0
107	14	1.75	-27	25	-27	0
108	14	2	20	24	0	0
110	14	2.5	-20	27	0	0
112	15	1	21	27	0	0
114	15	1.5	-21	26	0	0
116	15	2	20	27	29	0
117	15	2.25	21	-27	-29	0
118	15	2.5	22	-27	-29	0
119	15	2.75	23	-27	29	0
120	16	1	24	0	28	0
122	16	1.5	22	26	31	0
124	16	2	-22	27	31	32
126	16	2.5	21	28	30	-32
127	16	2.75	-21	-28	-30	32
128	17	1	22	26	31	31
130	17	1.5	20	27	-31	34
132	17	2	24	28	-31	34
134	17	2.5	-24	-28	-31	33
136	18	1	20	27	0	34
140	18	2	0	-27	31	-34
143	18	2.75	0	-27	30	-34
144	19	1	27	0	29	0
146	19	1.5	-27	0	28	0
147	19	1.75	26	0	-28	0
148	19	2	25	0	29	0
149	19	2.25	-25	0	30	0
150	19	2.5	24	0	31	0
151	19	2.75	-24	0	29	0
152	20	1	25	0	30	0
153	20	1.25	26	0	-30	0
154	20	1.5	27	0	29	0
155	20	1.75	25	0	-29	0
156	20	2	26	0	28	0
158	20	2.5	25	0	29	0
160	21	1	0	0	25	34
163	21	1.75	0	0	-25	33
