**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	30	0	0
4	1	3	0	0	30	0	30
6	1	4	0	0	30	0	-30
8	2	1	0	0	-30	0	31
10	2	2	0	0	29	0	-31
11	2	2.5	0	0	28	0	-31
12	2	3	0	0	29	0	31
16	3	1	0	0	30	0	30
19	3	2.5	0	0	-30	0	31
20	3	3	23	0	-30	0	32
24	4	1	24	0	0	0	0
26	4	2	-24	0	0	0	33
28	4	3	24	0	0	0	33
30	4	4	-24	0	0	0	33
32	5	1	23	0	0	0	-33
34	5	2	-23	0	30	0	32
35	5	2.5	-23	0	-30	0	31
36	5	3	0	23	30	0	32
38	5	4	0	-23	30	0	-32
40	6	1	0	24	-30	0	33
42	6	2	26	-24	29	0	-33
43	6	2.5	-26	-24	28	0	-33
44	6	3	26	24	29	0	-33
46	6	4	26	-24	-29	0	-33
48	7	1	-26	23	30	0	0
50	7	2	25	-23	-30	0	0
51	7	2.5	24	-23	-30	0	0
52	7	3	25	-23	-30	27	0
56	8	1	26	0	0	28	0
58	8	2	-26	0	0	-28	30
60	8	3	0	26	30	28	30
62	8	4	19	-26	-30	-28	30
64	9	1	23	25	30	27	32
67	9	2.5	-23	-25	-30	-27	33
68	9	3	23	25	30	-27	34
69	9	3.5	-23	-25	-30	-27	35
70	9	4	-23	-25	-30	-27	34
72	10	1	19	26	28	0	-34
73	10	1.5	-19	-26	-28	0	33
74	10	2	-19	-26	26	0	33
76	10	3	0	23	27	30	-33
78	10	4	0	-23	-27	-30	32
80	11	1	22	24	26	29	33
82	11	2	-22	-24	22	-29	-33
83	11	2.5	-22	-24	23	-29	-33
84	11	3	22	-24	24	29	-33
85	11	3.5	-22	-24	25	-29	-33
86	11	4	22	-24	26	-29	-33
87	11	4.5	-22	-24	24	-29	-33
88	12	1	21	23	25	30	0
90	12	2	19	-23	26	-30	0
92	12	3	23	-23	-26	27	0
94	12	4	-23	-23	25	-27	0
96	13	1	19	0	26	28	0
98	13	2	-19	0	-26	-28	33
100	13	3	-19	0	-26	-28	33
102	13	4	-19	0	-26	-28	33
104	14	1	0	23	0	27	-33
106	14	2	0	-23	30	-27	32
107	14	2.5	0	-23	-30	-27	31
108	14	3	0	-23	30	-27	32
110	14	4	0	-23	30	-27	-32
112	15	1	0	24	-30	0	33
114	15	2	26	-24	29	0	-33
115	15	2.5	-26	-24	28	0	-33
116	15	3	26	24	29	0	-33
118	15	4	26	-24	-29	0	-33
120	16	1	-26	23	30	27	0
122	16	2	25	-23	-30	-27	0
123	16	2.5	24	-23	-30	-27	0
124	16	3	25	-23	-30	-27	0
128	17	1	26	0	0	28	0
130	17	2	-26	0	0	-28	30
132	17	3	0	26	30	28	30
134	17	4	19	-26	-30	-28	30
136	18	1	23	25	30	27	32
139	18	2.5	-23	-25	-30	-27	33
140	18	3	23	25	30	-27	34
141	18	3.5	-23	-25	-30	-27	35
142	18	4	-23	-25	-30	-27	34
144	19	1	19	26	28	0	-34
145	19	1.5	-19	-26	-28	0	33
146	19	2	-19	-26	26	0	33
148	19	3	0	23	27	30	-33
150	19	4	0	-23	-27	-30	32
152	20	1	22	24	26	29	33
156	20	3	22	-24	0	29	-33
158	20	4	22	-24	26	-29	-33
160	21	1	21	23	28	30	0
162	21	2	19	-23	28	-30	0
164	21	3	23	-23	25	27	0
167	21	4.5	22	-23	-25	-27	0
168	22	1	21	0	-25	28	0
169	22	1.5	20	0	-25	-28	0
170	22	2	21	0	25	-28	0
172	22	3	-21	0	23	-28	32
174	22	4	20	0	-23	-28	-32
175	22	4.5	19	0	24	-28	-32
176	23	1	18	0	25	27	-32
178	23	2	-18	0	-25	-27	32
180	23	3	-18	25	-25	-27	32
184	24	1	-18	-25	0	0	29
186	24	2	-18	25	0	0	-29
188	24	3	-18	25	29	0	-29
192	25	1	0	22	-29	0	0
194	25	2	0	-22	29	0	0
196	25	3	0	0	29	29	33
198	25	4	0	22	-29	-29	-33
200	26	1	0	24	22	-29	33
202	26	2	0	-24	-22	29	-33
204	26	3	22	-24	-22	29	33
206	26	4	-22	24	-22	-29	31
208	27	1	-22	24	0	26	-31
209	27	1.5	-22	-24	0	-26	30
210	27	2	22	-24	0	-26	29
211	27	2.5	-22	-24	0	-26	28
212	27	3	22	24	26	-26	29
214	27	4	-22	-24	-26	26	-29
216	28	1	19	23	26	28	30
220	28	3	19	-23	26	-28	-30
222	28	4	-19	-23	-26	28	-30
224	29	1	21	0	23	28	0
226	29	2	21	0	-23	-28	0
228	29	3	21	0	23	28	32
230	29	4	21	0	-23	-28	-32
231	29	4.5	-21	0	24	-28	-32
232	30	1	18	0	25	27	-32
234	30	2	-18	0	-25	-27	32
236	30	3	-18	25	-25	-27	32
240	31	1	-18	-25	0	0	29
242	31	2	-18	25	0	0	-29
244	31	3	-18	25	29	0	-29
248	32	1	0	22	-29	0	0
250	32	2	0	-22	29	0	0
252	32	3	0	0	29	29	33
254	32	4	0	22	-29	-29	-33
256	33	1	0	24	22	-29	33
258	33	2	0	-24	-22	29	-33
260	33	3	22	-24	-22	29	33
262	33	4	-22	24	-22	-29	31
264	34	1	-22	24	0	26	-31
265	34	1.5	-22	-24	0	-26	30
